treatment,F_ppm,D_ppm,aquarium,t_exp,date,wetmass_mg,drymass_mg,survival,num_tadpoles
A.0,0,0.0,6,0.0,2024-04-04,187.0,10.472000000000008,10,10
A.0,0,0.0,18,0.0,2024-04-04,170.8,9.564800000000009,10,10
A.0,0,0.0,30,0.0,2024-04-04,170.8,9.564800000000009,10,10
B.10F,10,0.0,12,0.0,2024-04-04,150.4,8.422400000000009,10,10
B.10F,10,0.0,24,0.0,2024-04-04,170.0,9.520000000000008,10,10
B.10F,10,0.0,36,0.0,2024-04-04,204.5,11.45200000000001,10,10
C.100F,100,0.0,1,0.0,2024-04-04,152.9,8.562400000000007,10,10
C.100F,100,0.0,13,0.0,2024-04-04,186.0,10.41600000000001,10,10
C.100F,100,0.0,25,0.0,2024-04-04,185.9,10.41040000000001,10,10
D.0.03D,0,0.03,7,0.0,2024-04-04,149.2,8.355200000000007,10,10
D.0.03D,0,0.03,19,0.0,2024-04-04,183.5,10.276000000000009,10,10
D.0.03D,0,0.03,31,0.0,2024-04-04,161.4,9.038400000000008,10,10
E.0.3D,0,0.3,8,0.0,2024-04-04,164.7,9.223200000000007,10,10
E.0.3D,0,0.3,20,0.0,2024-04-04,180.0,10.080000000000009,10,10
E.0.3D,0,0.3,32,0.0,2024-04-04,187.0,10.472000000000008,10,10
F.3D,0,3.0,9,0.0,2024-04-04,189.4,10.60640000000001,10,10
F.3D,0,3.0,21,0.0,2024-04-04,154.6,8.657600000000008,10,10
F.3D,0,3.0,33,0.0,2024-04-04,150.6,8.433600000000007,10,10
G.30D,0,30.0,10,0.0,2024-04-04,188.9,10.57840000000001,10,10
G.30D,0,30.0,22,0.0,2024-04-04,157.8,8.836800000000009,10,10
G.30D,0,30.0,34,0.0,2024-04-04,182.8,10.23680000000001,10,10
H.100D,0,100.0,11,0.0,2024-04-04,192.9,10.80240000000001,10,10
H.100D,0,100.0,23,0.0,2024-04-04,144.3,8.080800000000007,10,10
H.100D,0,100.0,35,0.0,2024-04-04,168.5,9.436000000000009,10,10
I.0.3D+10F,10,0.3,2,0.0,2024-04-04,181.7,10.17520000000001,10,10
I.0.3D+10F,10,0.3,14,0.0,2024-04-04,161.4,9.038400000000008,10,10
I.0.3D+10F,10,0.3,26,0.0,2024-04-04,149.7,8.383200000000008,10,10
J.0.3D+100F,100,0.3,3,0.0,2024-04-04,160.9,9.010400000000008,10,10
J.0.3D+100F,100,0.3,15,0.0,2024-04-04,161.1,9.021600000000008,10,10
J.0.3D+100F,100,0.3,27,0.0,2024-04-04,158.1,8.853600000000007,10,10
K.30D+10F,10,30.0,4,0.0,2024-04-04,147.3,8.248800000000008,10,10
K.30D+10F,10,30.0,16,0.0,2024-04-04,167.4,9.374400000000009,10,10
K.30D+10F,10,30.0,28,0.0,2024-04-04,159.7,8.943200000000008,10,10
L.30D+100F,100,30.0,5,0.0,2024-04-04,182.5,10.22000000000001,10,10
L.30D+100F,100,30.0,17,0.0,2024-04-04,186.3,10.43280000000001,10,10
L.30D+100F,100,30.0,29,0.0,2024-04-04,164.3,9.200800000000008,10,10
A.0,0,0.0,6,4.0,2024-04-08,223.4,12.510400000000011,10,10
A.0,0,0.0,18,4.0,2024-04-08,206.8,11.58080000000001,10,10
A.0,0,0.0,30,4.0,2024-04-08,213.5,11.95600000000001,10,10
B.10F,10,0.0,12,4.0,2024-04-08,202.7,11.35120000000001,10,10
B.10F,10,0.0,24,4.0,2024-04-08,209.2,11.71520000000001,10,10
B.10F,10,0.0,36,4.0,2024-04-08,199.4,11.16640000000001,10,10
C.100F,100,0.0,1,4.0,2024-04-08,195.3,10.93680000000001,10,10
C.100F,100,0.0,13,4.0,2024-04-08,223.5,12.51600000000001,10,10
C.100F,100,0.0,25,4.0,2024-04-08,226.3,12.672800000000011,10,10
D.0.03D,0,0.03,7,4.0,2024-04-08,180.1,10.085600000000008,10,10
D.0.03D,0,0.03,19,4.0,2024-04-08,214.1,11.98960000000001,10,10
D.0.03D,0,0.03,31,4.0,2024-04-08,181.1,10.14160000000001,10,10
E.0.3D,0,0.3,8,4.0,2024-04-08,196.2,10.987200000000009,10,10
E.0.3D,0,0.3,20,4.0,2024-04-08,205.1,11.48560000000001,10,10
E.0.3D,0,0.3,32,4.0,2024-04-08,233.9,13.098400000000012,10,10
F.3D,0,3.0,9,4.0,2024-04-08,220.0,12.320000000000011,10,10
F.3D,0,3.0,21,4.0,2024-04-08,190.5,10.66800000000001,10,10
F.3D,0,3.0,33,4.0,2024-04-08,192.6,10.78560000000001,10,10
G.30D,0,30.0,10,4.0,2024-04-08,174.5,9.77200000000001,10,10
G.30D,0,30.0,22,4.0,2024-04-08,154.7,8.663200000000007,10,10
G.30D,0,30.0,34,4.0,2024-04-08,166.5,9.324000000000009,10,10
H.100D,0,100.0,11,4.0,2024-04-08,,,0,0
H.100D,0,100.0,23,4.0,2024-04-08,,,0,0
H.100D,0,100.0,35,4.0,2024-04-08,,,0,0
I.0.3D+10F,10,0.3,2,4.0,2024-04-08,208.7,11.68720000000001,10,10
I.0.3D+10F,10,0.3,14,4.0,2024-04-08,212.4,11.894400000000012,10,10
I.0.3D+10F,10,0.3,26,4.0,2024-04-08,187.4,10.49440000000001,10,10
J.0.3D+100F,100,0.3,3,4.0,2024-04-08,185.8,10.40480000000001,10,10
J.0.3D+100F,100,0.3,15,4.0,2024-04-08,217.6,12.18560000000001,10,10
J.0.3D+100F,100,0.3,27,4.0,2024-04-08,195.2,10.93120000000001,10,10
K.30D+10F,10,30.0,4,4.0,2024-04-08,147.8,8.276800000000009,10,10
K.30D+10F,10,30.0,16,4.0,2024-04-08,156.1,8.741600000000007,10,10
K.30D+10F,10,30.0,28,4.0,2024-04-08,,,0,0
L.30D+100F,100,30.0,5,4.0,2024-04-08,176.1,9.861600000000008,10,10
L.30D+100F,100,30.0,17,4.0,2024-04-08,173.9,9.73840000000001,10,10
L.30D+100F,100,30.0,29,4.0,2024-04-08,154.4,8.646400000000009,10,10
A.0,0,0.0,6,7.0,2024-04-11,252.9,14.162400000000012,10,10
A.0,0,0.0,18,7.0,2024-04-11,252.4,14.134400000000014,10,10
A.0,0,0.0,30,7.0,2024-04-11,243.6,13.641600000000011,10,10
B.10F,10,0.0,12,7.0,2024-04-11,227.6,12.74560000000001,10,10
B.10F,10,0.0,24,7.0,2024-04-11,216.2,12.10720000000001,10,10
B.10F,10,0.0,36,7.0,2024-04-11,217.1,12.157600000000011,10,10
C.100F,100,0.0,1,7.0,2024-04-11,214.4,12.006400000000012,10,10
C.100F,100,0.0,13,7.0,2024-04-11,,,0,0
C.100F,100,0.0,25,7.0,2024-04-11,227.2,12.723200000000011,10,10
D.0.03D,0,0.03,7,7.0,2024-04-11,200.4,11.222400000000011,10,10
D.0.03D,0,0.03,19,7.0,2024-04-11,229.4,12.846400000000012,10,10
D.0.03D,0,0.03,31,7.0,2024-04-11,212.2,11.88320000000001,10,10
E.0.3D,0,0.3,8,7.0,2024-04-11,213.888889,11.977777784000011,10,9
E.0.3D,0,0.3,20,7.0,2024-04-11,218.8,12.252800000000011,10,10
E.0.3D,0,0.3,32,7.0,2024-04-11,252.1,14.117600000000012,10,10
F.3D,0,3.0,9,7.0,2024-04-11,233.6,13.08160000000001,10,10
F.3D,0,3.0,21,7.0,2024-04-11,228.8,12.812800000000012,10,10
F.3D,0,3.0,33,7.0,2024-04-11,221.8,12.420800000000012,10,10
G.30D,0,30.0,10,7.0,2024-04-11,181.0,10.13600000000001,10,10
G.30D,0,30.0,22,7.0,2024-04-11,156.4,8.758400000000009,10,10
G.30D,0,30.0,34,7.0,2024-04-11,178.0,9.968000000000009,10,10
H.100D,0,100.0,11,7.0,2024-04-11,,,0,0
