treatment,F_ppm,D_ppm,aquarium,t_exp_G42,t_exp_G46,wetmass_G42_mg,wetmass_G46_mg,drymass_G42_mg,drymass_G46_mg
A. 0,0,0.0,6,11.0,20.0,243,178,13.608000000000011,27.946000000000005
A. 0,0,0.0,6,11.0,20.0,214,169,11.98400000000001,26.533000000000005
A. 0,0,0.0,6,12.0,18.0,315,204,17.640000000000015,32.028000000000006
A. 0,0,0.0,6,13.0,20.0,282,199,15.792000000000014,31.243000000000006
A. 0,0,0.0,6,13.0,20.0,234,155,13.104000000000012,24.335000000000004
A. 0,0,0.0,6,13.0,20.0,232,149,12.992000000000012,23.393000000000004
A. 0,0,0.0,6,14.0,20.0,280,188,15.680000000000014,29.516000000000005
A. 0,0,0.0,6,14.0,20.0,331,235,18.536000000000016,36.89500000000001
A. 0,0,0.0,6,15.0,20.0,195,141,10.920000000000009,22.137000000000004
A. 0,0,0.0,6,17.0,25.0,334,232,18.704000000000015,36.42400000000001
A. 0,0,0.0,18,12.0,20.0,270,163,15.120000000000013,25.591000000000005
A. 0,0,0.0,18,13.0,20.0,363,241,20.328000000000017,37.837
A. 0,0,0.0,18,14.0,20.0,303,203,16.968000000000014,31.871000000000006
A. 0,0,0.0,18,14.0,20.0,252,159,14.112000000000013,24.963000000000005
A. 0,0,0.0,18,15.0,20.0,266,190,14.896000000000013,29.830000000000005
A. 0,0,0.0,18,15.0,20.0,337,247,18.872000000000018,38.77900000000001
A. 0,0,0.0,18,15.0,20.0,252,175,14.112000000000013,27.475000000000005
A. 0,0,0.0,18,15.0,20.0,212,156,11.87200000000001,24.492000000000004
A. 0,0,0.0,18,17.0,25.0,251,176,14.056000000000012,27.632000000000005
A. 0,0,0.0,18,17.0,25.0,322,217,18.032000000000018,34.069
A. 0,0,0.0,30,11.0,18.0,311,201,17.416000000000015,31.557000000000006
A. 0,0,0.0,30,12.0,20.0,309,182,17.304000000000016,28.574000000000005
A. 0,0,0.0,30,13.0,20.0,327,263,18.312000000000015,41.29100000000001
A. 0,0,0.0,30,14.0,20.0,356,183,19.936000000000018,28.731000000000005
A. 0,0,0.0,30,15.0,20.0,307,243,17.192000000000014,38.15100000000001
A. 0,0,0.0,30,15.0,20.0,248,166,13.888000000000012,26.062000000000005
A. 0,0,0.0,30,15.0,20.0,326,222,18.256000000000014,34.854000000000006
A. 0,0,0.0,30,17.0,25.0,345,256,19.320000000000018,40.19200000000001
A. 0,0,0.0,30,17.0,25.0,277,169,15.512000000000015,26.533000000000005
A. 0,0,0.0,30,19.0,25.0,264,190,14.784000000000013,29.830000000000005
B. 10F,10,0.0,12,9.0,,197,,11.03200000000001,
B. 10F,10,0.0,12,11.0,,239,,13.384000000000011,
B. 10F,10,0.0,12,13.0,20.0,345,238,19.320000000000018,37.36600000000001
B. 10F,10,0.0,12,13.0,20.0,265,178,14.840000000000014,27.946000000000005
