treatment_bd,treatment_24D,individualID,t_since_spawn,SVL_mean,t_since_hatch,treatment_combination,drymass_g
BE3,0.0,2023D106,15,7.614,12,BE3 | 0.0,0.015591653731343271
BE3,0.0,2023D107,15,7.013,12,BE3 | 0.0,0.014360949253731332
BE3,0.0,2023D108,15,6.943,12,BE3 | 0.0,0.014217605970149243
BE3,0.0,2023D109,15,6.906,12,BE3 | 0.0,0.014141838805970136
BE3,0.0,2023D110,15,6.666,12,BE3 | 0.0,0.013650376119402976
BE3,0.0,2023D111,15,7.848,12,BE3 | 0.0,0.016070829850746256
BE3,0.0,2023D112,15,7.103,12,BE3 | 0.0,0.014545247761194018
BE3,0.0,2023D113,15,7.109,12,BE3 | 0.0,0.014557534328358199
BE3,0.0,2023D114,15,7.133,12,BE3 | 0.0,0.014606680597014914
BE3,0.0,2023D115,15,6.644,12,BE3 | 0.0,0.013605325373134318
BE3,0.0,2023D116,15,6.652,12,BE3 | 0.0,0.013621707462686558
BE3,0.0,2023D117,15,7.77,12,BE3 | 0.0,0.015911104477611928
BE3,0.0,2023D118,15,7.09,12,BE3 | 0.0,0.014518626865671631
BE3,0.0,2023D119,15,6.113,12,BE3 | 0.0,0.012517964179104469
BE3,0.0,2023D120,15,7.253,12,BE3 | 0.0,0.014852411940298496
BE3,0.0,2023D121,15,7.555,12,BE3 | 0.0,0.01547083582089551
BE3,0.0,2023D122,15,7.587,12,BE3 | 0.0,0.015536364179104464
BE3,0.0,2023D123,15,7.263,12,BE3 | 0.0,0.014872889552238795
BE3,0.0,2023D124,15,6.392,12,BE3 | 0.0,0.013089289552238795
BE3,0.0,2023D125,15,7.424,12,BE3 | 0.0,0.015202579104477601
BE3,0.0,2023D126,15,6.979,12,BE3 | 0.0,0.014291325373134317
BE3,0.0,2023D106,23,8.221,20,BE3 | 0.0,0.01683464477611939
BE3,0.0,2023D107,23,7.808,20,BE3 | 0.0,0.015988919402985063
BE3,0.0,2023D108,23,7.883,20,BE3 | 0.0,0.0161425014925373
BE3,0.0,2023D109,23,8.743,20,BE3 | 0.0,0.01790357611940297
BE3,0.0,2023D110,23,8.177,20,BE3 | 0.0,0.016744543283582075
BE3,0.0,2023D111,23,8.459,20,BE3 | 0.0,0.017322011940298494
BE3,0.0,2023D112,23,8.936,20,BE3 | 0.0,0.018298794029850733
BE3,0.0,2023D113,23,8.802,20,BE3 | 0.0,0.018024394029850732
BE3,0.0,2023D114,23,8.52,20,BE3 | 0.0,0.017446925373134314
BE3,0.0,2023D115,23,8.247,20,BE3 | 0.0,0.016887886567164168
BE3,0.0,2023D116,23,8.976,20,BE3 | 0.0,0.018380704477611927
BE3,0.0,2023D117,23,8.228,20,BE3 | 0.0,0.0168489791044776
BE3,0.0,2023D118,23,8.044,20,BE3 | 0.0,0.016472191044776107
BE3,0.0,2023D119,23,9.38,20,BE3 | 0.0,0.01920799999999999
BE3,0.0,2023D120,23,8.245,20,BE3 | 0.0,0.016883791044776105
BE3,0.0,2023D121,23,8.968,20,BE3 | 0.0,0.018364322388059687
BE3,0.0,2023D122,23,8.878,20,BE3 | 0.0,0.018180023880597
BE3,0.0,2023D123,23,8.268,20,BE3 | 0.0,0.016930889552238794
BE3,0.0,2023D124,23,8.172,20,BE3 | 0.0,0.016734304477611928
BE3,0.0,2023D125,23,6.993,20,BE3 | 0.0,0.014319994029850736
BE3,0.0,2023D126,23,9.022,20,BE3 | 0.0,0.018474901492537298
BE3,0.0,,28,8.527,25,BE3 | 0.0,0.017461259701492524
BE3,0.0,,28,8.066,25,BE3 | 0.0,0.016517241791044766
BE3,0.0,,28,8.732,25,BE3 | 0.0,0.017881050746268643
BE3,0.0,,28,7.773,25,BE3 | 0.0,0.015917247761194016
BE3,0.0,,28,9.036,25,BE3 | 0.0,0.018503570149253714
BE3,0.0,,28,7.826,25,BE3 | 0.0,0.016025779104477597
BE3,0.0,,28,8.224,25,BE3 | 0.0,0.01684078805970148
BE3,0.0,,28,9.61,25,BE3 | 0.0,0.01967898507462685
BE3,0.0,,28,9.162,25,BE3 | 0.0,0.01876158805970148
BE3,0.0,,28,9.724,25,BE3 | 0.0,0.019912429850746254
BE3,0.0,,28,10.276,25,BE3 | 0.0,0.02104279402985073
BE3,0.0,,28,9.734,25,BE3 | 0.0,0.019932907462686552
BE3,0.0,,28,8.554,25,BE3 | 0.0,0.01751654925373133
BE3,0.0,,28,9.315,25,BE3 | 0.0,0.019074895522388044
BE3,0.0,,28,8.981,25,BE3 | 0.0,0.018390943283582078
BE3,0.0,,28,8.04,25,BE3 | 0.0,0.016463999999999986
BE3,0.0,,28,9.608,25,BE3 | 0.0,0.019674889552238794
BE3,0.0,,28,8.81,25,BE3 | 0.0,0.01804077611940297
BE3,0.0,,28,9.296,25,BE3 | 0.0,0.019035988059701477
BE3,0.0,,28,7.852,25,BE3 | 0.0,0.016079020895522378
BE3,0.0,,28,8.362,25,BE3 | 0.0,0.0171233791044776
BE3,0.03,2023D85,15,6.797,12,BE3 | 0.03,0.013918632835820883
BE3,0.03,2023D86,15,7.149,12,BE3 | 0.03,0.014639444776119392
BE3,0.03,2023D87,15,6.663,12,BE3 | 0.03,0.013644232835820886
BE3,0.03,2023D88,15,6.644,12,BE3 | 0.03,0.013605325373134318
BE3,0.03,2023D89,15,5.952,12,BE3 | 0.03,0.012188274626865662
BE3,0.03,2023D90,15,6.942,12,BE3 | 0.03,0.014215558208955214
BE3,0.03,2023D91,15,7.57,12,BE3 | 0.03,0.01550155223880596
BE3,0.03,2023D92,15,7.458,12,BE3 | 0.03,0.015272202985074614
BE3,0.03,2023D93,15,7.707,12,BE3 | 0.03,0.01578209552238805
BE3,0.03,2023D94,15,7.069,12,BE3 | 0.03,0.014475623880597003
BE3,0.03,2023D95,15,7.369,12,BE3 | 0.03,0.015089952238805958
BE3,0.03,2023D96,15,6.883,12,BE3 | 0.03,0.014094740298507453
BE3,0.03,2023D97,15,7.143,12,BE3 | 0.03,0.014627158208955212
BE3,0.03,2023D98,15,6.832,12,BE3 | 0.03,0.01399030447761193
BE3,0.03,2023D99,15,7.327,12,BE3 | 0.03,0.015003946268656705
BE3,0.03,2023D100,15,7.098,12,BE3 | 0.03,0.014535008955223869
BE3,0.03,2023D101,15,6.578,12,BE3 | 0.03,0.013470173134328347
BE3,0.03,2023D102,15,7.611,12,BE3 | 0.03,0.015585510447761183
BE3,0.03,2023D103,15,7.01,12,BE3 | 0.03,0.014354805970149242
BE3,0.03,2023D104,15,7.135,12,BE3 | 0.03,0.014610776119402974
BE3,0.03,2023D105,15,7.216,12,BE3 | 0.03,0.014776644776119391
BE3,0.03,2023D85,23,7.868,20,BE3 | 0.03,0.016111785074626853
BE3,0.03,2023D86,23,8.779,20,BE3 | 0.03,0.017977295522388043
BE3,0.03,2023D87,23,8.296,20,BE3 | 0.03,0.016988226865671627
BE3,0.03,2023D88,23,8.761,20,BE3 | 0.03,0.01794043582089551
BE3,0.03,2023D89,23,8.116,20,BE3 | 0.03,0.016619629850746255
BE3,0.03,2023D90,23,9.069,20,BE3 | 0.03,0.018571146268656705
BE3,0.03,2023D91,23,8.475,20,BE3 | 0.03,0.017354776119402972
BE3,0.03,2023D92,23,7.858,20,BE3 | 0.03,0.016091307462686555
BE3,0.03,2023D93,23,8.582,20,BE3 | 0.03,0.01757388656716417
BE3,0.03,2023D94,23,8.749,20,BE3 | 0.03,0.01791586268656715
BE3,0.03,2023D95,23,8.528,20,BE3 | 0.03,0.017463307462686557
BE3,0.03,2023D96,23,8.474,20,BE3 | 0.03,0.017352728358208943
BE3,0.03,2023D97,23,9.504,20,BE3 | 0.03,0.019461922388059685
BE3,0.03,2023D98,23,8.145,20,BE3 | 0.03,0.01667901492537312
BE3,0.03,2023D99,23,9.35,20,BE3 | 0.03,0.01914656716417909
BE3,0.03,2023D100,23,9.488,20,BE3 | 0.03,0.01942915820895521
BE3,0.03,2023D101,23,8.092,20,BE3 | 0.03,0.01657048358208954
BE3,0.03,2023D102,23,8.508,20,BE3 | 0.03,0.017422352238805956
BE3,0.03,2023D103,23,8.73,20,BE3 | 0.03,0.017876955223880584
BE3,0.03,2023D104,23,7.961,20,BE3 | 0.03,0.01630222686567163
BE3,0.03,2023D105,23,9.0,20,BE3 | 0.03,0.01842985074626864
BE3,0.03,,28,9.232,25,BE3 | 0.03,0.018904931343283565
BE3,0.03,,28,9.127,25,BE3 | 0.03,0.018689916417910433
BE3,0.03,,28,7.321,25,BE3 | 0.03,0.014991659701492526
BE3,0.03,,28,9.737,25,BE3 | 0.03,0.019939050746268644
BE3,0.03,,28,8.518,25,BE3 | 0.03,0.017442829850746255
BE3,0.03,,28,8.914,25,BE3 | 0.03,0.018253743283582077
BE3,0.03,,28,8.942,25,BE3 | 0.03,0.018311080597014914
BE3,0.03,,28,7.826,25,BE3 | 0.03,0.016025779104477597
BE3,0.03,,28,9.052,25,BE3 | 0.03,0.018536334328358193
BE3,0.03,,28,9.374,25,BE3 | 0.03,0.01919571343283581
BE3,0.03,,28,7.693,25,BE3 | 0.03,0.01575342686567163
BE3,0.03,,28,9.839,25,BE3 | 0.03,0.020147922388059687
BE3,0.03,,28,9.551,25,BE3 | 0.03,0.01955816716417909
BE3,0.03,,28,9.228,25,BE3 | 0.03,0.018896740298507447
BE3,0.03,,28,10.371,25,BE3 | 0.03,0.021237331343283566
BE3,0.03,,28,8.188,25,BE3 | 0.03,0.016767068656716407
BE3,0.03,,28,8.226,25,BE3 | 0.03,0.01684488358208954
BE3,0.03,,28,8.484,25,BE3 | 0.03,0.01737320597014924
BE3,0.03,,28,9.084,25,BE3 | 0.03,0.01860186268656715
BE3,0.03,,28,8.006,25,BE3 | 0.03,0.016394376119402972
BE3,0.03,,28,9.334,25,BE3 | 0.03,0.01911380298507461
BE3,0.3,2023D64,15,6.957,12,BE3 | 0.3,0.01424627462686566
BE3,0.3,2023D65,15,7.322,12,BE3 | 0.3,0.014993707462686556
BE3,0.3,2023D66,15,6.502,12,BE3 | 0.3,0.013314543283582078
BE3,0.3,2023D67,15,6.967,12,BE3 | 0.3,0.014266752238805958
BE3,0.3,2023D68,15,7.957,12,BE3 | 0.3,0.01629403582089551
BE3,0.3,2023D69,15,6.511,12,BE3 | 0.3,0.013332973134328348
BE3,0.3,2023D70,15,7.145,12,BE3 | 0.3,0.014631253731343271
BE3,0.3,2023D71,15,7.363,12,BE3 | 0.3,0.015077665671641781
BE3,0.3,2023D72,15,7.823,12,BE3 | 0.3,0.016019635820895512
BE3,0.3,2023D73,15,5.866,12,BE3 | 0.3,0.012012167164179095
BE3,0.3,2023D74,15,7.923,12,BE3 | 0.3,0.016224411940298496
BE3,0.3,2023D75,15,6.261,12,BE3 | 0.3,0.012821032835820886
BE3,0.3,2023D76,15,7.46,12,BE3 | 0.3,0.015276298507462675
BE3,0.3,2023D77,15,6.548,12,BE3 | 0.3,0.013408740298507452
BE3,0.3,2023D78,15,6.772,12,BE3 | 0.3,0.013867438805970139
BE3,0.3,2023D79,15,7.426,12,BE3 | 0.3,0.01520667462686566
BE3,0.3,2023D80,15,6.931,12,BE3 | 0.3,0.014193032835820884
BE3,0.3,2023D81,15,7.182,12,BE3 | 0.3,0.014707020895522376
BE3,0.3,2023D82,15,7.145,12,BE3 | 0.3,0.014631253731343271
BE3,0.3,2023D83,15,6.346,12,BE3 | 0.3,0.012995092537313424
BE3,0.3,2023D84,15,6.447,12,BE3 | 0.3,0.013201916417910438
