treatment_bd,treatment_24D,IndividualID,t_G42,bdload_G42,treatment_combination,tsincehatch_G42
uninfected,0.0,D151A,36,0,uninfected | 0.0,34
uninfected,0.0,D151B,36,0,uninfected | 0.0,34
uninfected,0.0,D151C,36,0,uninfected | 0.0,34
uninfected,0.0,D151D,36,0,uninfected | 0.0,34
uninfected,0.0,D151E,41,0,uninfected | 0.0,39
uninfected,0.0,D156A,33,0,uninfected | 0.0,31
uninfected,0.0,D156B,36,0,uninfected | 0.0,34
uninfected,0.0,D156C,36,0,uninfected | 0.0,34
uninfected,0.0,D156D,36,0,uninfected | 0.0,34
uninfected,0.0,D156E,38,0,uninfected | 0.0,36
uninfected,0.0,D161A,33,0,uninfected | 0.0,31
uninfected,0.0,D161B,33,0,uninfected | 0.0,31
uninfected,0.0,D161C,36,0,uninfected | 0.0,34
uninfected,0.0,D161D,36,0,uninfected | 0.0,34
uninfected,0.0,D161E,38,0,uninfected | 0.0,36
uninfected,0.0,D161F,38,0,uninfected | 0.0,36
uninfected,0.0,D166A,33,0,uninfected | 0.0,31
uninfected,0.0,D166B,36,0,uninfected | 0.0,34
uninfected,0.0,D166C,36,0,uninfected | 0.0,34
uninfected,0.0,D166D,38,0,uninfected | 0.0,36
uninfected,0.0,D166E,38,0,uninfected | 0.0,36
uninfected,0.03,D172A,33,0,uninfected | 0.03,31
uninfected,0.03,D172B,36,0,uninfected | 0.03,34
uninfected,0.03,D172C,36,0,uninfected | 0.03,34
uninfected,0.03,D172D,36,0,uninfected | 0.03,34
uninfected,0.03,D172E,36,0,uninfected | 0.03,34
uninfected,0.03,D177A,33,0,uninfected | 0.03,31
uninfected,0.03,D177B,33,0,uninfected | 0.03,31
uninfected,0.03,D177C,36,0,uninfected | 0.03,34
uninfected,0.03,D177D,36,0,uninfected | 0.03,34
uninfected,0.03,D177E,38,0,uninfected | 0.03,36
uninfected,0.03,D182A,33,0,uninfected | 0.03,31
uninfected,0.03,D182B,33,0,uninfected | 0.03,31
uninfected,0.03,D182C,36,0,uninfected | 0.03,34
uninfected,0.03,D182D,36,0,uninfected | 0.03,34
uninfected,0.03,D182E,36,0,uninfected | 0.03,34
uninfected,0.03,D187A,36,0,uninfected | 0.03,34
uninfected,0.03,D187B,36,0,uninfected | 0.03,34
uninfected,0.03,D187C,36,0,uninfected | 0.03,34
uninfected,0.03,D187D,36,0,uninfected | 0.03,34
uninfected,0.03,D187E,38,0,uninfected | 0.03,36
uninfected,0.03,D187F,38,0,uninfected | 0.03,36
uninfected,0.3,D193A,36,0,uninfected | 0.3,34
uninfected,0.3,D193B,36,0,uninfected | 0.3,34
uninfected,0.3,D193C,36,0,uninfected | 0.3,34
uninfected,0.3,D193D,38,0,uninfected | 0.3,36
uninfected,0.3,D193E,38,0,uninfected | 0.3,36
uninfected,0.3,D198A,33,0,uninfected | 0.3,31
