t_since_mm,treatment_bd,pretreatment_24D,individualID,length_mm,weight_g,bdload,treatment_combination,y_length_mm,y_weight_g
16,uninfected,0.0,D151A,11.7215,0.16,,uninfected | 0.0,1.0112849094532685,0.9638554216867471
16,uninfected,0.0,D151B,10.9225,0.18,,uninfected | 0.0,0.942350332594235,1.0843373493975905
16,JEL423,0.0,D151C,12.067,0.17,,JEL423 | 0.0,1.041093290310335,1.024096385542169
16,JEL423,0.0,D151D,11.6565,0.21,,JEL423 | 0.0,1.0056769651530968,1.2650602409638556
16,JEL423,0.0,D151E,12.28,0.16,,JEL423 | 0.0,1.059470092401667,0.9638554216867471
16,JEL423,0.0,D156A,11.8015,0.18,,JEL423 | 0.0,1.0181869947457876,1.0843373493975905
16,uninfected,0.0,D156B,12.017,0.13,,uninfected | 0.0,1.0367794870025107,0.783132530120482
16,JEL423,0.0,D156C,11.9015,0.22,,JEL423 | 0.0,1.0268146013614363,1.3253012048192772
16,JEL423,0.0,D156D,10.1,0.17,,JEL423 | 0.0,0.8713882681805241,1.024096385542169
16,uninfected,0.0,D156E,11.1365,0.18,,uninfected | 0.0,0.9608134107517233,1.0843373493975905
16,JEL423,0.0,D161A,11.5775,0.24,,JEL423 | 0.0,0.9988611559267344,1.4457831325301207
16,uninfected,0.0,D161B,11.8955,0.11,,uninfected | 0.0,1.0262969449644974,0.6626506024096386
16,uninfected,0.0,D161C,11.836,0.19,,uninfected | 0.0,1.0211635190281865,1.1445783132530123
16,JEL423,0.0,D161D,11.982,0.18,,JEL423 | 0.0,1.0337598246870334,1.0843373493975905
16,JEL423,0.0,D161E,11.6,0.16,,JEL423 | 0.0,1.0008023674152553,0.9638554216867471
16,uninfected,0.0,D161F,11.822,0.15,,uninfected | 0.0,1.0199556541019954,0.9036144578313253
16,uninfected,0.0,D166A,13.104,0.17,,uninfected | 0.0,1.1305615709146124,1.024096385542169
16,JEL423,0.0,D166B,11.912,0.27,,JEL423 | 0.0,1.0277205000560796,1.6265060240963858
16,uninfected,0.0,D166C,11.8065,0.17,,uninfected | 0.0,1.01861837507657,1.024096385542169
16,uninfected,0.0,D166D,9.6455,0.22,,uninfected | 0.0,0.8321757961124004,1.3253012048192772
16,JEL423,0.0,D166E,12.252,0.18,,JEL423 | 0.0,1.0570543625492852,1.0843373493975905
16,JEL423,0.03,D172A,10.7295,0.17,,JEL423 | 0.03,0.925699051826033,1.024096385542169
