treatment_bd,pretreatment_24D,date,individualID,weight_g,length_mm,bdload,Column8,treatment_combination,t_since_mm
uninfected,0.3,2023-08-14,H1,0.1,10.294,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H2,0.14,11.4075,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H3,0.11,9.7685,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H4,0.16,11.259,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H5,0.14,9.8325,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H6,0.22,11.9725,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H7,0.19,11.2085,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H8,0.17,11.6985,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H9,0.17,11.0385,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H10,0.2,12.438,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H11,0.21,11.884,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H12,0.12,10.2895,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H13,0.14,10.4685,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H14,0.17,11.8345,,0,uninfected | 0.3,4
uninfected,0.3,2023-08-14,H15,0.11,10.388,,0,uninfected | 0.3,4
BE3,0.3,2023-08-14,H16,0.19,11.915,,39800,BE3 | 0.3,4
BE3,0.3,2023-08-14,H17,0.17,10.8385,,48000,BE3 | 0.3,4
BE3,0.3,2023-08-14,H18,0.19,11.7235,,91200,BE3 | 0.3,4
BE3,0.3,2023-08-14,H19,0.15,10.592,,74000,BE3 | 0.3,4
BE3,0.3,2023-08-14,H20,0.18,11.0725,,184400,BE3 | 0.3,4
BE3,0.3,2023-08-14,H21,0.12,9.8165,,62400,BE3 | 0.3,4
BE3,0.3,2023-08-14,H22,0.18,11.617,,76400,BE3 | 0.3,4
BE3,0.3,2023-08-14,H23,0.17,10.7465,,116400,BE3 | 0.3,4
BE3,0.3,2023-08-14,H24,0.2,11.931,,3708,BE3 | 0.3,4
BE3,0.3,2023-08-14,H25,0.15,10.3795,,2632,BE3 | 0.3,4
BE3,0.3,2023-08-14,H26,0.17,11.3375,,9960,BE3 | 0.3,4
BE3,0.3,2023-08-14,H27,0.2,9.8675,,56000,BE3 | 0.3,4
BE3,0.3,2023-08-14,H28,0.2,11.586,,6880,BE3 | 0.3,4
BE3,0.3,2023-08-14,H29,0.14,10.167,,33560,BE3 | 0.3,4
BE3,0.3,2023-08-14,H30,0.16,10.6175,,62400,BE3 | 0.3,4
uninfected,0.03,2023-08-14,L1,0.16,10.104,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L2,0.13,9.986,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L3,0.19,12.3475,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L4,0.12,10.13,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L5,0.21,11.93,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L6,0.23,12.479,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L7,0.11,10.1,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L8,0.18,11.5105,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L9,0.17,11.3865,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L10,0.21,11.823,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L11,0.19,12.036,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L12,0.18,12.162,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L13,0.14,11.236,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L14,0.12,9.7085,,0,uninfected | 0.03,4
uninfected,0.03,2023-08-14,L15,0.14,10.4935,,0,uninfected | 0.03,4
BE3,0.03,2023-08-14,L16,0.17,11.33,,8480,BE3 | 0.03,4
BE3,0.03,2023-08-14,L17,0.18,11.6185,,18000,BE3 | 0.03,4
BE3,0.03,2023-08-14,L18,0.2,11.7145,,3964,BE3 | 0.03,4
BE3,0.03,2023-08-14,L19,0.12,10.2945,,110800,BE3 | 0.03,4
BE3,0.03,2023-08-14,L20,0.14,10.66,,15040,BE3 | 0.03,4
BE3,0.03,2023-08-14,L21,0.23,13.034,,45200,BE3 | 0.03,4
BE3,0.03,2023-08-14,L22,0.13,10.907,,5400,BE3 | 0.03,4
BE3,0.03,2023-08-14,L23,0.18,11.4,,80800,BE3 | 0.03,4
BE3,0.03,2023-08-14,L24,0.22,12.025,,41200,BE3 | 0.03,4
BE3,0.03,2023-08-14,L25,0.11,10.1705,,73200,BE3 | 0.03,4
BE3,0.03,2023-08-14,L26,0.14,10.946,,20000,BE3 | 0.03,4
BE3,0.03,2023-08-14,L27,0.22,11.649,,4680,BE3 | 0.03,4
BE3,0.03,2023-08-14,L28,0.17,11.345,,100800,BE3 | 0.03,4
BE3,0.03,2023-08-14,L29,0.18,11.713,,8840,BE3 | 0.03,4
BE3,0.03,2023-08-14,L30,0.15,10.7725,,121600,BE3 | 0.03,4
uninfected,0.0,2023-08-14,W1,0.21,12.5785,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W2,0.19,12.625,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W3,0.25,12.5925,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W4,0.16,12.8415,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W5,0.15,10.93,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W6,0.18,12.1365,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W7,0.19,10.9655,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W8,0.19,11.7155,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W9,0.12,10.425,,0,uninfected | 0.0,4
uninfected,0.0,2023-08-14,W10,0.17,11.6775,,0,uninfected | 0.0,4
