t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,176.71762473333885,10,1
1.0,0.0,187.15864509686526,10,1
2.0,0.0,197.85464033885245,10,1
3.0,0.0,208.80237167002096,10,1
4.0,0.0,219.99848346692346,10,1
5.0,0.0,231.4395136569009,10,1
6.0,0.0,243.12189985822843,10,1
7.0,0.0,255.0419866801909,10,1
8.0,0.0,267.196036070931,10,1
9.0,0.0,279.58023218235417,10,1
10.0,0.0,292.19068762137414,10,1
11.0,0.0,291.96496235207337,8,1
12.0,0.0,304.4555278352661,8,1
13.0,0.0,303.32362389128616,6,1
14.0,0.0,297.66651673281996,4,1
15.0,0.0,309.4714674045441,4,1
16.0,0.0,297.22868598652974,2,1
17.0,0.0,265.880325692844,1,1
18.0,0.0,275.6876204529952,1,1
19.0,0.0,285.62445568682193,1,1
20.0,0.0,295.6878913411611,1,1
21.0,0.0,305.87497977496554,1,1
22.0,0.0,316.1827692747235,1,1
23.0,0.0,326.60830379139077,1,1
0.0,0.03,179.099144699732,10,1
1.0,0.03,189.68143199514557,10,1
2.0,0.03,200.52216582857815,10,1
3.0,0.03,211.6180635105523,10,1
4.0,0.03,222.96572468420823,10,1
5.0,0.03,234.56163982080147,10,1
6.0,0.03,246.40219836719007,10,1
7.0,0.03,258.4836965611677,10,1
8.0,0.03,260.11335751155644,9,1
9.0,0.03,272.16824439431247,9,1
10.0,0.03,261.66437373867456,7,1
11.0,0.03,273.15220314692726,7,1
12.0,0.03,284.83531050609315,7,1
13.0,0.03,296.7100606181517,7,1
14.0,0.03,289.81555578687187,5,1
15.0,0.03,301.30805384417613,5,1
16.0,0.03,304.60703815954696,4,1
17.0,0.03,285.508175644433,2,1
18.0,0.03,296.0425184489354,2,1
19.0,0.03,306.7160902539239,2,1
20.0,0.03,295.2807399486227,1,1
21.0,0.03,305.45371457470947,1,1
22.0,0.03,315.74722119566974,1,1
23.0,0.03,326.1583073138036,1,1
0.0,0.3,182.16029148478714,10,1
1.0,0.3,192.92401217918658,10,1
2.0,0.3,203.95063880805077,10,1
3.0,0.3,215.23683255995942,10,1
4.0,0.3,226.77913490144664,10,1
5.0,0.3,238.57397621866684,10,1
6.0,0.3,250.61768410893006,10,1
7.0,0.3,262.90649132961533,10,1
8.0,0.3,275.4365434219609,10,1
9.0,0.3,280.98859336024674,9,1
10.0,0.3,293.66275933979506,9,1
11.0,0.3,306.56036356389313,9,1
12.0,0.3,301.3276422780065,6,1
13.0,0.3,305.88675368381416,5,1
14.0,0.3,318.3238016165375,5,1
15.0,0.3,318.99165417299673,3,1
16.0,0.3,324.4850404201476,2,1
17.0,0.3,325.1283232409599,1,1
18.0,0.3,337.1303491757917,1,1
0.0,3.0,191.12567190386977,10,1
1.0,3.0,202.420995641859,10,1
2.0,3.0,213.9922903871562,10,1
3.0,3.0,225.8360528985549,10,1
4.0,3.0,237.94865419159163,10,1
5.0,3.0,250.326348613089,10,1
6.0,3.0,262.96528254702395,10,1
7.0,3.0,275.8615027617743,10,1
8.0,3.0,289.0109644155692,10,1
9.0,3.0,302.4095387246707,10,1
10.0,3.0,296.7072072761431,7,1
11.0,3.0,309.73894700133866,7,1
12.0,3.0,311.38205116766926,5,1
13.0,3.0,305.8583676320377,3,1
14.0,3.0,318.29425287322584,3,1
15.0,3.0,319.01822360408505,2,1
16.0,3.0,331.3679277423413,2,1
17.0,3.0,339.2462873582259,1,1
0.0,30.0,165.0224679826365,10,1
1.0,30.0,174.76994256444965,10,1
2.0,30.0,184.58738978846208,10,1
3.0,30.0,192.50760400783292,10,1
4.0,30.0,197.09717233240394,10,1
5.0,30.0,199.7085756201137,10,1
6.0,30.0,201.46122863125095,10,1
7.0,30.0,202.85563127686558,10,1
8.0,30.0,204.09833046085492,10,1
9.0,30.0,205.27426338006882,10,1
10.0,30.0,206.41848313322362,10,1
11.0,30.0,207.54550357512198,10,1
12.0,30.0,208.66134292580014,10,1
13.0,30.0,209.7684796751133,10,1
14.0,30.0,210.86794956276336,10,1
15.0,30.0,211.96020740008493,10,1
