C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,14.9,20.2,5.3,344.5905099374562,179.83972068013748,1
0.03,15.0,20.4,5.4,344.6276779109562,171.5821685980216,1
0.3,14.0,19.2,5.2,345.6341658107787,187.3583947638798,1
3.0,13.0,18.1,5.1,346.8068692314381,186.2030008108522,1
30.0,54.3,61.6,7.3,237.7525789352473,85.07540911514161,1
0.0,17.5,22.9,5.4,341.02242230385735,170.11122929926296,2
0.03,14.7,19.8,5.1,343.9525098289781,182.48906616654023,2
0.3,14.3,19.5,5.2,345.3092562396635,186.20758597826244,2
3.0,14.2,19.2,5.0,344.82226709913925,185.92780268451443,2
30.0,44.7,52.0,7.3,247.18062799293557,89.0945606623793,2
0.0,14.9,19.9,5.0,343.97737825391476,183.0053450307657,3
0.03,16.8,22.1,5.3,341.5207483853067,175.12610724742373,3
0.3,16.1,21.2,5.1,342.4946292154433,186.83024950645301,3
3.0,17.2,22.5,5.3,341.0428222790107,173.08912353713396,3
30.0,39.7,47.3,7.6,256.8823830937351,87.62084295952512,3
0.0,14.2,19.4,5.2,345.06038819255684,182.29389865555783,4
0.03,14.3,19.4,5.1,344.654562670501,184.89840090559264,4
0.3,16.2,21.4,5.2,342.3593595393067,180.40446836992447,4
3.0,12.9,18.2,5.3,346.99443028646954,183.65997421272004,4
30.0,39.5,46.9,7.4,255.27299959358183,91.02421691758688,4
0.0,13.6,18.7,5.1,345.83638718071876,184.2865884393396,5
0.03,14.7,19.9,5.2,344.5884553108743,183.4571417435704,5
0.3,16.2,21.4,5.2,342.3450257458387,182.24000299377101,5
3.0,14.7,20.0,5.3,344.53305147396566,176.0128160207548,5
30.0,52.2,59.3,7.1,241.25522534988573,92.30441346755612,5
0.0,15.6,20.9,5.3,343.47870633313295,176.25877165062005,6
0.03,14.9,20.1,5.2,343.93320860055877,174.94453398717283,6
0.3,17.5,23.0,5.5,340.9043117446973,168.74566639910836,6
3.0,15.1,20.1,5.0,343.46555048944316,185.6635377102915,6
30.0,48.9,56.8,7.9,247.76591192522204,81.74588015615765,6
0.0,15.4,20.7,5.3,343.7250289288087,181.55235632245936,7
0.03,14.9,20.4,5.5,344.67376747737427,173.9651144819697,7
0.3,15.7,21.0,5.3,343.3474511472894,178.83365122075958,7
3.0,16.1,21.5,5.4,342.35679120775535,167.98256049315202,7
30.0,Inf,Inf,NaN,Inf,Inf,7
0.0,14.9,19.9,5.0,343.5185391617505,178.34757137190877,8
0.03,15.7,20.9,5.2,342.9080403644727,175.3348412558841,8
0.3,17.1,22.6,5.5,341.92903291728305,173.47836291666832,8
3.0,15.2,20.4,5.2,343.6121117071077,178.51976900662663,8
30.0,Inf,Inf,NaN,Inf,Inf,8
0.0,13.0,18.1,5.1,346.4985033666942,179.0790772062307,9
0.03,15.1,20.2,5.1,344.0448644593426,187.7219879752168,9
0.3,14.4,19.5,5.1,345.0011229295694,187.79652138624863,9
3.0,15.1,20.4,5.3,343.99885055596496,180.88310552662102,9
30.0,43.3,50.7,7.4,252.60902571296387,90.50438431430885,9
0.0,13.6,19.0,5.4,346.37511447917774,180.21841310887356,10
0.03,14.1,19.1,5.0,345.0248133713354,187.09705690788778,10
0.3,16.5,21.9,5.4,342.23092813196723,174.3537737913535,10
3.0,13.8,19.0,5.2,345.6174100525024,178.3956449162111,10
30.0,55.6,63.4,7.8,236.3690420663345,79.18267814246798,10
0.0,17.7,23.2,5.5,341.2348907264109,175.9655499590141,11
0.03,16.5,21.6,5.1,342.1016483159832,187.79092327822065,11
0.3,15.0,20.2,5.2,343.98641336971224,180.53785976267798,11
3.0,16.1,21.7,5.6,343.31118802535514,171.51763519665744,11
30.0,48.6,55.9,7.3,240.3646191257772,85.81772758991485,11
0.0,15.1,20.2,5.1,344.0362916479652,185.08234543393786,12
0.03,15.8,21.0,5.2,342.917879184845,179.86191299930704,12
0.3,15.9,21.3,5.4,343.4486716763306,179.93815208659834,12
3.0,17.4,22.7,5.3,341.1477661502096,178.7501014340537,12
30.0,Inf,Inf,NaN,Inf,Inf,12
0.0,15.8,20.9,5.1,342.7668127638746,177.7157112798845,13
0.03,16.0,21.3,5.3,343.23678496186636,184.18593769640842,13
0.3,15.5,20.6,5.1,343.15186782803374,175.981769633162,13
3.0,15.5,20.8,5.3,343.538691772511,174.7640466314753,13
30.0,42.7,50.1,7.4,253.28337016089412,89.96970550425702,13
0.0,15.3,20.5,5.2,343.723591984132,180.8812999369861,14
0.03,14.9,20.1,5.2,344.6585222143874,191.96283668524427,14
0.3,15.5,20.6,5.1,343.3127072169844,184.22624769072553,14
3.0,14.7,19.8,5.1,344.52139021960045,182.42633966733237,14
30.0,45.5,52.8,7.3,249.2555427519989,90.24382866202242,14
0.0,16.7,22.0,5.3,342.40362505905534,185.126297236743,15
0.03,15.4,20.5,5.1,343.62566445786877,181.55324120536562,15
0.3,14.9,20.3,5.4,344.5135891292258,175.77800823601575,15
3.0,15.4,20.7,5.3,343.9743257896579,181.09393771583888,15
30.0,45.4,52.9,7.5,249.36870927760555,87.27929729128189,15
0.0,15.2,20.4,5.2,343.65045993404766,175.15013525782248,16
0.03,18.4,23.8,5.4,339.7714801722725,170.80849235925206,16
0.3,15.0,20.2,5.2,344.33302946418706,183.22126814270052,16
3.0,16.4,21.6,5.2,342.2978017125728,182.9292581078993,16
30.0,42.6,50.1,7.5,251.84610926835353,87.78747349798314,16
0.0,15.7,21.0,5.3,343.06528894329745,177.3134897998242,17
0.03,13.0,18.3,5.3,346.8959774183638,179.33407310637762,17
0.3,15.6,21.3,5.7,344.00724193301227,165.74667977363566,17
3.0,13.0,18.1,5.1,346.61166004652716,178.2082180269195,17
30.0,55.8,63.5,7.7,237.95035959754713,80.56240182511533,17
0.0,15.5,20.6,5.1,343.62064885877845,186.02937893123308,18
0.03,14.1,19.3,5.2,345.5651176990087,185.35493026244552,18
0.3,15.3,20.6,5.3,343.6352501956916,176.4618995910959,18
3.0,16.3,21.6,5.3,342.81961377143654,179.37276802881829,18
30.0,Inf,Inf,NaN,Inf,Inf,18
0.0,16.3,21.4,5.1,342.15131314704666,185.13155913244063,19
0.03,13.4,18.5,5.1,345.98192991269275,181.00398032261396,19
0.3,16.0,21.1,5.1,343.1268610861263,183.39355421623924,19
3.0,14.6,19.7,5.1,344.64169259398085,186.30829502232658,19
30.0,43.9,50.8,6.9,252.6480531714106,99.72954798493376,19
0.0,15.5,20.8,5.3,343.4556701767517,177.67612957043315,20
0.03,15.0,20.4,5.4,344.12781336206695,173.74062141722882,20
0.3,14.5,19.8,5.3,344.79408441321476,177.77183602071423,20
3.0,16.1,21.2,5.1,342.6967081075487,181.76140825391366,20
30.0,41.8,49.5,7.7,256.5762708470007,87.4609026002167,20
0.0,15.0,20.1,5.1,343.66274948387115,178.64368745275186,21
0.03,16.4,21.8,5.4,342.1964194198788,169.5787805978611,21
0.3,15.8,21.2,5.4,343.16403428818455,176.99061877743313,21
3.0,15.5,20.8,5.3,343.5513287376183,176.27551394168364,21
30.0,36.5,44.0,7.5,260.03763232136066,89.66745673201063,21
0.0,15.0,20.2,5.2,344.0252699101617,181.0988978246249,22
0.03,14.0,19.2,5.2,345.5893742645293,183.6821862787339,22
0.3,16.3,21.6,5.3,342.9715223247262,181.6112301956298,22
3.0,16.4,21.6,5.2,342.2282279316625,183.6145335599096,22
30.0,48.9,56.4,7.5,244.5225558152037,85.54933643159079,22
0.0,16.5,21.8,5.3,342.06696326145016,177.05352984398792,23
0.03,16.1,21.5,5.4,342.916400375028,173.86908564017236,23
0.3,17.0,22.2,5.2,341.29504329777353,174.73728082257,23
3.0,14.0,19.2,5.2,345.6476059954999,180.68756003330697,23
30.0,35.6,43.1,7.5,266.0619066072478,92.07132493202809,23
0.0,14.0,19.2,5.2,345.6495465882079,183.76769801481424,24
0.03,13.7,19.0,5.3,346.0019239761019,185.13305698069877,24
0.3,16.5,21.6,5.1,341.8674161937905,179.86670985979964,24
3.0,13.7,19.0,5.3,345.85291542074503,182.19621442235118,24
30.0,47.7,55.2,7.5,245.3898309814815,87.01655203770541,24
0.0,15.4,20.8,5.4,343.7347157044628,172.6641321652296,25
0.03,15.9,21.2,5.3,343.09412664923707,181.39937118042516,25
0.3,16.1,21.7,5.6,343.0276663394288,170.42377722766054,25
3.0,15.3,20.6,5.3,344.0699995552651,181.54682293790734,25
30.0,52.8,60.1,7.3,237.05894040698269,85.38816049235109,25
0.0,14.2,19.4,5.2,344.92874497521314,176.5567370713431,26
0.03,15.2,20.3,5.1,343.79031867968416,180.9118989536887,26
0.3,15.9,21.2,5.3,343.23262175071284,175.6242524021981,26
3.0,14.4,19.6,5.2,344.86196722575846,176.97745305781055,26
30.0,51.0,58.6,7.6,243.74400673025212,84.1269524914809,26
0.0,13.2,18.4,5.2,346.38526607079905,187.96625670420502,27
0.03,14.2,19.5,5.3,345.33317519256104,181.140005838783,27
0.3,14.8,20.0,5.2,344.31054952992827,180.39984047779015,27
3.0,14.1,19.5,5.4,345.2857464858063,168.3885691154074,27
30.0,50.0,57.7,7.7,243.79880888989524,82.88303118691115,27
