t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,165.61569301926667,10,1
1.0,0.0,175.39843224336568,10,1
2.0,0.0,185.41996837153368,10,1
3.0,0.0,195.67726621684827,10,1
4.0,0.0,206.16718125883432,10,1
5.0,0.0,216.886469372126,10,1
6.0,0.0,227.83179257227783,10,1
7.0,0.0,238.99972584394783,10,1
8.0,0.0,250.38676681689148,10,1
9.0,0.0,261.9893404027847,10,1
10.0,0.0,273.8038046779837,10,1
11.0,0.0,285.8264560778587,10,1
12.0,0.0,290.82396219635604,9,1
13.0,0.0,297.1279107018375,8,1
14.0,0.0,309.207645724616,8,1
15.0,0.0,317.2067914951948,7,1
16.0,0.0,311.5013304343871,4,1
17.0,0.0,323.27320032157087,4,1
18.0,0.0,325.17578645958054,2,1
19.0,0.0,327.9736484211099,1,1
0.0,0.03,179.504112590229,10,1
1.0,0.03,190.11034527726855,10,1
2.0,0.03,200.97561308897997,10,1
3.0,0.03,212.09662592634209,10,1
4.0,0.03,223.46997575214354,10,1
5.0,0.03,235.09214510528759,10,1
6.0,0.03,246.95951526738182,10,1
7.0,0.03,259.0683740960218,10,1
8.0,0.03,271.4149235342296,10,1
9.0,0.03,283.99528681582194,10,1
10.0,0.03,289.5465533306082,9,1
11.0,0.03,295.41935970573405,8,1
12.0,0.03,308.058183012783,8,1
13.0,0.03,309.1655668641772,6,1
14.0,0.03,306.50097971751546,4,1
15.0,0.03,318.65752214898345,4,1
16.0,0.03,267.60571997370516,1,1
17.0,0.03,277.712845009032,1,1
18.0,0.03,287.9584069442549,1,1
19.0,0.03,298.33934820469614,1,1
20.0,0.03,308.85259844070004,1,1
21.0,0.03,319.4950796796077,1,1
22.0,0.03,330.26370742484335,1,1
0.0,0.3,166.39722597413058,10,1
1.0,0.3,176.22632240459103,10,1
2.0,0.3,186.29535501966538,10,1
3.0,0.3,196.6012740995323,10,1
4.0,0.3,207.1409207876781,10,1
5.0,0.3,217.91103497237538,10,1
6.0,0.3,228.90826284791078,10,1
7.0,0.3,240.12916416495236,10,1
8.0,0.3,251.57021918379914,10,1
9.0,0.3,263.2278353354201,10,1
10.0,0.3,275.0983535999879,10,1
11.0,0.3,287.1780546254273,10,1
12.0,0.3,285.3238566156705,8,1
13.0,0.3,297.21903441016286,8,1
14.0,0.3,309.3025038827721,8,1
15.0,0.3,303.30792981762426,5,1
16.0,0.3,315.0474175736288,5,1
17.0,0.3,311.8249494587446,3,1
18.0,0.3,276.7789134923394,1,1
19.0,0.3,286.7551806069788,1,1
20.0,0.3,296.858552819222,1,1
21.0,0.3,307.0860720949207,1,1
22.0,0.3,317.43477425519575,1,1
23.0,0.3,327.90169119296115,1,1
0.0,3.0,173.19155314243636,10,1
1.0,3.0,183.42347026967818,10,1
2.0,3.0,193.90522324280113,10,1
3.0,3.0,204.63363774199829,10,1
4.0,3.0,215.60542574881865,10,1
5.0,3.0,226.81719375536795,10,1
6.0,3.0,238.26545064007118,10,1
7.0,3.0,249.94661521957696,10,1
8.0,3.0,261.857023490501,10,1
9.0,3.0,273.99293556680885,10,1
10.0,3.0,286.35054232816583,10,1
