C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.3,21.5,5.2,342.6668594125517,183.81783994260505,1
0.03,14.6,19.7,5.1,344.8171859514307,184.70167405222028,1
0.3,16.3,21.7,5.4,342.5727258166693,173.8889373449731,1
3.0,15.2,20.4,5.2,343.86161159820784,183.89513620236136,1
30.0,Inf,Inf,NaN,Inf,Inf,1
0.0,13.8,18.9,5.1,345.7360885959871,187.69193795388395,2
0.03,13.9,19.0,5.1,345.8691510773011,186.49483789150582,2
0.3,15.8,21.1,5.3,343.08467302698415,179.4414017725139,2
3.0,18.2,23.4,5.2,339.82970763463965,178.1399485488186,2
30.0,34.1,41.3,7.2,268.60638595272883,97.45021248682082,2
0.0,14.4,19.8,5.4,345.14389205233886,178.89748847763917,3
0.03,16.2,21.6,5.4,342.4728249714745,172.68809285814444,3
0.3,14.6,20.0,5.4,344.8746324155608,175.49103395585206,3
3.0,14.4,19.7,5.3,344.7039656468195,173.45106220954744,3
30.0,35.7,42.7,7.0,274.4998730689257,104.85449543567263,3
0.0,15.4,20.6,5.2,343.4497285560912,181.7607527227061,4
0.03,14.4,19.6,5.2,344.88441229679995,180.82557626614982,4
0.3,16.1,21.5,5.4,342.37458184514435,173.6489722234547,4
3.0,14.7,20.3,5.6,339.0511877719998,164.03213599116378,4
30.0,49.6,56.9,7.3,246.81205884550573,89.72166810613535,4
0.0,16.9,22.3,5.4,341.7690767055507,173.0359585298392,5
0.03,17.8,23.0,5.2,340.3770112214114,177.694497840643,5
0.3,16.0,21.1,5.1,342.930253441271,187.3437464825626,5
3.0,14.2,19.2,5.0,344.8876985855894,183.40543314953075,5
30.0,Inf,Inf,NaN,Inf,Inf,5
0.0,15.4,20.6,5.2,343.42154501796534,175.24164887298684,6
0.03,13.0,18.2,5.2,346.4994553477451,180.73599868264472,6
0.3,15.4,20.8,5.4,343.8325271611342,173.4462714727236,6
3.0,15.5,21.0,5.5,342.91983164970463,164.30809240468625,6
30.0,39.6,46.7,7.1,266.60929360192324,98.74344270611012,6
0.0,16.8,21.9,5.1,341.5264414111307,182.7091722452647,7
0.03,18.0,23.6,5.6,340.6611117971177,166.9955217999572,7
0.3,15.8,21.1,5.3,341.42355628420484,172.265253882501,7
3.0,19.7,25.1,5.4,329.4532205695342,165.4198032447502,7
30.0,44.8,52.0,7.2,260.2631657791452,97.08015384361656,7
0.0,14.8,20.2,5.4,344.5972044810078,176.24439729641796,8
0.03,14.8,20.1,5.3,343.7699053899374,169.28166812356383,8
0.3,16.0,21.1,5.1,341.94831355207543,180.19302150520147,8
3.0,15.9,21.3,5.4,338.6293056369924,171.95834881352738,8
30.0,38.8,45.8,7.0,270.86458725646145,100.50831490882662,8
0.0,15.9,21.1,5.2,343.0654690693674,179.35418791487123,9
0.03,14.7,20.0,5.3,344.4222268553975,176.8290492642281,9
0.3,16.5,21.8,5.3,340.92415754763573,174.73873162482863,9
3.0,18.2,23.9,5.7,331.73810475512425,154.305667610559,9
30.0,35.3,42.4,7.1,272.82030268883227,98.4897260998464,9
0.0,15.5,20.8,5.3,343.47790466877797,176.084107070813,10
0.03,14.9,20.3,5.4,344.0693325121376,177.5607344477025,10
0.3,18.5,23.9,5.4,337.04727663158235,170.83869911450572,10
3.0,18.5,23.9,5.4,327.9233342009795,165.0469001856171,10
30.0,36.9,43.7,6.8,270.3439310638047,104.46384268991388,10
0.0,13.1,18.2,5.1,346.6094082665601,185.81686267866203,11
0.03,14.7,19.9,5.2,344.49639263253783,179.0053480481127,11
0.3,16.9,22.3,5.4,341.8136350181154,173.9440174731586,11
3.0,15.2,20.4,5.2,343.20300053773536,178.32530321548913,11
30.0,30.0,36.9,6.9,281.2108199310371,106.07409427705814,11
0.0,14.8,20.1,5.3,344.8029580411415,180.85133366057053,12
0.03,13.7,18.9,5.2,345.88525305060114,182.38363340694295,12
0.3,16.2,21.4,5.2,342.77039869332117,185.3329746172768,12
3.0,15.2,20.4,5.2,343.85430468095956,180.883500086114,12
30.0,Inf,Inf,NaN,Inf,Inf,12
0.0,14.8,19.8,5.0,344.0859679599424,188.41696914692344,13
0.03,17.7,22.9,5.2,341.06825158565346,184.9116038003911,13
0.3,14.4,19.6,5.2,344.6262744739314,178.22134097182567,13
3.0,16.2,21.5,5.3,342.55110983689536,178.33880487853222,13
30.0,27.8,34.9,7.1,286.0616873844005,107.7822140118654,13
0.0,16.0,21.5,5.5,343.28093352191325,171.52040367497415,14
0.03,14.1,19.1,5.0,345.1571674576934,193.02383233638022,14
0.3,16.6,21.9,5.3,342.31995715910796,181.02818526117989,14
3.0,14.4,19.7,5.3,345.05904788043085,182.43729996107263,14
30.0,Inf,Inf,NaN,Inf,Inf,14
0.0,13.5,18.7,5.2,346.3354265966947,190.31876758968903,15
0.03,13.4,18.6,5.2,346.2184425988559,180.84226168442802,15
0.3,16.0,21.3,5.3,343.0416504559409,180.32642504876452,15
3.0,16.2,21.5,5.3,341.7756313164007,176.40785262614014,15
30.0,28.0,34.4,6.4,290.94224928438643,121.1766431863274,15
0.0,13.0,18.2,5.2,346.4661102698848,177.87340911078212,16
0.03,13.7,18.9,5.2,346.143268858858,191.39551130748399,16
0.3,16.9,22.3,5.4,341.51046637026604,172.13540441950235,16
3.0,15.9,21.2,5.3,342.7865411303172,174.8046325102219,16
30.0,Inf,Inf,NaN,Inf,Inf,16
0.0,14.5,19.7,5.2,344.5401830105783,181.51863439482386,17
0.03,15.2,20.4,5.2,343.518623869754,175.99309108568588,17
0.3,17.1,22.4,5.3,341.47956000868277,175.76122387488343,17
3.0,18.5,23.8,5.3,340.10510494455787,181.02606760841678,17
30.0,Inf,Inf,NaN,Inf,Inf,17
0.0,17.0,22.4,5.4,342.0103115908968,175.22332331998004,18
0.03,15.1,20.4,5.3,343.832336648734,177.26539069452912,18
0.3,16.9,22.3,5.4,340.5498704610386,173.81365000814657,18
3.0,16.5,21.9,5.4,333.923760452138,168.08331981352097,18
30.0,32.4,39.5,7.1,277.0993605390791,100.32453801142034,18
0.0,15.6,21.0,5.4,343.3326890050718,172.52122517073914,19
0.03,16.9,22.1,5.2,341.7669694718368,181.10054761319347,19
0.3,17.9,23.2,5.3,340.6325844056252,179.81887527819424,19
3.0,14.9,20.1,5.2,343.6469520754274,172.211729851182,19
30.0,Inf,Inf,NaN,Inf,Inf,19
0.0,14.5,19.7,5.2,344.9514791616829,184.90165291941904,20
0.03,15.2,20.5,5.3,343.6241136433311,173.31566227228774,20
0.3,15.7,20.9,5.2,342.41595197759796,180.9909879231861,20
3.0,17.6,23.2,5.6,332.60986962999806,160.37181983930847,20
