t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,165.45860727879614,10,1
1.0,0.0,175.23207168316605,10,1
2.0,0.0,185.24410462794103,10,1
3.0,0.0,195.4916737955908,10,1
4.0,0.0,205.97163764118977,10,1
5.0,0.0,216.68075511138665,10,1
6.0,0.0,227.61569138526042,10,1
7.0,0.0,238.77302469574676,10,1
8.0,0.0,250.14925599540956,10,1
9.0,0.0,261.7408135687865,10,1
10.0,0.0,273.54405887301317,10,1
11.0,0.0,277.21601304317653,9,1
12.0,0.0,281.48688176250937,8,1
13.0,0.0,285.003308209774,7,1
14.0,0.0,296.58845564539445,7,1
15.0,0.0,290.16139692239597,5,1
16.0,0.0,288.24751891907744,4,1
17.0,0.0,299.1374986201811,4,1
18.0,0.0,299.22394149503424,3,1
19.0,0.0,310.01267925844326,3,1
20.0,0.0,320.93897070482194,3,1
21.0,0.0,302.9572008903281,1,1
22.0,0.0,313.1662504097403,1,1
23.0,0.0,323.49190614130976,1,1
24.0,0.0,333.9312394397838,1,1
0.0,0.03,168.15685458508975,10,1
1.0,0.03,178.09028344351955,10,1
2.0,0.03,188.26621270760398,10,1
3.0,0.03,198.6815603862226,10,1
4.0,0.03,209.33313417044678,10,1
5.0,0.03,220.21763939828878,10,1
6.0,0.03,231.3316866989122,10,1
7.0,0.03,242.67179931971117,10,1
8.0,0.03,254.2344201543906,10,1
9.0,0.03,266.015918483661,10,1
10.0,0.03,268.9239281400472,9,1
11.0,0.03,280.731588545054,9,1
12.0,0.03,285.55159946166845,8,1
13.0,0.03,297.45630279598015,8,1
14.0,0.03,303.29136748500594,7,1
15.0,0.03,308.647470882356,6,1
16.0,0.03,320.5943556341312,6,1
17.0,0.03,323.7805501840345,4,1
18.0,0.03,323.4807854383753,2,1
19.0,0.03,335.1475424336804,2,1
0.0,0.3,175.56602879268164,10,1
1.0,0.3,185.93875900053646,10,1
2.0,0.3,196.5647864758093,10,1
3.0,0.3,207.44089334711816,10,1
4.0,0.3,218.56374644862882,10,1
5.0,0.3,229.92990564429869,10,1
6.0,0.3,241.53583181270315,10,1
7.0,0.3,253.37789450510178,10,1
8.0,0.3,265.452379288167,10,1
9.0,0.3,277.7554947785161,10,1
10.0,0.3,290.2833793798779,10,1
11.0,0.3,303.03210774628917,10,1
12.0,0.3,305.83980851245343,8,1
13.0,0.3,305.7877351022275,6,1
14.0,0.3,301.6609457289293,4,1
15.0,0.3,313.62487184821833,4,1
16.0,0.3,319.1293164068565,3,1
17.0,0.3,294.17182449679785,1,1
18.0,0.3,305.02712976619944,1,1
19.0,0.3,316.0259434130676,1,1
20.0,0.3,327.1650127106917,1,1
0.0,3.0,161.33418131530274,10,1
1.0,3.0,170.8631020717134,10,1
2.0,3.0,180.62458154595637,10,1
3.0,3.0,190.61566286702381,10,1
4.0,3.0,200.83328342706537,10,1
5.0,3.0,211.27428251864376,10,1
6.0,3.0,221.93540866189397,10,1
7.0,3.0,232.8133266298089,10,1
8.0,3.0,243.90462418613365,10,1
9.0,3.0,255.2058185400324,10,1
10.0,3.0,266.713362530886,10,1
11.0,3.0,278.42365055239765,10,1
12.0,3.0,275.3034458848525,8,1
13.0,3.0,277.3657654401796,7,1
14.0,3.0,288.6393378626047,7,1
15.0,3.0,300.0850250326354,7,1
16.0,3.0,295.6333945849734,5,1
17.0,3.0,294.80384138496345,4,1
18.0,3.0,305.6825315169066,4,1
19.0,3.0,308.5107049798883,3,1
20.0,3.0,306.9553809640132,2,1
21.0,3.0,317.53223178842535,2,1
22.0,3.0,328.23444381754337,2,1
0.0,30.0,173.2196856285244,10,1
1.0,30.0,176.6742214052298,10,1
2.0,30.0,176.6742214052307,10,1
3.0,30.0,176.67422140523158,10,1
4.0,30.0,176.6742214052324,10,1
5.0,30.0,176.67422140523317,10,1
6.0,30.0,176.67422140523394,10,1
7.0,30.0,176.67422140523465,10,1
8.0,30.0,176.67422140523533,10,1
9.0,30.0,176.67422140523598,10,1
10.0,30.0,176.67532229624678,10,1
11.0,30.0,170.61591796015315,9,1
12.0,30.0,170.6159179601538,9,1
13.0,30.0,165.75693422397137,8,1
14.0,30.0,165.75693422397205,8,1
15.0,30.0,165.75693422397268,8,1
16.0,30.0,161.91297560941675,7,1
17.0,30.0,157.77480231779347,6,1
