C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.7,21.9,5.2,341.6805961747272,179.8324492060886,1
0.03,16.1,21.4,5.3,342.5000793828279,175.8043059298496,1
0.3,14.9,20.2,5.3,344.5135264447379,180.13866537759435,1
3.0,17.1,22.6,5.5,341.8031994841358,174.04685041902286,1
30.0,21.3,36.8,15.5,167.70575967063107,22.370983214508016,1
0.0,16.6,22.0,5.4,341.98577541072063,174.71371907682823,2
0.03,14.0,19.1,5.1,345.35840969048326,183.87200871036947,2
0.3,14.6,19.8,5.2,344.246569551779,173.7825295916394,2
3.0,16.7,22.1,5.4,342.50004042751834,180.28553182681992,2
30.0,19.1,34.2,15.1,175.14295489415764,24.685840202815086,2
0.0,15.1,20.2,5.1,343.51899205436786,177.94308384753793,3
0.03,15.5,20.8,5.3,343.46951240244545,176.50770961372035,3
0.3,14.1,19.4,5.3,345.68279750986756,182.76706104384897,3
3.0,13.0,18.0,5.0,346.3914627650262,184.44171769887345,3
30.0,18.7,33.9,15.2,175.42033705449165,24.286324158472446,3
0.0,18.8,24.0,5.2,338.84896873898026,175.66607356432476,4
0.03,13.8,19.3,5.5,346.0421813556913,174.51730777339728,4
0.3,17.2,22.6,5.4,341.1568028795891,168.4712177064859,4
3.0,15.4,20.6,5.2,343.3818553888402,174.52762000130627,4
30.0,18.3,33.5,15.2,178.65639926016064,24.346418205861465,4
0.0,15.6,20.8,5.2,343.2460082387987,181.62311869146805,5
0.03,17.4,23.0,5.6,341.56861627430663,168.2525107568252,5
0.3,16.1,21.4,5.3,342.74771959831975,178.1069791866333,5
3.0,15.4,20.8,5.4,344.20181937503605,180.77948514929298,5
30.0,18.0,33.1,15.1,177.1818289758002,24.917467066770957,5
0.0,16.7,21.9,5.2,341.5684966736447,174.11499101334795,6
0.03,15.1,20.5,5.4,344.2926670937663,176.10856781997708,6
0.3,14.8,20.0,5.2,344.15713182093845,176.12531835063706,6
3.0,16.1,21.3,5.2,343.0388270930299,182.81190516936562,6
30.0,25.9,41.5,15.6,153.4888021462091,21.996633132924952,6
0.0,15.5,20.7,5.2,343.5243790067816,179.8527015837554,7
0.03,15.0,20.0,5.0,343.8477184166171,188.196777203187,7
0.3,14.7,20.1,5.4,344.75591411605717,174.38470811408,7
3.0,16.1,21.4,5.3,342.50107347416514,173.56625645643885,7
30.0,19.2,34.2,15.0,173.67154535574514,25.066882285426704,7
