t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,169.89389628396395,10,1
1.0,0.0,179.93034957646532,10,1
2.0,0.0,190.21183472054892,10,1
3.0,0.0,200.73523805809145,10,1
4.0,0.0,211.49733370695103,10,1
5.0,0.0,222.49479354208557,10,1
6.0,0.0,233.72419309398651,10,1
7.0,0.0,245.1820185586376,10,1
8.0,0.0,256.8646767317562,10,1
9.0,0.0,268.7684996886882,10,1
10.0,0.0,272.02732926687924,9,1
11.0,0.0,283.97173631427614,9,1
12.0,0.0,289.12697410994053,8,1
13.0,0.0,282.13677341077283,6,1
14.0,0.0,280.4811433135038,5,1
15.0,0.0,291.60216230602174,5,1
16.0,0.0,302.88697750486625,5,1
17.0,0.0,314.3321639057689,5,1
18.0,0.0,294.4393289435096,2,1
19.0,0.0,268.0060776540551,1,1
20.0,0.0,277.4461510781187,1,1
21.0,0.0,287.00214571489346,1,1
22.0,0.0,296.6712932225238,1,1
23.0,0.0,306.4508212000672,1,1
24.0,0.0,316.3379563037217,1,1
25.0,0.0,326.32992652498814,1,1
0.0,0.03,167.70899116290013,10,1
1.0,0.03,177.6118963352846,10,1
2.0,0.03,187.75105824263454,10,1
3.0,0.03,198.12611652988022,10,1
4.0,0.03,208.73517809212223,10,1
5.0,0.03,219.57552781630665,10,1
6.0,0.03,230.64403775592388,10,1
7.0,0.03,241.93735616308814,10,1
8.0,0.03,253.45199313139756,10,1
9.0,0.03,265.18436075981464,10,1
10.0,0.03,277.13079379298426,10,1
11.0,0.03,271.6928126745127,8,1
12.0,0.03,283.3016835156211,8,1
13.0,0.03,295.10081565421575,8,1
14.0,0.03,307.08656529667985,8,1
15.0,0.03,314.4638314177941,7,1
16.0,0.03,318.06103955190713,5,1
17.0,0.03,330.07128771134865,5,1
18.0,0.03,330.63577919112606,1,1
0.0,0.3,173.5722809460486,10,1
1.0,0.3,183.77238422663504,10,1
2.0,0.3,194.14673128598216,10,1
3.0,0.3,204.72944793343706,10,1
4.0,0.3,215.53472133329424,10,1
5.0,0.3,226.56682925925801,10,1
6.0,0.3,237.82565929596186,10,1
7.0,0.3,249.3091723460941,10,1
8.0,0.3,261.01446751149274,10,1
9.0,0.3,272.93823975656994,10,1
10.0,0.3,285.07697781135187,10,1
11.0,0.3,297.42705145233,10,1
12.0,0.3,304.6676192028416,9,1
13.0,0.3,312.2726380531685,8,1
14.0,0.3,281.15291503686814,3,1
15.0,0.3,292.1658108710996,3,1
16.0,0.3,303.3394553457736,3,1
17.0,0.3,314.6705676678287,3,1
18.0,0.3,287.83623400138913,1,1
19.0,0.3,298.10038453697445,1,1
20.0,0.3,308.49452334965736,1,1
21.0,0.3,319.01570244477506,1,1
22.0,0.3,329.6609665300871,1,1
0.0,3.0,182.42431039736826,10,1
1.0,3.0,192.49842286943633,10,1
2.0,3.0,201.95246123678294,10,1
3.0,3.0,211.2611532916378,10,1
4.0,3.0,220.60966873048665,10,1
5.0,3.0,230.07143743561886,10,1
6.0,3.0,239.67566566907036,10,1
7.0,3.0,249.4334098115292,10,1
8.0,3.0,259.3481372467148,10,1
9.0,3.0,269.4201124512668,10,1
10.0,3.0,272.5836135097518,9,1
11.0,3.0,268.57016262457086,7,1
12.0,3.0,269.1486130483243,6,1
13.0,3.0,269.30318404922815,5,1
14.0,3.0,278.67235038607856,5,1
15.0,3.0,278.4890842231835,4,1
16.0,3.0,287.78448924974185,4,1
17.0,3.0,290.4075603436435,3,1
18.0,3.0,288.9055962444055,2,1
19.0,3.0,276.47847377826423,1,1
20.0,3.0,285.0005793743185,1,1
21.0,3.0,293.61911064618425,1,1
22.0,3.0,302.3323741096277,1,1
0.0,30.0,178.99469983205364,10,1
1.0,30.0,184.86397277325338,10,1
2.0,30.0,188.20618042422606,10,1
3.0,30.0,191.05975074522985,10,1
4.0,30.0,193.7608720742889,10,1
5.0,30.0,196.4128575387925,10,1
6.0,30.0,199.053921196527,10,1
7.0,30.0,201.6992051242972,10,1
8.0,30.0,204.3548596131781,10,1
9.0,30.0,207.02339642134604,10,1
10.0,30.0,209.70582927189525,10,1
11.0,30.0,207.03619310812732,9,1
12.0,30.0,209.6786125517441,9,1
13.0,30.0,212.33511576125335,9,1
14.0,30.0,206.91018991204328,7,1
15.0,30.0,204.47127856495396,6,1
16.0,30.0,201.90714973176594,5,1
17.0,30.0,204.39144420267633,5,1
18.0,30.0,206.88845603164515,5,1
19.0,30.0,195.84031946121524,2,1
20.0,30.0,198.19873084013562,2,1
21.0,30.0,200.56890082934183,2,1
22.0,30.0,198.27058774832045,1,1
23.0,30.0,200.6087373830245,1,1
0.0,0.0,166.43484896447785,10,2
1.0,0.0,176.2661653010527,10,2
2.0,0.0,186.33747231974863,10,2
3.0,0.0,196.64571980924728,10,2
4.0,0.0,207.18774767119643,10,2
5.0,0.0,217.96029569731462,10,2
6.0,0.0,228.9600093443832,10,2
7.0,0.0,240.18344659717476,10,2
8.0,0.0,251.62708769377096,10,2
9.0,0.0,263.287339783674,10,2
10.0,0.0,275.1605428398334,10,2
11.0,0.0,287.24297488058403,10,2
12.0,0.0,293.64492784283726,9,2
13.0,0.0,299.4815661005125,8,2
14.0,0.0,311.6573348317809,8,2
15.0,0.0,306.64108906272185,5,2
16.0,0.0,297.1641312397931,3,2
17.0,0.0,308.3922667047777,3,2
18.0,0.0,319.7743291042578,3,2
19.0,0.0,298.04699029282057,1,2
20.0,0.0,308.5499154120807,1,2
21.0,0.0,319.1819428823144,1,2
22.0,0.0,329.93999171915567,1,2
0.0,0.03,184.5087061395069,10,2
1.0,0.03,195.41167171322846,10,2
2.0,0.03,206.58096552392354,10,2
3.0,0.03,218.01320570040548,10,2
4.0,0.03,229.70488912780394,10,2
5.0,0.03,241.65240012375367,10,2
6.0,0.03,253.852018838549,10,2
7.0,0.03,266.29992932082666,10,2
8.0,0.03,278.9922272473672,10,2
9.0,0.03,291.9249273338751,10,2
10.0,0.03,305.09397038755475,10,2
11.0,0.03,302.6919490282083,7,2
12.0,0.03,308.4178352090989,6,2
13.0,0.03,321.27913937870443,6,2
14.0,0.03,317.82225533554305,3,2
15.0,0.03,316.2482214496621,2,2
16.0,0.03,305.31816330587947,1,2
17.0,0.03,316.8555417893993,1,2
18.0,0.03,328.5511202214722,1,2
0.0,0.3,167.78049848297792,10,2
