C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.1,21.4,5.3,343.0297993823337,177.3433702152231,1
0.03,16.0,21.5,5.5,343.0950297666794,172.13579947974875,1
0.3,15.4,20.6,5.2,340.8124403062172,177.10381958325746,1
3.0,14.9,20.5,5.6,314.8773304939875,149.94553425269865,1
30.0,17.3,26.6,9.3,219.33438797257355,59.212298028518845,1
0.0,16.3,21.6,5.3,342.52492558326674,176.26776361648174,2
0.03,13.7,18.9,5.2,345.9609425392508,184.8719262722289,2
0.3,16.1,21.5,5.4,342.8476142594792,174.35456398238492,2
3.0,15.0,20.6,5.6,340.32794395439805,169.0563743122082,2
30.0,21.3,35.1,13.8,176.97989216048748,27.206762286798046,2
0.0,17.6,23.0,5.4,340.1745758653479,169.32375795485586,3
0.03,14.1,19.2,5.1,345.07289131189606,182.3111795463242,3
0.3,16.9,22.2,5.3,341.69969781435947,175.83333817122087,3
3.0,15.2,20.6,5.4,343.88834531079215,172.6491833244708,3
30.0,18.2,33.5,15.3,183.4708566413744,25.318100943687764,3
0.0,15.1,20.4,5.3,344.24161017384506,179.22616557526402,4
0.03,15.5,20.5,5.0,343.31139595559193,189.85822196505373,4
0.3,15.4,20.6,5.2,343.5356530737045,178.0632168456335,4
3.0,16.4,21.7,5.3,342.1990151743906,172.63505511136287,4
30.0,19.9,35.2,15.3,174.36161772589307,24.063776781786693,4
0.0,13.2,18.4,5.2,346.68175041096686,186.21114682373408,5
0.03,16.1,21.3,5.2,342.83103776387225,187.36927193592481,5
0.3,15.6,20.9,5.3,343.57126126340575,176.819021840032,5
3.0,17.1,22.6,5.5,342.35513889591954,176.52535771412767,5
30.0,18.9,34.0,15.1,174.5900192499953,24.376043710458642,5
0.0,16.7,22.1,5.4,342.2106024980229,175.77672487875444,6
0.03,15.7,20.9,5.2,342.9665585100643,176.47085324657073,6
0.3,15.9,21.2,5.3,340.3220207862394,174.98307802587615,6
3.0,15.8,21.3,5.5,312.52549573628784,152.71958891258828,6
30.0,18.6,28.0,9.4,214.4951398617011,56.45561955076143,6
0.0,16.1,21.4,5.3,343.2024054848804,182.90864069327114,7
0.03,13.8,18.9,5.1,345.5505105886735,180.41415302410684,7
0.3,16.4,21.5,5.1,342.03643955001684,182.2213072345924,7
3.0,12.3,17.6,5.3,343.92447147561825,176.39623034937682,7
30.0,21.7,35.0,13.3,168.4477882131227,28.906058635039596,7
0.0,16.4,21.8,5.4,342.1226576137923,168.2166688948957,8
0.03,15.8,20.8,5.0,342.7237653117224,183.82239547507191,8
0.3,14.5,19.8,5.3,344.8961482663875,180.36242150557499,8
3.0,16.2,21.6,5.4,340.80346706055246,174.26030891766135,8
30.0,23.3,38.7,15.4,158.46661444917925,22.13547200458338,8
0.0,17.1,22.3,5.2,340.9603642823498,177.682870814184,9
0.03,16.7,22.0,5.3,341.8671142524305,174.88920011072344,9
0.3,14.6,19.7,5.1,344.36346159706557,185.3315711461156,9
3.0,15.6,20.9,5.3,338.9588407523535,174.5902085554791,9
30.0,15.4,29.3,13.9,202.56558729757734,30.60966522433683,9
0.0,13.4,18.5,5.1,346.25883281406743,187.9225105193782,10
0.03,15.8,20.9,5.1,342.8775748855095,183.05417199998428,10
