t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,134.95204185312235,10,1
1.0,0.0,144.49792998002255,10,1
2.0,0.0,154.3655772744081,10,1
3.0,0.0,164.55656470140977,10,1
4.0,0.0,175.07232602138814,10,1
5.0,0.0,185.91415176567347,10,1
6.0,0.0,197.08319244849264,10,1
7.0,0.0,208.5804629446843,10,1
8.0,0.0,220.40684530840522,10,1
9.0,0.0,232.5630922415527,10,1
10.0,0.0,233.6990954150652,9,1
11.0,0.0,245.92055253836074,9,1
12.0,0.0,248.00678292017608,8,1
13.0,0.0,248.32855993297704,7,1
14.0,0.0,247.1879436960222,6,1
15.0,0.0,243.38129568690883,5,1
16.0,0.0,254.64442289554023,5,1
17.0,0.0,246.86268941047427,4,1
18.0,0.0,257.78230993057656,4,1
19.0,0.0,243.21560776211174,3,1
20.0,0.0,253.51553114293452,3,1
21.0,0.0,264.02987676360027,3,1
22.0,0.0,274.758222184162,3,1
23.0,0.0,258.0418039518445,2,1
24.0,0.0,193.95263729056867,1,1
25.0,0.0,201.35839547654194,1,1
26.0,0.0,208.90147173887576,1,1
27.0,0.0,216.5814117164211,1,1
28.0,0.0,224.39773141974345,1,1
29.0,0.0,232.3499150038803,1,1
30.0,0.0,240.43741871650192,1,1
31.0,0.0,248.6596714855789,1,1
32.0,0.0,257.0160749193808,1,1
33.0,0.0,265.50600330647836,1,1
34.0,0.0,274.12880370566074,1,1
35.0,0.0,282.8837997362487,1,1
36.0,0.0,291.77029198518335,1,1
37.0,0.0,300.78755736997863,1,1
38.0,0.0,309.9348504649639,1,1
0.0,0.03,161.5865227985795,10,1
1.0,0.03,173.02549842448988,10,1
2.0,0.03,184.85052103110897,10,1
3.0,0.03,197.06349663597683,10,1
4.0,0.03,209.6661544099041,10,1
5.0,0.03,222.66005119015736,10,1
6.0,0.03,236.04657591396577,10,1
7.0,0.03,249.82695396547587,10,1
8.0,0.03,254.58601416301428,9,1
9.0,0.03,258.9803327975946,8,1
10.0,0.03,272.8913710237691,8,1
11.0,0.03,287.17141454460136,8,1
12.0,0.03,276.66091198786717,5,1
13.0,0.03,290.42330684908336,5,1
14.0,0.03,292.6058217261997,4,1
15.0,0.03,296.216091433101,3,1
16.0,0.03,294.5255918246486,2,1
17.0,0.03,307.8594648379158,2,1
18.0,0.03,301.9851056261224,1,1
19.0,0.03,315.0660490510861,1,1
20.0,0.03,328.4261786869063,1,1
0.0,0.3,154.66418296267867,10,1
1.0,0.3,165.6110553286257,10,1
2.0,0.3,176.92726138047857,10,1
3.0,0.3,188.6146225867949,10,1
4.0,0.3,200.67479129421778,10,1
5.0,0.3,213.10925504416727,10,1
6.0,0.3,225.91934080815886,10,1
7.0,0.3,239.10621914808945,10,1
8.0,0.3,252.67090829451726,10,1
9.0,0.3,256.7537582829171,9,1
10.0,0.3,248.08460864762304,7,1
11.0,0.3,261.06144130196867,7,1
12.0,0.3,274.37379523716527,7,1
13.0,0.3,288.02194447185536,7,1
14.0,0.3,285.5855846489979,5,1
15.0,0.3,286.68294543922093,4,1
16.0,0.3,299.9599641347514,4,1
17.0,0.3,302.2583972015067,3,1
18.0,0.3,302.33033699567,2,1
19.0,0.3,282.45709677021773,1,1
20.0,0.3,294.4280418424329,1,1
21.0,0.3,306.64851162716485,1,1
22.0,0.3,319.11801809143935,1,1
0.0,3.0,141.75590293264784,10,1
1.0,3.0,151.7852108977683,10,1
2.0,3.0,162.1526898268684,10,1
3.0,3.0,172.86000355609607,10,1
4.0,3.0,183.9086612035277,10,1
5.0,3.0,195.30002111532957,10,1
6.0,3.0,207.03529474030674,10,1
7.0,3.0,219.11555043231343,10,1
8.0,3.0,231.54171718213365,10,1
9.0,3.0,244.31458827633296,10,1
10.0,3.0,232.32574911213229,8,1
11.0,3.0,229.90440806036352,7,1
12.0,3.0,241.62125037000018,7,1
13.0,3.0,253.63337764621403,7,1
14.0,3.0,265.9409266969761,7,1
15.0,3.0,278.5439369262363,7,1
16.0,3.0,283.294495255207,6,1
17.0,3.0,273.4480369883904,4,1
18.0,3.0,285.5495600885152,4,1
19.0,3.0,283.77972271361216,3,1
20.0,3.0,295.8070361357181,3,1
21.0,3.0,295.7634488883309,2,1
22.0,3.0,307.7880949129362,2,1
23.0,3.0,320.0522877130951,2,1
24.0,3.0,327.4503912901711,1,1
0.0,30.0,161.973277065813,10,1
1.0,30.0,173.43980809189145,10,1
2.0,30.0,185.29332002204671,10,1
3.0,30.0,197.5357235717533,10,1
4.0,30.0,210.16875217849775,10,1
5.0,30.0,223.19396652716995,10,1
6.0,30.0,236.61275899242318,10,1
7.0,30.0,238.9802328630775,9,1
8.0,30.0,252.53773512854013,9,1
9.0,30.0,266.47371646825053,9,1
10.0,30.0,273.28097751122016,8,1
11.0,30.0,267.3453513494022,6,1
12.0,30.0,280.9795441845087,6,1
13.0,30.0,284.00055507268826,5,1
14.0,30.0,264.56239526256485,3,1
