C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,18.6,25.4,6.8,333.6239607674144,150.98011525661155,1
0.03,13.7,20.3,6.6,338.3922025763576,157.2571148710788,1
0.3,14.9,21.2,6.3,337.5227006870799,163.29798435235892,1
3.0,17.0,23.6,6.6,335.40087776447757,153.21187513849583,1
30.0,14.1,20.3,6.2,338.2119679086423,166.6380833099104,1
0.0,17.2,23.7,6.5,335.1624051307403,158.06292021463247,2
0.03,17.2,23.8,6.6,334.89347378557244,160.61052869369274,2
0.3,18.9,25.6,6.7,333.2608416967944,148.74855101541624,2
3.0,13.9,20.1,6.2,338.8968766149726,166.68546390651258,2
30.0,13.9,20.2,6.3,338.33266318924154,164.80908989458536,2
0.0,15.7,22.2,6.5,336.368284142004,165.41273341628684,3
0.03,16.7,23.4,6.7,335.7305912410649,151.92682243719588,3
0.3,16.5,23.2,6.7,335.94724224679214,154.0922567102287,3
3.0,10.7,16.9,6.2,342.18530148399157,163.42040593333058,3
30.0,14.9,21.2,6.3,337.9326874743514,158.34111487196273,3
0.0,14.0,20.1,6.1,338.66827779453445,171.12810835640565,4
0.03,19.9,26.7,6.8,332.33605364544997,150.14531354253114,4
0.3,15.6,22.1,6.5,336.85294666855515,155.9504313565614,4
3.0,15.2,21.5,6.3,337.5834519801258,161.6415029543573,4
30.0,16.0,22.4,6.4,336.6297716275496,156.86331087820056,4
0.0,Inf,Inf,NaN,Inf,Inf,5
0.03,14.3,20.8,6.5,337.5515554608569,164.62480990009195,5
0.3,14.6,20.9,6.3,337.86732128952565,166.92346492504174,5
3.0,16.7,23.2,6.5,335.48054594503486,152.16234859521813,5
30.0,13.7,20.1,6.4,338.8225186150867,163.08428054023517,5
0.0,15.6,22.2,6.6,336.8806204975629,152.38884001379407,6
0.03,16.4,22.9,6.5,335.94539713878567,163.61822412062452,6
0.3,15.1,21.5,6.4,337.17830020835675,162.97869376148407,6
3.0,18.0,24.6,6.6,334.31422968796824,154.80978135677887,6
30.0,13.1,19.6,6.5,339.1602974353448,160.95722175603132,6
0.0,17.0,23.4,6.4,335.39457271451784,166.14791363188488,7
0.03,15.1,21.4,6.3,337.2151138481545,169.86310735340862,7
0.3,17.4,24.2,6.8,334.8683286658601,149.742571851617,7
3.0,15.3,21.9,6.6,337.1564850169501,157.93872810932643,7
30.0,13.2,19.7,6.5,339.55824062195046,157.3015118403615,7
0.0,18.4,25.2,6.8,333.9944745572873,151.1614955312853,8
0.03,19.6,26.2,6.6,332.81141219511267,158.24704940201235,8
0.3,14.4,20.7,6.3,338.3787349010446,164.97298775318052,8
3.0,14.2,20.5,6.3,338.5036887678849,164.41343219689597,8
30.0,18.3,24.6,6.3,333.6934135116007,164.20441695261187,8
0.0,14.8,21.1,6.3,337.70354284613785,170.15255222280513,9
0.03,17.5,24.1,6.6,334.8092014212713,162.23125931789951,9
0.3,16.6,22.9,6.3,335.4391484940402,160.8603397966775,9
3.0,16.6,23.0,6.4,335.9137594284852,155.70308101560013,9
30.0,15.5,22.0,6.5,336.97307381493215,156.03628363076038,9
0.0,13.4,19.8,6.4,338.582344914192,166.93269153876014,10
0.03,17.9,24.6,6.7,334.1459382022707,151.80477643142387,10
0.3,17.3,23.8,6.5,334.708452137428,153.01297881896804,10
3.0,19.4,25.9,6.5,333.1808139679473,158.04559913954816,10
30.0,16.5,23.0,6.5,335.51483369849547,162.0788226972672,10
0.0,17.3,23.8,6.5,335.3342938758792,158.75168330737992,11
0.03,17.4,24.2,6.8,335.026435651769,152.5514151468875,11
0.3,16.3,22.9,6.6,335.943011811692,155.03106694288977,11
3.0,17.2,23.9,6.7,334.87196646785947,152.77004725714352,11
30.0,13.2,19.5,6.3,339.0776990265106,166.4276928917443,11
0.0,17.0,23.6,6.6,335.62241988582457,158.79868619092352,12
0.03,17.4,24.0,6.6,334.93465279476493,154.9598798702817,12
0.3,15.4,21.7,6.3,336.6719915663937,161.63224026458965,12
3.0,15.2,21.7,6.5,337.75477289905547,157.52744334182165,12
30.0,13.9,20.2,6.3,338.60962644618513,164.3537483278531,12
0.0,18.4,25.1,6.7,333.92158196953966,153.2027190150235,13
0.03,Inf,Inf,NaN,Inf,Inf,13
0.3,18.1,24.7,6.6,333.98014532780775,156.95471158022426,13
3.0,17.5,24.1,6.6,335.24246121202333,155.04516015314704,13
30.0,16.3,23.0,6.7,336.0202150840112,153.919427286136,13
0.0,16.7,23.3,6.6,335.7010773393582,161.86056727387088,14
0.03,23.5,30.4,6.9,329.1967212532025,147.26481280300305,14
0.3,19.1,25.6,6.5,332.90323095511485,150.63088694294484,14
3.0,17.4,24.0,6.6,335.0810417865238,158.30079269717186,14
30.0,17.5,24.0,6.5,335.2108582420407,158.1403847646455,14
0.0,14.4,20.9,6.5,337.88121561330047,160.9242474353951,15
0.03,17.2,23.9,6.7,335.9823479419866,155.95879510853936,15
0.3,17.2,23.5,6.3,335.0511760629092,165.27427158632582,15
3.0,18.4,25.1,6.7,334.06982646905806,154.22848679402537,15
30.0,15.5,22.1,6.6,336.95721398052706,155.5541106258928,15
0.0,19.5,26.3,6.8,333.06554851055193,152.82538349404427,16
0.03,12.6,18.6,6.0,339.4342316979175,175.82603669187512,16
0.3,14.9,21.1,6.2,337.58825772561306,165.37367889151076,16
3.0,15.2,21.6,6.4,337.3332438099982,159.7949819026218,16
30.0,18.4,25.3,6.9,333.78515525595617,154.37674779237926,16
0.0,17.2,23.6,6.4,335.11321587959065,159.03060545111865,17
0.03,16.8,23.4,6.6,335.7576636249106,152.40320974814622,17
0.3,17.7,24.2,6.5,334.74887593854544,158.47332797963844,17
3.0,14.5,21.0,6.5,337.961521051956,156.50889159973056,17
30.0,13.6,20.0,6.4,338.86378308326584,165.770307992249,17
0.0,12.4,18.6,6.2,340.3714862185557,167.57331914242894,18
0.03,14.4,20.8,6.4,337.91732906956736,166.64384027335564,18
0.3,21.3,28.2,6.9,331.6429034285434,148.75888122000677,18
3.0,16.7,23.4,6.7,335.551242847529,151.28193903763514,18
30.0,16.3,22.8,6.5,335.9195131016695,154.423686088697,18
0.0,18.3,25.0,6.7,334.47947110448615,159.79838519833538,19
0.03,18.8,25.4,6.6,333.46943904209076,156.53020909050946,19
0.3,16.7,23.1,6.4,335.63106066027376,161.78666307081988,19
3.0,15.1,21.4,6.3,337.64956598116635,157.95730687463282,19
30.0,15.9,22.5,6.6,336.5730379058522,150.96454559531347,19
0.0,16.8,23.2,6.4,335.58309093617186,159.9495708346762,20
0.03,16.4,22.6,6.2,335.56159822471614,161.07944496266452,20
0.3,17.3,24.0,6.7,335.1027876070906,155.8789350972665,20
3.0,17.4,24.1,6.7,335.35398747192164,156.89407873992403,20
30.0,17.8,24.7,6.9,334.36414011495634,144.96117443080158,20
0.0,17.4,23.8,6.4,335.0494750715103,158.85102608440533,21
0.03,17.9,24.6,6.7,334.4056452078807,148.61116841229057,21
0.3,16.6,23.0,6.4,335.771349023163,159.2219812710994,21
3.0,15.0,21.4,6.4,337.3897703100403,168.50878321490032,21
30.0,15.1,21.5,6.4,337.18070724510244,159.90344490656693,21
0.0,14.3,20.5,6.2,338.18928386167653,162.42674415531062,22
0.03,16.0,22.6,6.6,336.64282092522325,159.86526909097205,22
0.3,18.1,24.4,6.3,334.6867583849645,165.68336799869692,22
3.0,16.0,22.5,6.5,336.2348286738106,159.53873114018148,22
30.0,13.0,19.4,6.4,339.67678559250464,160.72265814303805,22
