t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,145.34621827949775,10,1
1.0,0.0,155.6307123356552,10,1
2.0,0.0,166.26204537356256,10,1
3.0,0.0,177.24192511674337,10,1
4.0,0.0,188.57190049167085,10,1
5.0,0.0,200.25336591340215,10,1
6.0,0.0,212.28756475887903,10,1
7.0,0.0,224.67559408573243,10,1
8.0,0.0,237.4184076708405,10,1
9.0,0.0,239.73391077882968,9,1
10.0,0.0,252.60708220173248,9,1
11.0,0.0,265.8215604120935,9,1
12.0,0.0,269.88608335994996,8,1
13.0,0.0,261.9648532074776,6,1
14.0,0.0,261.8481019929229,5,1
15.0,0.0,274.25627437743725,5,1
16.0,0.0,272.9509638252742,4,1
17.0,0.0,285.30373855477984,4,1
18.0,0.0,297.93259815228134,4,1
19.0,0.0,299.2634627426741,3,1
20.0,0.0,294.32800569283063,2,1
21.0,0.0,278.6303512821729,1,1
22.0,0.0,289.9547773230122,1,1
23.0,0.0,301.50468361838455,1,1
24.0,0.0,313.2795078245205,1,1
25.0,0.0,325.2786316381492,1,1
0.0,0.03,147.5743218412734,10,1
1.0,0.03,158.01731753997223,10,1
2.0,0.03,168.8125358206888,10,1
3.0,0.03,179.96171163547416,10,1
4.0,0.03,191.4664187225598,10,1
5.0,0.03,203.3280737191758,10,1
6.0,0.03,215.54794019899342,10,1
7.0,0.03,228.12713263533428,10,1
8.0,0.03,241.06662028848822,10,1
9.0,0.03,243.45249861380202,9,1
10.0,0.03,256.5262962372269,9,1
11.0,0.03,247.8943697996789,7,1
12.0,0.03,260.53259437626247,7,1
13.0,0.03,261.90967928085917,6,1
14.0,0.03,259.6888792111452,5,1
15.0,0.03,271.99438487061457,5,1
16.0,0.03,270.7484563264367,4,1
17.0,0.03,283.0012267180901,4,1
18.0,0.03,280.3165071068162,3,1
19.0,0.03,264.5780184916984,2,1
20.0,0.03,213.46617462206558,1,1
21.0,0.03,222.30959959889603,1,1
22.0,0.03,231.33269064529497,1,1
23.0,0.03,240.5350412236734,1,1
24.0,0.03,249.91619943734918,1,1
25.0,0.03,259.47566965978706,1,1
26.0,0.03,269.2129125588377,1,1
27.0,0.03,279.1273469814412,1,1
28.0,0.03,289.21835120033353,1,1
29.0,0.03,299.4852648592296,1,1
30.0,0.03,309.9273900161758,1,1
31.0,0.03,320.5439912228545,1,1
0.0,0.3,125.40776851429641,10,1
1.0,0.3,134.27532998530475,10,1
2.0,0.3,143.44161610883899,10,1
3.0,0.3,152.9080913716695,10,1
4.0,0.3,162.67608376972743,10,1
5.0,0.3,172.7467882861964,10,1
6.0,0.3,183.12127030624364,10,1
7.0,0.3,193.80046897131623,10,1
8.0,0.3,204.7852004686514,10,1
9.0,0.3,216.07616125975227,10,1
10.0,0.3,227.67393124694908,10,1
11.0,0.3,226.90603495672588,9,1
12.0,0.3,238.46975882056307,9,1
13.0,0.3,250.32488740489453,9,1
14.0,0.3,238.35443771208685,7,1
15.0,0.3,249.64454881573945,7,1
16.0,0.3,247.82052852578772,6,1
17.0,0.3,259.0310141993707,6,1
18.0,0.3,235.12269777006173,4,1
19.0,0.3,245.294645055047,4,1
20.0,0.3,225.93102473209808,3,1
21.0,0.3,235.29494949415744,3,1
22.0,0.3,244.84924808437555,3,1
23.0,0.3,254.59349128899456,3,1
24.0,0.3,264.5272021994263,3,1
25.0,0.3,274.64985695693576,3,1
26.0,0.3,190.0154404646378,1,1
27.0,0.3,196.9961665188044,1,1
28.0,0.3,204.10070859211382,1,1
29.0,0.3,211.3285982100215,1,1
30.0,0.3,218.6793402351722,1,1
31.0,0.3,226.15241347075653,1,1
32.0,0.3,233.74727216635398,1,1
33.0,0.3,241.46334661815078,1,1
34.0,0.3,249.30004429711317,1,1
35.0,0.3,257.25674990731255,1,1
36.0,0.3,265.33282643470505,1,1
37.0,0.3,273.5276159494472,1,1
38.0,0.3,281.8404406112707,1,1
39.0,0.3,290.27060296763756,1,1
40.0,0.3,298.8173866282943,1,1
41.0,0.3,307.48005723741346,1,1
0.0,3.0,149.32677267006434,10,1
1.0,3.0,159.89428790899288,10,1
2.0,3.0,170.81823878836587,10,1
3.0,3.0,182.10037511398968,10,1
4.0,3.0,193.74229580199855,10,1
5.0,3.0,205.74544049465703,10,1
6.0,3.0,218.1110912698568,10,1
7.0,3.0,217.65327968385472,9,1
8.0,3.0,229.99606278134596,9,1
9.0,3.0,242.6832077396266,9,1
10.0,3.0,244.22620372015473,8,1
11.0,3.0,257.00033329228694,8,1
12.0,3.0,245.79999744651863,6,1
13.0,3.0,258.02080526133136,6,1
14.0,3.0,270.542204064823,6,1
15.0,3.0,272.16015983068394,5,1
16.0,3.0,284.76154414616104,5,1
17.0,3.0,286.3235158779662,4,1
18.0,3.0,298.99764049239576,4,1
19.0,3.0,300.36668743905756,3,1
20.0,3.0,313.1005656500397,3,1
21.0,3.0,298.5427504470573,1,1
22.0,3.0,310.680960432716,1,1
23.0,3.0,323.06099828262836,1,1
0.0,30.0,123.04172969779441,10,1
1.0,30.0,131.69798205981516,10,1
2.0,30.0,140.2016956589543,10,1
