C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.3,22.8,6.5,335.8296408805826,155.6640293422649,1
0.03,16.3,22.8,6.5,336.03774121129356,157.53443205682302,1
0.3,20.5,27.3,6.8,332.42241406931697,149.87444227734616,1
3.0,15.8,22.4,6.6,336.34307888197645,156.7320516927226,1
30.0,19.5,25.5,6.0,254.7139497732258,113.97835917323539,1
0.0,15.1,21.5,6.4,336.99310931039474,165.48751344570707,2
0.03,15.6,21.9,6.3,336.88764576863895,163.88368396907637,2
0.3,17.0,23.6,6.6,334.7686146004656,157.1550002314503,2
3.0,13.5,19.7,6.2,339.31659833496406,165.9618407007876,2
30.0,11.3,16.7,5.4,258.1512817333228,117.55017681222084,2
0.0,15.7,22.4,6.7,336.70807928976336,158.535335058337,3
0.03,15.6,22.2,6.6,336.6117542012009,156.18741521331995,3
0.3,11.7,17.8,6.1,340.7475730747347,169.5286133599248,3
3.0,15.2,21.7,6.5,337.6608777973503,162.4778493647817,3
30.0,10.8,16.4,5.6,268.93963120066155,116.41372463054816,3
0.0,14.9,21.2,6.3,337.1074168411656,167.6432597869477,4
0.03,18.1,24.9,6.8,334.06314535199994,149.58854073340086,4
0.3,13.7,20.1,6.4,338.49483533741915,164.90950156870625,4
3.0,17.6,24.1,6.5,334.81791301351313,160.89764726699102,4
30.0,12.7,18.2,5.5,274.2498447551714,131.92718239072838,4
0.0,13.2,19.2,6.0,339.73096033000496,172.2463558771911,5
0.03,21.0,27.5,6.5,332.94992551606396,155.341782492612,5
0.3,15.7,22.1,6.4,336.445536203306,160.82709102949724,5
3.0,20.6,27.2,6.6,331.85070288864955,153.00226150899923,5
30.0,14.0,19.4,5.4,243.82118943251476,107.519867304509,5
0.0,17.8,24.4,6.6,334.50186469615494,158.8560030115398,6
0.03,16.0,22.3,6.3,336.0718103893199,158.9308417991768,6
0.3,13.9,20.2,6.3,338.70041280639145,160.3796767043802,6
3.0,15.6,22.1,6.5,336.77447557897915,153.92909306027317,6
30.0,13.0,18.8,5.8,272.25102807798345,123.03998975431632,6
0.0,13.5,20.0,6.5,339.11528991300315,155.76475530172928,7
0.03,18.1,24.7,6.6,334.0011827023346,159.89804706994693,7
0.3,16.9,23.5,6.6,335.5457619746775,158.91396745194186,7
3.0,16.7,23.2,6.5,335.82762162455435,159.96505922704822,7
30.0,14.2,20.2,6.0,264.54723662673126,116.845385873182,7
0.0,13.8,20.2,6.4,338.4515058421909,162.71737900091875,8
0.03,16.0,22.6,6.6,336.3248031821065,152.85965517274983,8
0.3,15.7,22.0,6.3,336.92029271434535,158.4221631133808,8
3.0,18.7,25.4,6.7,333.8668268378724,153.28025036991556,8
30.0,14.4,20.1,5.7,265.89551965470844,123.47865775250409,8
0.0,15.2,21.5,6.3,336.8952717992791,163.6624493557818,9
0.03,12.7,18.9,6.2,339.9370744331128,165.452615434992,9
0.3,14.7,21.2,6.5,337.3324328116747,158.8015674959169,9
3.0,17.4,24.1,6.7,334.99756532443973,162.13069846592416,9
30.0,10.8,15.9,5.1,256.0732990849746,125.4601386140725,9
0.0,16.7,23.2,6.5,335.8158196013732,156.4933755684814,10
0.03,12.7,19.1,6.4,339.576086818428,163.62438118081675,10
0.3,14.0,20.2,6.2,338.7761964750398,164.49780377671465,10
3.0,15.3,21.9,6.6,337.1560988121498,157.81193412246958,10
30.0,14.5,20.1,5.6,247.84433465359152,110.97416323082022,10
0.0,17.4,23.9,6.5,334.6240789855042,157.8444962420569,11
0.03,19.2,25.7,6.5,333.07976467409134,155.88522984697198,11
0.3,17.5,24.2,6.7,334.7040827869961,153.27572172981803,11
3.0,14.2,20.5,6.3,338.804333378666,166.43486996832758,11
30.0,16.9,22.9,6.0,290.16440810413394,135.33977666548137,11
0.0,18.4,25.1,6.7,333.7480005572878,155.1055488055144,12
0.03,17.7,24.3,6.6,334.57249647723205,153.9465121167158,12
0.3,13.0,19.3,6.3,339.49573760869,167.47991926886306,12
3.0,17.1,23.6,6.5,335.57199782155226,160.33806855685387,12
30.0,12.5,17.9,5.4,247.42205725450293,105.16132039734543,12
0.0,15.1,21.7,6.6,337.6649525043866,158.53535401099458,13
0.03,15.4,21.7,6.3,337.3149691157346,165.2819196887395,13
0.3,16.4,23.1,6.7,335.77564438602457,148.80364003955276,13
3.0,18.3,24.9,6.6,333.74217724604085,151.16032788754467,13
30.0,15.7,21.3,5.6,243.74350324528487,107.99876038644791,13
0.0,19.0,25.8,6.8,333.4050780615737,150.66767929555513,14
0.03,14.2,20.5,6.3,338.3053965373076,161.49011861140053,14
0.3,14.4,20.7,6.3,338.0090459870217,162.20712467062265,14
3.0,15.6,21.9,6.3,337.58314877717294,164.78670933431331,14
30.0,10.7,16.1,5.4,257.66488649866983,114.61760089490122,14
0.0,17.5,23.9,6.4,334.71931857223433,162.38363209591944,15
0.03,19.0,25.7,6.7,333.6561851416241,154.44868986147847,15
0.3,13.0,19.3,6.3,339.5178410583738,162.50906057531606,15
3.0,15.3,21.7,6.4,337.17668091500553,162.10056458117774,15
30.0,13.0,18.9,5.9,269.4056381240662,119.13409605867662,15
0.0,19.2,26.0,6.8,333.186649086863,154.09207854853895,16
0.03,15.0,21.4,6.4,337.6831448099829,159.01669620928791,16
0.3,15.6,22.2,6.6,336.7172313104062,154.0877977004705,16
3.0,14.6,21.0,6.4,338.0907241529952,159.25758530558133,16
30.0,14.0,19.9,5.9,267.1058547247372,117.7515264705075,16
0.0,17.4,23.8,6.4,335.05837243903756,160.5729754255819,17
0.03,16.3,22.9,6.6,335.85363608145695,157.73733353299613,17
0.3,14.9,21.5,6.6,337.69662837940007,157.7060209621586,17
3.0,16.1,22.7,6.6,336.38908056603,153.03188866240865,17
30.0,15.3,21.4,6.1,294.41278919124824,134.2446629043827,17
0.0,15.8,22.3,6.5,336.54831264822394,157.44888352888793,18
0.03,15.3,21.5,6.2,336.93897354685157,171.47717506369622,18
0.3,14.1,20.3,6.2,338.1623916165498,165.62016510052413,18
