t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,159.71240701935764,10,1
1.0,0.0,169.1451359082091,10,1
2.0,0.0,178.80805933813812,10,1
3.0,0.0,188.6982503778672,10,1
4.0,0.0,198.81267675123325,10,1
5.0,0.0,209.148210216584,10,1
6.0,0.0,219.70163210328934,10,1
7.0,0.0,230.46963988895646,10,1
8.0,0.0,241.44885651773097,10,1
9.0,0.0,252.6358349136025,10,1
10.0,0.0,264.02706366405647,10,1
11.0,0.0,275.61897160394165,10,1
12.0,0.0,287.4079383954261,10,1
13.0,0.0,292.67985012475947,9,1
14.0,0.0,299.3165875177211,8,1
15.0,0.0,296.4346315215073,6,1
16.0,0.0,300.6184162583546,5,1
17.0,0.0,311.97754221755383,5,1
18.0,0.0,323.49240476407874,5,1
19.0,0.0,333.8132630263391,4,1
0.0,0.03,179.26770314700175,10,1
1.0,0.03,189.85995063271423,10,1
2.0,0.03,200.7108895167027,10,1
3.0,0.03,211.81723402715116,10,1
4.0,0.03,223.17558061300434,10,1
5.0,0.03,234.78241644491663,10,1
6.0,0.03,246.63412757393408,10,1
7.0,0.03,258.7270067531907,10,1
8.0,0.03,271.0572609314819,10,1
9.0,0.03,274.58331891027086,9,1
10.0,0.03,286.9676733633783,9,1
11.0,0.03,293.1934954727693,8,1
12.0,0.03,278.26575863652187,5,1
13.0,0.03,274.3935302348111,4,1
14.0,0.03,285.5458462529414,4,1
15.0,0.03,279.9430659906457,3,1
16.0,0.03,290.77499553342733,3,1
17.0,0.03,301.7608109294735,3,1
18.0,0.03,312.8972046135566,3,1
19.0,0.03,324.18085232201065,3,1
20.0,0.03,328.2762727276537,2,1
21.0,0.03,336.86606819757077,1,1
0.0,0.3,171.1189461305645,10,1
1.0,0.3,181.22796571167663,10,1
2.0,0.3,191.5838010392552,10,1
3.0,0.3,202.1833158078472,10,1
4.0,0.3,213.0232614048632,10,1
5.0,0.3,224.10028502017047,10,1
6.0,0.3,235.41093742514266,10,1
7.0,0.3,246.951680434134,10,1
8.0,0.3,258.71889405569664,10,1
9.0,0.3,270.7088833474099,10,1
10.0,0.3,282.9178849851749,10,1
11.0,0.3,295.34207355103945,10,1
12.0,0.3,307.97756752958514,10,1
13.0,0.3,306.1560693794105,7,1
14.0,0.3,318.60410305435755,7,1
15.0,0.3,327.1894316528881,6,1
16.0,0.3,331.7738820931808,3,1
17.0,0.3,331.41583714196264,1,1
0.0,3.0,165.5793961588717,10,1
1.0,3.0,175.35997648666537,10,1
2.0,3.0,185.37930064738072,10,1
3.0,3.0,195.63433392653542,10,1
4.0,3.0,206.12193302247965,10,1
5.0,3.0,216.83885388850362,10,1
6.0,3.0,227.78175925586817,10,1
7.0,3.0,238.9472258490026,10,1
8.0,3.0,250.3317513012957,10,1
9.0,3.0,261.9317607854682,10,1
10.0,3.0,273.74361336322306,10,1
11.0,3.0,285.7636080650789,10,1
12.0,3.0,297.9879897089423,10,1
13.0,3.0,306.1412430024341,9,1
14.0,3.0,307.31757662980084,7,1
15.0,3.0,307.2709464371222,5,1
16.0,3.0,319.1643503487388,5,1
17.0,3.0,319.737507336944,3,1
18.0,3.0,323.3660473263503,2,1
19.0,3.0,335.0286287237816,2,1
0.0,30.0,160.50196360102566,10,1
1.0,30.0,169.9813381057767,10,1
2.0,30.0,179.3701913171881,10,1
3.0,30.0,185.60149724846372,10,1
4.0,30.0,187.7676101668159,10,1
5.0,30.0,185.5343068056547,10,1
6.0,30.0,182.76050413985234,10,1
7.0,30.0,181.784505155844,10,1
8.0,30.0,181.42138665988472,10,1
9.0,30.0,181.2874448279558,10,1
10.0,30.0,181.23805935458353,10,1
11.0,30.0,181.21837574405816,10,1
12.0,30.0,181.21369370057306,10,1
13.0,30.0,181.21346199372604,10,1
14.0,30.0,181.2093884324259,10,1
15.0,30.0,181.21071580180774,10,1
16.0,30.0,181.2119761046416,10,1
17.0,30.0,181.21319620053785,10,1
18.0,30.0,181.21438592375208,10,1
19.0,30.0,181.215549532102,10,1
20.0,30.0,181.21668879770513,10,1
21.0,30.0,181.2178044673837,10,1
22.0,30.0,181.218897133923,10,1
23.0,30.0,181.2199673156324,10,1
24.0,30.0,175.99611992758577,9,1
25.0,30.0,175.99716898128122,9,1
26.0,30.0,175.9981967638566,9,1
27.0,30.0,175.9992029764868,9,1
28.0,30.0,176.00018709206415,9,1
29.0,30.0,176.0011474796876,9,1
30.0,30.0,176.0020846871917,9,1
31.0,30.0,176.00300728899404,9,1
32.0,30.0,171.72804129897256,8,1
33.0,30.0,171.7288907083881,8,1
34.0,30.0,171.72970801322296,8,1
35.0,30.0,171.730497839242,8,1
36.0,30.0,171.7312762527872,8,1
37.0,30.0,171.73205040424165,8,1
38.0,30.0,171.73281969564204,8,1
39.0,30.0,171.7335640805211,8,1
40.0,30.0,171.7342894352121,8,1
41.0,30.0,171.7349953744009,8,1
42.0,30.0,171.73568735653035,8,1
43.0,30.0,171.73636482561733,8,1
44.0,30.0,171.737030249617,8,1
45.0,30.0,171.73768190031302,8,1
46.0,30.0,171.73831590675994,8,1
47.0,30.0,171.7389332912296,8,1
48.0,30.0,171.73953924833364,8,1
49.0,30.0,171.74013354969895,8,1
50.0,30.0,171.74071255068878,8,1
51.0,30.0,171.74128027325423,8,1
52.0,30.0,171.74184576887617,8,1
53.0,30.0,171.74239306686442,8,1
54.0,30.0,171.74292091428566,8,1
55.0,30.0,169.96489111409255,7,1
56.0,30.0,169.9654441032115,7,1
57.0,30.0,167.79979709677022,6,1
58.0,30.0,167.80040844395722,6,1
59.0,30.0,167.80099373003884,6,1
60.0,30.0,167.80156343634465,6,1
61.0,30.0,167.8021192433398,6,1
62.0,30.0,165.36203649051237,5,1
63.0,30.0,161.85583731755275,4,1
64.0,30.0,161.85636921445342,4,1
65.0,30.0,161.8568854398525,4,1
66.0,30.0,161.857391939998,4,1
67.0,30.0,161.85788531166057,4,1
68.0,30.0,161.8583715228281,4,1
69.0,30.0,161.8588531786716,4,1
70.0,30.0,161.85932285437568,4,1
71.0,30.0,161.85977592454975,4,1
72.0,30.0,161.8602108736076,4,1
73.0,30.0,161.86064215369595,4,1
74.0,30.0,161.86107148095402,4,1
75.0,30.0,161.86148834723843,4,1
76.0,30.0,161.86189294050268,4,1
77.0,30.0,161.86228864944255,4,1
78.0,30.0,161.86268016472872,4,1
79.0,30.0,161.863062277716,4,1
80.0,30.0,161.8634290607065,4,1
81.0,30.0,161.86378547562302,4,1
82.0,30.0,161.86413667062558,4,1
83.0,30.0,161.86448798779648,4,1
84.0,30.0,161.86482687491707,4,1
85.0,30.0,161.86515893574557,4,1
86.0,30.0,161.86548690372618,4,1
87.0,30.0,161.86580421952186,4,1
88.0,30.0,161.86610910183705,4,1
89.0,30.0,161.86640652602318,4,1
90.0,30.0,161.8667058943111,4,1
91.0,30.0,161.86699885262598,4,1
92.0,30.0,161.86728435487936,4,1
93.0,30.0,161.86756073116618,4,1
94.0,30.0,161.86782973500885,4,1
95.0,30.0,161.86809741069501,4,1
96.0,30.0,161.86835993498465,4,1
97.0,30.0,161.86861341430273,4,1
98.0,30.0,161.86886054486527,4,1
99.0,30.0,161.86910430931786,4,1
100.0,30.0,161.86934387898577,4,1
0.0,0.0,176.075945023961,10,2
1.0,0.0,186.47890788769996,10,2
2.0,0.0,197.13591074475494,10,2
3.0,0.0,208.04372657751165,10,2
4.0,0.0,219.1990119673954,10,2
5.0,0.0,230.59831744195247,10,2
6.0,0.0,242.238093592016,10,2
7.0,0.0,254.11469834462963,10,2
8.0,0.0,266.22440727252865,10,2
9.0,0.0,270.21430932362387,9,2
10.0,0.0,282.40094731892106,9,2
11.0,0.0,294.8023744863466,9,2
12.0,0.0,307.41471743464257,9,2
13.0,0.0,309.73366544714946,7,2
14.0,0.0,311.8121877302871,5,2
15.0,0.0,315.83687046611806,4,2
16.0,0.0,321.24461694655923,3,2
17.0,0.0,323.9802491864416,2,2
18.0,0.0,323.73609752629665,1,2
19.0,0.0,335.4120742400586,1,2
0.0,0.03,182.7714323819975,10,2
1.0,0.03,193.5714121047896,10,2
2.0,0.03,204.63518900854982,10,2
3.0,0.03,215.95941306802138,10,2
4.0,0.03,227.54061412548202,10,2
5.0,0.03,239.37521056072518,10,2
6.0,0.03,251.45951761193896,10,2
7.0,0.03,263.78975535287634,10,2
8.0,0.03,276.36205633536537,10,2
9.0,0.03,280.3181195710086,9,2
10.0,0.03,292.96196093990994,9,2
11.0,0.03,300.10896285647567,8,2
12.0,0.03,287.8726147204449,5,2
13.0,0.03,299.8744147889494,5,2
14.0,0.03,312.06620647185144,5,2
15.0,0.03,317.6387237671802,4,2
16.0,0.03,308.7143292275449,2,2
17.0,0.03,320.3805247345455,2,2
18.0,0.03,314.31867853668484,1,2
19.0,0.03,325.65380120125354,1,2
20.0,0.03,337.1335038013011,1,2
0.0,0.3,171.54504220905295,10,2
1.0,0.3,181.67938569315135,10,2
2.0,0.3,192.0611671335326,10,2
3.0,0.3,202.68724239468548,10,2
4.0,0.3,213.55435474712053,10,2
5.0,0.3,224.65914299757188,10,2
6.0,0.3,235.9981492878127,10,2
7.0,0.3,247.5678265750841,10,2
8.0,0.3,259.3645458014773,10,2
9.0,0.3,271.38460276617235,10,2
10.0,0.3,283.6242247114159,10,2
11.0,0.3,296.07957662487877,10,2
12.0,0.3,303.72272729313494,9,2
13.0,0.3,303.5680717742302,7,2
14.0,0.3,285.74082004666093,4,2
15.0,0.3,276.33722114933636,3,2
16.0,0.3,287.0291292110415,3,2
17.0,0.3,270.6535226031525,2,2
18.0,0.3,280.63761267074335,2,2
19.0,0.3,290.753596439469,2,2
20.0,0.3,300.99848330048235,2,2
21.0,0.3,282.8469217419366,1,2
22.0,0.3,292.3754454427726,1,2
23.0,0.3,302.012727099165,1,2
24.0,0.3,311.75603461012423,1,2
25.0,0.3,321.6026363612552,1,2
26.0,0.3,331.54980362315047,1,2
0.0,3.0,154.89984239556318,10,2
1.0,3.0,164.0472737304356,10,2
2.0,3.0,173.4178876756836,10,2
3.0,3.0,183.00884535975055,10,2
4.0,3.0,192.81720649540813,10,2
5.0,3.0,202.83993670661494,10,2
6.0,3.0,213.07391455736288,10,2
7.0,3.0,223.51593829298744,10,2
8.0,3.0,234.16273230179527,10,2
9.0,3.0,245.01095331005803,10,2
10.0,3.0,256.05719631474875,10,2
11.0,3.0,267.2980002642005,10,2
12.0,3.0,278.7298534946612,10,2
13.0,3.0,290.3491989561543,10,2
14.0,3.0,289.6874913095953,8,2
15.0,3.0,282.21186162534985,6,2
16.0,3.0,282.5015692402946,5,2
17.0,3.0,279.7820630694789,4,2
18.0,3.0,290.1043022622602,4,2
19.0,3.0,300.56294302110655,4,2
20.0,3.0,277.93752941403,2,2
21.0,3.0,287.51053713498436,2,2
22.0,3.0,297.19690171415743,2,2
23.0,3.0,306.9938457153032,2,2
24.0,3.0,316.8985907208894,2,2
25.0,3.0,317.64193311225876,1,2
26.0,3.0,327.46609803883985,1,2
0.0,30.0,174.59699379483703,10,2
1.0,30.0,184.9120738310849,10,2
2.0,30.0,195.12892754277894,10,2
3.0,30.0,201.91134775371287,10,2
4.0,30.0,204.2718595853913,10,2
5.0,30.0,201.87045659430925,10,2
6.0,30.0,198.84897004646922,10,2
7.0,30.0,197.78834008256234,10,2
8.0,30.0,197.39538784780888,10,2
9.0,30.0,197.24783522280487,10,2
10.0,30.0,197.19139894799312,10,2
11.0,30.0,197.17244827518192,10,2
12.0,30.0,197.16860571722992,10,2
13.0,30.0,197.1651698510531,10,2
14.0,30.0,197.1662564347183,10,2
15.0,30.0,197.16720676321123,10,2
16.0,30.0,190.66767192818045,9,2
17.0,30.0,190.66874224670624,9,2
18.0,30.0,190.6697860037363,9,2
19.0,30.0,190.67080739224633,9,2
20.0,30.0,190.67180831335648,9,2
21.0,30.0,190.67278940021097,9,2
22.0,30.0,190.6737509438461,9,2
23.0,30.0,190.67469362888727,9,2
24.0,30.0,190.67561766644906,9,2
25.0,30.0,190.67652304164406,9,2
26.0,30.0,190.6774096486833,9,2
27.0,30.0,186.85140092149055,8,2
28.0,30.0,186.8521786204679,8,2
29.0,30.0,182.56746311556836,7,2
30.0,30.0,182.56825661271813,7,2
31.0,30.0,182.5690235456889,7,2
32.0,30.0,182.5697650710913,7,2
33.0,30.0,182.57049251384737,7,2
34.0,30.0,182.57121744215718,7,2
35.0,30.0,182.57193814995318,7,2
36.0,30.0,182.57263871389296,7,2
37.0,30.0,182.57332175121127,7,2
38.0,30.0,182.57398799729785,7,2
39.0,30.0,182.5746414084727,7,2
40.0,30.0,182.57528172527637,7,2
41.0,30.0,176.6551745820811,5,2
42.0,30.0,176.65590076126378,5,2
43.0,30.0,176.65660803282017,5,2
44.0,30.0,176.6573004315041,5,2
45.0,30.0,176.6579822353086,5,2
46.0,30.0,176.65864927451304,5,2
47.0,30.0,173.1287797562104,4,2
48.0,30.0,173.12925565552123,4,2
49.0,30.0,173.1297313730087,4,2
50.0,30.0,173.13020088454567,4,2
51.0,30.0,168.24028069827307,3,2
52.0,30.0,168.24071511269338,3,2
53.0,30.0,168.2411414882642,3,2
54.0,30.0,168.24156077223327,3,2
55.0,30.0,168.2419677593609,3,2
56.0,30.0,168.2423650549538,3,2
57.0,30.0,168.24275974879387,3,2
58.0,30.0,168.2431462414888,3,2
59.0,30.0,168.24352189706383,3,2
60.0,30.0,168.2438876901621,3,2
61.0,30.0,168.24425198923055,3,2
62.0,30.0,168.24462224607865,3,2
63.0,30.0,168.24497320848826,3,2
64.0,30.0,168.24529509481025,3,2
65.0,30.0,168.24560468332376,3,2
66.0,30.0,168.24593573445767,3,2
67.0,30.0,168.24626593289955,3,2
68.0,30.0,163.9557230448013,2,2
69.0,30.0,163.95601411956034,2,2
70.0,30.0,163.95630032684784,2,2
71.0,30.0,163.9565822882033,2,2
72.0,30.0,163.95686030464185,2,2
73.0,30.0,163.95712906909955,2,2
74.0,30.0,163.95739251350815,2,2
75.0,30.0,163.95765552848866,2,2
76.0,30.0,163.9579106320341,2,2
