C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,17.2,22.7,5.5,341.43297930640426,169.8731703828398,1
0.03,14.7,20.1,5.4,344.51318051252264,175.55839928117206,1
0.3,15.4,20.8,5.4,343.7282726577691,173.70077349413685,1
3.0,16.3,21.6,5.3,342.4487135885569,176.5308422917945,1
30.0,Inf,Inf,NaN,Inf,Inf,1
0.0,14.9,20.0,5.1,344.1719942917598,187.7947827193128,2
0.03,14.2,19.3,5.1,344.92351889307906,184.80035119507792,2
0.3,16.0,21.2,5.2,342.1300353069038,171.22997178894025,2
3.0,18.3,23.9,5.6,340.1121778564887,163.7174463518716,2
30.0,Inf,Inf,NaN,Inf,Inf,2
0.0,16.2,21.5,5.3,342.6442714354714,177.35423988873518,3
0.03,15.8,20.9,5.1,343.3043137001092,187.09499367334035,3
0.3,17.1,22.2,5.1,340.6591788074169,175.68865019106457,3
3.0,15.5,20.7,5.2,343.41427582871694,183.1651418774191,3
30.0,46.3,48.8,2.5,185.66830152829237,75.48589537009035,3
0.0,14.4,19.5,5.1,344.6730011275292,178.23502401598927,4
0.03,12.9,18.0,5.1,346.8223369724161,186.97452121594895,4
0.3,16.5,21.9,5.4,342.4588606314505,173.4668042930412,4
3.0,14.1,19.2,5.1,344.91100071423983,179.4124627806468,4
30.0,29.4,31.8,2.4,208.87894465878298,88.16455701090159,4
0.0,14.1,19.2,5.1,345.25327114671416,182.9880310743071,5
0.03,14.0,19.0,5.0,344.8518116187768,185.02205166815057,5
0.3,14.7,20.0,5.3,344.7012085878953,180.49204538792145,5
3.0,17.3,22.6,5.3,341.51762245586474,181.06723460960762,5
30.0,48.9,51.2,2.3,177.98581942298802,77.85037186882454,5
0.0,15.7,20.9,5.2,343.47249486616136,184.02863737212186,6
0.03,14.6,20.0,5.4,344.6217247964262,172.6417929153927,6
0.3,14.0,19.0,5.0,345.01822731247285,181.11976104262928,6
3.0,14.3,19.5,5.2,344.79391090055964,179.67941467710762,6
30.0,Inf,Inf,NaN,Inf,Inf,6
0.0,14.2,19.3,5.1,345.1693297507913,186.58865768150676,7
0.03,15.2,20.4,5.2,343.2056840754189,172.5639531830508,7
0.3,16.2,21.5,5.3,342.64163899175685,177.28123167402438,7
3.0,14.0,19.1,5.1,345.27522053110926,183.4401561429956,7
30.0,Inf,Inf,NaN,Inf,Inf,7
0.0,16.4,21.6,5.2,342.2394092098576,177.71707787173233,8
0.03,17.0,22.2,5.2,340.9676771377985,173.92758534354525,8
0.3,14.9,20.3,5.4,344.22665155709547,174.4866799522978,8
3.0,14.1,19.1,5.0,344.82645015466545,182.38194774721518,8
30.0,Inf,Inf,NaN,Inf,Inf,8
0.0,16.6,21.9,5.3,342.15533356325034,178.94168747709796,9
0.03,13.0,18.1,5.1,346.45562185086686,184.49346486471754,9
0.3,13.8,18.8,5.0,345.5932326190281,185.11244140264375,9
3.0,15.1,20.3,5.2,344.02904388723675,182.95760144864565,9
30.0,Inf,Inf,NaN,Inf,Inf,9
0.0,13.7,18.7,5.0,345.5809447754047,188.65896050180842,10
0.03,19.9,25.1,5.2,337.55252007918386,176.5682654586995,10
0.3,14.3,19.6,5.3,345.0509859407151,180.349556698233,10
3.0,14.8,19.9,5.1,344.0214832299993,181.16489734281043,10
30.0,Inf,Inf,NaN,Inf,Inf,10
0.0,16.9,22.0,5.1,341.5361429799135,183.18802091737382,11
0.03,14.2,19.4,5.2,345.0470981319505,183.67950660227137,11
0.3,16.2,21.5,5.3,342.7157814330876,176.15661995797888,11
3.0,14.4,19.6,5.2,345.21801318426026,179.49937104501265,11
30.0,Inf,Inf,NaN,Inf,Inf,11
0.0,15.4,20.6,5.2,343.5396219408643,178.68627227575604,12
0.03,17.7,23.1,5.4,340.64591143622584,171.22930239314744,12
0.3,15.9,21.4,5.5,343.44789191365845,174.66880153268897,12
3.0,16.0,21.4,5.4,343.2641618875165,179.03171383438752,12
