t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,174.21845091723847,10,1
1.0,0.0,184.51127993571072,10,1
2.0,0.0,195.05544176091368,10,1
3.0,0.0,205.8477434376294,10,1
4.0,0.0,216.88487686514404,10,1
5.0,0.0,228.1634290344578,10,1
6.0,0.0,239.67988807961336,10,1
7.0,0.0,251.43065047157165,10,1
8.0,0.0,263.4120312148726,10,1
9.0,0.0,275.62026863548675,10,1
10.0,0.0,288.05153049311826,10,1
11.0,0.0,295.26674509145016,9,1
12.0,0.0,301.0785924121857,8,1
13.0,0.0,299.0231177428416,6,1
14.0,0.0,302.139211548487,5,1
15.0,0.0,303.30255872085417,4,1
16.0,0.0,304.5314512471132,3,1
17.0,0.0,297.9134803095985,2,1
18.0,0.0,308.9073518343473,2,1
19.0,0.0,320.04658029892323,2,1
20.0,0.0,321.65690190017006,1,1
21.0,0.0,332.7423751656148,1,1
0.0,0.03,161.5886485428946,10,1
1.0,0.03,171.13265369489042,10,1
2.0,0.03,180.90958813904896,10,1
3.0,0.03,190.91649033772663,10,1
4.0,0.03,201.15029284647034,10,1
5.0,0.03,211.60782996242975,10,1
6.0,0.03,222.2858450626277,10,1
7.0,0.03,233.18099764314388,10,1
8.0,0.03,244.28987006644752,10,1
9.0,0.03,255.60897403150975,10,1
10.0,0.03,257.77693544641545,9,1
11.0,0.03,269.09349003320466,9,1
12.0,0.03,280.60239070646037,9,1
13.0,0.03,292.30005647453555,9,1
14.0,0.03,304.18286549555893,9,1
15.0,0.03,286.00634425985237,5,1
16.0,0.03,297.0738020289839,5,1
17.0,0.03,299.53661606432456,4,1
18.0,0.03,297.4028886970973,3,1
19.0,0.03,308.1257045614885,3,1
20.0,0.03,302.72771559093417,2,1
21.0,0.03,313.15831785662726,2,1
22.0,0.03,323.7125325950799,2,1
23.0,0.03,332.41282057147544,1,1
0.0,0.3,175.9598693170394,10,1
1.0,0.3,186.35597488801906,10,1
2.0,0.3,197.0059521662225,10,1
3.0,0.3,207.90657605099346,10,1
4.0,0.3,219.05450588260715,10,1
5.0,0.3,230.44629378466817,10,1
6.0,0.3,242.07839266904648,10,1
7.0,0.3,253.9471639099385,10,1
8.0,0.3,266.0488847023427,10,1
9.0,0.3,269.5396982896882,9,1
10.0,0.3,281.69582505297484,9,1
11.0,0.3,287.0565664651706,8,1
12.0,0.3,299.3364628842676,8,1
13.0,0.3,296.55712353993107,6,1
14.0,0.3,299.5184408627771,5,1
15.0,0.3,311.3970998305764,5,1
16.0,0.3,317.06045691704037,4,1
17.0,0.3,321.1323225093897,3,1
18.0,0.3,306.8993498804409,1,1
19.0,0.3,317.9659109551211,1,1
20.0,0.3,329.1735984190913,1,1
0.0,3.0,170.34017624872314,10,1
1.0,3.0,180.40309307725093,10,1
2.0,3.0,190.71169246630123,10,1
3.0,3.0,201.2628523743297,10,1
4.0,3.0,212.05333897482666,10,1
5.0,3.0,223.07981472818068,10,1
6.0,3.0,234.3388461249085,10,1
7.0,3.0,245.82691111267945,10,1
8.0,3.0,257.5404062141464,10,1
9.0,3.0,269.4756533510355,10,1
10.0,3.0,281.6289063798549,10,1
11.0,3.0,286.86698051429784,9,1
12.0,3.0,292.5237684601502,8,1
13.0,3.0,288.9198169767372,6,1
14.0,3.0,276.92421086819826,4,1
15.0,3.0,287.9037073866469,4,1
16.0,3.0,280.21682471542755,3,1
17.0,3.0,290.80228502690494,3,1
18.0,3.0,301.53279244289547,3,1
19.0,3.0,251.3941693442465,1,1
