C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,15.3,20.6,5.3,343.6280260701104,173.72468838631795,1
0.03,17.2,22.4,5.2,341.1855182128741,182.48059824037944,1
0.3,15.0,20.3,5.3,344.36672575163004,179.81703340804702,1
3.0,15.9,21.3,5.4,343.5147234977509,180.32577983629724,1
30.0,Inf,Inf,NaN,Inf,Inf,1
0.0,15.6,20.9,5.3,342.9949485195634,174.0382794848425,2
0.03,14.4,19.6,5.2,345.2887887468777,184.7289980524163,2
0.3,14.6,19.6,5.0,344.2391852198896,184.78300575536483,2
3.0,16.5,21.8,5.3,341.9431765313951,174.62451805688576,2
30.0,Inf,Inf,NaN,Inf,Inf,2
0.0,14.2,19.2,5.0,345.0272274673493,185.24854960400972,3
0.03,13.6,18.6,5.0,345.8885774212601,184.91330945220625,3
0.3,13.1,18.2,5.1,346.5106056976061,182.96827965675874,3
3.0,15.4,20.5,5.1,343.6927462565115,185.7549374684685,3
30.0,Inf,Inf,NaN,Inf,Inf,3
0.0,14.2,19.2,5.0,345.1071538622846,186.56875626317043,4
0.03,15.4,20.5,5.1,343.23076493106214,180.90630689203985,4
0.3,13.8,19.1,5.3,345.83299300905253,184.10836144103487,4
3.0,13.7,19.0,5.3,345.92784047459486,176.66439312136555,4
30.0,Inf,Inf,NaN,Inf,Inf,4
0.0,16.9,22.4,5.5,341.9827695832442,174.03758067650656,5
0.03,12.9,18.1,5.2,346.94127773470274,186.13981237614243,5
0.3,15.4,20.5,5.1,343.07035179272526,177.80200534960036,5
3.0,14.3,19.6,5.3,344.71879447386135,175.5649764115222,5
30.0,39.4,41.5,2.1,171.60692674053678,82.44046341726613,5
0.0,13.7,18.7,5.0,345.5017117672511,185.8212084698672,6
0.03,15.5,20.8,5.3,343.8471028449201,177.65232688465198,6
0.3,18.0,23.2,5.2,339.8989597244199,177.44161918457087,6
3.0,15.8,20.9,5.1,343.1675275127307,184.92463549437184,6
30.0,Inf,Inf,NaN,Inf,Inf,6
0.0,15.7,21.1,5.4,343.41844641311445,175.4329785286035,7
0.03,14.9,20.2,5.3,344.0775077329023,176.05779939423996,7
0.3,16.3,21.9,5.6,343.0022519831878,171.15652071060038,7
3.0,16.2,21.3,5.1,342.26695575032784,182.6993055778959,7
30.0,Inf,Inf,NaN,Inf,Inf,7
0.0,14.8,20.0,5.2,344.30349217932417,179.51284602221833,8
0.03,16.7,21.8,5.1,341.6194159434964,181.52879868565498,8
0.3,16.0,21.1,5.1,342.6812973732725,185.62902405373478,8
3.0,13.9,18.7,4.8,336.55961150473814,170.57304624872137,8
30.0,28.7,31.1,2.4,193.60713820877902,85.12350511688642,8
0.0,16.7,22.1,5.4,342.43207202225636,176.35488931841385,9
0.03,16.7,21.9,5.2,341.25932175245384,177.23495212465787,9
0.3,13.7,18.9,5.2,345.9741126719142,186.7949503205264,9
3.0,15.6,20.9,5.3,343.3940200215291,176.33342524166784,9
30.0,Inf,Inf,NaN,Inf,Inf,9
0.0,16.7,22.0,5.3,342.02113092034006,176.49708007615794,10
0.03,15.3,20.4,5.1,343.3391723217093,178.8423666811687,10
0.3,17.4,22.8,5.4,340.99309949236596,170.5636244669572,10
3.0,14.1,19.6,5.5,345.591924851729,173.14590865449588,10
30.0,Inf,Inf,NaN,Inf,Inf,10
0.0,15.0,20.3,5.3,344.2761067483252,178.21428606267872,11
0.03,14.2,19.4,5.2,344.9311453279043,178.2579619525047,11
0.3,14.7,20.0,5.3,344.6510166865561,177.86192504669208,11
3.0,14.2,19.4,5.2,345.0920569318343,180.73959386867259,11
30.0,Inf,Inf,NaN,Inf,Inf,11
0.0,14.8,20.0,5.2,344.50603541108705,182.39238024348342,12
0.03,16.5,21.6,5.1,342.04937079403845,187.68696965738079,12
0.3,15.3,20.6,5.3,343.91475969371606,179.51216489625386,12
3.0,13.0,18.1,5.1,346.38786947193154,185.6390167400531,12
30.0,Inf,Inf,NaN,Inf,Inf,12
0.0,14.5,19.8,5.3,344.9704396658575,178.7040973019836,13
0.03,15.4,20.4,5.0,343.3214399582625,184.01561268633364,13
0.3,16.2,21.4,5.2,342.486777932863,179.64230543559813,13
3.0,15.6,20.7,5.1,341.94246620718616,179.76869127377114,13
30.0,Inf,Inf,NaN,Inf,Inf,13
0.0,15.0,20.2,5.2,344.1466791292031,186.68381935443279,14
0.03,15.4,20.5,5.1,343.2865679395885,182.4047820153501,14
0.3,13.7,18.9,5.2,345.9833578940148,186.4528561593467,14
3.0,15.4,20.5,5.1,343.3381812178864,182.90655220443153,14
30.0,Inf,Inf,NaN,Inf,Inf,14
0.0,14.6,19.8,5.2,344.79820721672934,183.15096486057297,15
0.03,17.1,22.6,5.5,341.4062801165277,166.11066946918493,15
0.3,14.6,19.6,5.0,344.0569826431443,182.30566428125093,15
3.0,15.5,20.6,5.1,343.2401849509143,183.96702902331972,15
30.0,27.1,29.3,2.2,191.3520617814953,85.96094728106051,15
0.0,15.6,20.9,5.3,343.2645251562409,176.86237583031055,16
0.03,13.4,18.5,5.1,346.41026304706156,188.68188623154322,16
0.3,14.0,19.5,5.5,345.9073328236972,177.20657247105171,16
3.0,14.0,19.1,5.1,344.46524986036127,179.45406989877313,16
30.0,Inf,Inf,NaN,Inf,Inf,16
0.0,15.0,20.2,5.2,344.19337005752914,181.0518143033276,17
0.03,12.9,18.4,5.5,347.09902124044856,174.78764547195925,17
0.3,18.5,23.6,5.1,339.34201655793134,182.81952637277377,17
3.0,13.9,19.1,5.2,344.80965457704315,183.2311462469787,17
30.0,Inf,Inf,NaN,Inf,Inf,17
0.0,14.9,20.1,5.2,343.97930850152693,174.67481772253595,18
