t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,175.1814881009483,10,1
1.0,0.0,185.53140066476593,10,1
2.0,0.0,196.13404911607236,10,1
3.0,0.0,206.98622284365788,10,1
4.0,0.0,218.0845954401553,10,1
5.0,0.0,229.42573499641782,10,1
6.0,0.0,241.00611018675355,10,1
7.0,0.0,252.82209750372925,10,1
8.0,0.0,264.86999151337227,10,1
9.0,0.0,277.1460096867625,10,1
10.0,0.0,289.6462985874738,10,1
11.0,0.0,296.3574521691748,9,1
12.0,0.0,303.4748219424257,8,1
13.0,0.0,316.1293239399207,8,1
14.0,0.0,313.5183269833206,5,1
15.0,0.0,294.0809651857851,2,1
16.0,0.0,305.4620345920511,2,1
17.0,0.0,317.0048539301064,2,1
18.0,0.0,328.70594785548826,2,1
19.0,0.0,338.21828236321994,1,1
0.0,0.03,199.14255035580464,10,1
1.0,0.03,210.91325891964578,10,1
2.0,0.03,222.97162115022775,10,1
3.0,0.03,235.31398676386476,10,1
4.0,0.03,247.93657434912365,10,1
5.0,0.03,260.8354808302812,10,1
6.0,0.03,274.0066905422142,10,1
7.0,0.03,279.0555933283641,9,1
8.0,0.03,292.3577726381401,9,1
9.0,0.03,289.6380468215231,7,1
10.0,0.03,302.70360112774006,7,1
11.0,0.03,307.8640820457769,6,1
12.0,0.03,314.92621839911396,5,1
13.0,0.03,320.53354425136223,4,1
14.0,0.03,312.3520309807694,2,1
15.0,0.03,324.74141478707713,2,1
16.0,0.03,321.01663315989424,1,1
17.0,0.03,333.1493533799355,1,1
0.0,0.3,184.548613710159,10,1
1.0,0.3,195.45394718174302,10,1
2.0,0.3,206.62566728469537,10,1
3.0,0.3,218.06039140430576,10,1
4.0,0.3,229.75461560278023,10,1
5.0,0.3,241.7047233732234,10,1
6.0,0.3,253.90699404068647,10,1
7.0,0.3,266.35761081784756,10,1
8.0,0.3,279.0526685291692,10,1
9.0,0.3,291.9881810129843,10,1
10.0,0.3,299.201361286445,9,1
11.0,0.3,306.08594923029017,8,1
12.0,0.3,319.18260269299157,8,1
13.0,0.3,319.1340677771141,5,1
14.0,0.3,317.859696087072,3,1
15.0,0.3,316.63230461479753,2,1
16.0,0.3,304.22598458588095,1,1
17.0,0.3,315.7219100964271,1,1
18.0,0.3,327.37546173907333,1,1
19.0,0.3,339.183160993571,1,1
0.0,3.0,175.46341105135411,10,1
1.0,3.0,185.83005977614633,10,1
2.0,3.0,196.44976007507657,10,1
3.0,3.0,207.31923558021836,10,1
4.0,3.0,218.4351886608193,10,1
5.0,3.0,229.79422545445308,10,1
6.0,3.0,241.39283640766317,10,1
7.0,3.0,253.2274071956245,10,1
8.0,3.0,265.2942322143752,10,1
9.0,3.0,277.5895254334258,10,1
10.0,3.0,283.3835351004828,9,1
11.0,3.0,277.95680125953544,7,1
12.0,3.0,289.84566981256165,7,1
13.0,3.0,292.4825235313915,6,1
