C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.5,21.8,5.3,342.26347984861235,177.95318404271023,1
0.03,14.3,19.6,5.3,345.46507358160795,183.41555340092268,1
0.3,15.7,20.8,5.1,343.28179274645055,185.99019375009723,1
3.0,16.0,21.1,5.1,342.51631904277724,181.1309709173451,1
30.0,Inf,Inf,NaN,Inf,Inf,1
0.0,16.3,21.7,5.4,342.56201750256014,173.3367966286698,2
0.03,14.8,20.2,5.4,344.3276742492457,170.70858952794225,2
0.3,13.8,19.0,5.2,345.62040605132677,180.65448426231947,2
3.0,14.1,19.3,5.2,345.1974504168924,182.9430664546111,2
30.0,Inf,Inf,NaN,Inf,Inf,2
0.0,15.1,20.1,5.0,343.8968820191284,191.22650232164128,3
0.03,17.0,22.3,5.3,341.65220427907104,175.8943791589817,3
0.3,15.3,20.7,5.4,343.86487512275755,173.00651576146817,3
3.0,14.2,19.6,5.4,345.2569759648367,179.27794377156633,3
30.0,Inf,Inf,NaN,Inf,Inf,3
0.0,16.0,21.3,5.3,342.5979036636262,176.1419705457204,4
0.03,14.5,19.9,5.4,344.817429922867,170.64170886638698,4
0.3,13.3,18.7,5.4,346.616115346602,179.8857575238753,4
3.0,15.6,20.9,5.3,343.25904063216115,174.15763063294412,4
30.0,Inf,Inf,NaN,Inf,Inf,4
0.0,14.7,20.1,5.4,344.6745701408427,171.66953059312578,5
0.03,15.2,20.4,5.2,343.8090806266153,179.35004372884248,5
0.3,18.0,23.6,5.6,341.1423864420889,172.59941066908982,5
3.0,15.1,20.3,5.2,344.10770428889896,181.42847838736844,5
30.0,Inf,Inf,NaN,Inf,Inf,5
0.0,16.5,21.8,5.3,342.0103217593839,173.4097743120678,6
0.03,15.7,21.1,5.4,343.5301167945678,176.88041341411667,6
0.3,16.3,21.5,5.2,342.6309013227078,182.2988359026821,6
3.0,17.0,22.5,5.5,341.43647424650754,161.15133010398307,6
30.0,37.0,43.8,6.8,273.6556334206308,109.13003009330752,6
0.0,15.1,20.5,5.4,343.95320881010474,171.60467907679202,7
0.03,15.4,20.5,5.1,343.5280909946368,182.8286234907747,7
0.3,15.6,20.8,5.2,343.55700932803194,184.45371574304107,7
3.0,16.1,21.4,5.3,342.3575563034184,170.68653476486617,7
30.0,Inf,Inf,NaN,Inf,Inf,7
0.0,15.0,20.1,5.1,344.1805515365571,186.00310747932585,8
0.03,14.2,19.5,5.3,345.35457636552013,182.63945709110175,8
0.3,15.4,20.8,5.4,343.87649124603723,175.92904881973192,8
3.0,15.0,20.2,5.2,344.21205574577664,183.86897454469812,8
30.0,Inf,Inf,NaN,Inf,Inf,8
0.0,14.6,19.9,5.3,344.72107429290367,180.86314835113444,9
0.03,13.9,19.0,5.1,345.2733570332051,184.0685471772017,9
