t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,166.43731996182217,10,1
1.0,0.0,177.79393121486598,10,1
2.0,0.0,189.4633699775408,10,1
3.0,0.0,201.435844638151,10,1
4.0,0.0,213.7014063233139,10,1
5.0,0.0,226.2499865307424,10,1
6.0,0.0,239.07142122928067,10,1
7.0,0.0,252.1554818403875,10,1
8.0,0.0,251.87232861359047,9,1
9.0,0.0,264.74722757837975,9,1
10.0,0.0,277.8416946033252,9,1
11.0,0.0,291.146020061256,9,1
12.0,0.0,284.5225384120807,7,1
13.0,0.0,265.18728891100875,5,1
14.0,0.0,250.5370981188006,4,1
15.0,0.0,261.1017362101957,4,1
16.0,0.0,271.7876289330453,4,1
17.0,0.0,282.5878591755627,4,1
18.0,0.0,293.4956035743358,4,1
19.0,0.0,283.5189470045876,3,1
20.0,0.0,293.84963849435366,3,1
21.0,0.0,273.2179388283185,2,1
22.0,0.0,282.62606353747265,2,1
23.0,0.0,222.82473415038208,1,1
24.0,0.0,230.0727193297098,1,1
25.0,0.0,237.35991101022134,1,1
26.0,0.0,244.68258444213782,1,1
27.0,0.0,252.0370962582217,1,1
28.0,0.0,259.4198867395998,1,1
29.0,0.0,266.8274850669831,1,1
30.0,0.0,274.2565055661471,1,1
31.0,0.0,281.70364929762684,1,1
32.0,0.0,289.1657041222274,1,1
33.0,0.0,296.63954470102374,1,1
34.0,0.0,304.1221324953605,1,1
35.0,0.0,311.6105157668528,1,1
36.0,0.0,319.10182956445243,1,1
37.0,0.0,326.59329458462867,1,1
38.0,0.0,334.08221638147313,1,1
0.0,0.03,195.85754573267207,10,1
1.0,0.03,209.2425273547462,10,1
2.0,0.03,222.9971122381789,10,1
3.0,0.03,237.10975445346284,10,1
4.0,0.03,251.56872276549484,10,1
5.0,0.03,266.36213947591176,10,1
6.0,0.03,281.4780164423687,10,1
7.0,0.03,296.90428841008287,10,1
8.0,0.03,312.6288438104588,10,1
9.0,0.03,316.7164987548092,8,1
10.0,0.03,324.82709865447083,7,1
11.0,0.03,340.40101633720934,7,1
12.0,0.03,350.08045393216264,5,1
13.0,0.03,346.3535845023484,2,1
14.0,0.03,356.3544454601755,1,1
0.0,0.3,170.5361703605695,10,1
1.0,0.3,182.17341180188663,10,1
2.0,0.3,194.13125217632697,10,1
3.0,0.3,206.39965721498874,10,1
4.0,0.3,218.9684330897689,10,1
5.0,0.3,231.8272600522113,10,1
6.0,0.3,244.96572361379282,10,1
7.0,0.3,258.37334340540616,10,1
8.0,0.3,272.0395998565342,10,1
9.0,0.3,285.9539588205543,10,1
10.0,0.3,290.3234043979976,9,1
11.0,0.3,304.22910474190263,9,1
12.0,0.3,318.34416346499916,9,1
13.0,0.3,311.13936590343224,6,1
14.0,0.3,302.1324604040016,4,1
15.0,0.3,293.5004411932701,3,1
16.0,0.3,305.52399147674424,3,1
17.0,0.3,293.1486486775725,2,1
18.0,0.3,304.4655878529276,2,1
19.0,0.3,315.88712979953857,2,1
20.0,0.3,327.40640367837176,2,1
21.0,0.3,321.5550473406663,1,1
22.0,0.3,332.6416900804828,1,1
23.0,0.3,343.8019904566677,1,1
0.0,3.0,190.77257200113826,10,1
1.0,3.0,203.8174731446222,10,1
2.0,3.0,217.2229038362228,10,1
3.0,3.0,230.97760705572188,10,1
