t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,6.875784984703308,10,1
1.0,0.0,10.157694666777088,10,1
2.0,0.0,13.671225368196096,10,1
3.0,0.0,17.417957661802756,10,1
4.0,0.0,21.399847096145884,10,1
5.0,0.0,25.618678494588803,10,1
6.0,0.0,30.07596029387684,10,1
7.0,0.0,34.77290030250619,10,1
8.0,0.0,39.710404661496355,10,1
9.0,0.0,44.889085127132034,10,1
10.0,0.0,50.30926985504119,10,1
11.0,0.0,55.97101502344109,10,1
12.0,0.0,61.874117673597844,10,1
13.0,0.0,68.0181279813801,10,1
14.0,0.0,74.40236129305238,10,1
15.0,0.0,81.025910733973,10,1
16.0,0.0,87.88765873090601,10,1
17.0,0.0,94.98628780386265,10,1
18.0,0.0,102.32029208579405,10,1
19.0,0.0,109.88798818857785,10,1
20.0,0.0,117.68752484304815,10,1
21.0,0.0,125.71689244160454,10,1
22.0,0.0,133.97393310135672,10,1
23.0,0.0,142.4563498297309,10,1
24.0,0.0,151.1617154297478,10,1
25.0,0.0,160.08748009494838,10,1
26.0,0.0,168.80490148081304,10,1
27.0,0.0,176.79052610109673,10,1
28.0,0.0,186.26431975121244,10,1
29.0,0.0,195.94511752587513,10,1
30.0,0.0,193.71558435051517,7,1
31.0,0.0,177.1033304007317,10,1
32.0,0.0,167.16392418547656,10,1
33.0,0.0,165.47517452935912,10,1
34.0,0.0,162.51207910928525,10,1
35.0,0.0,162.24037933994893,10,1
36.0,0.0,161.85466816944407,10,1
37.0,0.0,160.55056215136176,10,1
38.0,0.0,164.79536368672436,10,1
39.0,0.0,169.25615946694396,10,1
40.0,0.0,169.10486798204218,10,1
26.0,0.03,168.58875670323067,10,1
27.0,0.03,177.8748192045742,10,1
28.0,0.03,187.2075245903979,10,1
29.0,0.03,196.6365262737756,10,1
30.0,0.03,202.7640172051008,9,1
31.0,0.03,200.2756468775727,6,1
26.0,0.3,171.57751453025145,10,1
27.0,0.3,152.5737001483599,10,1
28.0,0.3,139.00757570849657,10,1
29.0,0.3,137.75808722034645,10,1
30.0,0.3,137.71162517457202,10,1
31.0,0.3,137.70045682958403,10,1
41.0,0.0,167.68108233938386,10,1
42.0,0.0,172.089966304506,10,1
43.0,0.0,176.74106357232893,10,1
44.0,0.0,181.63548920291583,10,1
45.0,0.0,186.77404004505027,10,1
46.0,0.0,192.15720906654843,10,1
47.0,0.0,197.7852022824664,10,1
48.0,0.0,200.98418771239199,9,1
49.0,0.0,207.020557157633,9,1
50.0,0.0,213.29756884892066,9,1
51.0,0.0,219.8144272162034,9,1
52.0,0.0,225.32004940609883,8,1
53.0,0.0,220.49142005858218,3,1
54.0,0.0,220.5485562283685,2,1
55.0,0.0,227.38210060720644,2,1
56.0,0.0,226.01015086749794,1,1
57.0,0.0,233.00645902269503,1,1
58.0,0.0,240.20473852394446,1,1
0.0,0.0,6.7946757406252045,10,2
1.0,0.0,10.03697426668511,10,2
2.0,0.0,13.508095440181512,10,2
3.0,0.0,17.20958658920271,10,2
4.0,0.0,21.143373845551885,10,2
5.0,0.0,25.311217138147452,10,2
6.0,0.0,29.714604398048742,10,2
7.0,0.0,34.35472704330171,10,2
8.0,0.0,39.23247877530646,10,2
9.0,0.0,44.34846285906958,10,2
10.0,0.0,49.70300221375523,10,2
11.0,0.0,55.296151660010565,10,2
12.0,0.0,61.12770985952407,10,2
13.0,0.0,67.19723142024883,10,2
14.0,0.0,73.50403979121175,10,2
15.0,0.0,80.04723854109298,10,2
16.0,0.0,86.82572253462973,10,2
17.0,0.0,93.8381902067745,10,2
18.0,0.0,101.08315411004946,10,2
19.0,0.0,108.55895039298952,10,2
20.0,0.0,116.26374939445283,10,2
21.0,0.0,124.19556616182157,10,2
22.0,0.0,132.352269500386,10,2
23.0,0.0,140.73158978521812,10,2
24.0,0.0,149.3311279061966,10,2
25.0,0.0,158.14836567593528,10,2
26.0,0.0,166.98780853447727,10,2
27.0,0.0,175.61103165261065,10,2
28.0,0.0,185.02136288370986,10,2
29.0,0.0,194.6373016054571,10,2
30.0,0.0,201.3858093538943,9,2
31.0,0.0,182.2914327770993,10,2
32.0,0.0,168.7904693549487,10,2
33.0,0.0,167.5823789264045,10,2
34.0,0.0,161.46513885147908,10,2
35.0,0.0,166.26366749331183,10,2
36.0,0.0,149.46258967584924,10,2
37.0,0.0,153.03098014373447,10,2
38.0,0.0,156.81598114995145,10,2
39.0,0.0,160.82000843724995,10,2
40.0,0.0,165.04511496731195,10,2
41.0,0.0,169.49300778249963,10,2
26.0,0.03,167.33455265845575,10,2
27.0,0.03,176.55124591887653,10,2
28.0,0.03,185.81422702167262,10,2
29.0,0.03,195.17276526203167,10,2
30.0,0.03,190.95716138727929,7,2
31.0,0.03,194.46847365011183,6,2
26.0,0.3,167.79824341237025,10,2
27.0,0.3,149.2101575857933,10,2
28.0,0.3,135.94402944265244,10,2
29.0,0.3,134.72185183324794,10,2
30.0,0.3,134.67690236080009,10,2
31.0,0.3,134.66653311291626,10,2
42.0,0.0,168.29830051066625,10,2
43.0,0.0,172.84673711391616,10,2
44.0,0.0,177.63310004619015,10,2
45.0,0.0,182.65816745011526,10,2
46.0,0.0,187.9224208992328,10,2
47.0,0.0,193.42606060487603,10,2
48.0,0.0,199.16901948692913,10,2
49.0,0.0,205.15097653182187,10,2
50.0,0.0,202.09212383155696,7,2
51.0,0.0,197.46661528599887,5,2
52.0,0.0,203.53220709824237,5,2
53.0,0.0,209.81113247588374,5,2
54.0,0.0,216.30212114266857,5,2
55.0,0.0,223.0037385546625,5,2
56.0,0.0,221.04029896722855,3,2
57.0,0.0,227.88221401469988,3,2
58.0,0.0,228.78230507800708,2,2
59.0,0.0,235.82728727558293,2,2
60.0,0.0,235.41672221443258,1,2
61.0,0.0,242.60222698892187,1,2
0.0,0.0,6.998073105451103,10,3
1.0,0.0,10.339577880864283,10,3
2.0,0.0,13.916915634214186,10,3
3.0,0.0,17.73171680247648,10,3
4.0,0.0,21.785980991672247,10,3
5.0,0.0,26.08153049882512,10,3
6.0,0.0,30.61990470922393,10,3
7.0,0.0,35.40233609491592,10,3
8.0,0.0,40.42974942829753,10,3
9.0,0.0,45.702769574481664,10,3
10.0,0.0,51.221732066352,10,3
11.0,0.0,56.986695645900184,10,3
12.0,0.0,62.99745496434303,10,3
13.0,0.0,69.25355270395838,10,3
14.0,0.0,75.7542930295433,10,3
15.0,0.0,82.49875358123357,10,3
16.0,0.0,89.4857964979723,10,3
17.0,0.0,96.71408119484823,10,3
18.0,0.0,104.18207541412838,10,3
19.0,0.0,111.88806533293881,10,3
20.0,0.0,119.83016560348688,10,3
21.0,0.0,128.00633075917415,10,3
22.0,0.0,136.4143643609549,10,3
23.0,0.0,145.05192802216,10,3
24.0,0.0,153.91654905389356,10,3
25.0,0.0,163.00563160583349,10,3
26.0,0.0,173.54326979225203,10,3
27.0,0.0,187.0258935236721,10,3
28.0,0.0,197.05032602933088,10,3
29.0,0.0,207.29388482685437,10,3
30.0,0.0,213.61024961557933,8,3
31.0,0.0,186.94977979448598,10,3
32.0,0.0,169.16745315817232,10,3
33.0,0.0,161.1830515329231,10,3
26.0,0.03,173.91936844360248,10,3
27.0,0.03,183.50021098689905,10,3
28.0,0.03,193.12925151545096,10,3
29.0,0.03,202.85770647267216,10,3
30.0,0.03,207.10877168117653,8,3
31.0,0.03,211.21665244387677,6,3
26.0,0.3,165.80633535779555,10,3
27.0,0.3,147.43868959963365,10,3
28.0,0.3,134.32868362262494,10,3
29.0,0.3,133.1207166913703,10,3
30.0,0.3,133.07413165311908,10,3
31.0,0.3,133.06388136276595,10,3
34.0,0.0,138.60035903878185,10,3
35.0,0.0,141.28060165212113,10,3
36.0,0.0,144.17728187712498,10,3
37.0,0.0,147.29409936509043,10,3
38.0,0.0,150.63433075009092,10,3
39.0,0.0,154.20084136602503,10,3
40.0,0.0,157.99610405056188,10,3
41.0,0.0,162.02221732075722,10,3
42.0,0.0,166.28092290727693,10,3
43.0,0.0,170.77362272828216,10,3
44.0,0.0,175.50139485638596,10,3
45.0,0.0,180.46500988922145,10,3
46.0,0.0,185.66494498322965,10,3
47.0,0.0,191.1013994987167,10,3
48.0,0.0,196.77430883898023,10,3
49.0,0.0,199.50932224268,9,3
50.0,0.0,201.77381047092166,8,3
51.0,0.0,207.93647953188915,8,3
52.0,0.0,211.2285708267062,7,3
53.0,0.0,214.20310539456102,6,3
54.0,0.0,217.33552901878346,5,3
55.0,0.0,219.85113572854775,4,3
56.0,0.0,221.40736878258306,3,3
57.0,0.0,220.09450498663261,2,3
58.0,0.0,226.89225353428446,2,3
59.0,0.0,233.8788369035757,2,3
60.0,0.0,241.05228288135305,2,3
0.0,0.0,7.173370523058437,10,4
1.0,0.0,10.600617930481068,10,4
2.0,0.0,14.269756053022906,10,4
3.0,0.0,18.182487595055566,10,4
4.0,0.0,22.340875796320685,10,4
5.0,0.0,26.746796884120062,10,4
6.0,0.0,31.401834718105086,10,4
7.0,0.0,36.30725725572435,10,4
8.0,0.0,41.46401615342975,10,4
9.0,0.0,46.87275488302073,10,4
10.0,0.0,52.53381998101164,10,4
11.0,0.0,58.447273497519326,10,4
12.0,0.0,64.612906545797,10,4
13.0,0.0,71.0302517563081,10,4
14.0,0.0,77.69859641183766,10,4
15.0,0.0,84.61699560240953,10,4
16.0,0.0,91.78428364801766,10,4
17.0,0.0,99.199085923752,10,4
18.0,0.0,106.85983136595047,10,4
19.0,0.0,114.76476292898657,10,4
20.0,0.0,122.9119477503971,10,4
21.0,0.0,131.2992875049082,10,4
22.0,0.0,139.9245294592409,10,4
23.0,0.0,148.78527527838548,10,4
24.0,0.0,157.878989659361,10,4
25.0,0.0,167.20300956677337,10,4
26.0,0.0,177.79952529131614,10,4
27.0,0.0,190.9426694013283,10,4
28.0,0.0,201.17782639224032,10,4
29.0,0.0,211.6367483720614,10,4
30.0,0.0,220.4471586930687,9,4
31.0,0.0,181.84670889293585,10,4
32.0,0.0,166.0221002336182,10,4
26.0,0.03,175.1321288080582,10,4
27.0,0.03,184.7800508294695,10,4
28.0,0.03,194.47652288485102,10,4
29.0,0.03,204.27312297518148,10,4
30.0,0.03,209.20675920496888,8,4
31.0,0.03,213.82633636810021,6,4
33.0,0.0,154.7852605885848,10,4
34.0,0.0,151.52062862081513,10,4
35.0,0.0,154.92399865249826,10,4
26.0,0.3,174.19708677175663,10,4
27.0,0.3,154.9036414107165,10,4
28.0,0.3,141.13132892325558,10,4
29.0,0.3,139.8639144888653,10,4
30.0,0.3,139.8138659883706,10,4
31.0,0.3,139.80353884420484,10,4
36.0,0.0,151.48395027163033,10,4
37.0,0.0,154.75979482367507,10,4
38.0,0.0,158.2704579822873,10,4
39.0,0.0,162.018951568473,10,4
40.0,0.0,166.0078748616334,10,4
41.0,0.0,170.23943370793026,10,4
42.0,0.0,174.71545894709556,10,4
43.0,0.0,179.43742421472496,10,4
44.0,0.0,184.40646286736325,10,4
45.0,0.0,189.62338487309756,10,4
46.0,0.0,195.08869206455748,10,4
47.0,0.0,200.80259413412494,10,4
48.0,0.0,197.88574765117704,7,4
49.0,0.0,192.9702595878,5,4
50.0,0.0,198.8189013943539,5,4
51.0,0.0,196.6784383729038,4,4
52.0,0.0,202.71941105386387,4,4
