C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,31.3,60.2,28.9,216.5174482314686,326.81578889904347,1
0.03,Inf,Inf,NaN,Inf,Inf,1
0.3,Inf,Inf,NaN,Inf,Inf,1
0.0,31.5,61.2,29.7,217.0861764727826,331.20970809438325,2
0.03,Inf,Inf,NaN,Inf,Inf,2
0.3,Inf,Inf,NaN,Inf,Inf,2
0.0,31.3,61.6,30.3,227.69294528242244,363.758881514743,3
0.03,Inf,Inf,NaN,Inf,Inf,3
0.3,Inf,Inf,NaN,Inf,Inf,3
0.0,31.2,59.5,28.3,230.82358839670033,354.4489801136045,4
0.03,Inf,Inf,NaN,Inf,Inf,4
0.3,Inf,Inf,NaN,Inf,Inf,4
0.0,31.0,61.6,30.6,226.17406027527377,368.910918539122,5
0.03,Inf,Inf,NaN,Inf,Inf,5
0.3,Inf,Inf,NaN,Inf,Inf,5
0.0,31.9,59.8,27.9,225.05598441705283,332.6278939922615,6
0.03,Inf,Inf,NaN,Inf,Inf,6
0.3,Inf,Inf,NaN,Inf,Inf,6
0.0,32.3,58.2,25.9,224.2149565360549,308.2403415097621,7
0.03,Inf,Inf,NaN,Inf,Inf,7
0.3,Inf,Inf,NaN,Inf,Inf,7
0.0,31.6,59.2,27.6,215.53749272143827,312.9844651889532,8
0.03,Inf,Inf,NaN,Inf,Inf,8
0.3,Inf,Inf,NaN,Inf,Inf,8
0.0,32.0,60.7,28.7,216.45638839234908,318.82956533144284,9
0.03,Inf,Inf,NaN,Inf,Inf,9
0.3,Inf,Inf,NaN,Inf,Inf,9
0.0,31.2,60.3,29.1,224.5628055678125,348.50974057110074,10
0.03,Inf,Inf,NaN,Inf,Inf,10
0.3,Inf,Inf,NaN,Inf,Inf,10
0.0,32.0,62.5,30.5,220.56466694420305,341.64747703943146,11
0.03,Inf,Inf,NaN,Inf,Inf,11
0.3,Inf,Inf,NaN,Inf,Inf,11
0.0,31.9,59.8,27.9,224.103109240053,328.51520608727543,12
0.03,Inf,Inf,NaN,Inf,Inf,12
0.3,Inf,Inf,NaN,Inf,Inf,12
0.0,30.8,60.8,30.0,228.93601868685292,372.75365596925906,13
0.03,Inf,Inf,NaN,Inf,Inf,13
0.3,Inf,Inf,NaN,Inf,Inf,13
0.0,31.3,58.7,27.4,218.44759476229834,319.50775269272447,14
0.03,Inf,Inf,NaN,Inf,Inf,14
0.3,Inf,Inf,NaN,Inf,Inf,14
0.0,31.9,60.8,28.9,222.73435264223804,331.23209277231064,15
0.03,Inf,Inf,NaN,Inf,Inf,15
