t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,6.878702151345621,10,1
1.0,0.0,10.162006127497543,10,1
2.0,0.0,13.677030421328672,10,1
3.0,0.0,17.42535664884357,10,1
4.0,0.0,21.408941386333083,10,1
5.0,0.0,25.629570330840487,10,1
6.0,0.0,30.088752662525348,10,1
7.0,0.0,34.78769676795957,10,1
8.0,0.0,39.72730926648421,10,1
9.0,0.0,44.90820218634451,10,1
10.0,0.0,50.330703903955325,10,1
11.0,0.0,55.99487067874012,10,1
12.0,0.0,61.90049941077435,10,1
13.0,0.0,68.04714024837261,10,1
14.0,0.0,74.43410823016087,10,1
15.0,0.0,81.06049600007023,10,1
16.0,0.0,87.92518566234232,10,1
17.0,0.0,95.0268592837801,10,1
18.0,0.0,102.3640101454304,10,1
19.0,0.0,109.93495412050673,10,1
20.0,0.0,117.73783942091546,10,1
21.0,0.0,125.77065565377738,10,1
22.0,0.0,134.03124368196464,10,1
23.0,0.0,142.51730554650487,10,1
24.0,0.0,151.22641310385546,10,1
25.0,0.0,160.15601568290282,10,1
26.0,0.0,168.19164910911726,10,1
27.0,0.0,173.97182203966656,10,1
28.0,0.0,183.29394051229548,10,1
29.0,0.0,192.81972439735665,10,1
30.0,0.0,202.54620683876948,10,1
31.0,0.0,202.06527055268333,10,1
32.0,0.0,207.2541356428114,10,1
33.0,0.0,206.6983037796329,10,1
34.0,0.0,211.69062391165008,10,1
35.0,0.0,211.71295201869955,10,1
36.0,0.0,212.94037737907556,10,1
37.0,0.0,215.91093182325275,10,1
38.0,0.0,216.43154320043652,9,1
26.0,0.03,172.27693188804963,10,1
27.0,0.03,181.80054584334033,10,1
28.0,0.03,191.52856800745735,10,1
29.0,0.03,201.4645737001031,10,1
30.0,0.03,211.6083439197676,10,1
31.0,0.03,221.95724900425267,10,1
39.0,0.0,212.5590179448586,6,1
40.0,0.0,217.24289488903298,5,1
41.0,0.0,221.63855232247315,4,1
26.0,0.3,170.7771582656141,10,1
27.0,0.3,175.07137681222125,10,1
28.0,0.3,162.87816173349276,10,1
29.0,0.3,161.5928013278795,10,1
30.0,0.3,161.39472387605392,10,1
31.0,0.3,161.36314369139745,10,1
42.0,0.0,201.38980789329935,2,1
43.0,0.0,209.16503331964054,2,1
44.0,0.0,217.10804452155168,2,1
45.0,0.0,225.2163642813248,2,1
46.0,0.0,214.04770482241148,1,1
47.0,0.0,221.77352009747815,1,1
48.0,0.0,229.64371054041084,1,1
49.0,0.0,237.65580734431148,1,1
50.0,0.0,245.80730288728927,1,1
0.0,0.0,6.890410433435651,10,2
1.0,0.0,10.179379819912434,10,2
2.0,0.0,13.700470007110995,10,2
3.0,0.0,17.455267361864067,10,2
4.0,0.0,21.44573257523607,10,2
5.0,0.0,25.6736549451679,10,2
6.0,0.0,30.140546578397206,10,2
7.0,0.0,34.84761822872569,10,2
8.0,0.0,39.79577819772681,10,2
9.0,0.0,44.98563991152543,10,2
10.0,0.0,50.41753229686512,10,2
11.0,0.0,56.091511848241005,10,2
12.0,0.0,62.00737555076266,10,2
13.0,0.0,68.16467234661272,10,2
14.0,0.0,74.56271637326584,10,2
15.0,0.0,81.20059931860182,10,2
16.0,0.0,88.07720073442485,10,2
17.0,0.0,95.1912002444395,10,2
18.0,0.0,102.54108941592636,10,2
19.0,0.0,110.12518138117541,10,2
20.0,0.0,117.94162014430322,10,2
21.0,0.0,125.98839172708111,10,2
22.0,0.0,134.26333426584048,10,2
23.0,0.0,142.7641465012633,10,2
24.0,0.0,151.48839473730638,10,2
25.0,0.0,160.43352349524048,10,2
26.0,0.0,169.75815566689988,10,2
27.0,0.0,179.65660741889343,10,2
28.0,0.0,189.28455913879458,10,2
29.0,0.0,199.12290867361787,10,2
30.0,0.0,209.16859182402237,10,2
31.0,0.0,194.9315636637979,10,2
32.0,0.0,188.85676600183396,10,2
33.0,0.0,179.0837229500078,10,2
34.0,0.0,177.79991265661664,10,2
35.0,0.0,175.87919617379,10,2
