C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,34.0,47.3,13.3,240.19783787661459,194.6786080806615,1
0.03,Inf,Inf,NaN,Inf,Inf,1
0.3,Inf,Inf,NaN,Inf,Inf,1
0.0,32.6,59.6,27.0,232.86699074056182,346.25457024142685,2
0.03,Inf,Inf,NaN,Inf,Inf,2
0.3,Inf,Inf,NaN,Inf,Inf,2
0.0,23.1,39.9,16.8,140.5242199823616,189.6471580223337,3
0.03,Inf,Inf,NaN,Inf,Inf,3
0.3,Inf,Inf,NaN,Inf,Inf,3
0.0,33.0,43.0,10.0,220.25802196277135,143.81098320365246,4
0.03,Inf,Inf,NaN,Inf,Inf,4
0.3,Inf,Inf,NaN,Inf,Inf,4
0.0,20.4,28.1,7.7,119.1719196382971,94.19169466465851,5
0.03,Inf,Inf,NaN,Inf,Inf,5
0.3,Inf,Inf,NaN,Inf,Inf,5
0.0,20.9,27.0,6.1,121.63792870444816,79.70385495033013,6
0.03,Inf,Inf,NaN,Inf,Inf,6
0.3,Inf,Inf,NaN,Inf,Inf,6
0.0,11.3,16.3,5.0,58.99925918301981,51.599285166536035,7
0.03,Inf,Inf,NaN,Inf,Inf,7
0.3,Inf,Inf,NaN,Inf,Inf,7
0.0,31.9,62.7,30.8,226.71751086049585,387.31548586372753,8
0.03,Inf,Inf,NaN,Inf,Inf,8
0.3,Inf,Inf,NaN,Inf,Inf,8
0.0,30.1,38.8,8.7,207.44338033351943,144.76965609048403,9
0.03,Inf,Inf,NaN,Inf,Inf,9
0.3,Inf,Inf,NaN,Inf,Inf,9
0.0,30.3,63.8,33.5,212.50198655429548,403.5921674329546,10
0.03,Inf,Inf,NaN,Inf,Inf,10
0.3,Inf,Inf,NaN,Inf,Inf,10
0.0,31.8,57.1,25.3,214.55900771792352,320.89717039324245,11
0.03,Inf,Inf,NaN,Inf,Inf,11
0.3,Inf,Inf,NaN,Inf,Inf,11
0.0,34.6,71.6,37.0,257.40748798553983,395.1849147380902,12
0.03,Inf,Inf,NaN,Inf,Inf,12
0.3,Inf,Inf,NaN,Inf,Inf,12
0.0,17.9,25.7,7.8,96.0654393126077,86.23854803961356,13
0.03,Inf,Inf,NaN,Inf,Inf,13
0.3,Inf,Inf,NaN,Inf,Inf,13
0.0,17.1,24.6,7.5,95.79470483444302,81.45895857843497,14
0.03,Inf,Inf,NaN,Inf,Inf,14
0.3,Inf,Inf,NaN,Inf,Inf,14
0.0,28.9,36.1,7.2,194.69390395514228,132.3094825150223,15
0.03,2.7,5.0,2.3,196.53233348538257,170.67748275872626,15
0.3,Inf,Inf,NaN,Inf,Inf,15
0.0,10.6,15.8,5.2,55.09685316845575,51.55998440379327,16
0.03,Inf,Inf,NaN,Inf,Inf,16
0.3,Inf,Inf,NaN,Inf,Inf,16
0.0,29.6,52.5,22.9,193.56616008002425,259.406998234494,17
0.03,Inf,Inf,NaN,Inf,Inf,17
0.3,Inf,Inf,NaN,Inf,Inf,17
0.0,27.9,36.3,8.4,196.9420039258451,144.88954419212808,18
0.03,Inf,Inf,NaN,Inf,Inf,18
0.3,Inf,Inf,NaN,Inf,Inf,18
0.0,31.7,40.8,9.1,217.58015863739965,139.3802852157324,19
0.03,Inf,Inf,NaN,Inf,Inf,19
0.3,Inf,Inf,NaN,Inf,Inf,19
0.0,34.6,71.6,37.0,260.4206445699876,425.26754260917625,20
0.03,Inf,Inf,NaN,Inf,Inf,20
0.3,Inf,Inf,NaN,Inf,Inf,20
0.0,31.9,61.4,29.5,232.36475226056146,386.26487661611753,21
0.03,Inf,Inf,NaN,Inf,Inf,21
0.3,Inf,Inf,NaN,Inf,Inf,21
0.0,28.5,35.5,7.0,196.53484264453482,127.95966342769887,22
0.03,Inf,Inf,NaN,Inf,Inf,22
0.3,Inf,Inf,NaN,Inf,Inf,22
0.0,13.2,18.3,5.1,69.8665630784837,53.76098363274959,23
0.03,Inf,Inf,NaN,Inf,Inf,23
0.3,Inf,Inf,NaN,Inf,Inf,23
0.0,23.9,35.7,11.8,146.9941496042378,157.90585860536834,24
0.03,Inf,Inf,NaN,Inf,Inf,24
0.3,0.0,2.7,2.7,146.89599305573498,93.71397943123517,24
0.0,10.5,16.8,6.3,52.11321251658701,57.769757266952276,25
0.03,Inf,Inf,NaN,Inf,Inf,25
0.3,Inf,Inf,NaN,Inf,Inf,25
0.0,21.5,28.9,7.4,128.37193448827435,92.45123967878705,26
0.03,Inf,Inf,NaN,Inf,Inf,26
0.3,Inf,Inf,NaN,Inf,Inf,26
0.0,21.7,27.2,5.5,133.59865055503457,86.2889150765159,27
0.03,Inf,Inf,NaN,Inf,Inf,27
0.3,Inf,Inf,NaN,Inf,Inf,27
0.0,28.4,35.3,6.9,196.57899736914982,124.28524704897127,28
0.03,Inf,Inf,NaN,Inf,Inf,28
0.3,Inf,Inf,NaN,Inf,Inf,28
0.0,33.8,72.9,39.1,232.702475049626,408.06694961272933,29
0.03,Inf,Inf,NaN,Inf,Inf,29
0.3,Inf,Inf,NaN,Inf,Inf,29
0.0,24.5,33.4,8.9,159.26336490460932,125.68613186689011,30
0.03,0.7,3.8,3.1,163.9548246168211,110.88041603755457,30
0.3,Inf,Inf,NaN,Inf,Inf,30
0.0,13.5,18.6,5.1,70.6623996715819,52.33846644265484,31
0.03,Inf,Inf,NaN,Inf,Inf,31
0.3,Inf,Inf,NaN,Inf,Inf,31
0.0,24.2,31.9,7.7,152.16908724071536,108.82982065405557,32
0.03,0.7,3.7,3.0,160.37577077869778,105.77102012755452,32
0.3,0.7,3.9,3.2,162.59255225468493,110.00754248852517,32
0.0,34.9,67.9,33.0,256.2809730482565,411.84702185722716,33
0.03,Inf,Inf,NaN,Inf,Inf,33
0.3,Inf,Inf,NaN,Inf,Inf,33
0.0,17.6,23.8,6.2,102.9791673619388,76.45463616652805,34
0.03,Inf,Inf,NaN,Inf,Inf,34
0.3,Inf,Inf,NaN,Inf,Inf,34
0.0,37.1,45.4,8.3,291.4013030001311,160.8262905644728,35
0.03,Inf,Inf,NaN,Inf,Inf,35
0.3,Inf,Inf,NaN,Inf,Inf,35
0.0,32.9,50.7,17.8,236.22591443367955,224.68124165262012,36
0.03,Inf,Inf,NaN,Inf,Inf,36
0.3,Inf,Inf,NaN,Inf,Inf,36
0.0,17.1,23.3,6.2,99.65016755045146,77.56061672761774,37
0.03,Inf,Inf,NaN,Inf,Inf,37
0.3,Inf,Inf,NaN,Inf,Inf,37
0.0,29.4,36.6,7.2,204.08843454131886,132.97668691010583,38
0.03,Inf,Inf,NaN,Inf,Inf,38
0.3,Inf,Inf,NaN,Inf,Inf,38
0.0,21.0,27.6,6.6,122.33332337914128,79.99490072095139,39
0.03,Inf,Inf,NaN,Inf,Inf,39
0.3,Inf,Inf,NaN,Inf,Inf,39
0.0,12.8,19.3,6.5,67.90031486986955,70.26886357306016,40
0.03,Inf,Inf,NaN,Inf,Inf,40
0.3,Inf,Inf,NaN,Inf,Inf,40
0.0,32.4,57.8,25.4,232.07390974518785,315.842470286176,41
0.03,Inf,Inf,NaN,Inf,Inf,41
0.3,Inf,Inf,NaN,Inf,Inf,41
0.0,17.4,23.4,6.0,93.91832086074523,65.35615614081968,42
0.03,Inf,Inf,NaN,Inf,Inf,42
0.3,Inf,Inf,NaN,Inf,Inf,42
0.0,30.8,59.7,28.9,215.85121441512288,373.8407489229864,43
0.03,Inf,Inf,NaN,Inf,Inf,43
0.3,Inf,Inf,NaN,Inf,Inf,43
0.0,13.0,19.2,6.2,64.26811275116492,51.26612544401424,44
0.03,Inf,Inf,NaN,Inf,Inf,44
0.3,Inf,Inf,NaN,Inf,Inf,44
0.0,29.3,39.0,9.7,190.70008386945764,141.3119903328341,45
0.03,Inf,Inf,NaN,Inf,Inf,45
0.3,Inf,Inf,NaN,Inf,Inf,45
0.0,16.2,23.4,7.2,88.56058769614314,84.31347759545716,46
0.03,Inf,Inf,NaN,Inf,Inf,46
0.3,Inf,Inf,NaN,Inf,Inf,46
0.0,31.4,62.7,31.3,218.74835232641982,376.15735124235675,47
0.03,Inf,Inf,NaN,Inf,Inf,47
0.3,Inf,Inf,NaN,Inf,Inf,47
0.0,24.6,32.6,8.0,151.44772118408792,98.25583106542277,48
0.03,0.7,4.2,3.5,164.04572445794975,112.25081560126137,48
0.3,0.6,3.8,3.2,163.27986016920366,106.74787912430811,48
0.0,30.8,38.3,7.5,222.9118123067263,132.7683191931348,49
0.03,Inf,Inf,NaN,Inf,Inf,49
