t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,7.810720133838332,10,1.0,1
1.0,0.0,uninfected,1,11.54956748473493,10,1.0,1
2.0,0.0,uninfected,1,15.552319319324175,10,1.0,1
3.0,0.0,uninfected,1,19.820941017029845,10,1.0,1
4.0,0.0,uninfected,1,24.3577268623283,10,1.0,1
5.0,0.0,uninfected,1,29.164749013424547,10,1.0,1
6.0,0.0,uninfected,1,34.24375299868869,10,1.0,1
7.0,0.0,uninfected,1,39.59613566945901,10,1.0,1
8.0,0.0,uninfected,1,45.22294625254943,10,1.0,1
9.0,0.0,uninfected,1,51.12489609767874,10,1.0,1
10.0,0.0,uninfected,1,57.30237116852618,10,1.0,1
11.0,0.0,uninfected,1,63.75544604220276,10,1.0,1
12.0,0.0,uninfected,1,70.48389899447926,10,1.0,1
13.0,0.0,uninfected,1,77.48722519304104,10,1.0,1
14.0,0.0,uninfected,1,84.76465165341561,10,1.0,1
15.0,0.0,uninfected,1,92.31515170553766,10,1.0,1
16.0,0.0,uninfected,1,100.13745669808266,10,1.0,1
17.0,0.0,uninfected,1,108.2300696566756,10,1.0,1
18.0,0.0,uninfected,1,116.59127936547324,10,1.0,1
19.0,0.0,uninfected,1,125.21917088418579,10,1.0,1
20.0,0.0,uninfected,1,134.1116366572841,10,1.0,1
21.0,0.0,uninfected,1,143.2663881043715,10,1.0,1
22.0,0.0,uninfected,1,152.68096909280698,10,1.0,1
23.0,0.0,uninfected,1,162.35276411130687,10,1.0,1
24.0,0.0,uninfected,1,172.27905720817859,10,1.0,1
0.0,0.0,uninfected,2,7.827701062357583,10,1.0,1
1.0,0.0,uninfected,2,11.574874263586581,10,1.0,1
2.0,0.0,uninfected,2,15.586541403500652,10,1.0,1
3.0,0.0,uninfected,2,19.86467499825688,10,1.0,1
4.0,0.0,uninfected,2,24.41157552715077,10,1.0,1
5.0,0.0,uninfected,2,29.229320432057335,10,1.0,1
6.0,0.0,uninfected,2,34.31965962267727,10,1.0,1
7.0,0.0,uninfected,2,39.68399343831781,10,1.0,1
8.0,0.0,uninfected,2,45.32337371769067,10,1.0,1
9.0,0.0,uninfected,2,51.238513738910356,10,1.0,1
10.0,0.0,uninfected,2,57.429800410765004,10,1.0,1
11.0,0.0,uninfected,2,63.89730883581892,10,1.0,1
12.0,0.0,uninfected,2,70.64081691036709,10,1.0,1
13.0,0.0,uninfected,2,77.6598186580275,10,1.0,1
14.0,0.0,uninfected,2,84.95353978683738,10,1.0,1
15.0,0.0,uninfected,2,92.52095141056733,10,1.0,1
16.0,0.0,uninfected,2,100.36078179325894,10,1.0,1
17.0,0.0,uninfected,2,108.47153099532594,10,1.0,1
18.0,0.0,uninfected,2,116.85148440257119,10,1.0,1
19.0,0.0,uninfected,2,125.4987222547106,10,1.0,1
20.0,0.0,uninfected,2,134.41113225587065,10,1.0,1
21.0,0.0,uninfected,2,143.58642125971375,10,1.0,1
22.0,0.0,uninfected,2,153.02212770142924,10,1.0,1
23.0,0.0,uninfected,2,162.71563003235215,10,1.0,1
24.0,0.0,uninfected,2,172.66415456148292,10,1.0,1
0.0,0.0,uninfected,3,7.818403000957747,10,1.0,1
1.0,0.0,uninfected,3,11.561031035097361,10,1.0,1
2.0,0.0,uninfected,3,15.567831522961612,10,1.0,1
3.0,0.0,uninfected,3,19.84077304507991,10,1.0,1
4.0,0.0,uninfected,3,24.38215268283727,10,1.0,1
5.0,0.0,uninfected,3,29.19404505220686,10,1.0,1
6.0,0.0,uninfected,3,34.27819763070969,10,1.0,1
7.0,0.0,uninfected,3,39.6360088986949,10,1.0,1
8.0,0.0,uninfected,3,45.26852921977369,10,1.0,1
9.0,0.0,uninfected,3,51.176470881485535,10,1.0,1
10.0,0.0,uninfected,3,57.3602203023446,10,1.0,1
11.0,0.0,uninfected,3,63.819852094938184,10,1.0,1
12.0,0.0,uninfected,3,70.55514475624129,10,1.0,1
13.0,0.0,uninfected,3,77.5655926615988,10,1.0,1
14.0,0.0,uninfected,3,84.85042200460167,10,1.0,1
15.0,0.0,uninfected,3,92.40860575511151,10,1.0,1
16.0,0.0,uninfected,3,100.23887359279261,10,1.0,1
17.0,0.0,uninfected,3,108.33972666203863,10,1.0,1
18.0,0.0,uninfected,3,116.70945256717104,10,1.0,1
19.0,0.0,uninfected,3,125.34613496392073,10,1.0,1
20.0,0.0,uninfected,3,134.2476633966636,10,1.0,1
21.0,0.0,uninfected,3,143.4117465869769,10,1.0,1
22.0,0.0,uninfected,3,152.8359266223549,10,1.0,1
23.0,0.0,uninfected,3,162.51758575535692,10,1.0,1
24.0,0.0,uninfected,3,172.07068513344538,8,0.8,1
0.0,0.0,uninfected,1,7.838378511387025,10,1.0,2
1.0,0.0,uninfected,1,11.590780970237699,10,1.0,2
2.0,0.0,uninfected,1,15.60804664501715,10,1.0,2
3.0,0.0,uninfected,1,19.892152459437206,10,1.0,2
4.0,0.0,uninfected,1,24.445402749885908,10,1.0,2
5.0,0.0,uninfected,1,29.269878280716398,10,1.0,2
6.0,0.0,uninfected,1,34.367331639481094,10,1.0,2
7.0,0.0,uninfected,1,39.73916534633339,10,1.0,2
8.0,0.0,uninfected,1,45.386432840506494,10,1.0,2
9.0,0.0,uninfected,1,51.30984857298756,10,1.0,2
10.0,0.0,uninfected,1,57.509800115090684,10,1.0,2
11.0,0.0,uninfected,1,63.98636263527169,10,1.0,2
12.0,0.0,uninfected,1,70.73931411115618,10,1.0,2
13.0,0.0,uninfected,1,77.76814769501145,10,1.0,2
14.0,0.0,uninfected,1,85.07208794704896,10,1.0,2
15.0,0.0,uninfected,1,92.65010509874455,10,1.0,2
16.0,0.0,uninfected,1,100.5009253783981,10,1.0,2
17.0,0.0,uninfected,1,108.62304652787641,10,1.0,2
18.0,0.0,uninfected,1,117.01475174418894,10,1.0,2
19.0,0.0,uninfected,1,125.67411934543729,10,1.0,2
20.0,0.0,uninfected,1,134.59903333205676,10,1.0,2
