t_since_mm,wetmass_mg,treatment_id,y_wetmass_mg,pretreatment_24D,num_sample
16.0,170.35321470630896,1,0.9983701158456176,0.0,1
26.0,297.96652662659534,1,0.9987601816948403,0.0,1
16.0,169.91248284305559,1,0.9957871676920902,0.0,1
26.0,297.3763889755101,1,0.9967820870601987,0.0,1
16.0,173.49363417785383,1,1.0167748225429076,0.0,1
26.0,302.1579680824732,1,1.0128095612591492,0.0,1
16.0,171.10446868660435,1,1.0027729063924826,0.0,1
26.0,298.9706065934524,1,1.0021257781646444,0.0,1
16.0,170.90371171110942,1,1.0015963523413762,0.0,1
26.0,298.6983042033163,1,1.0012130421344356,0.0,1
16.0,168.01945553311677,1,0.9846929133336925,0.0,1
26.0,294.8487040126073,1,0.9883094873980902,0.0,1
16.0,171.78853999980635,1,1.0067819669634002,0.0,1
26.0,299.88262971878595,1,1.005182807397695,0.0,1
16.0,170.16186192311025,1,0.9972486758971034,0.0,1
26.0,297.71033906987947,1,0.997901461309063,0.0,1
16.0,172.78195600729842,1,1.0126039695372444,0.0,1
26.0,301.2074826129899,1,1.0096236092968705,0.0,1
16.0,167.79391438707412,1,0.9833711094540841,0.0,1
26.0,294.5451457871271,1,0.9872919842850124,0.0,1
16.0,173.02149212497153,2,1.0140077921886854,0.03,1
26.0,301.5270304775728,2,1.0106947084129498,0.03,1
16.0,168.64301973999375,2,0.9883473666443049,0.03,1
26.0,295.6805469583148,2,0.9910977590237736,0.03,1
16.0,172.9752472846907,2,1.013736770202819,0.03,1
26.0,301.46558909196966,2,1.0104887617579907,0.03,1
16.0,172.44798927007932,2,1.0106467278690972,0.03,1
26.0,300.76157250499307,2,1.0081289539558005,0.03,1
16.0,172.021558685107,2,1.008147593624681,0.03,1
26.0,300.19282075740495,2,1.0062225431747256,0.03,1
16.0,171.8963435225156,2,1.0074137590645436,0.03,1
26.0,300.0247638917986,2,1.0056592298806843,0.03,1
16.0,171.10671849693836,2,1.0027860916053808,0.03,1
26.0,298.97329337802836,2,1.0021347840536001,0.03,1
16.0,169.49852116639363,2,0.9933611085901404,0.03,1
26.0,296.82321951516775,2,0.9949279068709859,0.03,1
16.0,170.73085338745545,2,1.000583300812476,0.03,1
26.0,298.47074863052984,2,1.0004502938895408,0.03,1
16.0,171.39329902131118,2,1.004465622172564,0.03,1
26.0,299.35068139523685,2,1.0033997587771164,0.03,1
16.0,170.6650072416207,3,1.0001974036378418,0.3,1
26.0,298.3812528514071,3,1.0001503111309755,0.3,1
16.0,173.69560950460047,3,1.017958516849526,0.3,1
26.0,302.42652971837896,3,1.0137097585776542,0.3,1
