replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,25.0,29.0,4.0,175.29483926359194,107.8093647205525,1
2,0.0,uninfected,1,25.0,29.0,4.0,175.28286848023888,108.50551352902488,1
3,0.0,uninfected,1,25.0,29.0,4.0,175.26312318895177,102.74477648857463,1
4,0.0,uninfected,1,25.0,29.0,4.0,175.29934471365013,106.5959082806999,1
5,0.0,uninfected,1,25.0,29.0,4.0,175.28932706064327,106.89987397579127,1
6,0.0,uninfected,1,25.0,29.0,4.0,175.22456981385923,111.53635449553441,1
7,0.0,uninfected,1,25.0,29.0,4.0,175.29635013290556,105.49363615133991,1
8,0.0,uninfected,1,25.0,29.0,4.0,175.2883990590088,108.1064393669113,1
9,0.0,uninfected,1,25.0,29.0,4.0,175.281799185026,103.89539293277743,1
10,0.0,uninfected,1,25.0,29.0,4.0,175.21049825399243,111.88976870370442,1
1,0.0,uninfected,2,25.0,26.0,1.0,175.276047825924,170.21047927713786,1
1,0.03,uninfected,2,0.0,3.0,3.0,170.21047927713786,103.50868981144117,1
2,0.0,uninfected,2,25.0,26.0,1.0,175.24675409945192,171.8509389094914,1
2,0.03,uninfected,2,0.0,3.0,3.0,171.8509389094914,110.53719211483349,1
3,0.0,uninfected,2,25.0,26.0,1.0,175.2765689148365,170.22853535977362,1
3,0.03,uninfected,2,0.0,3.0,3.0,170.22853535977362,103.58023311296836,1
4,0.0,uninfected,2,25.0,26.0,1.0,175.28616323124186,170.44452542805527,1
4,0.03,uninfected,2,0.0,3.0,3.0,170.44452542805527,104.42900037992204,1
5,0.0,uninfected,2,25.0,26.0,1.0,175.29270603936575,170.61771199969047,1
5,0.03,uninfected,2,0.0,3.0,3.0,170.61771199969047,105.11924007693133,1
6,0.0,uninfected,2,25.0,26.0,1.0,175.29129122964306,170.66384244395869,1
6,0.03,uninfected,2,0.0,3.0,3.0,170.66384244395869,105.31484187611468,1
7,0.0,uninfected,2,25.0,26.0,1.0,175.30058602693293,170.97923642400272,1
7,0.03,uninfected,2,0.0,3.0,3.0,170.97923642400272,106.59796432031779,1
