t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,7.831124861908535,10,1.0,1
1.0,0.0,uninfected,1,11.57997197532805,10,1.0,1
2.0,0.0,uninfected,1,15.593431419767512,10,1.0,1
3.0,0.0,uninfected,1,19.87347717676851,10,1.0,1
4.0,0.0,uninfected,1,24.422410950461465,10,1.0,1
5.0,0.0,uninfected,1,29.24231124039506,10,1.0,1
6.0,0.0,uninfected,1,34.33492884900818,10,1.0,1
7.0,0.0,uninfected,1,39.701664813417466,10,1.0,1
8.0,0.0,uninfected,1,45.34357146296564,10,1.0,1
9.0,0.0,uninfected,1,51.261362539921016,10,1.0,1
10.0,0.0,uninfected,1,57.45542501062515,10,1.0,1
11.0,0.0,uninfected,1,63.925834204370986,10,1.0,1
12.0,0.0,uninfected,1,70.67236796176908,10,1.0,1
13.0,0.0,uninfected,1,77.69451982372871,10,1.0,1
14.0,0.0,uninfected,1,84.9915155469235,10,1.0,1
15.0,0.0,uninfected,1,92.56232579953677,10,1.0,1
16.0,0.0,uninfected,1,100.40567784269247,10,1.0,1
17.0,0.0,uninfected,1,108.52007134135715,10,1.0,1
18.0,0.0,uninfected,1,116.90379127893775,10,1.0,1
19.0,0.0,uninfected,1,125.55491690131143,10,1.0,1
20.0,0.0,uninfected,1,134.47133425348903,10,1.0,1
21.0,0.0,uninfected,1,143.6507496896333,10,1.0,1
22.0,0.0,uninfected,1,153.09070119407676,10,1.0,1
23.0,0.0,uninfected,1,162.78856522358814,10,1.0,1
24.0,0.0,uninfected,1,172.7415669042716,10,1.0,1
0.0,0.0,uninfected,2,7.847733777742219,10,1.0,1
1.0,0.0,uninfected,2,11.604724670850278,10,1.0,1
2.0,0.0,uninfected,2,15.62690251322967,10,1.0,1
3.0,0.0,uninfected,2,19.91624794017835,10,1.0,1
4.0,0.0,uninfected,2,24.47506872710356,10,1.0,1
5.0,0.0,uninfected,2,29.305448496643294,10,1.0,1
6.0,0.0,uninfected,2,34.409142167470705,10,1.0,1
7.0,0.0,uninfected,2,39.787554137620404,10,1.0,1
8.0,0.0,uninfected,2,45.44173934300187,10,1.0,1
9.0,0.0,uninfected,2,51.37241303764354,10,1.0,1
10.0,0.0,uninfected,2,57.579963663071645,10,1.0,1
11.0,0.0,uninfected,2,64.06446626354668,10,1.0,1
12.0,0.0,uninfected,2,70.82569860586088,10,1.0,1
13.0,0.0,uninfected,2,77.86315379791046,10,1.0,1
14.0,0.0,uninfected,2,85.17605485681743,10,1.0,1
15.0,0.0,uninfected,2,92.76337075576711,10,1.0,1
16.0,0.0,uninfected,2,100.6238271231045,10,1.0,1
17.0,0.0,uninfected,2,108.75591929285686,10,1.0,1
18.0,0.0,uninfected,2,117.15792773956812,10,1.0,1
19.0,0.0,uninfected,2,125.8279290126851,10,1.0,1
20.0,0.0,uninfected,2,134.76380562242633,10,1.0,1
21.0,0.0,uninfected,2,143.9632569035453,10,1.0,1
22.0,0.0,uninfected,2,153.4238149423537,10,1.0,1
23.0,0.0,uninfected,2,163.14285250113056,10,1.0,1
24.0,0.0,uninfected,2,172.8924793718437,8,0.8,1
0.0,0.0,uninfected,3,7.812779896683129,10,1.0,1
1.0,0.0,uninfected,3,11.552647451888564,10,1.0,1
2.0,0.0,uninfected,3,15.556492921214684,10,1.0,1
3.0,0.0,uninfected,3,19.826282629635713,10,1.0,1
4.0,0.0,uninfected,3,24.364311643417295,10,1.0,1
5.0,0.0,uninfected,3,29.17265280737472,10,1.0,1
6.0,0.0,uninfected,3,34.25305224276755,10,1.0,1
7.0,0.0,uninfected,3,39.60690726633747,10,1.0,1
8.0,0.0,uninfected,3,45.235267434009266,10,1.0,1
9.0,0.0,uninfected,3,51.13884442842039,10,1.0,1
10.0,0.0,uninfected,3,57.318024240780765,10,1.0,1
11.0,0.0,uninfected,3,63.77288167059662,10,1.0,1
12.0,0.0,uninfected,3,70.50319493082347,10,1.0,1
13.0,0.0,uninfected,3,77.50845891044217,10,1.0,1
14.0,0.0,uninfected,3,84.78790073458593,10,1.0,1
15.0,0.0,uninfected,3,92.34049345337743,10,1.0,1
16.0,0.0,uninfected,3,100.16496772366827,10,1.0,1
17.0,0.0,uninfected,3,108.25982646218283,10,1.0,1
18.0,0.0,uninfected,3,116.62335834079211,10,1.0,1
19.0,0.0,uninfected,3,125.25364738056794,10,1.0,1
20.0,0.0,uninfected,3,134.14858530466,10,1.0,1
21.0,0.0,uninfected,3,143.305883337262,10,1.0,1
22.0,0.0,uninfected,3,152.72308489738128,10,1.0,1
23.0,0.0,uninfected,3,162.39757344213228,10,1.0,1
24.0,0.0,uninfected,3,172.32658062871297,10,1.0,1
0.0,0.0,uninfected,1,7.846133546812766,10,1.0,2
1.0,0.0,uninfected,1,11.60232775860079,10,1.0,2
2.0,0.0,uninfected,1,15.623653242736054,10,1.0,2
3.0,0.0,uninfected,1,19.912090065611125,10,1.0,2
4.0,0.0,uninfected,1,24.46994544819016,10,1.0,2
5.0,0.0,uninfected,1,29.29930247640693,10,1.0,2
6.0,0.0,uninfected,1,34.40191574926623,10,1.0,2
7.0,0.0,uninfected,1,39.77918931654068,10,1.0,2
8.0,0.0,uninfected,1,45.432177915210886,10,1.0,2
9.0,0.0,uninfected,1,51.36159665072155,10,1.0,2
10.0,0.0,uninfected,1,57.56783372826919,10,1.0,2
11.0,0.0,uninfected,1,64.05096456737218,10,1.0,2
12.0,0.0,uninfected,1,70.81076651200492,10,1.0,2
13.0,0.0,uninfected,1,77.8467328510106,10,1.0,2
14.0,0.0,uninfected,1,85.15808736938578,10,1.0,2
15.0,0.0,uninfected,1,92.74379850422456,10,1.0,2
16.0,0.0,uninfected,1,100.60259200205762,10,1.0,2
17.0,0.0,uninfected,1,108.73296461065672,10,1.0,2
18.0,0.0,uninfected,1,117.13319674944235,10,1.0,2
19.0,0.0,uninfected,1,125.80136444260968,10,1.0,2
20.0,0.0,uninfected,1,134.73535072465387,10,1.0,2
21.0,0.0,uninfected,1,143.93285720717503,10,1.0,2
22.0,0.0,uninfected,1,153.39141579100368,10,1.0,2
23.0,0.0,uninfected,1,163.10839822355234,10,1.0,2
24.0,0.0,uninfected,1,172.8419450715569,8,0.8,2
0.0,0.0,uninfected,2,7.811179056952064,10,1.0,2
1.0,0.0,uninfected,2,11.550273258796278,10,1.0,2
2.0,0.0,uninfected,2,15.55329033673406,10,1.0,2
3.0,0.0,uninfected,2,19.822195764003016,10,1.0,2
4.0,0.0,uninfected,2,24.359284103960004,10,1.0,2
5.0,0.0,uninfected,2,29.16662767951134,10,1.0,2
6.0,0.0,uninfected,2,34.245972160398814,10,1.0,2
7.0,0.0,uninfected,2,39.598714514808925,10,1.0,2
8.0,0.0,uninfected,2,45.225904147242005,10,1.0,2
9.0,0.0,uninfected,2,51.128252304538286,10,1.0,2
10.0,0.0,uninfected,2,57.30614526877078,10,1.0,2
11.0,0.0,uninfected,2,63.75965743280144,10,1.0,2
12.0,0.0,uninfected,2,70.48856700599586,10,1.0,2
13.0,0.0,uninfected,2,77.49236957014708,10,1.0,2
14.0,0.0,uninfected,2,84.77029166040627,10,1.0,2
15.0,0.0,uninfected,2,92.32130636793735,10,1.0,2
16.0,0.0,uninfected,2,100.14414572892831,10,1.0,2
17.0,0.0,uninfected,2,108.23731252809644,10,1.0,2
18.0,0.0,uninfected,2,116.59909443830949,10,1.0,2
19.0,0.0,uninfected,2,125.22757711412608,10,1.0,2
20.0,0.0,uninfected,2,134.12065335998716,10,1.0,2
21.0,0.0,uninfected,2,143.27603447619146,10,1.0,2
22.0,0.0,uninfected,2,152.6912628170115,10,1.0,2
23.0,0.0,uninfected,2,162.363723110219,10,1.0,2
24.0,0.0,uninfected,2,171.21172696396675,6,0.6,2
0.0,0.0,uninfected,3,7.845360311700484,10,1.0,2
1.0,0.0,uninfected,3,11.601190057037325,10,1.0,2
2.0,0.0,uninfected,3,15.622124578380024,10,1.0,2
3.0,0.0,uninfected,3,19.91014358602511,10,1.0,2
4.0,0.0,uninfected,3,24.46755394436108,10,1.0,2
5.0,0.0,uninfected,3,29.296438592035344,10,1.0,2
6.0,0.0,uninfected,3,34.398551814706806,10,1.0,2
7.0,0.0,uninfected,3,39.77529756129432,10,1.0,2
8.0,0.0,uninfected,3,45.427730319110935,10,1.0,2
9.0,0.0,uninfected,3,51.35656521572226,10,1.0,2
10.0,0.0,uninfected,3,57.56219043050844,10,1.0,2
11.0,0.0,uninfected,3,64.044680904344,10,1.0,2
12.0,0.0,uninfected,3,70.80381480473179,10,1.0,2
13.0,0.0,uninfected,3,77.83908489097404,10,1.0,2
14.0,0.0,uninfected,3,85.14971449446226,10,1.0,2
15.0,0.0,uninfected,3,92.73467347707685,10,1.0,2
16.0,0.0,uninfected,3,100.5926872025926,10,1.0,2
17.0,0.0,uninfected,3,108.72225129374242,10,1.0,2
18.0,0.0,uninfected,3,117.12164732572255,10,1.0,2
19.0,0.0,uninfected,3,125.78895284183452,10,1.0,2
20.0,0.0,uninfected,3,134.72204986078646,10,1.0,2
21.0,0.0,uninfected,3,143.91863871060875,10,1.0,2
22.0,0.0,uninfected,3,153.37625223115185,10,1.0,2
23.0,0.0,uninfected,3,163.09226478378898,10,1.0,2
24.0,0.0,uninfected,3,172.87072029888105,8,0.8,2
0.0,0.0,uninfected,1,7.824213609557681,10,1.0,3
1.0,0.0,uninfected,1,11.569673523530117,10,1.0,3
2.0,0.0,uninfected,1,15.579506283167614,10,1.0,3
3.0,0.0,uninfected,1,19.855682933007394,10,1.0,3
4.0,0.0,uninfected,1,24.400502711976916,10,1.0,3
5.0,0.0,uninfected,1,29.216041926216793,10,1.0,3
