replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,25.0,29.0,4.0,175.2971722650179,105.16477025616148,1
2,0.0,uninfected,1,25.0,29.0,4.0,175.10638487694135,114.43238026116721,1
3,0.0,uninfected,1,25.0,29.0,4.0,175.26928030285822,103.71205900259491,1
4,0.0,uninfected,1,25.0,29.0,4.0,175.28963336822392,104.37288308777764,1
5,0.0,uninfected,1,25.0,29.0,4.0,175.29376569167698,107.22367317807422,1
6,0.0,uninfected,1,25.0,29.0,4.0,175.27772606273825,103.72342696056677,1
7,0.0,uninfected,1,25.0,29.0,4.0,175.2929387129749,105.66902487078485,1
8,0.0,uninfected,1,25.0,29.0,4.0,175.26630906638167,102.8497788273521,1
9,0.0,uninfected,1,25.0,29.0,4.0,175.28734630292738,104.69270303502962,1
10,0.0,uninfected,1,25.0,29.0,4.0,175.2907926953979,107.23283766195206,1
1,0.0,uninfected,2,24.0,26.0,2.0,173.92248741579144,169.7022838364847,1
1,0.03,uninfected,2,0.0,3.0,3.0,169.7022838364847,101.62112318050038,1
2,0.0,uninfected,2,25.0,26.0,1.0,175.27462307674577,170.21528899637252,1
2,0.03,uninfected,2,0.0,3.0,3.0,170.21528899637252,103.532973012214,1
3,0.0,uninfected,2,25.0,26.0,1.0,175.2967139885336,171.1539298383505,1
3,0.03,uninfected,2,0.0,3.0,3.0,171.1539298383505,107.3485302324125,1
4,0.0,uninfected,2,25.0,26.0,1.0,175.29401639929594,171.11402751481288,1
4,0.03,uninfected,2,0.0,3.0,3.0,171.11402751481288,107.18909420257431,1
5,0.0,uninfected,2,25.0,26.0,1.0,175.26343054451135,170.01124555733355,1
5,0.03,uninfected,2,0.0,3.0,3.0,170.01124555733355,102.74571736201439,1
6,0.0,uninfected,2,25.0,26.0,1.0,175.2621221746052,170.08148789204537,1
6,0.03,uninfected,2,0.0,3.0,3.0,170.08148789204537,103.03315099890223,1
7,0.0,uninfected,2,25.0,26.0,1.0,175.283992482093,171.40685601746927,1
7,0.03,uninfected,2,0.0,3.0,3.0,171.40685601746927,108.47227251715202,1
8,0.0,uninfected,2,24.0,26.0,2.0,173.84316777073758,169.87817824570203,1
8,0.03,uninfected,2,0.0,3.0,3.0,169.87817824570203,102.26778256168444,1
9,0.0,uninfected,2,25.0,26.0,1.0,175.2662145090038,170.11431525036392,1
9,0.03,uninfected,2,0.0,3.0,3.0,170.11431525036392,103.15210998474247,1
10,0.0,uninfected,2,25.0,26.0,1.0,175.28362806222344,171.32352846322223,1
10,0.03,uninfected,2,0.0,3.0,3.0,171.32352846322223,108.11661079868553,1
1,0.0,uninfected,3,25.0,26.0,1.0,175.26791992554996,170.07664624959648,1
