t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,5.874502330142061,10,1.0,1
1.0,0.0,uninfected,1,8.668081585487295,10,1.0,1
2.0,0.0,uninfected,1,11.658777366639006,10,1.0,1
3.0,0.0,uninfected,1,14.84776107925317,10,1.0,1
4.0,0.0,uninfected,1,18.236626717499952,10,1.0,1
5.0,0.0,uninfected,1,21.826852238180834,10,1.0,1
6.0,0.0,uninfected,1,25.619692835597334,10,1.0,1
7.0,0.0,uninfected,1,29.616154369377238,10,1.0,1
8.0,0.0,uninfected,1,33.81699009273709,10,1.0,1
9.0,0.0,uninfected,1,38.22270547503483,10,1.0,1
10.0,0.0,uninfected,1,42.83356679758497,10,1.0,1
11.0,0.0,uninfected,1,47.64961069735302,10,1.0,1
12.0,0.0,uninfected,1,52.670654397750766,10,1.0,1
13.0,0.0,uninfected,1,57.89630664686509,10,1.0,1
14.0,0.0,uninfected,1,63.32597738313696,10,1.0,1
15.0,0.0,uninfected,1,68.95888805066224,10,1.0,1
16.0,0.0,uninfected,1,74.7940820577272,10,1.0,1
17.0,0.0,uninfected,1,80.83043371528461,10,1.0,1
18.0,0.0,uninfected,1,87.0666573552164,10,1.0,1
19.0,0.0,uninfected,1,93.50131671457902,10,1.0,1
20.0,0.0,uninfected,1,100.13283415551518,10,1.0,1
21.0,0.0,uninfected,1,106.95949776601083,10,1.0,1
22.0,0.0,uninfected,1,113.9794695451429,10,1.0,1
23.0,0.0,uninfected,1,121.19079370482432,10,1.0,1
24.0,0.0,uninfected,1,128.5914041607159,10,1.0,1
25.0,0.0,uninfected,1,136.17913195463325,10,1.0,1
26.0,0.0,uninfected,1,143.9517103627897,10,1.0,1
27.0,0.0,uninfected,1,151.90678248510886,10,1.0,1
28.0,0.0,uninfected,1,160.04190800399624,10,1.0,1
29.0,0.0,uninfected,1,168.35456943192025,10,1.0,1
30.0,0.0,uninfected,1,176.84217731127686,10,1.0,1
31.0,0.0,uninfected,1,185.50207566157638,10,1.0,1
32.0,0.0,uninfected,1,194.33154704472432,10,1.0,1
33.0,0.0,uninfected,1,203.32781794529996,10,1.0,1
34.0,0.0,uninfected,1,205.9624673857218,9,0.9,1
35.0,0.0,uninfected,1,214.99633631421818,9,0.9,1
36.0,0.0,uninfected,1,224.18347914775586,9,0.9,1
37.0,0.0,uninfected,1,222.15969963031543,7,0.7,1
38.0,0.0,uninfected,1,225.1040098792897,6,0.6,1
39.0,0.0,uninfected,1,228.05983836667647,5,0.5,1
40.0,0.0,uninfected,1,228.1004362858053,4,0.4,1
41.0,0.0,uninfected,1,210.15094642570136,2,0.2,1
42.0,0.0,uninfected,1,217.89403475787327,2,0.2,1
43.0,0.0,uninfected,1,225.7391459562386,2,0.2,1
44.0,0.0,uninfected,1,233.6839626668322,2,0.2,1
45.0,0.0,uninfected,1,241.72616005917834,2,0.2,1
46.0,0.0,uninfected,1,249.86340871845215,2,0.2,1
47.0,0.0,uninfected,1,250.68146310614748,1,0.1,1
0.0,0.0,uninfected,2,5.848222828134452,10,1.0,1
1.0,0.0,uninfected,2,8.628627590536663,10,1.0,1
2.0,0.0,uninfected,2,11.605218397995774,10,1.0,1
3.0,0.0,uninfected,2,14.77915488533605,10,1.0,1
4.0,0.0,uninfected,2,18.152020983218453,10,1.0,1
5.0,0.0,uninfected,2,21.72528636790691,10,1.0,1
6.0,0.0,uninfected,2,25.50019926553923,10,1.0,1
7.0,0.0,uninfected,2,29.477760082242128,10,1.0,1
8.0,0.0,uninfected,2,33.658717800832115,10,1.0,1
9.0,0.0,uninfected,2,38.04357512596583,10,1.0,1
10.0,0.0,uninfected,2,42.63259657156556,10,1.0,1
11.0,0.0,uninfected,2,47.42581798984879,10,1.0,1
12.0,0.0,uninfected,2,52.423057678501685,10,1.0,1
13.0,0.0,uninfected,2,57.62392547303207,10,1.0,1
14.0,0.0,uninfected,2,63.0278335878437,10,1.0,1
15.0,0.0,uninfected,2,68.63400784076545,10,1.0,1
16.0,0.0,uninfected,2,74.44149546593945,10,1.0,1
17.0,0.0,uninfected,2,80.4491751962735,10,1.0,1
18.0,0.0,uninfected,2,86.65576808061422,10,1.0,1
19.0,0.0,uninfected,2,93.05984524428312,10,1.0,1
20.0,0.0,uninfected,2,99.65983551104294,10,1.0,1
21.0,0.0,uninfected,2,106.45403403850389,10,1.0,1
22.0,0.0,uninfected,2,113.44061235859695,10,1.0,1
23.0,0.0,uninfected,2,120.61762520229395,10,1.0,1
24.0,0.0,uninfected,2,127.98301510070011,10,1.0,1
25.0,0.0,uninfected,2,135.5346226041772,10,1.0,1
26.0,0.0,uninfected,2,143.27019228567218,10,1.0,1
26.0,0.03,uninfected,2,143.27019228567218,10,1.0,1
27.0,0.03,uninfected,2,151.1874036061434,10,1.0,1
28.0,0.03,uninfected,2,159.2833617945941,10,1.0,1
29.0,0.03,uninfected,2,167.55367184630165,10,1.0,1
30.0,0.03,uninfected,2,175.9923938606408,10,1.0,1
31.0,0.03,uninfected,2,184.59482236529408,10,1.0,1
31.0,0.0,uninfected,2,184.59482236529408,10,1.0,1
32.0,0.0,uninfected,2,193.37577486281398,10,1.0,1
33.0,0.0,uninfected,2,202.3282747492318,10,1.0,1
34.0,0.0,uninfected,2,211.44420324547747,10,1.0,1
35.0,0.0,uninfected,2,220.72048225047405,10,1.0,1
36.0,0.0,uninfected,2,226.1173825917779,9,0.9,1
37.0,0.0,uninfected,2,231.6212440179284,8,0.8,1
38.0,0.0,uninfected,2,241.0297117282559,8,0.8,1
39.0,0.0,uninfected,2,225.4203439556196,3,0.3,1
40.0,0.0,uninfected,2,234.13545022486656,3,0.3,1
41.0,0.0,uninfected,2,228.6455000630943,2,0.2,1
42.0,0.0,uninfected,2,237.07432597764262,2,0.2,1
43.0,0.0,uninfected,2,245.614330351332,2,0.2,1
44.0,0.0,uninfected,2,254.26298905178584,2,0.2,1
0.0,0.0,uninfected,3,5.890512041296708,10,1.0,1
1.0,0.0,uninfected,3,8.691696757497066,10,1.0,1
2.0,0.0,uninfected,3,11.690534305779881,10,1.0,1
3.0,0.0,uninfected,3,14.888202162410519,10,1.0,1
4.0,0.0,uninfected,3,18.28629967818479,10,1.0,1
5.0,0.0,uninfected,3,21.8863095080874,10,1.0,1
6.0,0.0,uninfected,3,25.68949076007999,10,1.0,1
7.0,0.0,uninfected,3,29.69685235460783,10,1.0,1
8.0,0.0,uninfected,3,33.90914978368514,10,1.0,1
9.0,0.0,uninfected,3,38.326890328697246,10,1.0,1
10.0,0.0,uninfected,3,42.95034086689283,10,1.0,1
11.0,0.0,uninfected,3,47.779538551449455,10,1.0,1
12.0,0.0,uninfected,3,52.81430039505418,10,1.0,1
13.0,0.0,uninfected,3,58.05423356202607,10,1.0,1
14.0,0.0,uninfected,3,63.49874709722474,10,1.0,1
15.0,0.0,uninfected,3,69.14706065440186,10,1.0,1
16.0,0.0,uninfected,3,74.99821418315229,10,1.0,1
17.0,0.0,uninfected,3,81.051079185779,10,1.0,1
18.0,0.0,uninfected,3,87.30436754273892,10,1.0,1
19.0,0.0,uninfected,3,93.75663887909559,10,1.0,1
20.0,0.0,uninfected,3,100.40630993379294,10,1.0,1
