replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,41.0,47.0,6.0,261.8386716718485,118.83367825358893,1
2,0.0,uninfected,1,48.0,54.0,6.0,256.09870139130135,120.21340197986534,1
3,0.0,uninfected,1,40.0,45.0,5.0,261.1403287533473,132.96361739533896,1
4,0.0,uninfected,1,39.0,45.0,6.0,263.4976809164326,125.50626786584087,1
5,0.0,uninfected,1,38.0,43.0,5.0,264.3300471156854,154.93234508632912,1
6,0.0,uninfected,1,37.0,42.0,5.0,265.1283386233162,150.32803883275264,1
7,0.0,uninfected,1,34.0,39.0,5.0,267.85838680980095,154.08380946638954,1
8,0.0,uninfected,1,41.0,47.0,6.0,261.92236191792466,126.0282788140615,1
9,0.0,uninfected,1,47.0,52.0,5.0,254.33364928397515,133.23771147288952,1
10,0.0,uninfected,1,37.0,42.0,5.0,263.57697507506936,125.64699384171362,1
1,0.0,uninfected,2,39.0,45.0,6.0,263.49395696744705,122.19244349408002,1
1,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
2,0.0,uninfected,2,39.0,44.0,5.0,263.43937404940976,155.27172935165524,1
2,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
3,0.0,uninfected,2,41.0,46.0,5.0,259.8505865475382,130.79765373281492,1
3,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
4,0.0,uninfected,2,39.0,45.0,6.0,263.47289033722285,116.83934858637704,1
4,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
5,0.0,uninfected,2,45.0,51.0,6.0,258.6885784786106,123.8693378314071,1
5,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
6,0.0,uninfected,2,37.0,42.0,5.0,265.1451771776304,160.42265231557207,1
6,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
7,0.0,uninfected,2,45.0,50.0,5.0,256.8898640869575,138.32979177553662,1
7,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
8,0.0,uninfected,2,39.0,45.0,6.0,263.4797868580763,123.1484073908133,1
8,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
9,0.0,uninfected,2,39.0,44.0,5.0,263.4357833083072,155.5414665433844,1
