t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,5.886832548923758,10,1.0,1
1.0,0.0,uninfected,1,8.686466800357406,10,1.0,1
2.0,0.0,uninfected,1,11.683644345867712,10,1.0,1
3.0,0.0,uninfected,1,14.879541685982556,10,1.0,1
4.0,0.0,uninfected,1,18.27575724018974,10,1.0,1
5.0,0.0,uninfected,1,21.873772761938426,10,1.0,1
6.0,0.0,uninfected,1,25.6748465405337,10,1.0,1
7.0,0.0,uninfected,1,29.67998692231915,10,1.0,1
8.0,0.0,uninfected,1,33.88994900563161,10,1.0,1
9.0,0.0,uninfected,1,38.305239589457344,10,1.0,1
10.0,0.0,uninfected,1,42.92612566399727,10,1.0,1
11.0,0.0,uninfected,1,47.75264406298187,10,1.0,1
12.0,0.0,uninfected,1,52.784611872813585,10,1.0,1
13.0,0.0,uninfected,1,58.02163695114372,10,1.0,1
14.0,0.0,uninfected,1,63.46312803935537,10,1.0,1
15.0,0.0,uninfected,1,69.10830522040408,10,1.0,1
16.0,0.0,uninfected,1,74.95620958118992,10,1.0,1
17.0,0.0,uninfected,1,81.00571316010387,10,1.0,1
18.0,0.0,uninfected,1,87.25552762078685,10,1.0,1
19.0,0.0,uninfected,1,93.70421383815106,10,1.0,1
20.0,0.0,uninfected,1,100.350190250346,10,1.0,1
21.0,0.0,uninfected,1,107.19174152170304,10,1.0,1
22.0,0.0,uninfected,1,114.22702570287076,10,1.0,1
23.0,0.0,uninfected,1,121.45408311537035,10,1.0,1
24.0,0.0,uninfected,1,128.87084271402392,10,1.0,1
25.0,0.0,uninfected,1,136.47513065926347,10,1.0,1
26.0,0.0,uninfected,1,144.26467590671436,10,1.0,1
27.0,0.0,uninfected,1,152.23711600927058,10,1.0,1
28.0,0.0,uninfected,1,160.3900056038245,10,1.0,1
29.0,0.0,uninfected,1,168.72082160677937,10,1.0,1
30.0,0.0,uninfected,1,177.22696885877411,10,1.0,1
31.0,0.0,uninfected,1,185.90578544095132,10,1.0,1
32.0,0.0,uninfected,1,194.75454815378498,10,1.0,1
33.0,0.0,uninfected,1,203.77047761788955,10,1.0,1
34.0,0.0,uninfected,1,206.75491933341334,9,0.9,1
35.0,0.0,uninfected,1,208.95050789460035,8,0.8,1
36.0,0.0,uninfected,1,210.77402871981093,7,0.7,1
37.0,0.0,uninfected,1,210.16683536495793,6,0.6,1
38.0,0.0,uninfected,1,218.69925206933453,6,0.6,1
39.0,0.0,uninfected,1,227.36162136252878,6,0.6,1
40.0,0.0,uninfected,1,236.15129572034436,6,0.6,1
41.0,0.0,uninfected,1,233.0746592948373,4,0.4,1
42.0,0.0,uninfected,1,241.66677735446638,4,0.4,1
43.0,0.0,uninfected,1,245.41975221802852,3,0.3,1
44.0,0.0,uninfected,1,250.4133757460965,2,0.2,1
45.0,0.0,uninfected,1,255.7579420046896,1,0.1,1
0.0,0.0,uninfected,2,6.411634969095625,10,1.0,1
1.0,0.0,uninfected,2,9.467374060334617,10,1.0,1
2.0,0.0,uninfected,2,12.738751880263539,10,1.0,1
3.0,0.0,uninfected,2,16.22715997210977,10,1.0,1
4.0,0.0,uninfected,2,19.934386489442257,10,1.0,1
5.0,0.0,uninfected,2,23.862074168352198,10,1.0,1
6.0,0.0,uninfected,2,28.01161415097972,10,1.0,1
7.0,0.0,uninfected,2,32.38412070867333,10,1.0,1
8.0,0.0,uninfected,2,36.980429148262715,10,1.0,1
9.0,0.0,uninfected,2,41.801102012572954,10,1.0,1
10.0,0.0,uninfected,2,46.84643877685926,10,1.0,1
11.0,0.0,uninfected,2,52.11648654304857,10,1.0,1
12.0,0.0,uninfected,2,57.61105176336948,10,1.0,1
13.0,0.0,uninfected,2,63.32971164153764,10,1.0,1
14.0,0.0,uninfected,2,69.27182535580489,10,1.0,1
15.0,0.0,uninfected,2,75.43654552252895,10,1.0,1
16.0,0.0,uninfected,2,81.82282912064628,10,1.0,1
17.0,0.0,uninfected,2,88.42944732749837,10,1.0,1
18.0,0.0,uninfected,2,95.25499641487015,10,1.0,1
19.0,0.0,uninfected,2,102.29790755452454,10,1.0,1
20.0,0.0,uninfected,2,109.55645607206934,10,1.0,1
21.0,0.0,uninfected,2,117.02877006849872,10,1.0,1
22.0,0.0,uninfected,2,124.71284006366201,10,1.0,1
23.0,0.0,uninfected,2,132.60652698918983,10,1.0,1
24.0,0.0,uninfected,2,140.70757123983813,10,1.0,1
25.0,0.0,uninfected,2,149.01359896607661,10,1.0,1
26.0,0.0,uninfected,2,157.52213000983312,10,1.0,1
26.0,0.03,uninfected,2,157.52213000983312,10,1.0,1
27.0,0.03,uninfected,2,166.22886638641756,10,1.0,1
28.0,0.03,uninfected,2,175.11030678110038,10,1.0,1
29.0,0.03,uninfected,2,184.14710738087223,10,1.0,1
30.0,0.03,uninfected,2,193.3463837018332,10,1.0,1
31.0,0.03,uninfected,2,202.7174717030407,10,1.0,1
31.0,0.0,uninfected,2,202.7174717030407,10,1.0,1
32.0,0.0,uninfected,2,205.43751914558257,9,0.9,1
33.0,0.0,uninfected,2,207.87061225443946,8,0.8,1
34.0,0.0,uninfected,2,217.24472479209953,8,0.8,1
35.0,0.0,uninfected,2,220.74501241600996,7,0.7,1
36.0,0.0,uninfected,2,222.5773579561395,6,0.6,1
37.0,0.0,uninfected,2,214.73509976905063,4,0.4,1
38.0,0.0,uninfected,2,207.59522049369002,3,0.3,1
39.0,0.0,uninfected,2,215.82238836502015,3,0.3,1
40.0,0.0,uninfected,2,224.17054446340967,3,0.3,1
41.0,0.0,uninfected,2,232.63715573625757,3,0.3,1
42.0,0.0,uninfected,2,241.2196738254169,3,0.3,1
43.0,0.0,uninfected,2,249.91553770025595,3,0.3,1
44.0,0.0,uninfected,2,253.71276938381308,2,0.2,1
45.0,0.0,uninfected,2,257.85734072366455,1,0.1,1
0.0,0.0,uninfected,3,6.151136943784973,10,1.0,1
1.0,0.0,uninfected,3,9.079312149533141,10,1.0,1
2.0,0.0,uninfected,3,12.21411548168403,10,1.0,1
3.0,0.0,uninfected,3,15.556830492730786,10,1.0,1
4.0,0.0,uninfected,3,19.10915067859392,10,1.0,1
5.0,0.0,uninfected,3,22.872638530869885,10,1.0,1
6.0,0.0,uninfected,3,26.848619010136566,10,1.0,1
7.0,0.0,uninfected,3,31.038153624005595,10,1.0,1
8.0,0.0,uninfected,3,35.442037757184,10,1.0,1
9.0,0.0,uninfected,3,40.06080615799568,10,1.0,1
10.0,0.0,uninfected,3,44.89474216734357,10,1.0,1
11.0,0.0,uninfected,3,49.94388779402377,10,1.0,1
12.0,0.0,uninfected,3,55.20805467487751,10,1.0,1
13.0,0.0,uninfected,3,60.68683546523473,10,1.0,1
14.0,0.0,uninfected,3,66.37961397675534,10,1.0,1
15.0,0.0,uninfected,3,72.2855762553181,10,1.0,1
16.0,0.0,uninfected,3,78.4037213961382,10,1.0,1
17.0,0.0,uninfected,3,84.73287085980016,10,1.0,1
18.0,0.0,uninfected,3,91.27167820725913,10,1.0,1
19.0,0.0,uninfected,3,98.01863901937611,10,1.0,1
20.0,0.0,uninfected,3,104.972100382369,10,1.0,1
21.0,0.0,uninfected,3,112.13026829449714,10,1.0,1
22.0,0.0,uninfected,3,119.49121654386495,10,1.0,1
23.0,0.0,uninfected,3,127.05289512011939,10,1.0,1
24.0,0.0,uninfected,3,134.81313859760044,10,1.0,1
25.0,0.0,uninfected,3,142.7696731591987,10,1.0,1
26.0,0.0,uninfected,3,150.92012225742928,10,1.0,1
26.0,0.3,uninfected,3,150.92012225742928,10,1.0,1
27.0,0.3,uninfected,3,153.55139796235656,10,1.0,1
28.0,0.3,uninfected,3,153.5745569117514,10,1.0,1
29.0,0.3,uninfected,3,153.58188108457057,10,1.0,1
30.0,0.3,uninfected,3,153.5869294414909,10,1.0,1
31.0,0.3,uninfected,3,153.59132109362656,10,1.0,1
31.0,0.0,uninfected,3,153.59132109362656,10,1.0,1
