t_since_mm,treatment_id,y_wetmass_mg,wetmass_mg,pretreatment_24D,num_sample
16.0,1,1.0,207.46988649641594,0.0,1
16.0,2,0.9208261230771783,191.04369123775692,0.03,1
16.0,3,0.7329566554259737,152.0664341080194,0.3,1
26.0,1,1.0,211.0357633523506,0.0,1
26.0,2,1.1740566119039089,247.76793331201588,0.03,1
26.0,3,0.9886937677021234,208.6497439887292,0.3,1
16.0,1,1.0,184.92592144413413,0.0,2
16.0,2,0.9479940550079708,175.3086741459102,0.03,2
16.0,3,0.9380309142212271,173.46623115544398,0.3,2
26.0,1,0.9999999999999998,246.2297308321941,0.0,2
26.0,2,0.857481190313478,211.13736268455705,0.03,2
26.0,3,0.8030078679921449,197.72441119183983,0.3,2
16.0,1,1.0000000000000004,159.31845572223114,0.0,3
16.0,2,1.221919082737884,194.67426127932484,0.03,3
16.0,3,0.9558042212551493,152.2772525031601,0.3,3
26.0,1,1.0,241.72004613860355,0.0,3
26.0,2,0.9342438446069435,225.82546522309676,0.03,3
26.0,3,0.8873681727842273,214.49467566733173,0.3,3
16.0,1,1.0,168.06631549372668,0.0,4
16.0,2,1.041516231819769,175.0437956088587,0.03,4
16.0,3,1.050456604005471,176.54637102125216,0.3,4
26.0,1,0.9999999999999998,260.0792579953778,0.0,4
26.0,2,0.7824693140498393,203.5040386022345,0.03,4
26.0,3,0.6040004156250502,157.08797992466287,0.3,4
16.0,1,1.0,170.38987538080366,0.0,5
16.0,2,1.0487193147460012,178.691153349013,0.03,5
16.0,3,0.9849077104449252,167.81830204430344,0.3,5
26.0,1,1.0,227.89590976280724,0.0,5
26.0,2,1.0897571554817607,248.35119836904488,0.03,5
26.0,3,0.9481482890340898,216.07911691947297,0.3,5
16.0,1,0.9999999999999998,200.70816139273623,0.0,6
16.0,2,0.917230278542098,184.0956027799318,0.03,6
16.0,3,0.9104312175148637,182.73097574195862,0.3,6
26.0,1,1.0,234.83772746250187,0.0,6
26.0,2,0.9847467115439803,231.25567986516018,0.03,6
26.0,3,0.7064554664337571,165.9023962907653,0.3,6
16.0,1,0.9999999999999998,178.08948533280073,0.0,7
16.0,2,1.029224667296986,183.29409129074327,0.03,7
16.0,3,0.8406251524423902,149.70650075627248,0.3,7
26.0,1,1.0000000000000002,245.07179744715822,0.0,7
26.0,2,1.0465633394429814,256.48315873959183,0.03,7
26.0,3,0.9651958289519186,236.54227668974653,0.3,7
16.0,1,1.0,207.2896264914038,0.0,8
16.0,2,0.9345930259436919,193.73143926933875,0.03,8
16.0,3,0.7834048863479982,162.3917062826172,0.3,8
26.0,1,1.0,222.46557884686143,0.0,8
26.0,2,0.9339121288288528,207.76330233201537,0.03,8
26.0,3,0.8901311743693491,198.0235469557138,0.3,8
