replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,46.0,51.0,5.0,256.3484097658248,141.21549662543015,1
2,0.0,uninfected,1,41.0,46.0,5.0,261.1100935641528,143.22242322200756,1
3,0.0,uninfected,1,37.0,42.0,5.0,263.9115403299777,128.93865243990038,1
4,0.0,uninfected,1,34.0,39.0,5.0,267.62390811954214,162.54391264534058,1
5,0.0,uninfected,1,43.0,48.0,5.0,259.6538981986442,148.0342437370397,1
6,0.0,uninfected,1,44.0,50.0,6.0,259.4387457345586,121.60879701310306,1
7,0.0,uninfected,1,41.0,46.0,5.0,260.63001838120266,137.6812775409772,1
8,0.0,uninfected,1,35.0,40.0,5.0,266.97431422553024,152.67416295799612,1
9,0.0,uninfected,1,36.0,41.0,5.0,266.0141538740024,160.84332791607517,1
10,0.0,uninfected,1,45.0,51.0,6.0,258.26522830578267,114.86306625855951,1
1,0.0,uninfected,2,36.0,41.0,5.0,264.896834986632,130.91773715730292,1
1,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
2,0.0,uninfected,2,46.0,51.0,5.0,254.94212913971762,131.99454846418234,1
2,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
3,0.0,uninfected,2,33.0,38.0,5.0,268.40373857711865,153.90115755274974,1
3,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
4,0.0,uninfected,2,38.0,43.0,5.0,263.5975149240633,141.64714271902213,1
4,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
5,0.0,uninfected,2,32.0,37.0,5.0,269.44495402174266,146.67359787661763,1
5,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
6,0.0,uninfected,2,45.0,50.0,5.0,256.1221646766393,133.55510504629254,1
6,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
7,0.0,uninfected,2,44.0,49.0,5.0,256.6531179796778,130.5554146081528,1
7,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
8,0.0,uninfected,2,37.0,43.0,6.0,264.7875143870691,125.15116839125281,1
8,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
9,0.0,uninfected,2,35.0,40.0,5.0,266.606239362031,157.36668895614235,1
9,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
10,0.0,uninfected,2,37.0,42.0,5.0,264.92641438305236,157.9528873037395,1
10,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
1,0.0,uninfected,3,39.0,44.0,5.0,216.11564453534075,106.14907913578494,1
1,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
2,0.0,uninfected,3,39.0,44.0,5.0,217.61112405942282,130.911920911816,1
2,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
3,0.0,uninfected,3,39.0,44.0,5.0,217.42887539510357,124.54922568862605,1
3,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
4,0.0,uninfected,3,40.0,45.0,5.0,217.3374420909576,104.98218577541985,1
4,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
5,0.0,uninfected,3,42.0,47.0,5.0,221.23842555433876,119.17659375930793,1
5,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
6,0.0,uninfected,3,40.0,45.0,5.0,218.24506267383032,113.65724979808166,1
6,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
7,0.0,uninfected,3,36.0,41.0,5.0,211.312971627433,111.32472476660456,1
7,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
8,0.0,uninfected,3,51.0,56.0,5.0,228.00224887554558,123.67267331940317,1
8,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
9,0.0,uninfected,3,41.0,46.0,5.0,220.3975976242029,124.7216367075701,1
9,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
10,0.0,uninfected,3,40.0,45.0,5.0,219.11397949673946,127.4796043154198,1
10,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
1,0.0,uninfected,1,34.0,39.0,5.0,267.85845136792767,154.1941014716958,2
2,0.0,uninfected,1,37.0,42.0,5.0,265.15571689336366,151.33034094062043,2
3,0.0,uninfected,1,39.0,45.0,6.0,263.5157420587264,120.56150251214785,2
4,0.0,uninfected,1,43.0,49.0,6.0,259.91036097035936,113.22101881112508,2
5,0.0,uninfected,1,41.0,46.0,5.0,261.4059555941771,147.60145465026966,2
6,0.0,uninfected,1,39.0,44.0,5.0,263.4602809663193,154.9168922131471,2
7,0.0,uninfected,1,35.0,41.0,6.0,266.675095658758,123.40175617850858,2
