t_since_mm,treatment_id,y_wetmass_mg,wetmass_mg,pretreatment_24D,num_sample
16.0,1,1.0,181.08700235536327,0.0,1
16.0,2,1.081558087544208,195.85611194658017,0.03,1
16.0,3,0.8391431588978315,151.9579191918186,0.3,1
26.0,1,1.0,250.11306451276965,0.0,1
26.0,2,0.7441182868170009,186.11370507579218,0.03,1
26.0,3,0.900648324898533,225.2639125886647,0.3,1
16.0,1,1.0,173.683159965614,0.0,2
16.0,2,1.0860100660742338,188.6216600302382,0.03,2
16.0,3,0.975271177756027,169.38817997605287,0.3,2
26.0,1,0.9999999999999997,220.23840508786398,0.0,2
26.0,2,1.2712154148998642,279.97045550065343,0.03,2
26.0,3,0.9910925009071185,218.27663169432617,0.3,2
16.0,1,1.0,194.22084598326433,0.0,3
16.0,2,0.9886030469067608,192.00732011186383,0.03,3
16.0,3,0.8918538506281861,173.21660936243816,0.3,3
26.0,1,1.0,235.60396483566518,0.0,3
26.0,2,0.9613489053422537,226.49761368906155,0.03,3
26.0,3,0.9270531564114446,218.4173992639544,0.3,3
16.0,1,0.9999999999999998,202.36442279530814,0.0,4
16.0,2,0.7709792056730747,156.01876194321693,0.03,4
16.0,3,0.9539396837511042,193.04345348383103,0.3,4
26.0,1,1.0,196.2672615944237,0.0,4
26.0,2,1.1482586823177718,225.36558718053047,0.03,4
26.0,3,1.1685784877708254,229.35369975293264,0.3,4
16.0,1,1.0,176.83192143740035,0.0,5
16.0,2,1.018324962351538,180.07235974029084,0.03,5
16.0,3,0.9886216448872742,174.81986504002,0.3,5
26.0,1,0.9999999999999998,232.49389767124703,0.0,5
26.0,2,0.9468971129465789,220.14780048260113,0.03,5
26.0,3,1.0820753482962284,251.57591529936235,0.3,5
16.0,1,1.0,188.2472932396867,0.0,6
16.0,2,0.9447715348152299,177.85068415887147,0.03,6
16.0,3,0.9098126333522989,171.26976558384177,0.3,6
26.0,1,1.0,222.8803218548534,0.0,6
26.0,2,1.0067828001784331,224.39207454169974,0.03,6
26.0,3,1.023855144529945,228.19716414558155,0.3,6
16.0,1,1.0000000000000002,195.8731470252192,0.0,7
16.0,2,1.0335524937456768,202.44517956572886,0.03,7
16.0,3,0.9094877097482268,178.14421988914427,0.3,7
26.0,1,1.0,230.36521052258166,0.0,7
26.0,2,0.8988632273041561,207.06681658892913,0.03,7
26.0,3,1.1062957058038798,254.85204316773888,0.3,7
16.0,1,1.0000000000000002,210.24628821948494,0.0,8
16.0,2,0.9137590622041563,192.11445115534127,0.03,8
16.0,3,0.9507130283042541,199.88388536287553,0.3,8
26.0,1,1.0,191.63062504558965,0.0,8
26.0,2,1.058411539171278,202.8240648068566,0.03,8
26.0,3,1.1284939587296638,216.25400267153736,0.3,8
