replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,44.0,49.0,5.0,258.42572416626,143.92121159119765,1
2,0.0,uninfected,1,39.0,44.0,5.0,263.09054372271714,144.96595085691308,1
3,0.0,uninfected,1,50.0,56.0,6.0,253.33299073952108,108.90736859765504,1
4,0.0,uninfected,1,39.0,44.0,5.0,263.059783265472,144.59727418472713,1
5,0.0,uninfected,1,34.0,39.0,5.0,267.8914587689628,151.64397751934627,1
6,0.0,uninfected,1,36.0,41.0,5.0,265.46152657719585,134.88820154568256,1
7,0.0,uninfected,1,41.0,47.0,6.0,261.9220334516393,126.52313658929495,1
8,0.0,uninfected,1,37.0,42.0,5.0,264.9177450564599,143.67338242727345,1
9,0.0,uninfected,1,34.0,39.0,5.0,267.50210977807245,165.32251627590966,1
10,0.0,uninfected,1,38.0,43.0,5.0,264.26682964168504,151.54842158508416,1
1,0.0,uninfected,2,45.0,50.0,5.0,257.4604851270836,143.27485386295965,1
1,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
2,0.0,uninfected,2,41.0,47.0,6.0,261.9113152346899,123.25536034016656,1
2,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
3,0.0,uninfected,2,37.0,42.0,5.0,265.15967102847,151.5704960255047,1
3,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
4,0.0,uninfected,2,50.0,55.0,5.0,252.06450537156417,136.08469357615522,1
4,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
5,0.0,uninfected,2,39.0,44.0,5.0,262.1185083596658,132.4180514561089,1
5,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
6,0.0,uninfected,2,44.0,49.0,5.0,256.68301621817005,129.7411164223656,1
6,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
7,0.0,uninfected,2,45.0,50.0,5.0,255.5459266086982,128.80760742483193,1
7,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
8,0.0,uninfected,2,50.0,56.0,6.0,252.82013686298322,104.96829479290126,1
8,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
9,0.0,uninfected,2,42.0,48.0,6.0,260.96058091165963,117.51776362218307,1
9,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
10,0.0,uninfected,2,39.0,45.0,6.0,263.5004693381947,124.54307459398169,1
10,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
1,0.0,uninfected,3,56.0,62.0,6.0,241.5972794681436,119.20375570953571,1
1,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
2,0.0,uninfected,3,36.0,41.0,5.0,242.9487672662002,143.46041303989804,1
2,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
3,0.0,uninfected,3,39.0,45.0,6.0,243.76409940225494,108.58770409733953,1
3,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
4,0.0,uninfected,3,40.0,45.0,5.0,242.821522338624,129.9747782205257,1
4,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
5,0.0,uninfected,3,37.0,43.0,6.0,243.3249129246471,113.12702699598562,1
5,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
6,0.0,uninfected,3,36.0,42.0,6.0,242.9807948468836,110.61225877245433,1
