t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,6.118613944329445,10,1.0,1
1.0,0.0,uninfected,1,9.031030238291592,10,1.0,1
2.0,0.0,uninfected,1,12.148960770088319,10,1.0,1
3.0,0.0,uninfected,1,15.473675977623255,10,1.0,1
4.0,0.0,uninfected,1,19.006857720406536,10,1.0,1
5.0,0.0,uninfected,1,22.750058640440596,10,1.0,1
6.0,0.0,uninfected,1,26.70459547119342,10,1.0,1
7.0,0.0,uninfected,1,30.871523236927743,10,1.0,1
8.0,0.0,uninfected,1,35.251632374406846,10,1.0,1
9.0,0.0,uninfected,1,39.84545416977004,10,1.0,1
10.0,0.0,uninfected,1,44.65327006768625,10,1.0,1
11.0,0.0,uninfected,1,49.675121271561366,10,1.0,1
12.0,0.0,uninfected,1,54.91082022997078,10,1.0,1
13.0,0.0,uninfected,1,60.35996150812722,10,1.0,1
14.0,0.0,uninfected,1,66.02193172241115,10,1.0,1
15.0,0.0,uninfected,1,71.89592123309589,10,1.0,1
16.0,0.0,uninfected,1,77.98093451525668,10,1.0,1
17.0,0.0,uninfected,1,84.27579900676454,10,1.0,1
18.0,0.0,uninfected,1,90.77917501869682,10,1.0,1
19.0,0.0,uninfected,1,97.48956679280916,10,1.0,1
20.0,0.0,uninfected,1,104.40533007516618,10,1.0,1
21.0,0.0,uninfected,1,111.5246803849147,10,1.0,1
22.0,0.0,uninfected,1,118.84570124549452,10,1.0,1
23.0,0.0,uninfected,1,126.36635425000343,10,1.0,1
24.0,0.0,uninfected,1,134.0844861536627,10,1.0,1
25.0,0.0,uninfected,1,141.99783458547648,10,1.0,1
26.0,0.0,uninfected,1,150.10403600181795,10,1.0,1
27.0,0.0,uninfected,1,158.40063303205346,10,1.0,1
28.0,0.0,uninfected,1,166.8850811148065,10,1.0,1
29.0,0.0,uninfected,1,175.55475472941953,10,1.0,1
30.0,0.0,uninfected,1,184.40695327804596,10,1.0,1
31.0,0.0,uninfected,1,193.43890687031399,10,1.0,1
32.0,0.0,uninfected,1,202.64778162536845,10,1.0,1
33.0,0.0,uninfected,1,212.03068511024563,10,1.0,1
34.0,0.0,uninfected,1,221.58467274298386,10,1.0,1
35.0,0.0,uninfected,1,227.14950825222454,9,0.9,1
36.0,0.0,uninfected,1,233.07227513363085,8,0.8,1
37.0,0.0,uninfected,1,224.54443221402897,5,0.5,1
38.0,0.0,uninfected,1,224.20426596076697,4,0.4,1
39.0,0.0,uninfected,1,222.21028427396004,3,0.3,1
40.0,0.0,uninfected,1,230.79990434130653,3,0.3,1
41.0,0.0,uninfected,1,239.51129824401127,3,0.3,1
42.0,0.0,uninfected,1,237.43311251401394,2,0.2,1
43.0,0.0,uninfected,1,245.98535776415483,2,0.2,1
44.0,0.0,uninfected,1,243.39571671659195,1,0.1,1
45.0,0.0,uninfected,1,251.77385209823998,1,0.1,1
0.0,0.0,uninfected,2,5.304100376041196,10,1.0,1
1.0,0.0,uninfected,2,7.819848923685109,10,1.0,1
2.0,0.0,uninfected,2,10.513079878709837,10,1.0,1
3.0,0.0,uninfected,2,13.384732631084185,10,1.0,1
4.0,0.0,uninfected,2,16.436195544493014,10,1.0,1
5.0,0.0,uninfected,2,19.668772044230376,10,1.0,1
6.0,0.0,uninfected,2,23.083573205984734,10,1.0,1
7.0,0.0,uninfected,2,26.681489986576878,10,1.0,1
8.0,0.0,uninfected,2,30.46318857182419,10,1.0,1
9.0,0.0,uninfected,2,34.4291140127453,10,1.0,1
10.0,0.0,uninfected,2,38.57949728090459,10,1.0,1
11.0,0.0,uninfected,2,42.9143638702182,10,1.0,1
