t_since_mm,treatment_id,y_wetmass_mg,wetmass_mg,pretreatment_24D,num_sample
16.0,1,0.9999999999999997,179.9578584539509,0.0,1
16.0,2,1.2061042232011565,217.0479330795461,0.03,1
16.0,3,0.8945228052568442,160.97640837224225,0.3,1
26.0,1,1.0,247.83102022059947,0.0,1
26.0,2,0.7641741675193106,189.38606356253806,0.03,1
26.0,3,1.0306289568504279,255.4218258451337,0.3,1
16.0,1,1.0000000000000002,175.58658589258852,0.0,2
16.0,2,1.245755629713728,218.73797787790517,0.03,2
16.0,3,1.11124270633893,195.11931290409308,0.3,2
26.0,1,1.0000000000000002,213.39121060065995,0.0,2
26.0,2,0.9433913740855708,201.31142738634003,0.03,2
26.0,3,0.9833320294310297,209.83441218269127,0.3,2
16.0,1,0.9999999999999998,207.34042719589357,0.0,3
16.0,2,0.9839795385549731,204.01873787600638,0.03,3
16.0,3,0.8373937630591939,173.62558056387016,0.3,3
26.0,1,1.0000000000000002,206.02961824860932,0.0,3
26.0,2,0.9822366016392111,202.36983206553802,0.03,3
26.0,3,1.1902237286210882,245.2213404382391,0.3,3
16.0,1,1.0,172.38700812938208,0.0,4
16.0,2,0.9949026962606096,171.50829918822186,0.03,4
16.0,3,0.8592949946822024,148.13129323381818,0.3,4
26.0,1,1.0,258.73555643288415,0.0,4
26.0,2,0.9867406124350951,255.30488141331926,0.03,4
26.0,3,0.8773974682292573,227.01392215510077,0.3,4
16.0,1,1.0,179.46506321302533,0.0,5
16.0,2,0.9377276440138624,168.28935090954917,0.03,5
16.0,3,1.0177265094865828,182.64635235858123,0.3,5
26.0,1,1.0,256.14574369395325,0.0,5
26.0,2,0.9232939481831973,236.4978150055114,0.03,5
26.0,3,1.0019604143131855,256.64789547615237,0.3,5
16.0,1,0.9999999999999998,183.93909808962272,0.0,6
16.0,2,0.9115302018547039,167.66604321060595,0.03,6
16.0,3,0.8463109574753318,155.6696742213776,0.3,6
26.0,1,0.9999999999999998,230.14934173197457,0.0,6
26.0,2,1.0265831816240436,236.26744348388974,0.03,6
26.0,3,1.0766266215718168,247.78490824587328,0.3,6
16.0,1,1.0,223.56676150015187,0.0,7
16.0,2,1.0434746024634403,233.2862375804097,0.03,7
16.0,3,0.8210760419009746,183.5653116331639,0.3,7
26.0,1,1.0,184.66810762011167,0.0,7
26.0,2,0.9727818889648099,179.64179056224904,0.03,7
26.0,3,1.3102786999232978,241.96668796977556,0.3,7
16.0,1,1.0,166.83787329775342,0.0,8
16.0,2,0.9721676070276096,162.19437604545246,0.03,8
16.0,3,0.9668020619664416,161.2991999183639,0.3,8
26.0,1,0.9999999999999997,220.28904386067217,0.0,8
26.0,2,1.0747372963104511,236.75285140563315,0.03,8
26.0,3,1.0682412981529916,235.3218541826057,0.3,8
16.0,1,1.0,195.1553698533989,0.0,9
16.0,2,0.871750805215856,170.1268508118987,0.03,9
16.0,3,0.8063582592603007,157.3651443202869,0.3,9
26.0,1,1.0,250.72857383178197,0.0,9
26.0,2,0.902721872061629,226.33816754876858,0.03,9
