replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,39.0,45.0,6.0,263.51611498242045,118.35559301649029,1
2,0.0,uninfected,1,37.0,42.0,5.0,263.93496123108,129.14647223440147,1
3,0.0,uninfected,1,37.0,43.0,6.0,265.17505382410076,119.28352586961363,1
4,0.0,uninfected,1,46.0,52.0,6.0,257.7286654582289,120.1593464373488,1
5,0.0,uninfected,1,35.0,40.0,5.0,266.8744090398753,159.79931037515732,1
6,0.0,uninfected,1,36.0,42.0,6.0,265.9753982481142,120.37211827407918,1
7,0.0,uninfected,1,37.0,42.0,5.0,263.5121578846148,125.08728541276697,1
8,0.0,uninfected,1,38.0,43.0,5.0,263.8332313851762,141.23737812358218,1
9,0.0,uninfected,1,42.0,47.0,5.0,259.12046945219095,132.94333716750268,1
10,0.0,uninfected,1,44.0,49.0,5.0,258.25823284403975,142.2040741290317,1
1,0.0,uninfected,2,44.0,50.0,6.0,259.1034992620568,114.46589336143806,1
1,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
2,0.0,uninfected,2,46.0,52.0,6.0,258.02279393820663,126.97726143075693,1
2,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
3,0.0,uninfected,2,44.0,50.0,6.0,259.44702536138834,121.89567166972206,1
3,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
4,0.0,uninfected,2,48.0,53.0,5.0,252.7228550400922,129.27222464217817,1
4,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
5,0.0,uninfected,2,44.0,49.0,5.0,257.23997987614837,133.55543846216412,1
5,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
6,0.0,uninfected,2,39.0,44.0,5.0,263.2113600513185,147.34397917695244,1
6,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
7,0.0,uninfected,2,44.0,49.0,5.0,258.76330760308826,147.91565501597952,1
7,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
8,0.0,uninfected,2,35.0,40.0,5.0,266.97303540790034,150.05854397947888,1
8,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
9,0.0,uninfected,2,46.0,51.0,5.0,254.68992533360978,129.56110007620342,1
9,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
10,0.0,uninfected,2,39.0,44.0,5.0,262.8388834188846,140.9200294405134,1
10,0.03,uninfected,2,Inf,Inf,NaN,Inf,Inf,1
1,0.0,uninfected,3,41.0,46.0,5.0,259.52764767757975,128.0926602596626,1
1,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
2,0.0,uninfected,3,37.0,43.0,6.0,265.1245509262214,122.68114281585133,1
2,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
3,0.0,uninfected,3,34.0,40.0,6.0,267.4176060453535,123.66501773181825,1
3,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
4,0.0,uninfected,3,35.0,40.0,5.0,265.9199619729179,126.47041836968027,1
4,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
5,0.0,uninfected,3,40.0,45.0,5.0,260.7354753396072,129.30853628266215,1
5,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
6,0.0,uninfected,3,40.0,45.0,5.0,261.53935532437555,136.99258048475767,1
6,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
7,0.0,uninfected,3,41.0,46.0,5.0,260.6471188193186,137.93708098623466,1
7,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
8,0.0,uninfected,3,35.0,41.0,6.0,266.68171091596395,123.09059053049424,1
8,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
9,0.0,uninfected,3,43.0,48.0,5.0,258.20273894533017,133.48076962974523,1
9,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
10,0.0,uninfected,3,41.0,46.0,5.0,260.3082829636221,134.527246557005,1
10,0.3,uninfected,3,Inf,Inf,NaN,Inf,Inf,1
1,0.0,uninfected,1,36.0,41.0,5.0,266.0719937137292,153.65224183906412,2
2,0.0,uninfected,1,36.0,42.0,6.0,265.8977007781523,123.27184922406376,2
3,0.0,uninfected,1,38.0,43.0,5.0,263.3722264499451,134.7206472295278,2
