t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,5.627996438538734,10,1.0,1
1.0,0.0,uninfected,1,8.301408194024344,10,1.0,1
2.0,0.0,uninfected,1,11.163445385088114,10,1.0,1
3.0,0.0,uninfected,1,14.21517888602656,10,1.0,1
4.0,0.0,uninfected,1,17.45811367765711,10,1.0,1
5.0,0.0,uninfected,1,20.893652289033586,10,1.0,1
6.0,0.0,uninfected,1,24.522987552641407,10,1.0,1
7.0,0.0,uninfected,1,28.34707566863822,10,1.0,1
8.0,0.0,uninfected,1,32.36663220028273,10,1.0,1
9.0,0.0,uninfected,1,36.582136547278004,10,1.0,1
10.0,0.0,uninfected,1,40.99383973205247,10,1.0,1
11.0,0.0,uninfected,1,45.60177343576666,10,1.0,1
12.0,0.0,uninfected,1,50.40576022139844,10,1.0,1
13.0,0.0,uninfected,1,55.40542289906665,10,1.0,1
14.0,0.0,uninfected,1,60.60019459023438,10,1.0,1
15.0,0.0,uninfected,1,65.9893288389864,10,1.0,1
16.0,0.0,uninfected,1,71.57190841954959,10,1.0,1
17.0,0.0,uninfected,1,77.34685433027312,10,1.0,1
18.0,0.0,uninfected,1,83.31293551073277,10,1.0,1
19.0,0.0,uninfected,1,89.46877721481373,10,1.0,1
20.0,0.0,uninfected,1,95.81286831557195,10,1.0,1
21.0,0.0,uninfected,1,102.34356964864753,10,1.0,1
22.0,0.0,uninfected,1,109.05912252926218,10,1.0,1
23.0,0.0,uninfected,1,115.95765571487175,10,1.0,1
24.0,0.0,uninfected,1,123.03719193235376,10,1.0,1
25.0,0.0,uninfected,1,130.29565489403348,10,1.0,1
26.0,0.0,uninfected,1,137.73087595055534,10,1.0,1
27.0,0.0,uninfected,1,145.3406004935292,10,1.0,1
28.0,0.0,uninfected,1,153.12249376618024,10,1.0,1
29.0,0.0,uninfected,1,161.0741471866972,10,1.0,1
30.0,0.0,uninfected,1,169.19308349957092,10,1.0,1
31.0,0.0,uninfected,1,177.47676172672942,10,1.0,1
32.0,0.0,uninfected,1,185.922582598374,10,1.0,1
33.0,0.0,uninfected,1,194.5278931203849,10,1.0,1
34.0,0.0,uninfected,1,195.68174262333505,9,0.9,1
35.0,0.0,uninfected,1,204.26270615616218,9,0.9,1
36.0,0.0,uninfected,1,212.98919152673312,9,0.9,1
37.0,0.0,uninfected,1,216.2046195781731,8,0.8,1
38.0,0.0,uninfected,1,224.98334988241618,8,0.8,1
39.0,0.0,uninfected,1,229.51042149381024,7,0.7,1
40.0,0.0,uninfected,1,233.8018552806344,6,0.6,1
41.0,0.0,uninfected,1,237.43782968867816,5,0.5,1
42.0,0.0,uninfected,1,233.72386319831944,3,0.3,1
43.0,0.0,uninfected,1,231.45355389052705,2,0.2,1
44.0,0.0,uninfected,1,239.60054013818234,2,0.2,1
45.0,0.0,uninfected,1,232.71660186834418,1,0.1,1
46.0,0.0,uninfected,1,240.54904307852647,1,0.1,1
47.0,0.0,uninfected,1,248.4706900430426,1,0.1,1
0.0,0.0,uninfected,1,6.201153732097352,10,1.0,2
1.0,0.0,uninfected,1,9.153660144817183,10,1.0,2
2.0,0.0,uninfected,1,12.314512867985488,10,1.0,2
3.0,0.0,uninfected,1,15.685015743656312,10,1.0,2
4.0,0.0,uninfected,1,19.26688020904626,10,1.0,2
5.0,0.0,uninfected,1,23.061684002659206,10,1.0,2
6.0,0.0,uninfected,1,27.07076465301945,10,1.0,2
7.0,0.0,uninfected,1,31.295193698598503,10,1.0,2
8.0,0.0,uninfected,1,35.73577408081253,10,1.0,2
9.0,0.0,uninfected,1,40.39304585390382,10,1.0,2
10.0,0.0,uninfected,1,45.26729537459276,10,1.0,2
11.0,0.0,uninfected,1,50.3585655860805,10,1.0,2
12.0,0.0,uninfected,1,55.66666719706668,10,1.0,2
13.0,0.0,uninfected,1,61.19118978696845,10,1.0,2
14.0,0.0,uninfected,1,66.93151245534877,10,1.0,2
15.0,0.0,uninfected,1,72.88681502591541,10,1.0,2
16.0,0.0,uninfected,1,79.05608837484806,10,1.0,2
17.0,0.0,uninfected,1,85.43814429496169,10,1.0,2
18.0,0.0,uninfected,1,92.03162561284667,10,1.0,2
19.0,0.0,uninfected,1,98.83501563147851,10,1.0,2
20.0,0.0,uninfected,1,105.84664756215486,10,1.0,2
21.0,0.0,uninfected,1,113.06471247841134,10,1.0,2
22.0,0.0,uninfected,1,120.4872684158249,10,1.0,2
23.0,0.0,uninfected,1,128.11224876681655,10,1.0,2
24.0,0.0,uninfected,1,135.93746948872567,10,1.0,2
25.0,0.0,uninfected,1,143.96063779631223,10,1.0,2
26.0,0.0,uninfected,1,152.17935782408136,10,1.0,2
27.0,0.0,uninfected,1,160.5911378457685,10,1.0,2
28.0,0.0,uninfected,1,169.19339795446098,10,1.0,2
29.0,0.0,uninfected,1,177.98347649747825,10,1.0,2
30.0,0.0,uninfected,1,186.95863548567027,10,1.0,2
31.0,0.0,uninfected,1,196.11606667157457,10,1.0,2
32.0,0.0,uninfected,1,205.45289657915842,10,1.0,2
33.0,0.0,uninfected,1,214.96619252982526,10,1.0,2
34.0,0.0,uninfected,1,224.65296878816093,10,1.0,2
35.0,0.0,uninfected,1,230.52309768025316,9,0.9,2
36.0,0.0,uninfected,1,231.20130107822916,7,0.7,2
37.0,0.0,uninfected,1,235.51230226393014,6,0.6,2
38.0,0.0,uninfected,1,234.55075132484933,4,0.4,2
39.0,0.0,uninfected,1,234.59064100452392,3,0.3,2
40.0,0.0,uninfected,1,243.6610678271762,3,0.3,2
41.0,0.0,uninfected,1,246.68961199460966,2,0.2,2
42.0,0.0,uninfected,1,255.78602073052446,2,0.2,2
0.0,0.0,uninfected,1,5.80203822492672,10,1.0,3
1.0,0.0,uninfected,1,8.560174745242358,10,1.0,3
2.0,0.0,uninfected,1,11.512922461793838,10,1.0,3
3.0,0.0,uninfected,1,14.661422903000467,10,1.0,3
4.0,0.0,uninfected,1,18.007243666263637,10,1.0,3
5.0,0.0,uninfected,1,21.55184040467781,10,1.0,3
6.0,0.0,uninfected,1,25.29644987478424,10,1.0,3
7.0,0.0,uninfected,1,29.24206322674413,10,1.0,3
8.0,0.0,uninfected,1,33.38942255175682,10,1.0,3
9.0,0.0,uninfected,1,37.739025618145064,10,1.0,3
10.0,0.0,uninfected,1,42.29113412111732,10,1.0,3
11.0,0.0,uninfected,1,47.04578325368968,10,1.0,3
12.0,0.0,uninfected,1,52.002791787095624,10,1.0,3
13.0,0.0,uninfected,1,57.161772529923624,10,1.0,3
14.0,0.0,uninfected,1,62.522142303187636,10,1.0,3
15.0,0.0,uninfected,1,68.08313201238477,10,1.0,3
16.0,0.0,uninfected,1,73.843796553837,10,1.0,3
17.0,0.0,uninfected,1,79.80302409601885,10,1.0,3
18.0,0.0,uninfected,1,85.95954507808099,10,1.0,3
19.0,0.0,uninfected,1,92.31194137915234,10,1.0,3
20.0,0.0,uninfected,1,98.85865479208242,10,1.0,3
21.0,0.0,uninfected,1,105.59799507657718,10,1.0,3
22.0,0.0,uninfected,1,112.52814759075616,10,1.0,3
23.0,0.0,uninfected,1,119.64718137140844,10,1.0,3
24.0,0.0,uninfected,1,126.95305661956425,10,1.0,3
25.0,0.0,uninfected,1,134.44363160328976,10,1.0,3
26.0,0.0,uninfected,1,142.1166687581337,10,1.0,3
27.0,0.0,uninfected,1,149.96984111253784,10,1.0,3
28.0,0.0,uninfected,1,158.00073969242595,10,1.0,3
29.0,0.0,uninfected,1,166.20687905231415,10,1.0,3
30.0,0.0,uninfected,1,174.5857027479031,10,1.0,3
31.0,0.0,uninfected,1,183.1345888350417,10,1.0,3
32.0,0.0,uninfected,1,191.85085471554436,10,1.0,3
33.0,0.0,uninfected,1,200.73176254138042,10,1.0,3
34.0,0.0,uninfected,1,203.18351532148742,9,0.9,3
35.0,0.0,uninfected,1,212.09493313845428,9,0.9,3
36.0,0.0,uninfected,1,221.15752836065934,9,0.9,3
37.0,0.0,uninfected,1,225.3034825496582,8,0.8,3
38.0,0.0,uninfected,1,230.22494497125146,7,0.7,3
39.0,0.0,uninfected,1,216.4608867002648,4,0.4,3
40.0,0.0,uninfected,1,224.82719176584555,4,0.4,3
41.0,0.0,uninfected,1,233.31207278047026,4,0.4,3
42.0,0.0,uninfected,1,241.91297633294434,4,0.4,3
43.0,0.0,uninfected,1,246.46529393347478,3,0.3,3
44.0,0.0,uninfected,1,250.43547817216992,2,0.2,3
45.0,0.0,uninfected,1,254.58409859154165,1,0.1,3
0.0,0.0,uninfected,1,6.121918336724351,10,1.0,4
1.0,0.0,uninfected,1,9.035971600492768,10,1.0,4
2.0,0.0,uninfected,1,12.155654854263066,10,1.0,4
3.0,0.0,uninfected,1,15.482239996815991,10,1.0,4
4.0,0.0,uninfected,1,19.017410068995837,10,1.0,4
5.0,0.0,uninfected,1,22.76271869187897,10,1.0,4
6.0,0.0,uninfected,1,26.719483539378935,10,1.0,4
7.0,0.0,uninfected,1,30.88876026672536,10,1.0,4
8.0,0.0,uninfected,1,35.27133983782033,10,1.0,4
9.0,0.0,uninfected,1,39.86775397600458,10,1.0,4
