replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,41.0,46.0,5.0,260.62389439962243,140.8576649075848,1
2,0.0,uninfected,1,37.0,42.0,5.0,264.88197025523715,158.48878413368362,1
3,0.0,uninfected,1,45.0,51.0,6.0,257.67440572432184,110.78531452765502,1
4,0.0,uninfected,1,40.0,45.0,5.0,262.2687816238814,153.87974803227652,1
5,0.0,uninfected,1,48.0,54.0,6.0,256.23210321097537,128.27886613578477,1
6,0.0,uninfected,1,42.0,47.0,5.0,260.0316935794657,145.03473366290456,1
7,0.0,uninfected,1,43.0,49.0,6.0,259.66623448956284,114.49937756683342,1
8,0.0,uninfected,1,42.0,48.0,6.0,260.6924599539316,118.51058778182171,1
9,0.0,uninfected,1,34.0,39.0,5.0,267.57346270666284,150.95452795159466,1
10,0.0,uninfected,1,39.0,45.0,6.0,263.2144451994913,121.26827100348427,1
1,0.0,uninfected,1,38.0,43.0,5.0,264.03752672708765,158.10103349781326,2
2,0.0,uninfected,1,36.0,41.0,5.0,265.6983070011794,147.87983742564148,2
3,0.0,uninfected,1,39.0,44.0,5.0,262.17816135329946,136.3014310675635,2
4,0.0,uninfected,1,43.0,48.0,5.0,258.0036292585828,134.2199598295085,2
5,0.0,uninfected,1,37.0,42.0,5.0,264.36404071345135,138.61662313306192,2
6,0.0,uninfected,1,36.0,41.0,5.0,265.30301178722567,137.3268988772534,2
7,0.0,uninfected,1,38.0,44.0,6.0,264.0324733742238,118.82962351338259,2
8,0.0,uninfected,1,43.0,49.0,6.0,259.9791721440303,122.64264585030655,2
9,0.0,uninfected,1,41.0,46.0,5.0,261.3797671838238,153.19304818082918,2
10,0.0,uninfected,1,35.0,40.0,5.0,266.6532490352703,152.8012573322002,2
1,0.0,uninfected,1,39.0,44.0,5.0,262.4705047086538,140.0188170792948,3
2,0.0,uninfected,1,43.0,49.0,6.0,259.7439681098807,116.10083660721544,3
3,0.0,uninfected,1,39.0,44.0,5.0,261.25687984227227,127.27853601735883,3
4,0.0,uninfected,1,46.0,51.0,5.0,256.4322233989571,144.53093225764601,3
5,0.0,uninfected,1,34.0,39.0,5.0,267.39274007566706,160.0008384039347,3
6,0.0,uninfected,1,44.0,49.0,5.0,258.3196520053789,145.92579906748253,3
7,0.0,uninfected,1,39.0,45.0,6.0,263.2061116103016,120.06006289980446,3
8,0.0,uninfected,1,45.0,50.0,5.0,257.47730236188755,146.4324540158313,3
9,0.0,uninfected,1,38.0,44.0,6.0,263.9441718667866,125.75796756671235,3
10,0.0,uninfected,1,37.0,42.0,5.0,264.67079822289446,145.1555025368569,3
1,0.0,uninfected,1,36.0,41.0,5.0,265.5746598706258,143.4510369609474,4
2,0.0,uninfected,1,39.0,44.0,5.0,261.54216885268005,129.80003265372883,4
3,0.0,uninfected,1,34.0,39.0,5.0,267.54365114732605,153.8384302689407,4
