t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,6.316091780862796,10,1.0,1
1.0,0.0,uninfected,1,9.3248185459408,10,1.0,1
2.0,0.0,uninfected,1,12.545863807126517,10,1.0,1
3.0,0.0,uninfected,1,15.980578831733073,10,1.0,1
4.0,0.0,uninfected,1,19.630716735930044,10,1.0,1
5.0,0.0,uninfected,1,23.497890630752273,10,1.0,1
6.0,0.0,uninfected,1,27.583467237362118,10,1.0,1
7.0,0.0,uninfected,1,31.888541360701044,10,1.0,1
8.0,0.0,uninfected,1,36.41393352970731,10,1.0,1
9.0,0.0,uninfected,1,41.16019611097594,10,1.0,1
10.0,0.0,uninfected,1,46.12762252409095,10,1.0,1
11.0,0.0,uninfected,1,51.31625799256334,10,1.0,1
12.0,0.0,uninfected,1,56.72591102616364,10,1.0,1
13.0,0.0,uninfected,1,62.35616423663119,10,1.0,1
14.0,0.0,uninfected,1,68.20638597577833,10,1.0,1
15.0,0.0,uninfected,1,74.27574146088517,10,1.0,1
16.0,0.0,uninfected,1,80.56320280868852,10,1.0,1
17.0,0.0,uninfected,1,87.06755956322263,10,1.0,1
18.0,0.0,uninfected,1,93.78742967533123,10,1.0,1
19.0,0.0,uninfected,1,100.72126797741694,10,1.0,1
20.0,0.0,uninfected,1,107.86737578832597,10,1.0,1
21.0,0.0,uninfected,1,115.22390969695569,10,1.0,1
22.0,0.0,uninfected,1,122.78889163571641,10,1.0,1
23.0,0.0,uninfected,1,130.5602156557273,10,1.0,1
24.0,0.0,uninfected,1,138.53565584908912,10,1.0,1
25.0,0.0,uninfected,1,146.71287545779686,10,1.0,1
26.0,0.0,uninfected,1,155.08943282277357,10,1.0,1
27.0,0.0,uninfected,1,163.6627889110609,10,1.0,1
28.0,0.0,uninfected,1,172.43031439803067,10,1.0,1
29.0,0.0,uninfected,1,181.38929656167198,10,1.0,1
30.0,0.0,uninfected,1,190.53694494362122,10,1.0,1
31.0,0.0,uninfected,1,199.87039702750874,10,1.0,1
32.0,0.0,uninfected,1,209.38672449867803,10,1.0,1
33.0,0.0,uninfected,1,213.43351078716455,9,0.9,1
34.0,0.0,uninfected,1,216.72805746066717,8,0.8,1
35.0,0.0,uninfected,1,226.23614804761874,8,0.8,1
36.0,0.0,uninfected,1,235.90562914917356,8,0.8,1
37.0,0.0,uninfected,1,241.92787146160433,7,0.7,1
38.0,0.0,uninfected,1,235.72307058889086,4,0.4,1
39.0,0.0,uninfected,1,234.87291785921627,3,0.3,1
40.0,0.0,uninfected,1,233.20796989812442,2,0.2,1
41.0,0.0,uninfected,1,242.01064440923702,2,0.2,1
42.0,0.0,uninfected,1,250.93373122261443,2,0.2,1
43.0,0.0,uninfected,1,259.9745684472308,2,0.2,1
0.0,0.0,uninfected,1,6.521182837468278,10,1.0,2
1.0,0.0,uninfected,1,9.629843686525664,10,1.0,2
2.0,0.0,uninfected,1,12.957885260175653,10,1.0,2
3.0,0.0,uninfected,1,16.506742276671414,10,1.0,2
4.0,0.0,uninfected,1,20.27824184175102,10,1.0,2
5.0,0.0,uninfected,1,24.27405985946343,10,1.0,2
6.0,0.0,uninfected,1,28.495614873355727,10,1.0,2
