replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,40.0,46.0,6.0,264.1866493284993,123.09235997354763,1
2,0.0,uninfected,1,38.0,43.0,5.0,265.0534671001942,138.1312589213004,1
3,0.0,uninfected,1,34.0,39.0,5.0,269.3992599434339,151.93342624224383,1
4,0.0,uninfected,1,39.0,44.0,5.0,263.187325272456,129.38377216081392,1
5,0.0,uninfected,1,33.0,38.0,5.0,269.7806754557972,167.1124096745251,1
6,0.0,uninfected,1,37.0,42.0,5.0,266.5298149826865,147.46106505493194,1
7,0.0,uninfected,1,38.0,43.0,5.0,265.34239125861234,142.60994750909114,1
8,0.0,uninfected,1,44.0,49.0,5.0,258.6249459715046,133.9587463008981,1
9,0.0,uninfected,1,44.0,49.0,5.0,259.22831139589164,138.71621092893858,1
10,0.0,uninfected,1,38.0,43.0,5.0,265.4279700549629,144.13628074809702,1
1,0.0,uninfected,1,36.0,41.0,5.0,275.32437746358795,148.95890318799994,2
2,0.0,uninfected,1,37.0,42.0,5.0,273.6381765807216,137.88653491748727,2
3,0.0,uninfected,1,40.0,45.0,5.0,271.7577647158953,157.4996421156433,2
4,0.0,uninfected,1,35.0,40.0,5.0,276.19746597620633,169.7300400903153,2
5,0.0,uninfected,1,39.0,44.0,5.0,271.816160588701,141.98399871621973,2
6,0.0,uninfected,1,40.0,45.0,5.0,271.37480695173053,149.9131641700763,2
7,0.0,uninfected,1,44.0,49.0,5.0,267.3333429721905,147.41760324032154,2
8,0.0,uninfected,1,37.0,42.0,5.0,273.66089524388894,138.1794979857608,2
9,0.0,uninfected,1,40.0,45.0,5.0,270.9654045256486,144.15252202527577,2
10,0.0,uninfected,1,35.0,40.0,5.0,276.4440209299669,157.40837722434784,2
1,0.0,uninfected,1,40.0,45.0,5.0,258.1804615114493,127.34248024374143,3
2,0.0,uninfected,1,41.0,46.0,5.0,259.23802264926564,152.06319476830288,3
3,0.0,uninfected,1,40.0,45.0,5.0,260.1008882915348,152.5648111227775,3
4,0.0,uninfected,1,34.0,39.0,5.0,264.929459136696,164.53867866909212,3
5,0.0,uninfected,1,39.0,44.0,5.0,260.37741757386294,139.7583853369327,3
6,0.0,uninfected,1,45.0,50.0,5.0,253.34031207054275,128.7424722555467,3
7,0.0,uninfected,1,40.0,45.0,5.0,259.27029528044335,137.865519283988,3
8,0.0,uninfected,1,42.0,48.0,6.0,258.64729394534453,121.32437948468487,3
9,0.0,uninfected,1,43.0,48.0,5.0,255.74092662993684,131.91108270545797,3
10,0.0,uninfected,1,34.0,39.0,5.0,265.25613801002675,139.37010111532547,3
1,0.0,uninfected,1,39.0,45.0,6.0,265.96009662507873,124.22543480252115,4
2,0.0,uninfected,1,39.0,44.0,5.0,265.71566703193065,150.20181695006667,4
3,0.0,uninfected,1,32.0,37.0,5.0,272.20202824491423,155.1352097019804,4
4,0.0,uninfected,1,38.0,44.0,6.0,266.7369686853745,126.76460004834163,4
5,0.0,uninfected,1,39.0,44.0,5.0,264.1603577421559,129.90274185866596,4
6,0.0,uninfected,1,46.0,52.0,6.0,259.5653965507681,113.23267102688945,4
7,0.0,uninfected,1,38.0,43.0,5.0,266.8175244574793,159.79500874790642,4
8,0.0,uninfected,1,37.0,43.0,6.0,267.6309567350619,121.1461062121488,4
9,0.0,uninfected,1,34.0,39.0,5.0,269.8270853002994,131.1949399514654,4
10,0.0,uninfected,1,40.0,46.0,6.0,265.1173526903569,120.10045749471328,4
1,0.0,uninfected,1,41.0,47.0,6.0,258.1839566994012,120.05157615226756,5
2,0.0,uninfected,1,36.0,41.0,5.0,262.2217883569592,146.44893860809162,5
3,0.0,uninfected,1,41.0,46.0,5.0,257.33721047148805,140.22738605960143,5
4,0.0,uninfected,1,37.0,42.0,5.0,261.09033936182686,140.08027511301705,5
5,0.0,uninfected,1,41.0,46.0,5.0,257.5803343187565,143.54426012637666,5
6,0.0,uninfected,1,43.0,48.0,5.0,254.1008275456894,128.25677512354727,5
7,0.0,uninfected,1,36.0,41.0,5.0,262.2409879578727,157.28032193542435,5
8,0.0,uninfected,1,39.0,44.0,5.0,258.01879456774384,127.00872544501468,5
9,0.0,uninfected,1,39.0,44.0,5.0,258.2839487925654,129.4338960670991,5
10,0.0,uninfected,1,36.0,41.0,5.0,262.2292444790095,146.0790994466224,5
1,0.0,uninfected,1,42.0,47.0,5.0,259.8331339431865,128.13943985196954,6
2,0.0,uninfected,1,44.0,50.0,6.0,260.3095514410312,111.42048975492126,6
3,0.0,uninfected,1,43.0,48.0,5.0,259.8342441439534,135.7931129363429,6
4,0.0,uninfected,1,43.0,48.0,5.0,260.3132333700705,139.97348868777158,6
5,0.0,uninfected,1,41.0,46.0,5.0,263.10063289647064,152.9982565321459,6
6,0.0,uninfected,1,41.0,46.0,5.0,262.1461915334849,139.09856162994865,6
7,0.0,uninfected,1,37.0,42.0,5.0,266.6146871332456,150.49768759419058,6
