t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,170.2995107809089,10,1
1.0,0.0,180.35998460612728,10,1
2.0,0.0,190.66608057446024,10,1
3.0,0.0,201.21467759666822,10,1
4.0,0.0,212.00254208588157,10,1
5.0,0.0,223.02633796288688,10,1
6.0,0.0,234.28263256856525,10,1
7.0,0.0,245.767903691174,10,1
8.0,0.0,257.47854952557464,10,1
9.0,0.0,269.41089338190153,10,1
10.0,0.0,281.5611896839799,10,1
11.0,0.0,279.2301612592031,8,1
12.0,0.0,282.02978404041426,7,1
13.0,0.0,293.7870130051857,7,1
14.0,0.0,296.502544506309,6,1
15.0,0.0,308.26116196729436,6,1
16.0,0.0,304.1671800444153,4,1
17.0,0.0,315.6609031785312,4,1
18.0,0.0,306.15689670974655,2,1
19.0,0.0,317.19656913881704,2,1
20.0,0.0,307.57993589712294,1,1
21.0,0.0,318.1783864506717,1,1
22.0,0.0,328.90245638586066,1,1
0.0,10.0,179.97624416084506,10,1
1.0,10.0,190.61055229201503,10,1
2.0,10.0,201.50458289386498,10,1
3.0,10.0,212.65503490561622,10,1
4.0,10.0,224.05849237413116,10,1
5.0,10.0,235.71143006045503,10,1
6.0,10.0,247.61022052646905,10,1
7.0,10.0,259.7511421911836,10,1
8.0,10.0,272.1303871089331,10,1
9.0,10.0,284.7440683134951,10,1
10.0,10.0,291.5582061095261,9,1
11.0,10.0,275.85901630768154,6,1
12.0,10.0,273.6426151177465,5,1
13.0,10.0,285.04917641789035,5,1
14.0,10.0,282.03357269829155,4,1
15.0,10.0,228.23084048936235,2,1
16.0,10.0,237.05424222389084,2,1
17.0,10.0,246.00276470407817,2,1
18.0,10.0,255.07371492557832,2,1
19.0,10.0,264.2643866253246,2,1
20.0,10.0,273.5720629130153,2,1
21.0,10.0,282.9940190465286,2,1
22.0,10.0,292.52752464733794,2,1
23.0,10.0,302.16984639538015,2,1
24.0,10.0,311.9182499519485,2,1
25.0,10.0,321.77000231523834,2,1
26.0,10.0,320.2189844727564,1,1
27.0,10.0,329.9192427736891,1,1
0.0,100.0,184.43945162381763,10,1
1.0,100.0,195.12095873776894,10,1
2.0,100.0,203.14958726599212,10,1
3.0,100.0,208.412584642836,10,1
4.0,100.0,212.6623052345827,10,1
5.0,100.0,216.5786074510732,10,1
6.0,100.0,220.3905077443721,10,1
7.0,100.0,224.18006475375984,10,1
8.0,100.0,220.02194841642614,9,1
9.0,100.0,223.7055235866986,9,1
10.0,100.0,227.41207706340967,9,1
11.0,100.0,231.14310451273954,9,1
12.0,100.0,230.51346170531346,8,1
13.0,100.0,230.05795929635013,7,1
14.0,100.0,228.77256545359182,6,1
15.0,100.0,220.26987715934717,4,1
16.0,100.0,223.71676120446364,4,1
17.0,100.0,227.18572843889905,4,1
18.0,100.0,226.74931972405952,3,1
19.0,100.0,225.2902181521624,2,1
20.0,100.0,219.09118771725593,1,1
21.0,100.0,222.3676816941081,1,1
22.0,100.0,225.66398703288954,1,1
0.0,0.0,176.80413404572818,10,2
1.0,0.0,187.25024760669248,10,2
2.0,0.0,197.95146178615624,10,2
3.0,0.0,208.90453621953748,10,2
4.0,0.0,220.1061136493492,10,2
5.0,0.0,231.55273031577525,10,2
6.0,0.0,243.24082209925876,10,2
7.0,0.0,255.16673182428144,10,2
8.0,0.0,267.3267196130274,10,2
9.0,0.0,279.7169677753692,10,2
10.0,0.0,292.3335870969751,10,2
11.0,0.0,305.1726228062467,10,2
12.0,0.0,308.4244368160542,8,2
13.0,0.0,316.9865117872704,7,2
14.0,0.0,329.87637825471484,7,2
15.0,0.0,333.05639462474625,4,2
16.0,0.0,341.81610094875396,2,2
0.0,10.0,169.170581579821,10,2
1.0,10.0,179.16415027829316,10,2
2.0,10.0,189.4016949008589,10,2
3.0,10.0,199.8801127117884,10,2
4.0,10.0,210.5961931369064,10,2
5.0,10.0,221.54662302529997,10,2
6.0,10.0,232.7279933023855,10,2
7.0,10.0,244.13680653450655,10,2
8.0,10.0,255.76948423249283,10,2
9.0,10.0,267.62237374761816,10,2
10.0,10.0,270.07945247232334,9,2
11.0,10.0,281.93803250352084,9,2
12.0,10.0,286.3731977113413,8,2
13.0,10.0,290.3869569835326,7,2
14.0,10.0,293.0540370904103,6,2
15.0,10.0,281.141326550127,4,2
16.0,10.0,292.0198305459898,4,2
17.0,10.0,303.0528879220703,4,2
18.0,10.0,304.8261585780229,3,2
19.0,10.0,301.05699156110205,2,2
20.0,10.0,275.2676940575849,1,2
21.0,10.0,284.748333100597,1,2
22.0,10.0,294.34122410118897,1,2
23.0,10.0,304.04361666212446,1,2
24.0,10.0,313.8527593562221,1,2
25.0,10.0,323.7659020774368,1,2
0.0,100.0,170.24453459451254,10,2
1.0,100.0,180.10114018963077,10,2
2.0,100.0,187.50968273706042,10,2
3.0,100.0,192.36617417913303,10,2
4.0,100.0,196.2876366465118,10,2
5.0,100.0,199.90142031686815,10,2
6.0,100.0,203.41885301506528,10,2
7.0,100.0,206.91565512441858,10,2
8.0,100.0,210.41992565112122,10,2
9.0,100.0,213.94221980201422,10,2
10.0,100.0,217.4864788896803,10,2
11.0,100.0,221.05413310175823,10,2
12.0,100.0,219.8335952349775,9,2
13.0,100.0,223.3713875089055,9,2
14.0,100.0,226.93260660732398,9,2
15.0,100.0,226.98486560738115,8,2
16.0,100.0,223.22641387438884,6,2
17.0,100.0,222.2363944398225,5,2
18.0,100.0,220.86197622696233,4,2
19.0,100.0,219.57846665743764,3,2
20.0,100.0,217.63973341833656,2,2
21.0,100.0,209.76928396583992,1,2
22.0,100.0,212.87813739837466,1,2
23.0,100.0,216.00557745870054,1,2
24.0,100.0,219.1514785802191,1,2
0.0,0.0,184.60457285844987,10,3
1.0,0.0,195.51320471008447,10,3
2.0,0.0,206.68830420119707,10,3
3.0,0.0,218.12648791326828,10,3
4.0,0.0,229.82425026470256,10,3
5.0,0.0,241.77797436253908,10,3
6.0,0.0,253.98393842203836,10,3
7.0,0.0,266.4383234020895,10,3
8.0,0.0,279.1372238310961,10,3
9.0,0.0,292.07665284630656,10,3
10.0,0.0,305.252548718615,10,3
11.0,0.0,315.0357543615238,9,3
12.0,0.0,319.86959070395363,7,3
13.0,0.0,325.01815671884367,5,3
14.0,0.0,322.36048098257476,2,3
15.0,0.0,335.1481891670087,2,3
16.0,0.0,339.44403910558066,1,3
0.0,10.0,184.9544926394571,10,3
1.0,10.0,195.88390001669958,10,3
2.0,10.0,207.0802832911947,10,3
3.0,10.0,218.5402500595623,10,3
4.0,10.0,230.26028977630108,10,3
5.0,10.0,242.23677951919612,10,3
6.0,10.0,254.46599127571181,10,3
7.0,10.0,266.94410022578586,10,3
8.0,10.0,279.6671927386668,10,3
9.0,10.0,285.6585740537166,9,3
10.0,10.0,298.54405222921423,9,3
11.0,10.0,304.92974238513176,8,3
12.0,10.0,306.74374882621606,6,3
13.0,10.0,311.6147702030652,5,3
14.0,10.0,316.26694844070664,4,3
15.0,10.0,328.8121326945536,4,3
16.0,10.0,333.06644890237305,2,3
17.0,10.0,335.1089123250198,1,3
0.0,100.0,181.5214093595602,10,3
1.0,100.0,192.03331996234817,10,3
2.0,100.0,199.9344614836295,10,3
3.0,100.0,205.1138830971462,10,3
4.0,100.0,209.2961153747104,10,3
5.0,100.0,213.1502212548462,10,3
6.0,100.0,216.9015804857027,10,3
7.0,100.0,220.63094859091558,10,3
8.0,100.0,224.3682931424824,10,3
9.0,100.0,228.12487128099104,10,3
10.0,100.0,231.9048864254306,10,3
11.0,100.0,231.10088320861112,9,3
12.0,100.0,234.85618787905443,9,3
13.0,100.0,235.33103767012733,8,3
14.0,100.0,239.08358552650918,8,3
15.0,100.0,233.02867055323367,5,3
16.0,100.0,227.71038037761966,3,3
17.0,100.0,223.13897552865546,2,3
18.0,100.0,213.36713605181487,1,3
19.0,100.0,216.615414246533,1,3
20.0,100.0,219.88380969338417,1,3
21.0,100.0,223.17218820596,1,3
0.0,0.0,166.63822355657976,10,4
1.0,0.0,176.48164843426187,10,4
2.0,0.0,186.56536123615143,10,4
3.0,0.0,196.88630800769317,10,4
4.0,0.0,207.441324769639,10,4
5.0,0.0,218.22714730676398,10,4
6.0,0.0,229.24041695090796,10,4
7.0,0.0,240.4776874523176,10,4
8.0,0.0,251.93543471621084,10,4
9.0,0.0,263.61006142616367,10,4
10.0,0.0,275.4979028909855,10,4
11.0,0.0,280.08170862103543,9,4
12.0,0.0,284.712997864213,8,4
13.0,0.0,275.66498599127505,6,4
14.0,0.0,286.8692029738182,6,4
15.0,0.0,298.2444681754936,6,4
16.0,0.0,288.25022308168536,4,4
17.0,0.0,283.48240318431834,3,4
18.0,0.0,293.94173871699235,3,4
19.0,0.0,304.539305168235,3,4
20.0,0.0,297.96596347546296,2,4
21.0,0.0,267.8070329036487,1,4
22.0,0.0,276.82666844529604,1,4
23.0,0.0,285.94919566588794,1,4
24.0,0.0,295.17202633003757,1,4
25.0,0.0,304.49257577494944,1,4
26.0,0.0,313.90826336788433,1,4
27.0,0.0,323.4165125061605,1,4
0.0,10.0,167.211636348312,10,4
1.0,10.0,177.08903701721184,10,4
2.0,10.0,187.2075591860987,10,4
3.0,10.0,197.56413607717505,10,4
4.0,10.0,208.15559435258666,10,4
5.0,10.0,218.97865931363557,10,4
6.0,10.0,230.02996147526,10,4
7.0,10.0,241.30604404150955,10,4
8.0,10.0,252.80337012307285,10,4
9.0,10.0,264.5183295519595,10,4
10.0,10.0,276.4472453454051,10,4
11.0,10.0,281.7043170978345,9,4
12.0,10.0,293.75449067511636,9,4
13.0,10.0,290.8034895628826,7,4
14.0,10.0,294.5175788932924,6,4
15.0,10.0,297.32588497920125,5,4
16.0,10.0,299.8137007623628,4,4
17.0,10.0,298.7985538962239,3,4
18.0,10.0,309.8252352179765,3,4
19.0,10.0,309.2236868407173,2,4
20.0,10.0,320.12205357167807,2,4
21.0,10.0,311.7509609849516,1,4
22.0,10.0,322.2575687794702,1,4
23.0,10.0,332.8842137922424,1,4
0.0,100.0,172.49798652812234,10,4
1.0,100.0,182.48556793810684,10,4
2.0,100.0,189.9925661088236,10,4
3.0,100.0,194.91360145374,10,4
4.0,100.0,198.88718382954835,10,4
5.0,100.0,202.54900053534644,10,4
6.0,100.0,206.11318794935391,10,4
7.0,100.0,209.65647282519245,10,4
8.0,100.0,213.20732763914322,10,4
9.0,100.0,216.7764478929217,10,4
10.0,100.0,220.36782728606744,10,4
11.0,100.0,223.9829148129092,10,4
12.0,100.0,216.38435693068604,8,4
13.0,100.0,219.86645700880499,8,4
14.0,100.0,223.37161257734323,8,4
15.0,100.0,222.36439626269961,7,4
16.0,100.0,214.7390538412705,5,4
17.0,100.0,198.92171535566467,3,4
18.0,100.0,201.97684149619332,3,4
19.0,100.0,205.0510649414988,3,4
20.0,100.0,208.14431738848896,3,4
21.0,100.0,211.25647368345062,3,4
22.0,100.0,205.9444087421648,2,4
23.0,100.0,208.96957100528965,2,4
24.0,100.0,212.0125786984892,2,4
25.0,100.0,206.88965951533643,1,4
26.0,100.0,209.85050167794748,1,4
27.0,100.0,212.8282224693938,1,4
0.0,0.0,171.05764298206356,10,5
1.0,0.0,181.16310016437455,10,5
2.0,0.0,191.51528491564633,10,5
3.0,0.0,202.11106223445884,10,5
4.0,0.0,212.94718410951026,10,5
5.0,0.0,224.02029956909456,10,5
6.0,0.0,235.3269605715422,10,5
7.0,0.0,246.86362931300715,10,5
8.0,0.0,247.86935568195693,9,5
9.0,0.0,259.3548941850245,9,5
10.0,0.0,271.0501713502119,9,5
11.0,0.0,273.6928351376087,8,5
12.0,0.0,274.62257301763424,7,5
13.0,0.0,286.07006995705007,7,5
14.0,0.0,287.9278738376103,6,5
