C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,15.9,21.1,5.2,342.82084923831843,181.17431844527178,1
10.0,15.3,20.3,5.0,342.9970066089454,180.66203639935367,1
100.0,15.7,20.7,5.0,250.46032054536903,139.18117587278786,1
0.0,14.8,19.8,5.0,344.00907456282846,184.503776205696,2
10.0,16.2,21.5,5.3,342.992577878416,178.00722326552258,2
100.0,17.9,22.9,5.0,240.00007032494437,134.45857369531043,2
0.0,13.6,18.8,5.2,345.95892439478746,183.6500491796476,3
10.0,13.8,18.9,5.1,345.48000160865877,183.81869417139828,3
100.0,15.8,21.0,5.2,248.67178181378864,133.3889650197722,3
0.0,16.7,21.9,5.2,341.8310340769381,179.28977506660735,4
10.0,16.3,21.5,5.2,342.32234991439117,182.29822974822667,4
100.0,18.0,23.0,5.0,241.23936582927544,128.92528538623003,4
0.0,16.0,21.3,5.3,342.67896948887096,174.98738399229995,5
10.0,14.0,19.4,5.4,345.5257507833607,177.4580177793752,5
100.0,16.8,21.8,5.0,245.776027075305,138.2014298704661,5
0.0,15.8,20.9,5.1,342.63589248273826,176.12246558859184,6
10.0,15.3,20.5,5.2,343.7059458796617,180.94135360957986,6
100.0,15.6,20.5,4.9,250.8981447406583,143.78231051909444,6
0.0,14.3,19.7,5.4,345.4025071268365,178.87906244476278,7
10.0,16.2,21.6,5.4,342.8169883064139,175.6693503174542,7
100.0,16.6,21.7,5.1,247.42958721749898,135.22508725167307,7
0.0,16.0,21.3,5.3,342.80282172348086,174.18610686157075,8
10.0,15.9,21.3,5.4,342.71262569099133,169.30834956904764,8
100.0,17.6,22.6,5.0,242.545124321204,136.4368870009786,8
0.0,14.6,19.7,5.1,344.7101971608284,189.25102216353702,9
10.0,17.5,22.8,5.3,340.5556826006327,169.4337206931009,9
100.0,20.9,25.9,5.0,231.78632137329433,133.51940946009057,9
0.0,17.5,22.9,5.4,340.9399124715054,172.40484582420285,10
10.0,19.2,24.5,5.3,338.55379788301667,172.81248245614435,10
100.0,17.2,22.2,5.0,243.45535623770394,139.4463839077858,10
0.0,12.9,18.1,5.2,347.0126179746496,188.12085444777443,11
10.0,15.7,20.9,5.2,343.2865767508078,181.3273955567059,11
100.0,17.1,22.1,5.0,246.5176312264146,140.5213597034322,11
0.0,14.5,19.8,5.3,344.92952627845636,177.91823598580726,12
10.0,16.4,21.7,5.3,341.78738856201466,171.46728721446146,12
100.0,17.2,22.2,5.0,243.90615007147971,138.38152370126699,12
0.0,14.5,19.8,5.3,344.72604565346046,174.68113834221944,13
10.0,16.3,21.7,5.4,342.7169292457909,174.12721512382683,13
100.0,17.0,22.0,5.0,243.26217433583756,142.36712735121017,13
0.0,17.4,22.8,5.4,341.29802980353537,175.75294088173104,14
10.0,16.1,21.3,5.2,342.3327039617437,175.92031438824628,14
100.0,19.3,24.4,5.1,234.77055040988768,129.83084466353424,14
0.0,12.8,17.9,5.1,346.7997226394307,182.2509863496849,15
10.0,16.3,21.7,5.4,342.2856612371792,171.32684220927348,15
100.0,19.9,25.1,5.2,234.27301938124816,130.42514462593795,15
0.0,15.8,21.2,5.4,343.1141791869256,172.52458092658972,16
10.0,13.5,18.7,5.2,346.35572704187405,181.4423747612437,16
100.0,17.4,22.6,5.2,245.15142835799725,131.9255134000743,16
