t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,174.74278335584413,10,1
1.0,0.0,185.06670404461866,10,1
2.0,0.0,195.64272130646015,10,1
3.0,0.0,206.4676325686577,10,1
4.0,0.0,217.5381197591963,10,1
5.0,0.0,228.85075957476494,10,1
6.0,0.0,240.4020295508538,10,1
7.0,0.0,252.1883152779354,10,1
8.0,0.0,264.2059206297964,10,1
9.0,0.0,276.4510725602301,10,1
10.0,0.0,288.91992724333073,10,1
11.0,0.0,294.57875717317467,9,1
12.0,0.0,291.66060995618636,7,1
13.0,0.0,295.6132033219735,6,1
14.0,0.0,297.74886512349235,5,1
15.0,0.0,299.80136649655594,4,1
16.0,0.0,299.6323160083478,3,1
17.0,0.0,310.95404451947417,3,1
18.0,0.0,308.2229708435459,2,1
19.0,0.0,319.33741971105303,2,1
20.0,0.0,316.92241165611284,1,1
21.0,0.0,327.8440764366627,1,1
0.0,10.0,187.0244605711422,10,1
1.0,10.0,198.06323971449902,10,1
2.0,10.0,209.31949630997488,10,1
3.0,10.0,220.77516110478396,10,1
4.0,10.0,232.42651291249908,10,1
5.0,10.0,244.27516726534435,10,1
6.0,10.0,256.3243073682869,10,1
7.0,10.0,268.5770333414339,10,1
8.0,10.0,281.0356933913846,10,1
9.0,10.0,286.4454501719693,9,1
10.0,10.0,292.316376442263,8,1
11.0,10.0,304.78722193519485,8,1
12.0,10.0,311.5013090652956,7,1
13.0,10.0,318.7261591509369,6,1
14.0,10.0,297.6295227418691,2,1
15.0,10.0,309.1048138027409,2,1
16.0,10.0,290.43359606260844,1,1
17.0,10.0,301.1119589912584,1,1
18.0,10.0,311.93203480794335,1,1
19.0,10.0,322.8911520797394,1,1
20.0,10.0,333.98654988061134,1,1
0.0,100.0,181.30924381678815,10,1
1.0,100.0,191.3100054975627,10,1
2.0,100.0,199.4221594311965,10,1
3.0,100.0,205.9904385358472,10,1
4.0,100.0,211.56531108082817,10,1
5.0,100.0,216.50851602251606,10,1
6.0,100.0,221.04058545882754,10,1
7.0,100.0,225.29885311133245,10,1
8.0,100.0,220.57727047549872,9,1
9.0,100.0,224.37270036320962,9,1
10.0,100.0,220.1682704665892,8,1
11.0,100.0,223.6999944951826,8,1
12.0,100.0,209.89582076647594,6,1
13.0,100.0,201.34581051492034,5,1
14.0,100.0,204.3721045500444,5,1
15.0,100.0,207.39643278338,5,1
16.0,100.0,210.42359234692532,5,1
17.0,100.0,213.4571370253653,5,1
18.0,100.0,208.2214976914878,4,1
19.0,100.0,211.1578783912268,4,1
20.0,100.0,214.10624280483182,4,1
21.0,100.0,202.01980791716406,2,1
22.0,100.0,204.78792058328727,2,1
23.0,100.0,207.56936701184998,2,1
24.0,100.0,210.3645126291097,2,1
25.0,100.0,213.1736253728738,2,1
26.0,100.0,211.25937684097812,1,1
0.0,0.0,173.3004065763922,10,2
1.0,0.0,183.5387777088675,10,2
2.0,0.0,194.02714362610888,10,2
3.0,0.0,204.76232821638743,10,2
4.0,0.0,215.74104084251152,10,2
5.0,0.0,226.9598865251769,10,2
