C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,15.3,20.6,5.3,343.82097497025563,173.74560351168788,1
10.0,13.7,18.9,5.2,341.4757886967798,174.37832310748846,1
100.0,16.8,23.2,6.4,247.62734462723338,116.9584939204431,1
0.0,15.2,20.5,5.3,343.8232011417441,175.360521972527,2
10.0,15.0,20.5,5.5,309.21524022777305,160.12041936495038,2
100.0,17.8,31.1,13.3,180.84370370128713,38.177853925633556,2
0.0,15.5,20.8,5.3,343.35359395418016,175.5597277981852,3
10.0,15.0,20.2,5.2,344.0484781826032,182.72374805107393,3
100.0,15.9,21.7,5.8,245.89297537739884,125.03865999262743,3
0.0,16.9,22.3,5.4,341.8712031552556,172.6854198451234,4
10.0,15.2,20.6,5.4,339.4608570751901,170.54231828004762,4
100.0,19.2,25.8,6.6,246.809275795656,109.862713537336,4
0.0,15.3,20.4,5.1,343.1638027388018,179.1058754556973,5
10.0,14.4,19.8,5.4,325.8461843316193,167.5336756795563,5
100.0,17.7,24.4,6.7,263.4295366614776,109.24357523331658,5
0.0,15.9,21.2,5.3,342.6563854146955,174.30886940903025,6
10.0,15.8,20.9,5.1,343.01802303819215,180.7546705882131,6
100.0,20.3,28.5,8.2,199.03347200845096,83.63396968968095,6
0.0,14.7,20.2,5.5,344.87588833663324,174.16667286082708,7
10.0,15.7,20.9,5.2,343.32101044779336,182.42269598877724,7
100.0,15.5,22.1,6.6,269.1848057999865,125.7517982611673,7
0.0,14.1,19.3,5.2,345.31034830025766,181.17917263852573,8
10.0,16.4,21.9,5.5,302.3802820315353,156.9506539997221,8
100.0,20.9,34.3,13.4,170.99510105623594,35.30813927143464,8
0.0,17.7,23.3,5.6,341.3949481525936,173.99199679366285,9
10.0,15.9,21.0,5.1,343.0767251144519,186.27407094564464,9
100.0,14.5,21.3,6.8,278.302000791067,128.81237046327087,9
0.0,14.8,20.2,5.4,344.58399848103255,180.24395455159274,10
10.0,13.3,18.3,5.0,344.9405246535159,188.34678138968604,10
100.0,19.4,24.6,5.2,224.6602322398091,126.2554409918434,10
0.0,15.6,20.7,5.1,342.64250637385004,177.76841950845483,11
10.0,16.0,21.0,5.0,341.4616840506106,184.5647595869504,11
100.0,15.8,21.4,5.6,281.6303288989742,147.39451876332532,11
0.0,14.4,19.4,5.0,344.56164232442563,187.93921390749625,12
10.0,15.3,20.6,5.3,343.59246566460155,177.36033895525375,12
100.0,21.5,26.6,5.1,228.84613761716133,124.79223910313324,12
0.0,14.8,20.3,5.5,344.5910339929102,171.22269005295996,13
10.0,16.1,21.5,5.4,341.59231613036644,174.98648142043814,13
100.0,16.2,21.8,5.6,242.5224019029816,129.30315318825075,13
0.0,13.9,19.1,5.2,345.3849206574526,177.03511940956292,14
10.0,15.4,20.6,5.2,342.30377115168704,176.3482924806711,14
100.0,17.5,22.9,5.4,259.54256793170873,137.61549257981716,14
0.0,15.2,20.6,5.4,343.86334155385293,166.68556051531252,15
10.0,15.3,20.6,5.3,339.33945980391826,175.05498118663752,15
100.0,16.7,22.7,6.0,286.72686314323016,134.05304712233436,15
0.0,15.1,20.3,5.2,344.4377111018239,184.5732565458471,16
10.0,15.8,21.4,5.6,343.36628329902453,166.91785062805263,16
100.0,15.4,21.5,6.1,293.97543055072595,144.04743753668498,16
0.0,16.0,21.1,5.1,342.81228367187776,184.60638748357923,17
10.0,16.5,21.6,5.1,341.7704659727301,184.58249062847588,17
100.0,15.6,21.0,5.4,322.8501776522147,164.95976361315178,17
0.0,14.9,20.2,5.3,344.33743377387964,181.1234204819521,18
10.0,16.5,21.8,5.3,342.11505642771755,172.3200570460038,18
100.0,17.8,23.0,5.2,299.97048727114543,161.29531434525708,18
0.0,14.5,19.7,5.2,344.60230945450905,179.970739058197,19
10.0,15.9,21.0,5.1,341.24324948824017,179.70460945773877,19
100.0,16.5,21.8,5.3,238.5506392717215,134.82559597109218,19
0.0,16.0,21.4,5.4,342.9196614226448,173.33393783496692,20
10.0,14.3,19.6,5.3,344.9393944662752,181.27892725240238,20
100.0,20.6,26.7,6.1,216.34402028281653,111.1369238142582,20
0.0,14.3,19.6,5.3,345.3420573620614,181.36683230960085,21
10.0,17.2,22.8,5.6,315.619294171579,155.91952301349636,21
100.0,14.9,21.7,6.8,279.6548191492019,113.49262895433408,21
0.0,15.8,21.0,5.2,343.40095407608703,185.24514062543048,22
10.0,14.8,19.9,5.1,343.2237302428284,184.5102741997819,22
100.0,18.7,24.5,5.8,270.2807189207561,134.35323693520763,22
0.0,15.3,20.9,5.6,344.07191484174024,166.99559389436814,23
10.0,17.6,22.8,5.2,335.16791386052296,181.4612313139736,23
100.0,16.3,22.3,6.0,298.93498579081967,138.82099733878795,23
0.0,16.3,21.5,5.2,342.5336530070864,182.85363458218788,24
10.0,14.2,19.5,5.3,344.2555609910808,177.84738127275295,24
100.0,17.1,22.8,5.7,261.95904879323837,130.80402447795547,24
0.0,14.8,19.9,5.1,344.38093824206396,189.68906781408674,25
10.0,14.9,20.1,5.2,340.409826624099,184.19538854579508,25
100.0,14.2,20.6,6.4,256.64113853898687,121.85433569834154,25
0.0,15.0,20.3,5.3,344.19080210580546,179.5588734556802,26
10.0,15.3,20.7,5.4,343.5598369212893,169.65964800797198,26
100.0,14.1,19.3,5.2,313.180496762777,169.5374649580588,26
0.0,14.6,19.8,5.2,344.5052311413623,179.12637843744113,27
10.0,14.7,20.0,5.3,344.4117231212698,180.1455733366246,27
100.0,15.6,20.7,5.1,308.4322118054855,169.4652828130095,27
0.0,14.6,19.8,5.2,344.6907054343998,184.65329397863087,28
10.0,16.2,21.4,5.2,337.92769455421643,179.8958539569888,28
100.0,18.5,25.2,6.7,238.88681082465547,106.4841892145611,28
0.0,16.6,22.0,5.4,342.29579655614964,173.08665010749274,29
10.0,18.0,23.2,5.2,338.8112363707727,179.1959333508986,29
100.0,14.7,20.1,5.4,245.79877173810536,129.64424283264069,29
0.0,15.5,20.7,5.2,343.3787459300442,177.51647451045105,30
10.0,16.7,22.0,5.3,342.57848997857536,185.3512832097352,30
100.0,18.2,25.1,6.9,228.2864324219532,109.17124706997461,30
0.0,14.7,19.9,5.2,344.31207247779673,175.50880655653697,31
10.0,14.3,19.5,5.2,344.03714412639005,181.515618754346,31
100.0,16.7,22.2,5.5,264.16506971054747,138.6979539869312,31
0.0,16.3,21.5,5.2,342.175085528876,179.83920794505528,32
10.0,14.1,19.4,5.3,345.30594131642556,179.3024354608772,32
100.0,17.2,23.0,5.8,272.18387126418,134.10848316551267,32
0.0,15.7,21.1,5.4,343.3347096117808,171.99915082486007,33
10.0,14.8,20.1,5.3,343.231399709607,181.35671711656497,33
100.0,16.3,21.6,5.3,238.135310837221,132.89701685681678,33
0.0,13.7,18.8,5.1,345.82406062702273,184.43472753733067,34
10.0,13.3,18.6,5.3,346.0430080196014,172.21617076048764,34
100.0,22.3,29.0,6.7,183.1705656872425,93.1510948956284,34
0.0,12.5,17.5,5.0,347.13909100181223,183.0550911043562,35
10.0,15.2,20.5,5.3,343.66876699060987,174.90697840851357,35
100.0,16.2,21.1,4.9,249.87674240990705,139.61594993540638,35
0.0,13.9,19.2,5.3,345.6920079343481,177.36246116874474,36
10.0,16.1,21.8,5.7,323.98907273298914,160.57946377588797,36
100.0,18.0,24.6,6.6,262.70498534610886,113.64801599093275,36
0.0,15.9,21.1,5.2,342.51094325409565,170.9395757509016,37
10.0,15.8,20.9,5.1,337.92833475338506,175.11709399684617,37
100.0,16.2,21.9,5.7,289.47255814603795,145.937992682472,37
0.0,14.7,20.0,5.3,344.38007813633425,179.0599931213233,38
10.0,17.2,22.4,5.2,341.34886532484904,183.43454491909614,38
100.0,20.8,36.2,15.4,187.44121897059654,26.914898085356278,38
0.0,16.2,21.3,5.1,342.38715753771805,182.68294144326646,39
10.0,15.0,20.1,5.1,344.0455254719694,182.87048403490252,39
100.0,16.3,21.3,5.0,249.0154745991934,142.42612947718575,39
0.0,15.7,21.3,5.6,343.94143808608743,173.9183560165287,40
10.0,14.3,19.3,5.0,344.8615288814509,187.20847650314974,40
100.0,16.4,23.3,6.9,208.02397794999274,101.65722103405157,40
0.0,14.6,19.7,5.1,344.55994828520534,182.7948815258871,41
10.0,16.0,21.1,5.1,340.9053271320189,178.02158177537336,41
100.0,16.4,22.0,5.6,239.20278007333565,128.30911466105118,41
0.0,15.0,20.2,5.2,343.4409699915245,174.2827309941472,42
10.0,14.9,20.1,5.2,344.0420255002499,175.89819364383536,42
100.0,17.9,24.4,6.5,226.71010872901292,115.69130265085008,42
0.0,16.1,21.3,5.2,342.5691005954491,178.67727828027054,43
10.0,12.8,18.0,5.2,345.85000746395576,182.34202646885265,43
100.0,15.3,20.9,5.6,268.46664722770726,139.05208987537614,43
0.0,15.3,20.6,5.3,343.8329972871111,173.1861716790499,44
10.0,13.2,18.4,5.2,346.45032668802844,180.06961336087122,44
100.0,18.5,24.8,6.3,223.57997573900042,113.96864572948273,44
0.0,16.1,21.5,5.4,343.0566334461016,177.46578165015313,45
10.0,13.9,19.2,5.3,345.496059221201,184.35732852930272,45
100.0,15.4,23.4,8.0,226.75126030364999,94.82729626513954,45
0.0,15.5,20.8,5.3,343.29636410684407,173.62384771213033,46
10.0,12.5,18.2,5.7,335.7201777931697,166.64074421265198,46
100.0,19.6,29.8,10.2,226.4347340434942,58.756624961837204,46
0.0,15.4,20.7,5.3,343.5917355853288,178.14570692793615,47
10.0,14.8,20.2,5.4,340.1062833923113,174.3690866124893,47
100.0,17.4,23.9,6.5,241.04486605474239,113.96874638385336,47
0.0,14.5,19.8,5.3,344.8012132941988,181.24806260586826,48
10.0,16.0,21.1,5.1,341.55035736769224,184.6427792234775,48
100.0,16.5,21.9,5.4,263.5641919975125,140.57721283793086,48
0.0,13.7,18.9,5.2,345.78418695268283,183.98296928231633,49
10.0,16.0,21.9,5.9,304.31685012783606,146.14245523077395,49
100.0,20.4,33.6,13.2,173.044976450597,36.99022552725962,49
0.0,14.5,19.6,5.1,344.829903088622,187.5679051231813,50
10.0,16.8,22.2,5.4,341.57079831305145,172.21236303340692,50
100.0,16.5,24.5,8.0,216.6327598564895,90.70410022556203,50
0.0,16.5,21.7,5.2,342.12124433854217,181.8375998277709,51
10.0,16.0,21.2,5.2,341.39325867483234,178.26021655828995,51
100.0,21.5,26.9,5.4,248.8180799697514,131.14032729495955,51
0.0,16.3,21.7,5.4,342.5977738753312,172.86856199530953,52
10.0,15.3,20.5,5.2,342.768496924967,181.35712790794466,52
100.0,15.2,20.8,5.6,281.8565424309667,147.91941621184446,52
0.0,15.8,21.2,5.4,343.12467980478687,171.1126844361128,53
10.0,14.7,20.2,5.5,344.7405471148052,173.68290081091115,53
100.0,18.5,24.8,6.3,221.03855852577811,108.05113356722072,53
0.0,13.9,19.0,5.1,345.05379404490856,178.76696693164877,54
10.0,18.5,23.9,5.4,339.3184449049007,166.5567023591294,54
100.0,18.0,24.8,6.8,197.325939649173,95.71584124202545,54
0.0,14.3,19.5,5.2,344.90644589885545,174.99942813838396,55
10.0,13.6,19.2,5.6,323.56006014610824,159.26304479728546,55
100.0,16.7,23.3,6.6,270.3103851238466,113.00840086685461,55
0.0,16.1,21.3,5.2,342.1753161382378,173.85002904888378,56
10.0,14.7,20.1,5.4,343.4352007653108,172.66932074602525,56
100.0,16.5,21.9,5.4,268.28040264546115,137.78614336308323,56
0.0,15.2,20.2,5.0,343.6368839001537,186.45766872581368,57
10.0,16.6,21.8,5.2,342.0846381167618,179.43909663928713,57
100.0,17.9,24.0,6.1,222.80811639221693,114.57147683635667,57
0.0,17.8,23.2,5.4,340.5297051775224,171.0127545154764,58
10.0,15.8,21.0,5.2,342.91703402089513,181.9891994974001,58
100.0,17.6,23.9,6.3,228.66755454490635,114.59266739887987,58
0.0,16.4,21.7,5.3,342.08011249186166,171.8199018555617,59
10.0,17.2,22.5,5.3,340.25944795130994,179.21801364690776,59
100.0,19.1,24.5,5.4,253.75073199445404,135.4785732359133,59
0.0,16.4,21.6,5.2,342.32324645089,181.16248924945353,60
10.0,14.2,19.6,5.4,345.4656453382808,177.30055821768374,60
100.0,14.9,19.9,5.0,253.6137409828097,140.68942199586292,60
0.0,16.9,22.3,5.4,341.85703982176165,173.35127196586603,61
10.0,16.6,22.2,5.6,342.676315920955,168.78998680392127,61
100.0,17.2,22.8,5.6,302.4283369244728,153.38985537642904,61
0.0,19.1,24.4,5.3,338.7096182516037,173.5693570825378,62
10.0,16.1,21.7,5.6,324.82703706805347,157.65668619059812,62
100.0,15.4,24.9,9.5,243.19119984451072,65.17233327695524,62
0.0,14.5,19.8,5.3,345.10845384598474,178.0059846104336,63
10.0,15.4,21.2,5.8,307.99287294789707,153.79537563082272,63
100.0,20.7,34.2,13.5,170.29655826933404,35.134183744205686,63
0.0,14.4,19.6,5.2,345.24909617926966,185.1763999864352,64
10.0,16.1,21.7,5.6,305.052393086284,156.3362652866187,64
100.0,19.8,33.2,13.4,172.4873149296161,35.45962137348475,64
0.0,12.6,17.7,5.1,347.0957555238117,183.88326253305303,65
10.0,12.1,17.2,5.1,347.7718539859125,187.94390625451908,65
100.0,14.2,19.5,5.3,325.85600001452013,170.68118443397,65
0.0,15.7,20.8,5.1,343.17625054980095,188.01959451063905,66
10.0,14.5,19.7,5.2,344.4603386543839,179.68649368647996,66
100.0,18.2,26.1,7.9,208.19534885097005,87.64257903606781,66
0.0,14.2,19.5,5.3,345.1238182633751,177.18423093230123,67
10.0,16.2,21.4,5.2,340.87557371744333,176.00681748436776,67
100.0,17.3,22.3,5.0,232.24587093105043,137.3847377703707,67
0.0,16.4,22.0,5.6,342.78938561708964,170.54916537230423,68
10.0,15.9,21.4,5.5,339.1213443309389,173.0061230706477,68
100.0,17.3,23.9,6.6,241.12144923649453,109.39242903079806,68
0.0,15.6,20.9,5.3,343.24938379616543,174.82940897021996,69
10.0,14.7,20.3,5.6,320.70893187259526,156.98334672901566,69
100.0,15.9,22.5,6.6,275.0318048009766,114.3417025598321,69
0.0,14.4,19.4,5.0,344.5030712309043,183.9060306036382,70
10.0,15.5,20.7,5.2,343.39011418496983,179.90388848247903,70
100.0,16.1,22.6,6.5,239.77201464994695,122.10264775378207,70
0.0,16.1,21.5,5.4,342.7430408806977,174.10839701193999,71
10.0,14.2,19.2,5.0,343.8137607513424,183.844214858342,71
100.0,16.3,22.0,5.7,276.4905261122118,138.70631449703257,71
0.0,15.9,21.4,5.5,343.2024229964278,166.91337446023834,72
10.0,16.1,21.2,5.1,342.80760215732755,188.81965216036028,72
100.0,19.3,34.5,15.2,193.61608797677442,28.906081330067014,72
0.0,16.0,21.4,5.4,343.0944023131004,177.6174777609287,73
10.0,14.8,19.8,5.0,343.86869707943924,180.62447523786972,73
100.0,17.8,24.0,6.2,227.39280214778256,116.9017134867599,73
0.0,14.8,20.3,5.5,344.88896703226067,176.58492368375977,74
10.0,14.3,20.1,5.8,326.6336398018173,154.5050658036262,74
100.0,15.5,22.1,6.6,270.5519970206084,115.24350319692357,74
0.0,15.5,20.9,5.4,343.9335825946204,178.57434032368855,75
10.0,18.5,23.9,5.4,318.33986092114407,161.29251348239526,75
100.0,17.5,24.3,6.8,263.49363625977446,107.8028979744058,75
0.0,15.1,20.3,5.2,344.1206376821679,182.2663771270899,76
10.0,20.6,26.6,6.0,289.21885659917086,141.56446540818087,76
100.0,23.4,37.0,13.6,158.2900185633756,31.561488808962366,76
0.0,15.3,20.5,5.2,343.52574113466574,178.01187555351487,77
10.0,16.5,21.7,5.2,342.00772322743285,173.5433061374017,77
100.0,14.9,22.6,7.7,233.3379706856691,103.46665578339162,77
0.0,15.8,21.0,5.2,343.21215635706415,183.93701375312133,78
10.0,15.8,20.9,5.1,341.59182904597236,179.548700650211,78
100.0,13.2,18.7,5.5,277.80353724625644,147.03555860148592,78
0.0,15.3,20.6,5.3,344.0454512370244,179.5831239132983,79
10.0,19.1,24.8,5.7,295.6737726933475,150.98452338296673,79
100.0,Inf,Inf,NaN,Inf,Inf,79
0.0,13.5,18.5,5.0,346.0004221610444,185.58952399112457,80
10.0,16.4,21.7,5.3,342.48058681179066,178.7341277034246,80
100.0,17.4,22.9,5.5,321.6253701065193,159.23032518283867,80
0.0,14.5,19.5,5.0,344.75671089395007,192.79237394904277,81
10.0,14.2,19.3,5.1,345.0416713477545,183.97404630886226,81
100.0,15.9,21.2,5.3,321.9341336043212,167.7759090444461,81
0.0,14.9,20.2,5.3,344.079845826624,173.9466922452702,82
10.0,16.1,21.8,5.7,324.67287948849946,152.60856911055794,82
100.0,18.2,28.3,10.1,229.42890430093613,58.798401136877,82
0.0,16.3,21.6,5.3,342.4232692100146,174.4391640390201,83
10.0,14.8,19.8,5.0,342.7836755458087,180.62305980508708,83
100.0,17.6,23.2,5.6,273.93585546186887,142.4403123257949,83
0.0,15.8,21.0,5.2,342.6647037909896,176.98448340054944,84
10.0,16.4,21.7,5.3,337.82764405405504,176.881962322985,84
100.0,18.6,25.1,6.5,239.29837605300145,112.06233629253472,84
0.0,14.9,20.3,5.4,344.09100081654793,170.4447046994849,85
10.0,15.2,20.6,5.4,342.93983898144194,176.86634361758257,85
100.0,17.7,23.3,5.6,233.8699812989492,122.83499688778477,85
0.0,15.9,21.1,5.2,342.24170323301246,169.87601313587768,86
10.0,17.3,22.6,5.3,339.68616516088537,169.5087202878308,86
100.0,15.7,21.3,5.6,278.8294628208403,141.32336720480006,86
0.0,16.0,21.5,5.5,343.05202831892456,174.4039326530023,87
10.0,17.4,22.9,5.5,340.42807379440035,172.6009579175181,87
100.0,16.7,22.1,5.4,238.2613679889552,127.81113986978494,87
0.0,14.7,20.0,5.3,344.49585147896846,180.00029952236173,88
10.0,14.5,19.7,5.2,344.3093121775247,176.5080430158856,88
100.0,15.5,20.7,5.2,313.7112659681992,168.37281842079216,88
0.0,14.8,20.2,5.4,344.1591761066224,170.31821994884666,89
10.0,14.9,20.4,5.5,325.2285213459411,163.98066900043537,89
100.0,16.6,23.4,6.8,268.1482640228732,111.78507262163785,89
0.0,15.8,21.1,5.3,343.48229211176437,182.7718726741926,90
10.0,15.9,21.7,5.8,325.68522586981294,152.70921609284767,90
100.0,17.6,27.4,9.8,230.88275493888204,59.52630145814591,90
0.0,15.8,21.1,5.3,343.3368161829077,179.96220199327044,91
10.0,16.2,21.6,5.4,342.82258979856874,177.92685190706894,91
100.0,16.8,22.3,5.5,340.27064950876365,176.32228002722925,91
0.0,15.1,20.2,5.1,344.12972853335515,189.07778510841973,92
10.0,14.1,19.3,5.2,345.12594412303906,185.89636650935827,92
100.0,13.4,18.8,5.4,288.07846996031515,156.72744096812718,92
0.0,16.2,21.6,5.4,342.7554384103916,178.43621151976367,93
10.0,15.4,20.7,5.3,342.1272626238942,172.75421734935307,93
100.0,19.2,24.7,5.5,228.17707856350808,123.71012324811647,93
0.0,17.5,22.6,5.1,340.6805540576655,182.65106426879964,94
10.0,15.6,21.3,5.7,306.06198940123716,148.03454163779662,94
100.0,22.1,35.6,13.5,170.23776169363742,36.04745798039536,94
0.0,16.8,22.2,5.4,342.0591904019933,177.5111043563036,95
10.0,14.0,19.5,5.5,322.44114964304913,161.91320607863767,95
100.0,18.8,25.3,6.5,263.6109931663295,110.01034981541713,95
0.0,13.7,18.7,5.0,345.97824237314813,194.02301248207996,96
10.0,14.9,20.6,5.7,328.3762779804282,156.4274297402008,96
100.0,18.6,28.5,9.9,233.16323716112825,62.029453762133514,96
0.0,16.7,22.0,5.3,341.67750441409135,174.80066041482468,97
10.0,15.5,21.0,5.5,305.4706681457301,156.43472033644932,97
100.0,19.2,32.7,13.5,181.3050201656859,36.9995290975195,97
0.0,15.9,21.2,5.3,342.64736469449366,174.39567384458823,98
10.0,15.7,21.3,5.6,343.72165236592616,168.42977064215253,98
100.0,17.5,24.5,7.0,256.28485538926327,118.59844950222478,98
0.0,16.9,22.2,5.3,341.7898115863518,179.44793602371004,99
10.0,15.7,21.2,5.5,342.4255289146473,173.0555763355723,99
100.0,16.8,22.6,5.8,276.2655870460326,139.1565700920052,99
0.0,14.25,19.25,5.0,344.98885493626796,189.0158307526898,100
10.0,15.1,21.0,5.9,343.9737233856191,181.53072893359933,100
