t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,165.80618295793323,10,1
1.0,0.0,175.6002513331277,10,1
2.0,0.0,185.6333946668426,10,1
3.0,0.0,195.90257426883005,10,1
4.0,0.0,206.40464198663162,10,1
5.0,0.0,217.13634994511463,10,1
6.0,0.0,228.09435629960132,10,1
7.0,0.0,239.27523207211522,10,1
8.0,0.0,250.67547083830164,10,1
9.0,0.0,262.2914933129896,10,1
10.0,0.0,274.1196531343489,10,1
11.0,0.0,286.1562433419538,10,1
12.0,0.0,284.6536199544044,8,1
13.0,0.0,276.91538054038614,6,1
14.0,0.0,275.14138531689053,5,1
15.0,0.0,286.0498853041737,5,1
16.0,0.0,297.1190269203025,5,1
17.0,0.0,299.21650275481807,4,1
18.0,0.0,310.2586561528043,4,1
19.0,0.0,313.57603848775966,3,1
20.0,0.0,315.31449136919616,2,1
21.0,0.0,326.18052452359024,2,1
22.0,0.0,334.17977601391834,1,1
0.0,10.0,168.2464382860665,10,1
1.0,10.0,178.18519294853962,10,1
2.0,10.0,188.36657868122495,10,1
3.0,10.0,198.78751184568765,10,1
4.0,10.0,209.44479842535188,10,1
5.0,10.0,220.33514199507516,10,1
6.0,10.0,231.45515136900252,10,1
7.0,10.0,242.80134793616648,10,1
8.0,10.0,254.37017268218816,10,1
9.0,10.0,266.1579929280778,10,1
10.0,10.0,270.1248545002121,9,1
11.0,10.0,281.98543274507614,9,1
12.0,10.0,286.49203075653276,8,1
13.0,10.0,290.3850950132354,7,1
14.0,10.0,294.85934976452955,6,1
15.0,10.0,296.257288350797,5,1
16.0,10.0,296.6706402566074,4,1
17.0,10.0,307.88004748355627,4,1
18.0,10.0,311.2084547817583,3,1
19.0,10.0,313.0123021199515,2,1
20.0,10.0,324.04470079135746,2,1
21.0,10.0,335.212768846263,2,1
0.0,100.0,183.65534074215384,10,1
1.0,100.0,194.50774089059246,10,1
2.0,100.0,205.6252263911293,10,1
3.0,100.0,217.00443100917437,10,1
4.0,100.0,228.64186009948398,10,1
5.0,100.0,240.53027527986092,10,1
6.0,100.0,252.36119306772676,10,1
7.0,100.0,259.45291552239763,10,1
8.0,100.0,224.06444890293713,6,1
9.0,100.0,176.53436421139236,2,1
10.0,100.0,156.93180725390388,1,1
11.0,100.0,151.28199031520887,1,1
0.0,0.0,174.46466025841283,10,2
1.0,0.0,184.7721351025273,10,2
2.0,0.0,195.33130271743158,10,2
3.0,0.0,206.13896562093754,10,2
4.0,0.0,217.19181101831333,10,2
5.0,0.0,228.48642105383107,10,2
6.0,0.0,240.01927887154307,10,2
7.0,0.0,251.78677581934386,10,2
8.0,0.0,263.78522165951966,10,2
9.0,0.0,276.01084936063745,10,2
10.0,0.0,288.45982122236757,10,2
11.0,0.0,287.5650733688926,8,2
12.0,0.0,281.5746870100836,6,2
13.0,0.0,293.3130604281968,6,2
14.0,0.0,294.6384862012054,5,2
15.0,0.0,278.8005632936576,3,2
16.0,0.0,289.5881753718876,3,2
17.0,0.0,274.0441506449813,2,2
18.0,0.0,284.153880997458,2,2
19.0,0.0,247.92993654591268,1,2
20.0,0.0,256.65976554758777,1,2
21.0,0.0,265.49671111566124,1,2
22.0,0.0,274.4382102291234,1,2
23.0,0.0,283.4816971442061,1,2
24.0,0.0,292.62460892147016,1,2
25.0,0.0,301.8643854258049,1,2
26.0,0.0,311.19846932642906,1,2
27.0,0.0,320.62430609689005,1,2
28.0,0.0,330.1393441737855,1,2
0.0,10.0,184.00592524501585,10,2
1.0,10.0,194.87910801728756,10,2
2.0,10.0,206.01788680445992,10,2
3.0,10.0,217.4188889380514,10,2
4.0,10.0,229.07862078821714,10,2
5.0,10.0,240.99347649357065,10,2
6.0,10.0,253.15974633851164,10,2
7.0,10.0,265.5736247883177,10,2
8.0,10.0,278.23121817979984,10,2
9.0,10.0,284.11661519275435,9,2
10.0,10.0,290.1002398987588,8,2
11.0,10.0,283.13765084306107,6,2
12.0,10.0,295.24932757865946,6,2
13.0,10.0,298.937957142393,5,2
14.0,10.0,311.0915349342505,5,2
15.0,10.0,301.3976009269858,3,2
16.0,10.0,313.0628638716009,3,2
17.0,10.0,324.8939466367853,3,2
18.0,10.0,317.3546519719044,1,2
19.0,10.0,328.7996336262034,1,2
0.0,100.0,183.49259542484248,10,2
1.0,100.0,194.33533957279172,10,2
2.0,100.0,205.4429315343728,10,2
3.0,100.0,216.8120080606149,10,2
4.0,100.0,228.43907760548873,10,2
5.0,100.0,240.31690804292947,10,2
6.0,100.0,252.13729075398214,10,2
7.0,100.0,259.22269120076345,10,2
8.0,100.0,213.50240067857203,5,2
9.0,100.0,190.16553520608326,3,2
10.0,100.0,160.80584409536223,1,2
11.0,100.0,155.0146410453102,1,2
0.0,0.0,164.95789904439295,10,3
1.0,0.0,174.70169063922629,10,3
2.0,0.0,184.6833215330309,10,3
3.0,0.0,194.89976858670414,10,3
4.0,0.0,205.34789977191775,10,3
5.0,0.0,216.0244838602044,10,3
6.0,0.0,226.92619614628083,10,3
7.0,0.0,238.04962524830475,10,3
8.0,0.0,249.3912827433383,10,3
9.0,0.0,260.9476077445141,10,3
10.0,0.0,272.71497268871724,10,3
11.0,0.0,277.00073999278317,9,3
12.0,0.0,268.539505604471,7,3
13.0,0.0,266.1422953370697,6,3
14.0,0.0,276.9580304399311,6,3
15.0,0.0,287.93883901108467,6,3
16.0,0.0,299.0813624701302,6,3
17.0,0.0,302.31863018242217,5,3
18.0,0.0,305.7803650487559,4,3
19.0,0.0,316.8064241784517,4,3
20.0,0.0,313.70683597470037,2,3
21.0,0.0,324.5172776076801,2,3
22.0,0.0,332.3236214243561,1,3
0.0,10.0,190.84621688951307,10,3
1.0,10.0,202.12499195929962,10,3
2.0,10.0,213.67933114697044,10,3
3.0,10.0,225.50573633028276,10,3
4.0,10.0,237.6005838318133,10,3
5.0,10.0,249.96013347877602,10,3
6.0,10.0,262.58053729698565,10,3
