C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.5,22.0,5.5,342.49196094936906,171.20970361493812,1
10.0,16.1,21.5,5.4,342.7085964169843,175.6041794804212,1
100.0,Inf,Inf,NaN,Inf,Inf,1
0.0,15.5,20.8,5.3,343.42646818903484,178.45057694128099,2
10.0,14.0,19.2,5.2,345.51936727562156,184.2395173797252,2
100.0,Inf,Inf,NaN,Inf,Inf,2
0.0,16.8,22.2,5.4,342.1160635250432,173.26243884976756,3
10.0,13.3,18.5,5.2,345.84376357628287,174.7303160334966,3
100.0,Inf,Inf,NaN,Inf,Inf,3
0.0,13.5,18.7,5.2,345.92846835454895,177.3063509623721,4
10.0,14.4,19.6,5.2,344.937627351143,182.6372832200612,4
100.0,Inf,Inf,NaN,Inf,Inf,4
0.0,15.2,20.4,5.2,344.10672621382577,184.81005064078062,5
10.0,16.1,21.5,5.4,342.7230444254823,175.72786082209387,5
100.0,9.0,14.5,5.5,167.28145693247785,87.36214367943701,5
0.0,16.6,21.9,5.3,341.63887338916527,175.58428253544338,6
10.0,14.1,19.3,5.2,345.1926521613476,178.45922962543463,6
100.0,Inf,Inf,NaN,Inf,Inf,6
0.0,15.5,20.7,5.2,343.42597080627957,181.757965539924,7
10.0,14.3,19.5,5.2,344.79111613771033,175.59073384411295,7
100.0,Inf,Inf,NaN,Inf,Inf,7
0.0,13.6,18.8,5.2,345.9343687170666,177.7373242750824,8
10.0,16.2,21.7,5.5,342.8058109449433,174.25869820758012,8
100.0,Inf,Inf,NaN,Inf,Inf,8
0.0,15.4,20.6,5.2,343.55715002990814,183.60514101670037,9
10.0,16.3,21.6,5.3,342.5665452222594,178.4798464430683,9
100.0,9.0,13.8,4.8,180.62658367607895,102.77397708986996,9
0.0,15.9,21.1,5.2,342.89052780675695,180.70797159614298,10
10.0,14.6,19.6,5.0,344.4193235642423,185.89768484810648,10
100.0,Inf,Inf,NaN,Inf,Inf,10
0.0,17.3,22.4,5.1,340.93614641565813,182.97036942017962,11
10.0,14.8,19.9,5.1,343.9362220422062,178.83195247169002,11
100.0,8.9,14.1,5.2,176.1193219198488,96.78531729450803,11
0.0,15.7,21.3,5.6,343.7416838536457,169.10838882191626,12
10.0,13.8,18.9,5.1,345.8440111561817,192.29900745339742,12
100.0,8.9,14.1,5.2,183.37609098420012,104.11074949404181,12
0.0,13.2,18.2,5.0,346.4971491615337,194.37127003817548,13
10.0,13.8,18.9,5.1,345.5838226105095,183.5619964022117,13
100.0,8.7,14.1,5.4,199.16313743722424,107.573897744966,13
0.0,14.3,19.6,5.3,345.0966611946648,184.43489661726235,14
10.0,15.3,20.5,5.2,343.9173096080015,180.2324398974261,14
100.0,8.9,14.1,5.2,190.7603652205686,102.34096539757732,14
0.0,15.1,20.3,5.2,343.771091720101,183.33824429482382,15
10.0,15.0,20.0,5.0,343.6955892495465,184.69061736889097,15
100.0,8.6,13.2,4.6,224.48929956821803,135.5380479778072,15
0.0,15.5,21.0,5.5,343.64535094905943,171.54787825639622,16
10.0,15.4,20.6,5.2,343.30066213988533,177.80249619975726,16
100.0,Inf,Inf,NaN,Inf,Inf,16
0.0,16.6,22.0,5.4,342.06984922678083,173.18115096783362,17
10.0,14.7,19.9,5.2,344.63668978845027,185.674429704362,17
100.0,Inf,Inf,NaN,Inf,Inf,17
0.0,14.2,19.3,5.1,345.40414371515425,189.28469166669018,18
10.0,17.7,23.0,5.3,340.8412778207009,178.38826601608807,18
100.0,Inf,Inf,NaN,Inf,Inf,18
0.0,18.7,23.7,5.0,338.4432745601202,181.13990607473593,19
10.0,15.0,20.4,5.4,343.7819797047439,168.9419241168612,19
100.0,Inf,Inf,NaN,Inf,Inf,19
0.0,16.4,21.5,5.1,342.0623686721934,181.96164260171412,20
10.0,14.7,19.7,5.0,344.21345417612747,186.31917731079574,20
100.0,Inf,Inf,NaN,Inf,Inf,20
0.0,15.5,20.7,5.2,343.5178357772265,182.00106719195418,21
10.0,16.1,21.1,5.0,342.3406925081142,185.11836860955614,21
100.0,Inf,Inf,NaN,Inf,Inf,21
0.0,15.4,20.8,5.4,343.56723893692083,176.91468619292277,22
10.0,15.5,20.6,5.1,342.8488606380504,181.547141269804,22
100.0,Inf,Inf,NaN,Inf,Inf,22
0.0,14.9,20.0,5.1,344.04687638510075,187.08260730794558,23
10.0,16.7,21.8,5.1,341.89101927251846,185.56814670882105,23
100.0,8.9,13.5,4.6,192.91516938130442,116.50798830471383,23
