t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,172.09874904825315,10,1
1.0,0.0,182.26587359935593,10,1
2.0,0.0,192.68124217095047,10,1
3.0,0.0,203.3417006882668,10,1
4.0,0.0,214.24398136264955,10,1
5.0,0.0,225.38471280385824,10,1
6.0,0.0,236.76042599572025,10,1
7.0,0.0,248.3675613998712,10,1
8.0,0.0,260.2024790244119,10,1
9.0,0.0,272.26146318538304,10,1
10.0,0.0,284.5407285677931,10,1
11.0,0.0,297.0364264270086,10,1
12.0,0.0,309.74465366905594,10,1
13.0,0.0,315.1686529740093,8,1
14.0,0.0,302.9254084006882,4,1
15.0,0.0,314.93964856653304,4,1
16.0,0.0,327.13094314288776,4,1
17.0,0.0,328.8806093823623,2,1
18.0,0.0,335.5733571732988,1,1
0.0,10.0,178.62322656561383,10,1
1.0,10.0,189.17730515664147,10,1
2.0,10.0,199.9891366264683,10,1
3.0,10.0,211.05544407613579,10,1
4.0,10.0,222.3728308372165,10,1
5.0,10.0,233.93778984456782,10,1
6.0,10.0,245.7467128493269,10,1
7.0,10.0,257.7958990788908,10,1
8.0,10.0,260.63287577483544,9,1
9.0,10.0,272.71179765178255,9,1
10.0,10.0,285.0113271029499,9,1
11.0,10.0,297.5276080975561,9,1
12.0,10.0,288.29480998334634,6,1
13.0,10.0,289.7108366729402,5,1
14.0,10.0,266.2536475754555,3,1
15.0,10.0,276.8082457326762,3,1
16.0,10.0,287.51820430768987,3,1
17.0,10.0,270.3213447240322,2,1
18.0,10.0,280.2929236479722,2,1
19.0,10.0,237.1553861590245,1,1
20.0,10.0,245.5037633218688,1,1
21.0,10.0,253.9545083621242,1,1
22.0,10.0,262.5051739464553,1,1
23.0,10.0,271.15330993183363,1,1
24.0,10.0,279.89646566314514,1,1
25.0,10.0,288.73219138646755,1,1
26.0,10.0,297.6580403216363,1,1
27.0,10.0,306.67157065154345,1,1
28.0,10.0,315.77034659043136,1,1
29.0,10.0,324.95194040012325,1,1
0.0,100.0,168.319782810651,10,1
1.0,100.0,178.26254031957941,10,1
2.0,100.0,188.43809958388084,10,1
3.0,100.0,198.8054590065355,10,1
4.0,100.0,209.2933557223517,10,1
5.0,100.0,219.81414796950162,10,1
6.0,100.0,230.28027217331,10,1
7.0,100.0,240.61648279010925,10,1
8.0,100.0,250.7660861544172,10,1
9.0,100.0,253.47028962631782,9,1
10.0,100.0,262.8838944334932,9,1
11.0,100.0,251.38487449676782,6,1
12.0,100.0,234.5197703364296,4,1
13.0,100.0,221.8682340683852,3,1
14.0,100.0,228.369909924328,3,1
15.0,100.0,234.7243874466507,3,1
16.0,100.0,231.1239747393911,2,1
17.0,100.0,214.30470194610066,1,1
18.0,100.0,219.50248093517357,1,1
19.0,100.0,224.61943110230206,1,1
0.0,0.0,165.36631159715049,10,2
1.0,0.0,175.13432889163556,10,2
2.0,0.0,185.1407810362005,10,2
3.0,0.0,195.38263739993118,10,2
4.0,0.0,205.85675818643364,10,2
5.0,0.0,216.55990414703757,10,2
6.0,0.0,227.48874231871963,10,2
7.0,0.0,238.6398528417107,10,2
8.0,0.0,250.00973861961273,10,2
9.0,0.0,261.5948299244344,10,2
10.0,0.0,264.16819093004364,9,2
11.0,0.0,275.7663561175634,9,2
12.0,0.0,278.0237297664248,8,2
13.0,0.0,279.1670580041587,7,2
14.0,0.0,280.28333742062887,6,2
15.0,0.0,278.0480566984507,5,2
16.0,0.0,288.8063967303898,5,2
17.0,0.0,299.7175677399012,5,2
18.0,0.0,310.77828644150634,5,2
19.0,0.0,315.98260880301245,4,2
20.0,0.0,321.0191705209024,3,2
21.0,0.0,305.67488198539485,1,2
22.0,0.0,315.975913289875,1,2
23.0,0.0,326.3946120321764,1,2
0.0,10.0,176.16304801642733,10,2
1.0,10.0,186.5711921463929,10,2
2.0,10.0,197.23350281061835,10,2
3.0,10.0,208.1467465818417,10,2
4.0,10.0,219.30756859215006,10,2
5.0,10.0,230.7124999878876,10,2
6.0,10.0,242.35796606323916,10,2
7.0,10.0,254.24029422654263,10,2
8.0,10.0,266.35572281113684,10,2
9.0,10.0,278.7004085933792,10,2
10.0,10.0,273.1124550999681,8,2
11.0,10.0,285.10386036751066,8,2
12.0,10.0,297.29890773011056,8,2
13.0,10.0,309.6937615166553,8,2
14.0,10.0,311.89711197642646,6,2
15.0,10.0,324.2665567103757,6,2
16.0,10.0,306.6161950235133,2,2
17.0,10.0,318.2004621816017,2,2
18.0,10.0,329.9431801502066,2,2
19.0,10.0,337.423609277523,1,2
0.0,100.0,175.6390521745114,10,2
1.0,100.0,186.0157641146224,10,2
2.0,100.0,196.63517113170516,10,2
3.0,100.0,207.4468657363371,10,2
4.0,100.0,218.34352003571956,10,2
5.0,100.0,229.15887691452252,10,2
6.0,100.0,239.68253401735518,10,2
7.0,100.0,249.68652283138422,10,2
8.0,100.0,242.528824593672,8,2
9.0,100.0,241.0516965915215,7,2
10.0,100.0,238.59757617131208,6,2
11.0,100.0,244.02431345077161,6,2
12.0,100.0,192.12297162153425,1,2
13.0,100.0,194.86730402927435,1,2
14.0,100.0,196.94195227681365,1,2
0.0,0.0,163.48210983095737,10,3
1.0,0.0,173.13835413560872,10,3
2.0,0.0,183.03028623435088,10,3
3.0,0.0,193.15491006400748,10,3
4.0,0.0,203.50912166955982,10,3
5.0,0.0,214.08971880652453,10,3
6.0,0.0,224.89340661124734,10,3
7.0,0.0,235.9168043383151,10,3
8.0,0.0,247.15645490702747,10,3
9.0,0.0,258.6088295050246,10,3
10.0,0.0,270.27033342337666,10,3
11.0,0.0,274.6063491345078,9,3
12.0,0.0,286.3518527745309,9,3
13.0,0.0,298.29003125424816,9,3
14.0,0.0,305.50044854093613,8,3
15.0,0.0,311.7663092262454,7,3
16.0,0.0,305.34666806016105,4,3
17.0,0.0,304.2633206455282,3,3
18.0,0.0,299.98446916495175,2,3
19.0,0.0,310.80071832970265,2,3
20.0,0.0,321.75487461011244,2,3
21.0,0.0,320.695586856565,1,3
22.0,0.0,331.5048734970571,1,3
0.0,10.0,181.48681614173023,10,3
1.0,10.0,192.1376759168978,10,3
2.0,10.0,202.92486338233374,10,3
3.0,10.0,213.8597464539483,10,3
4.0,10.0,224.94873585778942,10,3
5.0,10.0,236.1961172264286,10,3
6.0,10.0,247.60480341680505,10,3
7.0,10.0,259.17669054997793,10,3
8.0,10.0,262.60403923625904,9,3
9.0,10.0,274.1387464196809,9,3
10.0,10.0,271.7758792272287,7,3
11.0,10.0,275.27065570460417,6,3
12.0,10.0,241.78361023806198,3,3
13.0,10.0,251.27436285439327,3,3
14.0,10.0,260.8857039830686,3,3
15.0,10.0,270.6161583983257,3,3
16.0,10.0,265.0302202355363,2,3
17.0,10.0,274.44330225525226,2,3
18.0,10.0,252.3869553046719,1,3
19.0,10.0,260.93795801080705,1,3
20.0,10.0,269.5806538651441,1,3
21.0,10.0,278.31314643192735,1,3
22.0,10.0,287.1334797158006,1,3
0.0,100.0,184.56295694948767,10,3
1.0,100.0,194.86803788809308,10,3
2.0,100.0,204.4761417547356,10,3
3.0,100.0,213.56961852841224,10,3
4.0,100.0,222.26260269159548,10,3
5.0,100.0,230.63703398235052,10,3
6.0,100.0,238.7548362458001,10,3
7.0,100.0,225.4296590285762,6,3
8.0,100.0,224.22640699462764,5,3
9.0,100.0,230.92138544717878,5,3
10.0,100.0,207.36714996448845,1,3
11.0,100.0,213.04890321810487,1,3
0.0,0.0,175.20270170723757,10,4
1.0,0.0,185.55393577071501,10,4
2.0,0.0,196.15793778958852,10,4
3.0,0.0,207.0114967459363,10,4
4.0,0.0,218.11128581115813,10,4
5.0,0.0,229.45387264082137,10,4
6.0,0.0,241.03572541384,10,4
7.0,0.0,252.85322030807097,10,4
8.0,0.0,264.9026513043669,10,4
9.0,0.0,267.903902529718,9,4
10.0,0.0,279.98602741249994,9,4
11.0,0.0,284.1957879411218,8,4
12.0,0.0,286.67562841483334,7,4
13.0,0.0,298.6273748615866,7,4
14.0,0.0,292.9680292365928,5,4
15.0,0.0,292.265084126966,4,4
16.0,0.0,287.2445668450925,3,4
17.0,0.0,298.0965202967993,3,4
18.0,0.0,289.03342918218925,2,4
19.0,0.0,299.4533103944643,2,4
20.0,0.0,274.1119421136604,1,4
21.0,0.0,283.5525827762311,1,4
22.0,0.0,293.1049964764781,1,4
23.0,0.0,302.76644438157047,1,4
24.0,0.0,312.53418673173223,1,4
25.0,0.0,322.40548509652643,1,4
26.0,0.0,332.37760430144067,1,4
0.0,10.0,175.14048297139848,10,4
1.0,10.0,185.4879989791301,10,4
2.0,10.0,196.0881919471555,10,4
3.0,10.0,206.93785180259079,10,4
4.0,10.0,218.03365346277945,10,4
5.0,10.0,229.37216514068535,10,4
6.0,10.0,240.9498563111953,10,4
7.0,10.0,252.7631053568141,10,4
8.0,10.0,264.8082068581863,10,4
9.0,10.0,277.0813786648585,10,4
10.0,10.0,282.3203988772084,9,4
11.0,10.0,286.41663402973205,8,4
12.0,10.0,280.83648264417633,6,4
13.0,10.0,292.54393202489365,6,4
14.0,10.0,294.1156526763587,5,4
15.0,10.0,305.7792753751004,5,4
16.0,10.0,317.61474814013,5,4
17.0,10.0,316.6212379321805,3,4
18.0,10.0,316.0330024896085,2,4
19.0,10.0,309.3655849572849,1,4
20.0,10.0,320.2689777850321,1,4
21.0,10.0,331.3064407358624,1,4
0.0,100.0,166.68523363342211,10,4
1.0,100.0,176.53140118908485,10,4
2.0,100.0,186.61792101968996,10,4
3.0,100.0,196.941427002131,10,4
4.0,100.0,207.49325449314148,10,4
5.0,100.0,218.2316424276362,10,4
6.0,100.0,229.00605264486148,10,4
7.0,100.0,239.45201485227713,10,4
8.0,100.0,248.95998175389454,10,4
9.0,100.0,248.91373426229282,9,4
10.0,100.0,242.37696774323572,7,4
11.0,100.0,241.03555311321963,6,4
12.0,100.0,230.33077183562557,2,4
0.0,0.0,159.56429962071022,10,5
1.0,0.0,168.9883519449982,10,5
2.0,0.0,178.6423855263099,10,5
3.0,0.0,188.52347612299536,10,5
4.0,0.0,198.62859424721427,10,5
5.0,0.0,208.954614534944,10,5
6.0,0.0,219.4983212787427,10,5
7.0,0.0,230.25641499828794,10,5
8.0,0.0,241.22552174771522,10,5
9.0,0.0,252.4021975681725,10,5
10.0,0.0,263.78293405314207,10,5
11.0,0.0,266.37463776421447,9,5
12.0,0.0,257.31631997491843,7,5
13.0,0.0,268.03955266385117,7,5
14.0,0.0,248.92039892091083,5,5
15.0,0.0,258.7854151724229,5,5
16.0,0.0,268.795584471045,5,5
17.0,0.0,278.94786936870617,5,5
18.0,0.0,274.4335735451704,4,5
19.0,0.0,284.3250003646908,4,5
20.0,0.0,294.3424428674731,4,5
21.0,0.0,304.48296690633936,4,5
22.0,0.0,307.2913410400192,3,5
23.0,0.0,317.42247463159555,3,5
24.0,0.0,299.13606222004404,1,5
25.0,0.0,308.5823779301018,1,5
26.0,0.0,318.1251293881752,1,5
27.0,0.0,327.76170458362134,1,5
0.0,10.0,174.64416483948665,10,5
1.0,10.0,184.9622149545307,10,5
2.0,10.0,195.53221752985934,10,5
3.0,10.0,206.35096873394068,10,5
4.0,10.0,217.41514769313022,10,5
5.0,10.0,228.72132565226258,10,5
6.0,10.0,240.26597497916026,10,5
7.0,10.0,252.04547762950483,10,5
8.0,10.0,264.05613294330965,10,5
9.0,10.0,276.2941649614697,10,5
10.0,10.0,288.75572912060704,10,5
11.0,10.0,294.6872270876441,9,5
12.0,10.0,307.2943733715733,9,5
13.0,10.0,316.0737371370873,8,5
14.0,10.0,325.0353593045611,7,5
15.0,10.0,322.0134639082075,3,5
16.0,10.0,327.0665223724226,2,5
17.0,10.0,323.9618113387101,1,5
18.0,10.0,335.92028120226917,1,5
0.0,100.0,186.61415502754411,10,5
1.0,100.0,197.6415517860549,10,5
2.0,100.0,208.92732535708737,10,5
3.0,100.0,220.42600719994462,10,5
4.0,100.0,232.05856767301447,10,5
5.0,100.0,243.72780930616014,10,5
6.0,100.0,255.33661662821592,10,5
7.0,100.0,266.80153098902974,10,5
8.0,100.0,278.0596657796155,10,5
9.0,100.0,278.85486760143976,8,5
10.0,100.0,273.9918174352182,6,5
11.0,100.0,266.70816013634294,4,5
12.0,100.0,249.40097749444527,2,5
13.0,100.0,257.12751761432537,2,5
14.0,100.0,264.66780023939685,2,5
0.0,0.0,163.42376974298597,10,6
1.0,0.0,173.0765743673924,10,6
2.0,0.0,182.96498210559622,10,6
3.0,0.0,193.0859979590818,10,6
4.0,0.0,203.4365190767678,10,6
5.0,0.0,214.01334435386494,10,6
6.0,0.0,224.81318010040587,10,6
7.0,0.0,235.83264677601636,10,6
8.0,0.0,247.06828853228916,10,6
9.0,0.0,258.5165777986909,10,6
10.0,0.0,270.1739210745863,10,6
11.0,0.0,282.0366640602477,10,6
12.0,0.0,287.0049041718264,9,6
13.0,0.0,292.8454143884811,8,6
14.0,0.0,304.75047170398653,8,6
15.0,0.0,281.0478979146664,4,6
16.0,0.0,291.92276200484736,4,6
17.0,0.0,302.9521256482529,4,6
18.0,0.0,301.521272168688,3,6
19.0,0.0,293.9166368858803,2,6
20.0,0.0,304.2734358394813,2,6
21.0,0.0,286.041298485594,1,6
22.0,0.0,295.677938932303,1,6
23.0,0.0,305.4245852303326,1,6
24.0,0.0,315.2784733858753,1,6
25.0,0.0,325.2368407386041,1,6
0.0,10.0,180.4588702942769,10,6
1.0,10.0,191.12168715670126,10,6
2.0,10.0,202.0449297295502,10,6
3.0,10.0,213.2252904105948,10,6
4.0,10.0,224.65934301710354,10,6
5.0,10.0,236.3435513478661,10,6
6.0,10.0,248.27427739555696,10,6
7.0,10.0,260.4477892286166,10,6
8.0,10.0,272.86026850681776,10,6
9.0,10.0,285.5078177707484,10,6
10.0,10.0,298.3864673499646,10,6
11.0,10.0,301.09282302528027,8,6
12.0,10.0,308.054719630508,7,6
13.0,10.0,307.7359647203542,5,6
14.0,10.0,320.24843326440225,5,6
15.0,10.0,327.1839893010846,4,6
16.0,10.0,328.50149433248384,2,6
17.0,10.0,335.5924059247341,1,6
0.0,100.0,160.80469901770266,10,6
1.0,100.0,170.30219012283837,10,6
2.0,100.0,180.0314645728743,10,6
3.0,100.0,189.98927508071733,10,6
4.0,100.0,200.1672633028991,10,6
5.0,100.0,210.52514590477395,10,6
6.0,100.0,220.91771252998115,10,6
7.0,100.0,230.99339302049975,10,6
8.0,100.0,240.16422711890164,10,6
9.0,100.0,247.75904219854593,10,6
10.0,100.0,253.3013657214728,10,6
11.0,100.0,236.9891242178388,5,6
12.0,100.0,224.70763741279157,3,6
0.0,0.0,167.2478759305386,10,7
1.0,0.0,177.127397534447,10,7
2.0,0.0,187.24809481409022,10,7
3.0,0.0,197.60690264931702,10,7
4.0,0.0,208.20064548337254,10,7
5.0,0.0,219.02604714808058,10,7
6.0,0.0,230.07973666761367,10,7
7.0,0.0,241.35825515607854,10,7
8.0,0.0,252.85806559234553,10,7
9.0,0.0,264.5755574794577,10,7
10.0,0.0,276.5070527635338,10,7
11.0,0.0,281.7345388985337,9,7
12.0,0.0,293.78599569839423,9,7
13.0,0.0,306.0351810041198,9,7
14.0,0.0,301.85485596542384,6,7
15.0,0.0,305.42180459390386,5,7
16.0,0.0,317.24338490764404,5,7
17.0,0.0,317.302258909694,3,7
18.0,0.0,329.0143583197949,3,7
19.0,0.0,322.319687379335,1,7
20.0,0.0,333.6813700630849,1,7
0.0,10.0,183.2656947001134,10,7
1.0,10.0,194.09500212622314,10,7
2.0,10.0,205.18882672591613,10,7
3.0,10.0,216.5438093995594,10,7
4.0,10.0,228.15647057724482,10,7
5.0,10.0,240.02321891062192,10,7
6.0,10.0,252.14035961275985,10,7
7.0,10.0,264.5041024668809,10,7
8.0,10.0,267.1518147364466,9,7
9.0,10.0,279.5339565862564,9,7
10.0,10.0,292.14231929572935,9,7
11.0,10.0,299.36033539206824,8,7
12.0,10.0,296.780462693242,6,7
13.0,10.0,298.6767496794437,5,7
14.0,10.0,301.1686043420354,4,7
15.0,10.0,270.2757001308289,2,7
16.0,10.0,280.7321531836294,2,7
17.0,10.0,291.33711423482123,2,7
18.0,10.0,302.08739077795224,2,7
19.0,10.0,275.29830654938553,1,7
20.0,10.0,284.99636126664336,1,7
21.0,10.0,294.8135370221607,1,7
22.0,10.0,304.74698877241764,1,7
23.0,10.0,314.79386809856436,1,7
24.0,10.0,324.9513256422511,1,7
0.0,100.0,184.0449020088998,10,7
1.0,100.0,194.92037614204645,10,7
2.0,100.0,206.06084440049867,10,7
3.0,100.0,217.4552827950114,10,7
4.0,100.0,229.0697496559851,10,7
5.0,100.0,240.83336294523207,10,7
6.0,100.0,252.63843770241087,10,7
7.0,100.0,264.35543345755985,10,7
8.0,100.0,275.8547047821961,10,7
9.0,100.0,273.74254147216664,8,7
10.0,100.0,277.0621336086146,7,7
11.0,100.0,273.2703092961051,5,7
12.0,100.0,273.12330599110385,4,7
13.0,100.0,262.1480606463486,2,7
14.0,100.0,248.82110513079877,1,7
15.0,100.0,255.10637508761653,1,7
0.0,0.0,185.1558221456756,10,8
1.0,0.0,196.0971865885786,10,8
2.0,0.0,207.30582310837195,10,8
