C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,15.3,20.5,5.2,343.8945110039616,183.45680591882802,1
10.0,15.1,20.4,5.3,344.00614926375636,179.4760077439633,1
100.0,13.2,18.2,5.0,285.3545187038523,147.4137655176301,1
0.0,16.9,22.1,5.2,341.5346392396831,177.3188978723595,2
10.0,15.1,20.0,4.9,343.8561832856491,191.20417061972108,2
100.0,11.0,15.7,4.7,269.4294247027484,128.52713922671387,2
0.0,16.7,22.1,5.4,341.963185020806,173.69553989900157,3
10.0,13.2,18.4,5.2,319.3022808702869,162.8268660182976,3
100.0,8.8,13.2,4.4,251.7112276622026,127.84427355047202,3
0.0,15.6,20.6,5.0,342.9600660064049,183.70586460732252,4
10.0,15.2,20.5,5.3,343.9463833566541,177.9190385562708,4
100.0,11.4,16.4,5.0,257.59150832188226,139.26109934055276,4
0.0,17.9,23.5,5.6,340.56054234854275,166.65770449933774,5
10.0,15.0,20.1,5.1,344.1619927241002,186.27111473280553,5
100.0,11.4,16.3,4.9,302.94501643998717,162.506581177691,5
0.0,16.9,22.3,5.4,341.7591019472086,172.0654649054455,6
10.0,14.2,19.5,5.3,345.28445812089,179.32761728426416,6
100.0,11.8,16.8,5.0,248.41816907087963,131.21151227420117,6
0.0,16.1,21.3,5.2,342.6964924479995,183.32736737381646,7
10.0,14.4,19.6,5.2,344.86934841028653,177.18106117407828,7
100.0,11.8,16.8,5.0,304.430974792484,162.10944797867452,7
0.0,13.7,19.0,5.3,346.1858629390698,183.389964625919,8
10.0,14.5,19.5,5.0,344.30645292326415,183.06829915504508,8
100.0,12.9,17.9,5.0,302.12159916718565,161.75432239196115,8
0.0,16.4,21.7,5.3,342.39811512823223,176.12345266169956,9
10.0,17.5,22.6,5.1,340.7349911012338,182.73017252024846,9
100.0,10.7,15.2,4.5,276.72190125897,139.68453487273715,9
0.0,15.7,20.9,5.2,342.6677400903555,175.16354108145316,10
10.0,13.5,18.6,5.1,341.4834726692022,174.74957499147226,10
100.0,9.0,12.7,3.7,223.74474534054858,108.18444953731537,10
0.0,15.4,20.5,5.1,343.4237776822466,183.63035968848686,11
10.0,15.9,21.1,5.2,342.8749711012835,176.96838565868208,11
100.0,11.7,16.7,5.0,271.90306635773817,134.21579089323498,11
0.0,15.5,20.8,5.3,343.7089851385137,178.04901108082828,12
10.0,13.7,18.6,4.9,308.8775950793356,165.4228959213066,12
100.0,9.8,13.8,4.0,239.43385549983685,124.52409953350909,12
0.0,15.3,20.4,5.1,343.6581241488156,181.9996049529635,13
10.0,15.0,20.5,5.5,340.1445773517,167.16668851480608,13
100.0,11.0,15.5,4.5,264.25664244606713,143.18861008370962,13
0.0,16.7,22.0,5.3,341.8791626034928,176.69072154084702,14
10.0,14.2,19.5,5.3,345.62443753352983,187.87345741538792,14
100.0,11.0,15.9,4.9,261.5354848926936,136.18367943429672,14
0.0,14.2,19.4,5.2,345.25289927649754,180.10539418954468,15
10.0,16.3,21.4,5.1,342.11911272352256,179.5507463147108,15
100.0,13.8,18.8,5.0,294.3027427879915,159.5535253720202,15
0.0,17.3,22.4,5.1,340.539851173225,179.02942742539602,16
10.0,16.6,21.6,5.0,341.4763270329377,182.3658558357717,16
100.0,11.0,16.0,5.0,281.5855234502936,147.39231668423756,16
0.0,14.5,19.8,5.3,344.9087830230141,179.18946952043615,17
10.0,16.0,21.4,5.4,342.969845819165,172.31475036840502,17
100.0,12.6,17.7,5.1,295.36404384820014,150.89217451078116,17
0.0,14.9,20.1,5.2,343.65682888167646,171.15698616274986,18
10.0,14.8,20.1,5.3,344.44777412874896,179.275961510047,18
100.0,Inf,Inf,NaN,Inf,Inf,18
0.0,15.3,20.6,5.3,344.10408758453866,181.27364296678348,19
10.0,15.6,20.9,5.3,337.32504109906796,167.12118631232048,19
100.0,8.6,12.4,3.8,231.3428818847007,110.8084778009227,19
0.0,14.9,20.5,5.6,344.14525360950535,164.41281910918633,20
10.0,15.4,21.0,5.6,343.6604161025674,168.09659575190258,20
100.0,10.8,15.5,4.7,270.5351724680192,147.14541859890917,20
0.0,15.8,21.0,5.2,342.6406947131866,174.36811351359475,21
10.0,14.4,19.4,5.0,344.43873577806676,182.52457480692397,21
