t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,143.27355243672042,10,1.0,1
1.0,0.0,uninfected,1,151.73166595780887,10,1.0,1
2.0,0.0,uninfected,1,160.3960203727456,10,1.0,1
3.0,0.0,uninfected,1,169.2639902107682,10,1.0,1
4.0,0.0,uninfected,1,178.33285572275582,10,1.0,1
5.0,0.0,uninfected,1,187.59981134365407,10,1.0,1
6.0,0.0,uninfected,1,197.06197069475763,10,1.0,1
7.0,0.0,uninfected,1,206.7163723589694,10,1.0,1
8.0,0.0,uninfected,1,216.55998799302915,10,1.0,1
9.0,0.0,uninfected,1,226.58972717609868,10,1.0,1
10.0,0.0,uninfected,1,236.80244173888946,10,1.0,1
11.0,0.0,uninfected,1,247.19493010860157,10,1.0,1
12.0,0.0,uninfected,1,257.7639460113861,10,1.0,1
13.0,0.0,uninfected,1,258.87425274871714,9,0.9,1
14.0,0.0,uninfected,1,269.3934968571587,9,0.9,1
15.0,0.0,uninfected,1,280.07325329331564,9,0.9,1
16.0,0.0,uninfected,1,290.9102559268558,9,0.9,1
17.0,0.0,uninfected,1,295.15266098009477,8,0.8,1
18.0,0.0,uninfected,1,283.0301240815631,5,0.5,1
19.0,0.0,uninfected,1,293.2327018469422,5,0.5,1
20.0,0.0,uninfected,1,303.5652975336386,5,0.5,1
21.0,0.0,uninfected,1,307.1534362775536,4,0.4,1
22.0,0.0,uninfected,1,317.5044576745688,4,0.4,1
23.0,0.0,uninfected,1,323.6909593237545,3,0.3,1
24.0,0.0,uninfected,1,317.0036732122665,1,0.1,1
25.0,0.0,uninfected,1,327.0167679438984,1,0.1,1
0.0,0.0,uninfected,2,179.15852218550768,10,1.0,1
1.0,0.0,uninfected,2,189.74428392685348,10,1.0,1
2.0,0.0,uninfected,2,200.58857504007827,10,1.0,1
3.0,0.0,uninfected,2,211.68810948670722,10,1.0,1
4.0,0.0,uninfected,2,223.03948687067822,10,1.0,1
5.0,0.0,uninfected,2,234.63919801866047,10,1.0,1
6.0,0.0,uninfected,2,246.4836320337312,10,1.0,1
7.0,0.0,uninfected,2,247.28216663915677,9,0.9,1
8.0,0.0,uninfected,2,259.06517441993833,9,0.9,1
9.0,0.0,uninfected,2,271.07125789286823,9,0.9,1
10.0,0.0,uninfected,2,283.2966487133247,9,0.9,1
11.0,0.0,uninfected,2,295.7375163400627,9,0.9,1
12.0,0.0,uninfected,2,301.8836294987482,8,0.8,1
13.0,0.0,uninfected,2,308.2005398806533,7,0.7,1
14.0,0.0,uninfected,2,299.3422468877633,4,0.4,1
15.0,0.0,uninfected,2,295.79113018633615,3,0.3,1
16.0,0.0,uninfected,2,307.23860706788076,3,0.3,1
17.0,0.0,uninfected,2,318.8487842147371,3,0.3,1
18.0,0.0,uninfected,2,294.13455573144677,1,0.1,1
19.0,0.0,uninfected,2,304.7390132912442,1,0.1,1
20.0,0.0,uninfected,2,315.4786536366656,1,0.1,1
21.0,0.0,uninfected,2,326.35033170052327,1,0.1,1
0.0,0.0,uninfected,3,172.2555321452062,10,1.0,1
1.0,0.0,uninfected,3,182.22899860426523,10,1.0,1
2.0,0.0,uninfected,3,189.725386519848,10,1.0,1
3.0,0.0,uninfected,3,194.63946744098752,10,1.0,1
4.0,0.0,uninfected,3,198.60743496530432,10,1.0,1
5.0,0.0,uninfected,3,202.26407456922507,10,1.0,1
6.0,0.0,uninfected,3,205.82322100383004,10,1.0,1
7.0,0.0,uninfected,3,209.3614990538512,10,1.0,1
8.0,0.0,uninfected,3,212.90733589739654,10,1.0,1
9.0,0.0,uninfected,3,216.47141044729534,10,1.0,1
10.0,0.0,uninfected,3,220.05771159553743,10,1.0,1
11.0,0.0,uninfected,3,223.66768622472054,10,1.0,1
12.0,0.0,uninfected,3,227.30181543338662,10,1.0,1
13.0,0.0,uninfected,3,227.0159373466439,9,0.9,1
14.0,0.0,uninfected,3,230.63180862659036,9,0.9,1
15.0,0.0,uninfected,3,227.9213900800741,7,0.7,1
16.0,0.0,uninfected,3,227.5384199261732,6,0.6,1
17.0,0.0,uninfected,3,223.26053505827204,4,0.4,1
18.0,0.0,uninfected,3,209.16040793758862,2,0.2,1
19.0,0.0,uninfected,3,212.34441768277156,2,0.2,1
20.0,0.0,uninfected,3,215.54811071752317,2,0.2,1
21.0,0.0,uninfected,3,218.77141814109396,2,0.2,1
22.0,0.0,uninfected,3,216.94983618791923,1,0.1,1
23.0,0.0,uninfected,3,220.1373073400771,1,0.1,1
0.0,0.03,uninfected,4,178.71610634195486,10,1.0,1
1.0,0.03,uninfected,4,189.27565644076532,10,1.0,1
2.0,0.03,uninfected,4,200.09309385500876,10,1.0,1
3.0,0.03,uninfected,4,211.1651429256662,10,1.0,1
4.0,0.03,uninfected,4,222.48841058525522,10,1.0,1
5.0,0.03,uninfected,4,234.0593948326826,10,1.0,1
6.0,0.03,uninfected,4,245.8744928651382,10,1.0,1
7.0,0.03,uninfected,4,257.9300088753329,10,1.0,1
8.0,0.03,uninfected,4,270.2221615249006,10,1.0,1
9.0,0.03,uninfected,4,282.74709111864297,10,1.0,1
10.0,0.03,uninfected,4,279.6357855102805,8,0.8,1
11.0,0.03,uninfected,4,283.5705196938683,7,0.7,1
12.0,0.03,uninfected,4,284.7971062192066,6,0.6,1
13.0,0.03,uninfected,4,296.6702678444817,6,0.6,1
14.0,0.03,uninfected,4,268.64007524834966,3,0.3,1
15.0,0.03,uninfected,4,279.28986104453367,3,0.3,1
16.0,0.03,uninfected,4,290.0964485931351,3,0.3,1
17.0,0.03,uninfected,4,301.0565584821249,3,0.3,1
18.0,0.03,uninfected,4,293.0659372053971,2,0.2,1
19.0,0.03,uninfected,4,258.11723588846354,1,0.1,1
20.0,0.03,uninfected,4,267.20741472826705,1,0.1,1
21.0,0.03,uninfected,4,276.409175557605,1,0.1,1
22.0,0.03,uninfected,4,285.71985217896764,1,0.1,1
23.0,0.03,uninfected,4,295.13677502775425,1,0.1,1
24.0,0.03,uninfected,4,304.65727373440626,1,0.1,1
25.0,0.03,uninfected,4,314.2786798087708,1,0.1,1
26.0,0.03,uninfected,4,323.9983273571697,1,0.1,1
0.0,0.03,uninfected,5,167.15683498765856,10,1.0,1
1.0,0.03,uninfected,5,177.03102082748495,10,1.0,1
2.0,0.03,uninfected,5,187.14624866761454,10,1.0,1
3.0,0.03,uninfected,5,197.49945272547993,10,1.0,1
4.0,0.03,uninfected,5,208.0874606943408,10,1.0,1
5.0,0.03,uninfected,5,218.9069989406687,10,1.0,1
6.0,0.03,uninfected,5,229.95469907632537,10,1.0,1
7.0,0.03,uninfected,5,241.22710543236585,10,1.0,1
8.0,0.03,uninfected,5,241.05732973108985,9,0.9,1
9.0,0.03,uninfected,5,252.22612260534137,9,0.9,1
10.0,0.03,uninfected,5,263.59883106206394,9,0.9,1
11.0,0.03,uninfected,5,275.1718917597651,9,0.9,1
12.0,0.03,uninfected,5,286.9416892097219,9,0.9,1
13.0,0.03,uninfected,5,292.055463161827,8,0.8,1
14.0,0.03,uninfected,5,286.94211620132984,6,0.6,1
15.0,0.03,uninfected,5,288.00084008054046,5,0.5,1
16.0,0.03,uninfected,5,286.0708209771793,4,0.4,1
17.0,0.03,uninfected,5,296.8782355007937,4,0.4,1
18.0,0.03,uninfected,5,292.6510257658155,3,0.3,1
19.0,0.03,uninfected,5,303.2018289153302,3,0.3,1
20.0,0.03,uninfected,5,313.88712597579024,3,0.3,1
21.0,0.03,uninfected,5,312.7428754411551,2,0.2,1
22.0,0.03,uninfected,5,323.28302783832885,2,0.2,1
23.0,0.03,uninfected,5,320.8393415881599,1,0.1,1
24.0,0.03,uninfected,5,331.19269708869075,1,0.1,1
0.0,0.03,uninfected,6,170.53307723534095,10,1.0,1
1.0,0.03,uninfected,6,180.4064702778516,10,1.0,1
2.0,0.03,uninfected,6,187.82763200967062,10,1.0,1
3.0,0.03,uninfected,6,192.69239731361492,10,1.0,1
4.0,0.03,uninfected,6,196.6205418880889,10,1.0,1
5.0,0.03,uninfected,6,200.24048118302636,10,1.0,1
6.0,0.03,uninfected,6,203.763904016538,10,1.0,1
7.0,0.03,uninfected,6,207.26666618643748,10,1.0,1
8.0,0.03,uninfected,6,210.77690955363613,10,1.0,1
9.0,0.03,uninfected,6,214.30520586619022,10,1.0,1
10.0,0.03,uninfected,6,217.85550397919883,10,1.0,1
11.0,0.03,uninfected,6,221.429236146534,10,1.0,1
12.0,0.03,uninfected,6,219.72639929195688,9,0.9,1
13.0,0.03,uninfected,6,217.95528295343377,8,0.8,1
14.0,0.03,uninfected,6,221.42986256123535,8,0.8,1
15.0,0.03,uninfected,6,219.89926156182221,7,0.7,1
16.0,0.03,uninfected,6,223.34032751634433,7,0.7,1
17.0,0.03,uninfected,6,217.8042812025802,5,0.5,1
18.0,0.03,uninfected,6,206.02950085171742,3,0.3,1
19.0,0.03,uninfected,6,209.16566608505025,3,0.3,1
20.0,0.03,uninfected,6,212.32121812787332,3,0.3,1
21.0,0.03,uninfected,6,215.49608729117503,3,0.3,1
22.0,0.03,uninfected,6,218.6901367160523,3,0.3,1
23.0,0.03,uninfected,6,220.25984050684417,2,0.2,1
0.0,0.3,uninfected,7,163.49060690083382,10,1.0,1
1.0,0.3,uninfected,7,173.147370103081,10,1.0,1
2.0,0.3,uninfected,7,183.03983391367927,10,1.0,1
3.0,0.3,uninfected,7,193.16500191747332,10,1.0,1
4.0,0.3,uninfected,7,203.51977051458897,10,1.0,1
5.0,0.3,uninfected,7,214.10093666202138,10,1.0,1
6.0,0.3,uninfected,7,224.90520529918217,10,1.0,1
7.0,0.3,uninfected,7,235.9291964718438,10,1.0,1
8.0,0.3,uninfected,7,247.1694521583343,10,1.0,1
9.0,0.3,uninfected,7,258.62244281442975,10,1.0,1
10.0,0.3,uninfected,7,270.28457364435036,10,1.0,1
11.0,0.3,uninfected,7,282.15219058748465,10,1.0,1
12.0,0.3,uninfected,7,294.22158609892665,10,1.0,1
13.0,0.3,uninfected,7,293.94439672097815,8,0.8,1
14.0,0.3,uninfected,7,289.11922850406336,6,0.6,1
15.0,0.3,uninfected,7,277.7894065970253,4,0.4,1
16.0,0.3,uninfected,7,288.5376902461657,4,0.4,1
17.0,0.3,uninfected,7,299.4386614701795,4,0.4,1
18.0,0.3,uninfected,7,310.4890387564769,4,0.4,1
19.0,0.3,uninfected,7,311.3988447318584,3,0.3,1
20.0,0.3,uninfected,7,322.3741635201925,3,0.3,1
21.0,0.3,uninfected,7,321.72195265045366,1,0.1,1
22.0,0.3,uninfected,7,332.565964317432,1,0.1,1
0.0,0.3,uninfected,8,170.78475688285698,10,1.0,1
1.0,0.3,uninfected,8,180.8740140937356,10,1.0,1
2.0,0.3,uninfected,8,191.2095987811944,10,1.0,1
3.0,0.3,uninfected,8,201.78837858971838,10,1.0,1
