replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.0,uninfected,1,26.0,32.0,6.0,331.323464181789,150.21155825287903,1
2,0.0,uninfected,1,13.0,18.0,5.0,346.9446916951571,190.09103602694154,1
3,0.0,uninfected,1,18.0,24.0,6.0,341.2156412602479,156.55876487152744,1
4,0.0,uninfected,1,24.0,29.0,5.0,330.5372873801235,172.64340222448556,1
5,0.0,uninfected,1,21.0,27.0,6.0,337.58831336066265,154.52746301291867,1
6,0.0,uninfected,1,17.0,22.0,5.0,339.62624538329464,169.05735648408356,1
7,0.0,uninfected,1,18.0,24.0,6.0,341.18596411675304,155.02002121453162,1
8,0.0,uninfected,1,23.0,29.0,6.0,334.76797894379325,148.5347060772777,1
9,0.0,uninfected,1,18.0,24.0,6.0,341.17738741534953,155.12891712494292,1
10,0.0,uninfected,1,24.0,30.0,6.0,333.57327979498746,148.71535038145348,1
1,0.0,uninfected,2,15.0,20.0,5.0,342.9734675739294,172.86912902066885,1
2,0.0,uninfected,2,18.0,24.0,6.0,341.3282174313932,161.49407987335954,1
3,0.0,uninfected,2,14.0,20.0,6.0,345.9049749805079,162.023364353147,1
4,0.0,uninfected,2,12.0,17.0,5.0,347.6632602376745,176.23944665740922,1
5,0.0,uninfected,2,18.0,23.0,5.0,338.02705599080855,167.99431330177836,1
6,0.0,uninfected,2,13.0,18.0,5.0,346.37677535757575,178.95875481145552,1
7,0.0,uninfected,2,14.0,19.0,5.0,345.96413515995505,205.0420675242621,1
8,0.0,uninfected,2,7.0,12.0,5.0,355.00315146277137,197.95581337270346,1
9,0.0,uninfected,2,14.0,19.0,5.0,345.8956973985819,199.14174619358673,1
10,0.0,uninfected,2,22.0,28.0,6.0,336.9302173459787,166.922544947227,1
1,0.0,uninfected,3,17.0,22.0,5.0,242.83587021451885,152.9479501911886,1
2,0.0,uninfected,3,22.0,27.0,5.0,224.46401606168422,138.85033112276466,1
3,0.0,uninfected,3,15.0,20.0,5.0,251.54899179208073,158.32208374633163,1
4,0.0,uninfected,3,15.0,19.0,4.0,252.13705219816728,163.00794910528538,1
5,0.0,uninfected,3,24.0,29.0,5.0,218.16988171788793,124.69069903260484,1
6,0.0,uninfected,3,18.0,23.0,5.0,238.84507302067627,119.87511012069645,1
7,0.0,uninfected,3,16.0,21.0,5.0,247.1768030680267,122.07204972900377,1
8,0.0,uninfected,3,17.0,22.0,5.0,242.49413394108575,124.73031845332505,1
9,0.0,uninfected,3,13.0,18.0,5.0,260.65354725386766,147.0113972444557,1
10,0.0,uninfected,3,18.0,23.0,5.0,237.8199346739593,137.8426093221577,1
1,0.03,uninfected,4,27.0,33.0,6.0,330.98858454265553,159.59338136748192,1
2,0.03,uninfected,4,19.0,24.0,5.0,338.57717352789734,184.3416851340125,1
3,0.03,uninfected,4,11.0,16.0,5.0,349.4136257904322,215.07143215749727,1
4,0.03,uninfected,4,14.0,19.0,5.0,345.98229934989047,206.4780764373448,1
5,0.03,uninfected,4,14.0,19.0,5.0,345.9195750928874,200.49958623536165,1
6,0.03,uninfected,4,14.0,20.0,6.0,345.8774033833005,163.90893176671705,1
7,0.03,uninfected,4,10.0,15.0,5.0,351.05549957826287,196.8459734701535,1
8,0.03,uninfected,4,10.0,15.0,5.0,350.8921012003481,183.0483765589503,1
9,0.03,uninfected,4,12.0,17.0,5.0,347.49540800327077,173.84201360393467,1
10,0.03,uninfected,4,18.0,23.0,5.0,339.92017937074684,184.55249859589367,1
1,0.03,uninfected,5,18.0,23.0,5.0,338.7388329625234,173.40560351660523,1
2,0.03,uninfected,5,25.0,30.0,5.0,330.94421298877336,183.60899600850357,1
3,0.03,uninfected,5,8.0,13.0,5.0,353.5488777360185,202.21154682136577,1
4,0.03,uninfected,5,14.0,19.0,5.0,345.9415169219094,201.86285793778535,1
5,0.03,uninfected,5,23.0,28.0,5.0,331.80486784900165,172.4848499956524,1
6,0.03,uninfected,5,13.0,18.0,5.0,347.09220149238814,195.2855477466087,1
7,0.03,uninfected,5,14.0,19.0,5.0,344.28641239151784,171.38393447316932,1
8,0.03,uninfected,5,15.0,20.0,5.0,344.64488598585984,199.82518339852564,1
9,0.03,uninfected,5,16.0,21.0,5.0,342.93430170292504,189.8807502410899,1
10,0.03,uninfected,5,21.0,26.0,5.0,335.056117951458,176.52982784722613,1
1,0.03,uninfected,6,23.0,28.0,5.0,220.9901545620578,131.59512081529132,1
2,0.03,uninfected,6,18.0,23.0,5.0,237.84449153413195,137.28949104409668,1
3,0.03,uninfected,6,17.0,22.0,5.0,242.57216654713883,128.2631130379074,1
4,0.03,uninfected,6,18.0,23.0,5.0,238.2602643889607,124.90377631004993,1
5,0.03,uninfected,6,24.0,29.0,5.0,218.51704577430345,122.18773060475976,1
6,0.03,uninfected,6,12.0,17.0,5.0,266.8738521698308,147.33579165528099,1
