C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,14.9,20.3,5.4,344.3453309012068,175.83032577799221,1
0.03,12.3,17.4,5.1,347.7262282110918,181.03030558874656,1
0.3,13.9,19.0,5.1,345.18850117840833,179.25612851517673,1
3.0,15.1,20.4,5.3,344.1370622854285,178.29095763684174,1
30.0,33.5,40.4,6.9,278.65340167055683,108.74059245057742,1
0.0,14.3,19.3,5.0,344.84936094306136,183.69059790683912,2
0.03,16.1,21.4,5.3,342.5939080886732,175.6444032660891,2
0.3,16.3,21.3,5.0,341.4618259238121,179.3858901991803,2
3.0,15.1,20.5,5.4,344.1478691338315,176.30699450332122,2
30.0,32.6,39.5,6.9,280.17464843999176,109.05720633912502,2
0.0,15.7,20.9,5.2,342.9702820284402,176.4090354038014,3
0.03,15.9,21.0,5.1,342.78898150544467,181.88904822735216,3
0.3,13.6,18.7,5.1,346.0119589990024,180.47905906468628,3
3.0,16.6,21.7,5.1,341.96189820429163,186.07462433656622,3
30.0,35.5,42.5,7.0,276.0884345078486,105.98489981661548,3
0.0,14.2,19.4,5.2,344.98612376442503,178.4784690873448,4
0.03,15.1,20.2,5.1,344.2166633517039,188.2986959188741,4
0.3,14.1,19.2,5.1,345.33110899678616,187.6907442312839,4
3.0,17.9,23.3,5.4,340.73442734028583,173.20827501475182,4
30.0,28.5,35.4,6.9,286.97927081423325,112.13783069612123,4
0.0,13.5,18.6,5.1,346.26395869891877,189.27110594479342,5
0.03,14.1,19.1,5.0,345.1722225351233,189.28356881472132,5
0.3,16.4,21.7,5.3,342.2213792188655,175.14806796226628,5
3.0,13.5,18.8,5.3,346.11026477462656,178.94471342567562,5
30.0,31.3,38.1,6.8,282.33380526980363,110.78657063450444,5
0.0,15.1,20.4,5.3,343.9893576806057,174.25689905193155,6
0.03,15.9,21.0,5.1,342.88038928674115,183.27594044185884,6
0.3,15.5,20.6,5.1,343.2817215251099,182.98087140242555,6
3.0,15.0,20.2,5.2,344.22954483467544,184.1291260880644,6
30.0,30.2,37.1,6.9,283.8303833269622,109.89350903034548,6
0.0,18.2,23.6,5.4,340.20911993873574,172.45346454224892,7
