t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,166.06590318223658,10,1
1.0,0.0,175.87536313017745,10,1
2.0,0.0,185.92427623115623,10,1
3.0,0.0,196.20959903385148,10,1
4.0,0.0,206.72817844936785,10,1
5.0,0.0,217.47676150630338,10,1
6.0,0.0,228.45200111301625,10,1
7.0,0.0,239.65046290476386,10,1
8.0,0.0,251.06863494618605,10,1
9.0,0.0,262.7029323612081,10,1
10.0,0.0,274.54970319292886,10,1
11.0,0.0,279.57672142331757,9,1
12.0,0.0,291.5355732350056,9,1
13.0,0.0,289.13999801803146,7,1
14.0,0.0,292.82052060534767,6,1
15.0,0.0,304.4326193942132,6,1
16.0,0.0,297.799118051079,4,1
17.0,0.0,296.3572298707434,3,1
18.0,0.0,307.2934916526762,3,1
19.0,0.0,302.3223711406799,2,1
20.0,0.0,279.9366617526209,1,1
21.0,0.0,289.57882594023835,1,1
22.0,0.0,299.33517385024595,1,1
23.0,0.0,309.2029080054339,1,1
24.0,0.0,319.17922997378145,1,1
25.0,0.0,329.2613426629971,1,1
0.0,0.03,180.08836994658796,10,1
1.0,0.03,190.729240457166,10,1
2.0,0.03,201.6299975037843,10,1
3.0,0.03,212.78734027376655,10,1
4.0,0.03,224.1978496237908,10,1
5.0,0.03,235.8579966223994,10,1
6.0,0.03,247.76415074362768,10,1
7.0,0.03,259.91258772622325,10,1
8.0,0.03,272.29949710792954,10,1
9.0,0.03,284.9209894554789,10,1
10.0,0.03,297.77310323674084,10,1
11.0,0.03,306.0840121906002,9,1
12.0,0.03,299.90128853125924,6,1
13.0,0.03,293.52354334545714,4,1
14.0,0.03,305.4562523753726,4,1
15.0,0.03,306.94881012974093,3,1
16.0,0.03,305.459876248656,2,1
17.0,0.03,286.6296758399985,1,1
18.0,0.03,297.2055398613048,1,1
19.0,0.03,307.9211857407913,1,1
20.0,0.03,318.77344481617956,1,1
21.0,0.03,329.75913894217814,1,1
0.0,0.3,171.9676862894141,10,1
1.0,0.3,182.12707489686136,10,1
2.0,0.3,192.53451658965582,10,1
3.0,0.3,203.1868594467955,10,1
4.0,0.3,214.08083873503227,10,1
5.0,0.3,225.2130849961871,10,1
6.0,0.3,236.58013185100282,10,1
7.0,0.3,248.17842350086738,10,1
8.0,0.3,260.0043219225626,10,1
9.0,0.3,261.39858422691134,9,1
10.0,0.3,273.18631307959436,9,1
11.0,0.3,285.18175579317824,9,1
12.0,0.3,290.5516470529516,8,1
13.0,0.3,295.3314749651971,7,1
14.0,0.3,307.33792951811387,7,1
15.0,0.3,306.53416353916083,5,1
16.0,0.3,310.87234772855885,4,1
17.0,0.3,315.0711919737661,3,1
18.0,0.3,313.56017539658524,2,1
19.0,0.3,299.4914151218014,1,1
20.0,0.3,310.04546224005827,1,1
21.0,0.3,320.7292472213055,1,1
22.0,0.3,331.5396733207343,1,1
0.0,3.0,170.13587898984628,10,1
1.0,3.0,180.186432961741,10,1
2.0,3.0,190.47993404079725,10,1
3.0,3.0,201.0119847453026,10,1
4.0,3.0,211.78035252931903,10,1
5.0,3.0,222.78276750345032,10,1
6.0,3.0,234.01639745840674,10,1
7.0,3.0,245.4780056797807,10,1
8.0,3.0,257.1641184005689,10,1
9.0,3.0,269.0711179515526,10,1
10.0,3.0,271.7666222103237,9,1
11.0,3.0,283.68911559455313,9,1
12.0,3.0,295.8140466188644,9,1
13.0,3.0,294.5594905645125,7,1
14.0,3.0,306.52448393917985,7,1
15.0,3.0,304.4998850118326,5,1
16.0,3.0,296.3000111449515,3,1
17.0,3.0,307.4864362831956,3,1
18.0,3.0,318.8260008210125,3,1
19.0,3.0,319.1474356117558,2,1
20.0,3.0,311.04375706574433,1,1
21.0,3.0,321.7539457090142,1,1
22.0,3.0,332.5909136107892,1,1
0.0,30.0,181.69862063208328,10,1
1.0,30.0,187.87004647296018,10,1
2.0,30.0,177.81457458634168,10,1
3.0,30.0,168.86078891967935,10,1
4.0,30.0,161.7993590124076,10,1
5.0,30.0,156.3393489301423,10,1
6.0,30.0,152.14282272335342,10,1
7.0,30.0,148.92495183759507,10,1
8.0,30.0,146.46010206878654,10,1
9.0,30.0,144.57307793313635,10,1
10.0,30.0,143.12890802648963,10,1
11.0,30.0,142.02395304027164,10,1
12.0,30.0,141.17874884465647,10,1
13.0,30.0,140.53241126835093,10,1
14.0,30.0,140.03830526848057,10,1
15.0,30.0,139.6607076835618,10,1
16.0,30.0,139.37227127103804,10,1
17.0,30.0,139.15205948123065,10,1
18.0,30.0,138.9840299661357,10,1
19.0,30.0,138.8559178943532,10,1
20.0,30.0,138.75832053814364,10,1
21.0,30.0,138.68405202375982,10,1
22.0,30.0,138.62760540662356,10,1
23.0,30.0,138.58477331512918,10,1
24.0,30.0,138.55233082849466,10,1
25.0,30.0,138.5278184168631,10,1
26.0,30.0,138.50933319626267,10,1
27.0,30.0,138.4997418405342,10,1
28.0,30.0,138.4997945550072,10,1
29.0,30.0,138.49999348380248,10,1
30.0,30.0,138.50019064729472,10,1
31.0,30.0,138.50038606011927,10,1
32.0,30.0,138.50057973682024,10,1
33.0,30.0,138.50077169189655,10,1
34.0,30.0,138.5009619395912,10,1
35.0,30.0,138.50115049404724,10,1
36.0,30.0,138.5013373693518,10,1
37.0,30.0,138.50152257953627,10,1
38.0,30.0,138.50170613874522,10,1
39.0,30.0,138.50188807014754,10,1
40.0,30.0,138.50206841284938,10,1
41.0,30.0,138.5022471688318,10,1
42.0,30.0,138.50242433878935,10,1
43.0,30.0,138.5025999406523,10,1
44.0,30.0,138.5027739764509,10,1
45.0,30.0,138.50294640106063,10,1
46.0,30.0,138.50311719346158,10,1
47.0,30.0,138.50328635907996,10,1
48.0,30.0,138.5034539297883,10,1
49.0,30.0,138.50361996390504,10,1
50.0,30.0,138.50378454621557,10,1
51.0,30.0,138.50394778658102,10,1
52.0,30.0,138.50410974293123,10,1
53.0,30.0,138.50427053496816,10,1
54.0,30.0,138.5044298594707,10,1
55.0,30.0,138.50458716024087,10,1
56.0,30.0,138.50474282644626,10,1
57.0,30.0,138.5048976997987,10,1
58.0,30.0,138.50505129376688,10,1
59.0,30.0,138.50520307458257,10,1
60.0,30.0,138.50535350627837,10,1
61.0,30.0,138.50550288302856,10,1
62.0,30.0,138.50565078566058,10,1
63.0,30.0,138.50579720451628,10,1
64.0,30.0,138.5059424411873,10,1
65.0,30.0,138.50608641849104,10,1
66.0,30.0,138.50622896621908,10,1
67.0,30.0,138.5063702251503,10,1
68.0,30.0,138.50651031921652,10,1
69.0,30.0,138.5066491087627,10,1
70.0,30.0,138.50678654984432,10,1
71.0,30.0,138.50692279894585,10,1
72.0,30.0,138.5070578986942,10,1
73.0,30.0,138.50719171046836,10,1
74.0,30.0,138.50732422658498,10,1
75.0,30.0,138.50745561730713,10,1
76.0,30.0,138.50758589844972,10,1
77.0,30.0,138.50771491693615,10,1
78.0,30.0,138.50784267291436,10,1
79.0,30.0,138.5079693624269,10,1
80.0,30.0,138.5080949945644,10,1
81.0,30.0,138.50821938957728,10,1
82.0,30.0,138.50834254917538,10,1
83.0,30.0,138.50846469926418,10,1
84.0,30.0,138.50858583966286,10,1
85.0,30.0,138.5087057681711,10,1
86.0,30.0,138.50882449595082,10,1
87.0,30.0,138.50894227089145,10,1
88.0,30.0,138.5090590672716,10,1
89.0,30.0,138.50917467674986,10,1
90.0,30.0,138.50928913519138,10,1
91.0,30.0,138.50940269460983,10,1
92.0,30.0,138.50951528924173,10,1
93.0,30.0,138.5096267236897,10,1
94.0,30.0,138.5097370696087,10,1
95.0,30.0,138.5098465630935,10,1
96.0,30.0,138.50995509558703,10,1
97.0,30.0,138.51006249870667,10,1
98.0,30.0,138.51016887888255,10,1
99.0,30.0,138.5102743959057,10,1
100.0,30.0,138.5103789607136,10,1
0.0,0.0,166.93650996179517,10,2
1.0,0.0,176.7975931231842,10,2
2.0,0.0,186.8993986866039,10,2
3.0,0.0,197.23886723553488,10,2
4.0,0.0,207.81282912715506,10,2
5.0,0.0,218.61801429876755,10,2
6.0,0.0,229.65105806089736,10,2
7.0,0.0,240.90850798169657,10,2
8.0,0.0,252.38683364273214,10,2
9.0,0.0,264.08243128449845,10,2
10.0,0.0,267.135301616535,9,2
11.0,0.0,278.86416740324603,9,2
12.0,0.0,283.57157914646984,8,2
13.0,0.0,287.07950324818506,7,2
14.0,0.0,298.74934223388516,7,2
15.0,0.0,303.3172238621266,6,2
16.0,0.0,315.05707945177784,6,2
17.0,0.0,313.6791260727023,4,2
18.0,0.0,317.24290641521833,3,2
19.0,0.0,320.99168308021035,2,2
20.0,0.0,321.3620917630591,1,2
21.0,0.0,332.4373715194558,1,2
0.0,0.03,177.44971559952435,10,2
1.0,0.03,187.93413119073816,10,2
2.0,0.03,198.6745879819568,10,2
3.0,0.03,209.66783355291318,10,2
4.0,0.03,220.91049892497077,10,2
5.0,0.03,232.39910697629915,10,2
6.0,0.03,244.1300805133923,10,2
7.0,0.03,256.09975001317787,10,2
8.0,0.03,268.3043610450462,10,2
9.0,0.03,280.7400813922997,10,2
10.0,0.03,285.34752737520273,9,2
11.0,0.03,290.43023516870176,8,2
12.0,0.03,295.26656447858096,7,2
13.0,0.03,307.57767246545393,7,2
14.0,0.03,306.6167052192026,5,2
15.0,0.03,311.5083228425708,4,2
16.0,0.03,323.5663118387739,4,2
17.0,0.03,321.83201043522786,2,2
18.0,0.03,325.3395165967584,1,2
19.0,0.03,337.07352043101446,1,2
0.0,0.3,184.23011100464302,10,2
1.0,0.3,195.1165454373209,10,2
2.0,0.3,206.26890133926707,10,2
3.0,0.3,217.68380190170555,10,2
4.0,0.3,229.35774927367146,10,2
5.0,0.3,241.28713323646133,10,2
6.0,0.3,253.46823957387946,10,2
7.0,0.3,265.89725811831903,10,2
8.0,0.3,278.5702904675388,10,2
9.0,0.3,283.54305837112395,9,2
10.0,0.3,296.3327980323647,9,2
11.0,0.3,309.34802582388875,9,2
12.0,0.3,318.98200812787024,8,2
13.0,0.3,322.95447734677174,6,2
14.0,0.3,321.71496281744527,3,2
15.0,0.3,322.0287138370078,2,2
16.0,0.3,320.0019766574489,1,2
17.0,0.3,332.0962456328241,1,2
0.0,3.0,181.15211204229715,10,2
1.0,3.0,191.85579852834172,10,2
2.0,3.0,202.8183263562321,10,2
3.0,3.0,214.03501293576255,10,2
4.0,3.0,225.5034809360753,10,2
5.0,3.0,237.22131315567398,10,2
6.0,3.0,249.1854934725231,10,2
7.0,3.0,261.3925748915068,10,2
8.0,3.0,273.83885786349504,10,2
9.0,3.0,286.5204894849737,10,2
10.0,3.0,293.4863946092194,9,2
11.0,3.0,306.36497358150183,9,2
12.0,3.0,315.82589253134336,8,2
13.0,3.0,319.813649137786,6,2
14.0,3.0,329.7578432235016,5,2
15.0,3.0,325.9199602299741,2,2
16.0,3.0,322.7655092393644,1,2
17.0,3.0,334.95480321005454,1,2
0.0,30.0,165.30868724917025,10,2
1.0,30.0,170.91950751709948,10,2
2.0,30.0,161.76974207589276,10,2
3.0,30.0,153.6228216444748,10,2
4.0,30.0,147.1977821183237,10,2
5.0,30.0,142.22985183679538,10,2
6.0,30.0,138.41153775926404,10,2
7.0,30.0,135.48367788796696,10,2
8.0,30.0,133.24097249341472,10,2
9.0,30.0,131.52401545564973,10,2
10.0,30.0,130.20999979659078,10,2
11.0,30.0,129.20462682092648,10,2
12.0,30.0,128.43559433114285,10,2
13.0,30.0,127.84750610183414,10,2
14.0,30.0,127.39792922680388,10,2
15.0,30.0,127.0543598694517,10,2
16.0,30.0,126.7919173261218,10,2
17.0,30.0,126.59154992193331,10,2
18.0,30.0,126.43866196179965,10,2
19.0,30.0,126.32209479975782,10,2
20.0,30.0,126.23329115065751,10,2
21.0,30.0,126.16571532408743,10,2
22.0,30.0,126.11435396659415,10,2
23.0,30.0,126.07538141067968,10,2
24.0,30.0,126.0458613879691,10,2
25.0,30.0,126.023557104249,10,2
26.0,30.0,126.00668436882624,10,2
27.0,30.0,125.99703762914301,10,2
28.0,30.0,125.99707015476754,10,2
29.0,30.0,125.9972937297625,10,2
30.0,30.0,125.99751532927776,10,2
31.0,30.0,125.99773496950272,10,2
32.0,30.0,125.99795266655944,10,2
33.0,30.0,125.99816843654,10,2
34.0,30.0,125.9983822952917,10,2
35.0,30.0,125.99859425844234,10,2
