t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,168.48471688883106,10,1
1.0,0.0,178.43762596419305,10,1
2.0,0.0,188.63351414898062,10,1
3.0,0.0,199.06929362687268,10,1
4.0,0.0,209.74176530895642,10,1
5.0,0.0,220.6476287314519,10,1
6.0,0.0,231.78348785554235,10,1
7.0,0.0,243.14585826163767,10,1
8.0,0.0,254.7311765384506,10,1
9.0,0.0,255.38620014700714,9,1
10.0,0.0,266.9019075645241,9,1
11.0,0.0,278.6205028904133,9,1
12.0,0.0,290.53832601990877,9,1
13.0,0.0,287.0233172035915,7,1
14.0,0.0,298.6908793920015,7,1
15.0,0.0,303.9533782559473,6,1
16.0,0.0,299.17627527093896,4,1
17.0,0.0,310.48075896620367,4,1
18.0,0.0,294.68918042707026,2,1
19.0,0.0,266.7140236544336,1,1
20.0,0.0,276.1083955778449,1,1
21.0,0.0,285.6181222753962,1,1
22.0,0.0,295.2404488461619,1,1
23.0,0.0,304.9726163498044,1,1
24.0,0.0,314.8118649093142,1,1
25.0,0.0,324.7554359803322,1,1
0.0,0.03,167.80123312259653,10,1
1.0,0.03,177.71362860624254,10,1
2.0,0.03,187.86800667321856,10,1
3.0,0.03,198.26129183840095,10,1
4.0,0.03,208.89029853774036,10,1
5.0,0.03,219.75173907633558,10,1
6.0,0.03,230.84223125567547,10,1
7.0,0.03,242.15830568669207,10,1
8.0,0.03,253.6964127970307,10,1
9.0,0.03,265.45292956105726,10,1
10.0,0.03,244.42327684404563,7,1
11.0,0.03,255.15150371830902,7,1
12.0,0.03,266.062006100592,7,1
13.0,0.03,277.1513891340929,7,1
14.0,0.03,277.55220390292044,6,1
15.0,0.03,288.5566484922526,6,1
16.0,0.03,299.723159128445,6,1
17.0,0.03,292.950269440204,4,1
18.0,0.03,303.7603030131814,4,1
19.0,0.03,304.25189004582774,3,1
20.0,0.03,314.9743580610098,3,1
21.0,0.03,314.34719100932375,2,1
22.0,0.03,308.77362306886505,1,1
23.0,0.03,318.9538184978835,1,1
24.0,0.03,329.2460740083132,1,1
0.0,0.3,180.58916889749116,10,1
1.0,0.3,191.25972431325334,10,1
2.0,0.3,202.19089597367537,10,1
3.0,0.3,213.37937388394994,10,1
4.0,0.3,224.82172938226896,10,1
5.0,0.3,236.51442370638875,10,1
6.0,0.3,248.45381621056967,10,1
7.0,0.3,260.6361722481305,10,1
8.0,0.3,273.05767072465846,10,1
