C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.3,21.5,5.2,342.88823557387434,182.17349965155873,1
0.03,16.5,21.8,5.3,342.5280919155574,182.40474321747416,1
0.3,14.3,19.5,5.2,345.00115113469224,179.11142335509697,1
3.0,15.4,21.0,5.6,343.92028725305624,169.23691812913862,1
30.0,21.4,36.7,15.3,167.49839125247038,23.410911036965274,1
0.0,16.1,21.4,5.3,342.5348448627438,177.99330153842817,2
0.03,17.0,22.5,5.5,341.75342890190393,169.97233063685087,2
0.3,12.8,17.9,5.1,347.252924998031,187.52814300710884,2
3.0,14.6,19.9,5.3,344.8812299447827,181.37082561435125,2
30.0,17.0,32.2,15.2,183.93664103013396,25.239905344782926,2
0.0,16.5,21.8,5.3,342.0628436752107,178.57406568425705,3
0.03,15.5,20.5,5.0,342.70949437625563,179.81983500691592,3
0.3,14.2,19.3,5.1,345.2068723610579,187.18022607491224,3
3.0,17.3,22.5,5.2,340.5495207152659,176.88570884118735,3
30.0,17.8,33.1,15.3,182.460213099163,24.9072965662717,3
0.0,16.1,21.2,5.1,342.3631270939115,177.24351620721205,4
0.03,15.4,20.7,5.3,343.68356630936205,179.5455499377179,4
0.3,17.4,23.0,5.6,341.41957113445187,168.6160681025405,4
3.0,16.6,21.9,5.3,342.185788536353,175.48923349875153,4
30.0,20.9,35.9,15.0,165.46126493170763,23.453293717976912,4
0.0,17.0,22.3,5.3,341.39446098739324,171.15661421131693,5
0.03,13.6,19.0,5.4,346.17907782172375,177.08293695877052,5
0.3,12.8,17.9,5.1,346.81416485546055,180.89981173142334,5
3.0,14.0,19.1,5.1,345.4847964262093,187.26019493062125,5
30.0,20.5,35.7,15.2,173.9756963226459,24.476112743380366,5
0.0,13.7,18.8,5.1,345.8350377742539,185.30797322459836,6
0.03,13.9,19.2,5.3,345.774666728846,179.52598407362024,6
0.3,15.2,20.7,5.5,343.72598535409224,170.09122918635134,6
3.0,17.1,22.5,5.4,341.64886169982486,173.6715886033012,6
30.0,22.7,38.2,15.5,163.08150191168423,22.418803355298245,6
0.0,15.4,20.6,5.2,343.63982803428985,180.25327327092708,7
0.03,16.0,21.4,5.4,342.6026763516546,172.83319242839258,7
0.3,13.6,18.9,5.3,345.8078693553728,176.94629397668234,7
3.0,14.0,19.3,5.3,345.38015626476806,178.91598200675347,7
30.0,22.8,37.9,15.1,159.51802302144384,23.519028419911404,7
0.0,15.6,20.8,5.2,343.4411962468893,181.76243422521236,8
0.03,14.9,20.3,5.4,344.4732779200872,172.44069133492712,8
