t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,166.8437087535468,10,1
1.0,0.0,176.69926682261385,10,1
2.0,0.0,186.79541149728269,10,1
3.0,0.0,197.12908506908772,10,1
4.0,0.0,207.69711966605558,10,1
5.0,0.0,218.49624705413362,10,1
6.0,0.0,229.52310442665785,10,1
7.0,0.0,240.774241284567,10,1
8.0,0.0,252.2461291863339,10,1
9.0,0.0,263.9351664203989,10,1
10.0,0.0,275.8376839300632,10,1
11.0,0.0,287.9499505072887,10,1
12.0,0.0,300.26818313878505,10,1
13.0,0.0,312.78855049427955,10,1
14.0,0.0,307.7422857115298,6,1
15.0,0.0,302.0153529690025,4,1
16.0,0.0,301.2734681970173,3,1
17.0,0.0,312.6574633538714,3,1
18.0,0.0,270.3655744850164,1,1
19.0,0.0,280.1097338186197,1,1
20.0,0.0,289.97801481357635,1,1
21.0,0.0,299.96752708005204,1,1
22.0,0.0,310.0753763194764,1,1
23.0,0.0,320.2986639828325,1,1
24.0,0.0,330.63449054541303,1,1
0.0,0.03,174.27974356285222,10,1
1.0,0.03,184.57619797392846,10,1
2.0,0.03,195.1240740678442,10,1
3.0,0.03,205.9201775623623,10,1
4.0,0.03,216.96119974644722,10,1
5.0,0.03,228.24372574047865,10,1
6.0,0.03,239.76424242423317,10,1
7.0,0.03,251.51914603715727,10,1
8.0,0.03,263.5047494601576,10,1
9.0,0.03,266.73906087083583,9,1
10.0,0.03,278.7684345187156,9,1
11.0,0.03,283.00201567147434,8,1
12.0,0.03,295.10785542222237,8,1
13.0,0.03,301.0586975168329,7,1
14.0,0.03,306.8057266090988,6,1
15.0,0.03,318.97437836279965,6,1
16.0,0.03,322.77626212707673,4,1
17.0,0.03,334.9757386426025,4,1
18.0,0.03,341.39869246543094,1,1
0.0,0.3,170.75859371521588,10,1
1.0,0.3,180.84626692259326,10,1
2.0,0.3,191.1802313459967,10,1
3.0,0.3,201.75735728408938,10,1
4.0,0.3,212.57440297000298,10,1
5.0,0.3,223.62802266349135,10,1
6.0,0.3,234.9147744136282,10,1
7.0,0.3,246.43112750374047,10,1
8.0,0.3,258.17346958789983,10,1
9.0,0.3,270.1381135309488,10,1
10.0,0.3,282.32130396224824,10,1
11.0,0.3,294.7192235563176,10,1
12.0,0.3,307.32799900338875,10,1
13.0,0.3,291.0691493806303,5,1
14.0,0.3,302.90172825220986,5,1
15.0,0.3,304.65508058847263,4,1
16.0,0.3,316.44688302309464,4,1
17.0,0.3,319.09588123991165,3,1
18.0,0.3,319.1070800890598,2,1
19.0,0.3,318.340093079185,1,1
20.0,0.3,329.5610262952949,1,1
0.0,3.0,182.6683165056225,10,1
1.0,3.0,193.46217568735955,10,1
2.0,3.0,204.51945002377894,10,1
3.0,3.0,215.83593558657225,10,1
4.0,3.0,227.40797589091525,10,1
5.0,3.0,239.23244092113583,10,1
6.0,3.0,251.3060129451892,10,1
7.0,3.0,263.6250959535695,10,1
8.0,3.0,276.1859034791997,10,1
9.0,3.0,288.98452390751606,10,1
10.0,3.0,295.20283322012824,9,1
11.0,3.0,292.73457180154367,7,1
12.0,3.0,297.31054105846937,6,1
13.0,3.0,299.7077858257285,5,1
14.0,3.0,311.889788615061,5,1
15.0,3.0,276.08118639142174,2,1
16.0,3.0,286.7606305405634,2,1
17.0,3.0,297.59175021104124,2,1
