C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.3,21.5,5.2,342.2842864719479,178.29789226487787,1
0.03,15.2,20.4,5.2,343.8313313542765,182.95664037498526,1
0.3,15.5,20.9,5.4,343.4492938819532,177.5403109534,1
3.0,14.4,19.5,5.1,344.6500776792409,178.27466105070965,1
30.0,18.8,34.0,15.2,173.35318378974324,23.392047210530187,1
0.0,15.1,20.1,5.0,343.75850292968016,188.04784763896967,2
0.03,14.7,19.8,5.1,344.3139785996068,181.12044511551977,2
0.3,14.6,20.0,5.4,344.7834178771264,174.51343860696892,2
3.0,17.0,22.4,5.4,335.7177352460063,171.37972359121872,2
30.0,14.8,21.7,6.9,272.0542284887022,105.28385408479255,2
0.0,15.3,20.5,5.2,344.10279386998826,186.38638671489852,3
0.03,14.0,19.1,5.1,345.4702286741684,184.95292860074733,3
0.3,16.5,22.0,5.5,342.2909412996252,171.34207565712595,3
3.0,13.6,18.7,5.1,345.8083929055357,183.7308766271411,3
30.0,17.8,32.6,14.8,186.0159261059543,26.8801428216087,3
0.0,15.1,20.4,5.3,344.08164267630434,178.1877719263943,4
0.03,15.6,20.8,5.2,343.15915969158476,179.6585930270155,4
0.3,15.6,20.9,5.3,343.7169650359049,178.48755887630404,4
3.0,12.5,17.6,5.1,347.4236243988368,186.38394378071834,4
30.0,19.3,33.7,14.4,179.01576809063494,27.81483082838646,4
0.0,16.7,22.1,5.4,342.00419678794924,175.2892052864901,5
0.03,16.0,21.2,5.2,342.8560970034947,182.63961212681275,5
0.3,17.7,23.0,5.3,340.2019660112918,172.70985156319142,5
3.0,17.5,22.8,5.3,340.8635937865259,175.28289173165007,5
30.0,20.8,35.9,15.1,168.33402631674647,24.014256860329464,5
0.0,14.5,19.8,5.3,344.5500776442781,177.75549676719507,6
0.03,16.0,21.4,5.4,343.0125440060259,176.31656137685636,6
0.3,16.2,21.5,5.3,342.1224871537241,168.50105692243423,6
3.0,15.2,20.6,5.4,344.07145164333616,175.0734674604882,6
30.0,20.8,35.6,14.8,172.63796615038234,25.015757216443028,6
0.0,15.1,20.4,5.3,343.9211091491173,174.2181348025353,7
0.03,16.6,22.0,5.4,342.47812126703667,177.22174151398985,7
0.3,16.9,22.1,5.2,341.4530914883476,179.44662609097858,7
